,tags,migrated_from,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,accepted_answer_id,content_license,closed_date,closed_reason,protected_date,community_owned_date
0,"['c#', 'sql', 'visual-studio-2012']","{'other_site': {'styling': {'tag_background_color': '#FFFFFF', 'tag_foreground_color': '#1087A4', 'link_color': '#1086A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.superuser', 'site_url': 'https://meta.superuser.com', 'name': 'Meta Super User'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=superuser.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1250553600, 'open_beta_date': 1247529600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon@2.png', 'twitter_account': 'super_user', 'favicon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon.png', 'audience': 'computer enthusiasts and power users', 'site_url': 'https://superuser.com', 'api_site_parameter': 'superuser', 'logo_url': 'https://cdn.sstatic.net/Sites/superuser/Img/logo.png', 'name': 'Super User', 'site_type': 'main_site'}, 'on_date': 1353939847, 'question_id': 510781}","{'account_id': 11366, 'reputation': 3082, 'user_id': 21880, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/d14d680ebcc7acfcfb4e60d28c430805?s=256&d=identicon&r=PG', 'display_name': 'MrVimes', 'link': 'https://stackoverflow.com/users/21880/mrvimes'}",False,27040,2,4,1669557665,1353937722,1482767803.0,13566815,https://stackoverflow.com/questions/13566815/how-to-add-edit-retrieve-data-using-local-database-file-in-microsoft-visual-stud,How to add/edit/retrieve data using Local Database file in Microsoft Visual Studio 2012,,,,,,
1,"['sql', 'database']",,"{'account_id': 1337436, 'reputation': 14119, 'user_id': 1279820, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.stack.imgur.com/CJFmh.png?s=256&g=1', 'display_name': 'Celeritas', 'link': 'https://stackoverflow.com/users/1279820/celeritas'}",True,34878,3,50,1669455330,1352876315,,13374335,https://stackoverflow.com/questions/13374335/what-is-the-difference-between-serializable-and-repeatable-read-isolation-level,What is the difference between serializable and repeatable read isolation level?,13374645.0,CC BY-SA 3.0,,,,
2,"['sql', 'relational-algebra']",,"{'account_id': 1605950, 'reputation': 369, 'user_id': 1486047, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/b4372b178cca5e5c32e5513de4774fde?s=256&d=identicon&r=PG', 'display_name': 'ToniHopkins', 'link': 'https://stackoverflow.com/users/1486047/tonihopkins'}",False,460,2,0,1669165685,1352904951,1669165685.0,13381244,https://stackoverflow.com/questions/13381244/converting-sql-query-to-relational-algebra-emp-dept-manager,"converting SQL query to Relational Algebra: EMP, DEPT, MANAGER",,CC BY-SA 4.0,,,,
3,"['sql', 'database', 'django', 'postgresql', 'postgresql-9.1']",,"{'account_id': 543916, 'reputation': 1234, 'user_id': 913204, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dqoeU.jpg?s=256&g=1', 'display_name': 'Parham', 'link': 'https://stackoverflow.com/users/913204/parham'}",True,264448,7,87,1669093438,1353461329,1353461665.0,13485030,https://stackoverflow.com/questions/13485030/strange-postgresql-value-too-long-for-type-character-varying500,Strange PostgreSQL &quot;value too long for type character varying(500)&quot;,13485116.0,CC BY-SA 3.0,,,,
4,"['sql', 'xml', 'oracle', 'parsing', 'clob']",,"{'account_id': 2088765, 'reputation': 389, 'user_id': 1859050, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/13c27e7e37411020832cf3495e04bd8d?s=256&d=identicon&r=PG', 'display_name': 'mitrabhanu', 'link': 'https://stackoverflow.com/users/1859050/mitrabhanu'}",True,116592,3,19,1669025569,1354089847,1354092850.0,13600480,https://stackoverflow.com/questions/13600480/extract-data-from-xml-clob-using-sql-from-oracle-database,Extract data from XML Clob using SQL from Oracle Database,13601681.0,CC BY-SA 3.0,,,,
5,"['sql', 'postgresql', 'odoo', 'relational-division']",,"{'account_id': 1566776, 'reputation': 18114, 'user_id': 1455384, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/4b402d3012a9074b276741f75610a9ca?s=256&d=identicon&r=PG', 'display_name': 'Andrius', 'link': 'https://stackoverflow.com/users/1455384/andrius'}",True,2127,2,0,1667501972,1352213136,1667501972.0,13253420,https://stackoverflow.com/questions/13253420/many-to-many-relation-filter,Many-to-many relation filter,13259085.0,CC BY-SA 4.0,,,,
6,"['sql', 'database', 'oracle']",,"{'account_id': 1171607, 'reputation': 5599, 'user_id': 2444907, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ac756e1fc6ce78f49084f428d420f13c?s=256&d=identicon&r=PG', 'display_name': 'AkshaiShah', 'link': 'https://stackoverflow.com/users/2444907/akshaishah'}",True,85702,3,3,1666786897,1353608614,1382958409.0,13518246,https://stackoverflow.com/questions/13518246/violated-parent-key-not-found-error,violated - parent key not found error,13518467.0,CC BY-SA 3.0,,,,
7,"['sql', 'tsql', 'sql-server-2012', 'entity-attribute-value', 'sql-tuning']",,"{'account_id': 203131, 'reputation': 17373, 'user_id': 450602, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/cdf38c3f31a44f0abf36575237239137?s=256&d=identicon&r=PG', 'display_name': 'Bick', 'link': 'https://stackoverflow.com/users/450602/bick'}",True,1376,1,0,1666395312,1353243366,1353336327.0,13440285,https://stackoverflow.com/questions/13440285/assistance-in-querying-an-entity-attribute-value-model-dynamic-attributes,Assistance in querying an Entity Attribute Value model ( &quot;dynamic attributes&quot; ) in SQL Server 2012,,CC BY-SA 3.0,,,,
8,"['mysql', 'sql', 'database', 'database-design']",,"{'account_id': 2085327, 'reputation': 173, 'user_id': 1856450, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/a25fbdaae4580cc05abaf8f74006a94d?s=256&d=identicon&r=PG', 'display_name': 'Alexander', 'link': 'https://stackoverflow.com/users/1856450/alexander'}",False,79,1,1,1666394727,1354214781,,13632584,https://stackoverflow.com/questions/13632584/db-structure-for-storing-attributes-of-places,DB Structure for storing attributes of places,,CC BY-SA 3.0,,,,
9,"['mysql', 'sql', 'hierarchical-data']",,"{'account_id': 314189, 'reputation': 1839, 'user_id': 629239, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/8dd43016232a267f4a3dd491101c85d9?s=256&d=identicon&r=PG', 'display_name': 'Undefined', 'link': 'https://stackoverflow.com/users/629239/undefined'}",True,2189,2,1,1666394224,1351807183,1351808926.0,13186173,https://stackoverflow.com/questions/13186173/recursive-sql-select,Recursive SQL select,,CC BY-SA 3.0,,,,
