,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,community_owned_date
0,"['sql', 'postgresql', 'dump', 'database-restore', 'database-dump']","{'account_id': 101650, 'reputation': 2652, 'user_id': 273330, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/cc0963777b16d645a1aaf6e8d44f5c44?s=256&d=identicon&r=PG', 'display_name': 'Usman', 'link': 'https://stackoverflow.com/users/273330/usman'}",True,214395,1460633495.0,8,59,1669379742,1337978342,1444321660.0,10761073,CC BY-SA 3.0,https://stackoverflow.com/questions/10761073/how-to-restore-postgresql-dump-file-into-postgres-databases,How to restore PostgreSQL dump file into Postgres databases?,,,,
1,"['mysql', 'sql', 'group-by', 'average']","{'account_id': 1214744, 'reputation': 475, 'user_id': 1182573, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5bddc0de61f531f5d6a7f69df86a46e?s=256&d=identicon&r=PG', 'display_name': 'theFen', 'link': 'https://stackoverflow.com/users/1182573/thefen'}",True,200857,,3,36,1669293648,1337691612,1495885061.0,10702546,CC BY-SA 3.0,https://stackoverflow.com/questions/10702546/sql-query-with-avg-and-group-by,SQL query with avg and group by,10702615.0,,,
2,"['sql', 'sqlite']","{'account_id': 77255, 'reputation': 10863, 'user_id': 220636, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/6Pv3t.jpg?s=256&g=1', 'display_name': 'nabulke', 'link': 'https://stackoverflow.com/users/220636/nabulke'}",True,10488,,4,23,1668721741,1338367700,,10812910,CC BY-SA 3.0,https://stackoverflow.com/questions/10812910/combine-two-statements-with-limits-using-union,Combine two statements with LIMITS using UNION,10812989.0,,,
3,"['sql', 'sql-server', 'datetime']","{'account_id': 449002, 'reputation': 21519, 'user_id': 843542, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/kZdih.png?s=256&g=1', 'display_name': 'Eric Francis', 'link': 'https://stackoverflow.com/users/843542/eric-francis'}",True,1697125,,8,454,1668487324,1337288174,1534407702.0,10643379,CC BY-SA 4.0,https://stackoverflow.com/questions/10643379/how-do-i-query-for-all-dates-greater-than-a-certain-date-in-sql-server,How do I query for all dates greater than a certain date in SQL Server?,10643403.0,,,
4,"['sql', 'reporting-services', 'ssrs-2008']","{'account_id': 943416, 'reputation': 565, 'user_id': 971115, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/d010878a50d18f8188e4bd5f3f04e138?s=256&d=identicon&r=PG', 'display_name': 'jsmith', 'link': 'https://stackoverflow.com/users/971115/jsmith'}",True,29053,,5,13,1668423067,1336052710,1336058019.0,10432714,CC BY-SA 3.0,https://stackoverflow.com/questions/10432714/divide-by-zero-null-workaround-in-ssrs-2008-report,divide by zero/null workaround in SSRS 2008 report,10435692.0,,,
5,"['mysql', 'sql']","{'account_id': 958669, 'reputation': 8273, 'user_id': 983476, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/RQ2hk.jpg?s=256&g=1', 'display_name': 'Allan Chua', 'link': 'https://stackoverflow.com/users/983476/allan-chua'}",True,489,,2,0,1668007629,1338213155,1338272873.0,10785775,CC BY-SA 3.0,https://stackoverflow.com/questions/10785775/how-to-execute-2-or-more-hardcoded-insert-statements-in-mysql,How to execute 2 or more Hardcoded Insert Statements in MySQL,10785876.0,,,
6,"['sql', 'sql-server', 'sql-server-2008']","{'account_id': 1487230, 'reputation': 87, 'user_id': 1395193, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/903c91dd16c2e55fc072095777635957?s=256&d=identicon&r=PG', 'display_name': 'ShaneL', 'link': 'https://stackoverflow.com/users/1395193/shanel'}",True,225,,1,-1,1666894930,1337907694,1666894930.0,10747229,CC BY-SA 4.0,https://stackoverflow.com/questions/10747229/microsoft-sql-foreign-key-not-referencing-table-cant-see-whats-causing-it,"Microsoft SQL, foreign key not referencing table, can&#39;t see what&#39;s causing it",10747256.0,,,
7,"['mysql', 'sql', 'database', 'mysql-workbench']","{'account_id': 444297, 'reputation': 10087, 'user_id': 836026, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/223fb6c30bd49f4df1ac419cd0747a42?s=256&d=identicon&r=PG', 'display_name': 'user836026', 'link': 'https://stackoverflow.com/users/836026/user836026'}",True,796597,1517581447.0,36,392,1666875844,1336824858,1533116969.0,10563619,CC BY-SA 4.0,https://stackoverflow.com/questions/10563619/error-code-2013-lost-connection-to-mysql-server-during-query,Error Code: 2013. Lost connection to MySQL server during query,12790569.0,,,
8,"['sql', 'postgresql']","{'account_id': 1074883, 'reputation': 10394, 'user_id': 1073252, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/af4c9d4d5de75d90da65ed97bcedba30?s=256&d=identicon&r=PG', 'display_name': 'flossfan', 'link': 'https://stackoverflow.com/users/1073252/flossfan'}",True,395197,,8,717,1666693443,1337960598,1489593807.0,10757431,CC BY-SA 3.0,https://stackoverflow.com/questions/10757431/postgres-upgrade-a-user-to-be-a-superuser,postgres: upgrade a user to be a superuser?,10757486.0,,,
9,"['sql', 'database', 'oracle', 'db2', 'oracle-sqldeveloper']","{'account_id': 1094499, 'reputation': 1685, 'user_id': 1088389, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/e952b672ba4fb5bcbcda2350afc233ba?s=256&d=identicon&r=PG', 'display_name': 'Frantumn', 'link': 'https://stackoverflow.com/users/1088389/frantumn'}",True,3100,,1,1,1666218234,1336418621,1337174478.0,10487837,CC BY-SA 3.0,https://stackoverflow.com/questions/10487837/show-db2-tables-in-oracle-sql-developer,Show DB2 Tables in Oracle SQL Developer,10804217.0,,,
10,"['mysql', 'sql']","{'account_id': 944601, 'reputation': 2240, 'user_id': 972101, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/fJ3Mb.jpg?s=256&g=1', 'display_name': 'Majo0od', 'link': 'https://stackoverflow.com/users/972101/majo0od'}",True,117260,,15,59,1665713220,1338417362,1338419172.0,10825247,CC BY-SA 3.0,https://stackoverflow.com/questions/10825247/sql-where-column-everything,SQL WHERE column = everything,10825308.0,,,
11,"['mysql', 'sql']","{'account_id': 758170, 'reputation': 552, 'user_id': 761514, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/addee74adcd383b6129ff155f42a60df?s=256&d=identicon&r=PG', 'display_name': 'Zaphod Beeblebrox', 'link': 'https://stackoverflow.com/users/761514/zaphod-beeblebrox'}",True,12296,,3,0,1664117970,1335805293,1335805674.0,10387556,CC BY-SA 3.0,https://stackoverflow.com/questions/10387556/getting-the-average-price-of-products-in-a-category,Getting the average price of products in a category,10387602.0,,,
12,"['java', 'mysql', 'sql', 'jdbc']","{'account_id': 182385, 'reputation': 7293, 'user_id': 417045, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/01c45e19d412ae065725b59d612c85aa?s=256&d=identicon&r=PG', 'display_name': 'MilindaD', 'link': 'https://stackoverflow.com/users/417045/milindad'}",True,220854,,6,117,1662500553,1338289125,1532093683.0,10797794,CC BY-SA 4.0,https://stackoverflow.com/questions/10797794/multiple-queries-executed-in-java-in-single-statement,Multiple queries executed in java in single statement,10804730.0,,,
13,"['sql', 'sql-server', 'tsql', 'pivot']","{'account_id': 946586, 'reputation': 2916, 'user_id': 973731, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/bd0e602cfc23705507e3825e02022fc2?s=256&d=identicon&r=PG', 'display_name': 'Sean Cunningham', 'link': 'https://stackoverflow.com/users/973731/sean-cunningham'}",True,308669,1392223478.0,9,245,1662382191,1335906307,1517484050.0,10404348,CC BY-SA 3.0,https://stackoverflow.com/questions/10404348/sql-server-dynamic-pivot-query,SQL Server dynamic PIVOT query?,10404455.0,,,
14,"['sql', 'database', 'tsql', 'sql-server-2008-r2']","{'account_id': 192962, 'reputation': 455, 'user_id': 434403, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/924ca4d851e8674844bc25fbcfe9f7f7?s=256&d=identicon&r=PG', 'display_name': 'muddu83', 'link': 'https://stackoverflow.com/users/434403/muddu83'}",True,56019,,4,7,1662019236,1338283830,1346405536.0,10796449,CC BY-SA 3.0,https://stackoverflow.com/questions/10796449/script-to-list-the-sql-server-databases-size-and-utilisation-by-specific-applic,"Script to list the SQL Server Databases, Size and Utilisation by Specific Application or Service",,,,
15,"['sql', 'database', 'sqlite', 'cloud']","{'account_id': 1380876, 'reputation': 14115, 'user_id': 1313904, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/TENKN.jpg?s=256&g=1', 'display_name': 'tennisgent', 'link': 'https://stackoverflow.com/users/1313904/tennisgent'}",True,20673,,8,15,1660064112,1335974872,,10417546,CC BY-SA 3.0,https://stackoverflow.com/questions/10417546/whats-the-easiest-cheapest-way-to-create-a-cloud-based-sql-database,What&#39;s the easiest/cheapest way to create a cloud-based SQL database?,,,,
16,"['mysql', 'sql', 'alter']","{'account_id': 1096046, 'reputation': 14652, 'user_id': 1089623, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/84cea2df5455fab19a915ec582cab9f6?s=256&d=identicon&r=PG', 'display_name': 'Klausos Klausos', 'link': 'https://stackoverflow.com/users/1089623/klausos-klausos'}",True,127482,,4,25,1659606123,1337074637,,10597982,CC BY-SA 3.0,https://stackoverflow.com/questions/10597982/alter-sql-table-allow-null-column-value,Alter SQL table - allow NULL column value,10598052.0,,,
17,"['sql', 'sql-server', 'database', 'tsql']","{'account_id': 1458957, 'reputation': 213, 'user_id': 1373797, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1105cc11a28f75361c7801466cffc7e?s=256&d=identicon&r=PG', 'display_name': 'pretyBoy', 'link': 'https://stackoverflow.com/users/1373797/pretyboy'}",True,47785,,4,21,1659252461,1336087249,1659252461.0,10440688,,https://stackoverflow.com/questions/10440688/what-is-the-t-sql-equivalent-of-mysql-syntax-limit-x-y,"What is the T-SQL equivalent of MySQL syntax LIMIT x, y?",10440704.0,1336209483.0,exact duplicate,
18,"['sql', 'sql-server', 'tsql', 'sql-server-2008-r2', 'ansi-sql']","{'account_id': 8063, 'reputation': 15827, 'user_id': 14280, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/d1bb8d007dfe7b26cbcb4f719cb77fd6?s=256&d=identicon&r=PG', 'display_name': 'Jason Kresowaty', 'link': 'https://stackoverflow.com/users/14280/jason-kresowaty'}",True,23441,,10,65,1658954248,1335972277,1649169599.0,10416789,CC BY-SA 4.0,https://stackoverflow.com/questions/10416789/how-to-rewrite-is-distinct-from-and-is-not-distinct-from-in-sql-server-20008r2,How to rewrite IS DISTINCT FROM and IS NOT DISTINCT FROM in SQL Server 20008R2?,18684859.0,,,
19,"['sql', 'ruby-on-rails', 'batch-file', 'rake-task']","{'account_id': 979150, 'reputation': 25107, 'user_id': 999355, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/ZCbkS.jpg?s=256&g=1', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/999355/paul'}",True,14436,,2,9,1656467477,1337077996,1440196990.0,10598874,CC BY-SA 3.0,https://stackoverflow.com/questions/10598874/single-step-batch-delete-in-ruby-on-rails,Single step batch delete in Ruby on Rails,10600185.0,,,
20,"['mysql', 'sql', 'mysqldump', 'mysql-management']","{'account_id': 1374417, 'reputation': 2187, 'user_id': 1308710, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/a659eba7b1914e49f8241cd8aa58a20c?s=256&d=identicon&r=PG', 'display_name': 'SoCkEt7', 'link': 'https://stackoverflow.com/users/1308710/socket7'}",True,42883,,6,20,1656346840,1337310614,1337384866.0,10646216,CC BY-SA 3.0,https://stackoverflow.com/questions/10646216/importing-1go-sql-file-error-2013-hy000-at-line-23-lost-connection-to-mysq,Importing 1GO SQL File =&gt; ERROR 2013 (HY000) at line 23: Lost connection to MySQL server during query ,10646297.0,,,
