,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date
0,"['sql', 'sql-server', 'replace']","{'account_id': 6290411, 'reputation': 15, 'user_id': 4922636, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8117bb8764d9ccc2510f37e180020cf5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Derek Frank', 'link': 'https://stackoverflow.com/users/4922636/derek-frank'}",True,6682,58342705.0,3,-1,1669145175,1570801427,58342569,CC BY-SA 4.0,https://stackoverflow.com/questions/58342569/re-formatting-values-to-remove-dollar-signs-and-commas-in-sql-server,Re-formatting values to remove dollar signs and commas in SQL server,,,,
1,"['sql', 'go', 'go-gorm']","{'account_id': 1214848, 'reputation': 1310, 'user_id': 1182658, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/e49c58e5bd4e6d903e6df296d51ff74e?s=256&d=identicon&r=PG', 'display_name': 'Anup', 'link': 'https://stackoverflow.com/users/1182658/anup'}",True,270,58526662.0,2,1,1668755304,1571841298,58525268,CC BY-SA 4.0,https://stackoverflow.com/questions/58525268/how-to-set-where-clause-dynamically-in-gorm,How to set where clause dynamically in GORM,1572570879.0,,,
2,"['sql', 'postgresql']","{'account_id': 4563985, 'reputation': 3539, 'user_id': 3705478, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/0Rnp5.jpg?s=256&g=1', 'display_name': 'sofs1', 'link': 'https://stackoverflow.com/users/3705478/sofs1'}",True,396,,2,2,1668508008,1571417340,58455105,CC BY-SA 4.0,https://stackoverflow.com/questions/58455105/why-do-we-use-default-along-with-not-null-in-database-columns,Why do we use default along with not null in database columns?,1571417716.0,,,
3,"['sql', 'oracle', 'oracle11g', 'combinatorics']","{'account_id': 8994817, 'reputation': 151, 'user_id': 6705640, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1194852270554567/picture?type=large', 'display_name': 'Tomasz', 'link': 'https://stackoverflow.com/users/6705640/tomasz'}",True,56,,1,0,1667927204,1571605318,58477298,CC BY-SA 4.0,https://stackoverflow.com/questions/58477298/all-variations-from-the-harvest-oracle,All variations from the harvest (oracle),1667927204.0,,,
4,"['sql', 'json', 'postgresql', 'left-join', 'aggregate-functions']","{'account_id': 33959, 'reputation': 427, 'user_id': 95482, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4679f6f739e1f9f83b069bf008a39844?s=256&d=identicon&r=PG', 'display_name': 'Tom Berghuis', 'link': 'https://stackoverflow.com/users/95482/tom-berghuis'}",True,8538,58270121.0,4,14,1666580237,1570442405,58267279,CC BY-SA 4.0,https://stackoverflow.com/questions/58267279/left-join-query-with-json-object-array-aggregate,LEFT JOIN query with JSON object array aggregate,1666580237.0,,,
5,"['sql', 'database', 'oracle', 'plsql']","{'account_id': 10716704, 'reputation': 23, 'user_id': 7887057, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/de878fb2172dbdd43391ebe526033e30?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ryan Haire', 'link': 'https://stackoverflow.com/users/7887057/ryan-haire'}",True,51,,1,-1,1665592260,1570321100,58253307,CC BY-SA 4.0,https://stackoverflow.com/questions/58253307/wrong-number-or-types-of-arguments-error-using-cursors-with-parameters,Wrong number or types of arguments error using cursors with parameters,1665592260.0,,,
6,"['mysql', 'sql']","{'account_id': 8921287, 'reputation': 51, 'user_id': 6657734, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/wFRR9.jpg?s=256&g=1', 'display_name': 'Juan Nguyen', 'link': 'https://stackoverflow.com/users/6657734/juan-nguyen'}",True,59,58345983.0,1,-2,1665508739,1570802776,58342992,,https://stackoverflow.com/questions/58342992/conditions-speed-in-query,Condition&#39;s speed in query,1571148832.0,1570832915.0,Needs more focus,
7,"['sql', 'oracle', 'select', 'insert']","{'account_id': 3302796, 'reputation': 609, 'user_id': 2778503, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'ayyoob imani', 'link': 'https://stackoverflow.com/users/2778503/ayyoob-imani'}",True,676,,2,0,1665375078,1570368162,58257657,CC BY-SA 4.0,https://stackoverflow.com/questions/58257657/oracle-select-if-not-exists-insert,oracle select if not exists insert,,,,
8,"['sql', 'postgresql', 'aggregate-functions']","{'account_id': 15915378, 'reputation': 640, 'user_id': 11999825, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a3e97aa20d3eed4377f28754dd888919?s=256&d=identicon&r=PG&f=1', 'display_name': 'Luis Henrique', 'link': 'https://stackoverflow.com/users/11999825/luis-henrique'}",True,1349,58400457.0,3,1,1664877851,1571162289,58400246,CC BY-SA 4.0,https://stackoverflow.com/questions/58400246/error-aggregate-function-calls-cannot-be-nested-postgresql,ERROR: aggregate function calls cannot be nested - POSTGRESQL,1664877851.0,,,
9,"['sql', 'sql-server', 'tsql', 'counting']","{'account_id': 16752727, 'reputation': 25, 'user_id': 12109486, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-7o4GmOQ5Fzg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdFxdsXtaEAQ9JVDp_FOr3j6rMrtw/photo.jpg?sz=256', 'display_name': 'Hargobind Khalsa', 'link': 'https://stackoverflow.com/users/12109486/hargobind-khalsa'}",True,710,58205199.0,3,2,1664611235,1570031613,58205077,CC BY-SA 4.0,https://stackoverflow.com/questions/58205077/count-records-from-one-column-where-values-are-different,Count Records from One Column WHERE values are different,1664611235.0,,,
10,"['mysql', 'sql', 'database', 'orm']","{'account_id': 1687373, 'reputation': 858, 'user_id': 1550361, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/6989fbcb6bb5c7d7f23f34bb58e7f713?s=256&d=identicon&r=PG&f=1', 'display_name': 'danielb', 'link': 'https://stackoverflow.com/users/1550361/danielb'}",True,203,,2,2,1663869276,1570660258,58313105,CC BY-SA 4.0,https://stackoverflow.com/questions/58313105/database-design-multiple-foreign-keys,Database design - multiple foreign keys,,,,
11,"['sql', 'json', 'sql-server', 'tsql', 'sql-server-json']","{'account_id': 12704081, 'reputation': 768, 'user_id': 9229931, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Ge-YpWitn94/AAAAAAAAAAI/AAAAAAAAAIo/MdpzUZjLnRE/photo.jpg?sz=256', 'display_name': 'Danilo K&#246;rber', 'link': 'https://stackoverflow.com/users/9229931/danilo-k%c3%b6rber'}",True,314,58440030.0,1,2,1663312616,1571342398,58439937,CC BY-SA 4.0,https://stackoverflow.com/questions/58439937/json-from-sql-query-with-child-level,JSON from SQL query with child level,1663312616.0,,,
12,"['mysql', 'sql', 'join', 'opencart']","{'account_id': 16637186, 'reputation': 365, 'user_id': 12023581, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-DP8PrLOK9U0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reSBMoeF6kImseBGtk-resLKNwlzw/photo.jpg?sz=256', 'display_name': 'thelaw', 'link': 'https://stackoverflow.com/users/12023581/thelaw'}",False,343,,3,1,1663274478,1570782777,58337259,CC BY-SA 4.0,https://stackoverflow.com/questions/58337259/mysql-join-products-with-category-tree-even-if-categories-are-null,MySQL join products with category tree even if categories are null,1571052288.0,,,
13,"['sql', 'character']","{'account_id': 16389945, 'reputation': 7, 'user_id': 11838955, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7360cfc7f2fb6f2cd247fd81b438352c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Julian', 'link': 'https://stackoverflow.com/users/11838955/julian'}",True,1036,58434983.0,2,0,1663263092,1571322317,58434922,CC BY-SA 4.0,https://stackoverflow.com/questions/58434922/how-to-add-characters-in-the-results-up-to-certain-length-in-sql,How to add characters in the results up to certain length in SQL,,,,
14,"['sql', 'oracle']","{'account_id': 16820330, 'reputation': 27, 'user_id': 12160967, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/F9h6q.jpg?s=256&g=1', 'display_name': 'afbigdad', 'link': 'https://stackoverflow.com/users/12160967/afbigdad'}",True,318,58358282.0,3,-1,1662985536,1570907535,58357592,CC BY-SA 4.0,https://stackoverflow.com/questions/58357592/there-is-something-wrong-with-my-query-and-i-dont-know-what-is-it,there is something wrong with my query and i dont know what is it?,1570910692.0,,,
15,"['java', 'sql', 'jpa', 'greatest-n-per-group', 'querydsl']","{'account_id': 4540696, 'reputation': 7300, 'user_id': 3688648, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/migGL.jpg?s=256&g=1', 'display_name': 'Felk', 'link': 'https://stackoverflow.com/users/3688648/felk'}",True,1857,58377967.0,2,3,1662658026,1570809243,58344766,CC BY-SA 4.0,https://stackoverflow.com/questions/58344766/select-greatest-element-per-group-in-querydsl,select greatest element per group in querydsl,1570809594.0,,,
16,"['sql', 'sql-server']","{'account_id': 5381572, 'reputation': 453, 'user_id': 4286657, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d898caff94638c540b482f4c6f9d6a3b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jacob de Boer', 'link': 'https://stackoverflow.com/users/4286657/jacob-de-boer'}",False,104,,2,1,1662446014,1570704194,58321087,CC BY-SA 4.0,https://stackoverflow.com/questions/58321087/cannot-create-non-existing-column-in-sql-database,Cannot create non existing column in SQL database,,,,
17,"['mysql', 'sql', 'base64', 'data-conversion']","{'account_id': 41574, 'reputation': 19788, 'user_id': 120888, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/1bc4ef3a499a15e9d6b5a27b02ddeb46?s=256&d=identicon&r=PG', 'display_name': 'Giffyguy', 'link': 'https://stackoverflow.com/users/120888/giffyguy'}",True,1212,58530692.0,1,0,1662322309,1571861026,58530236,CC BY-SA 4.0,https://stackoverflow.com/questions/58530236/convert-varbinary-to-base64-in-mysql,Convert VARBINARY to Base64 in MySQL,1571863587.0,,,
18,"['sql', 'sql-server']","{'account_id': 16841343, 'reputation': 1, 'user_id': 12176675, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/13e958ab48ba1385e80f55a2ab3f6f6b?s=256&d=identicon&r=PG&f=1', 'display_name': 'th3_fix3r', 'link': 'https://stackoverflow.com/users/12176675/th3-fix3r'}",False,87,,3,0,1661989020,1570454374,58270422,CC BY-SA 4.0,https://stackoverflow.com/questions/58270422/sql-capitalize-only-the-first-letter-of-each-word-and-lowercase-all-the-rest,SQL - Capitalize only the first letter of each word and lowercase all the rest,,,,
19,"['mysql', 'sql', 'database', 'datetime', 'mysql-8.0']","{'account_id': 11260840, 'reputation': 53, 'user_id': 8259219, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-2sUy0n2qRds/AAAAAAAAAAI/AAAAAAAAJ3U/P5saRodl0fI/photo.jpg?sz=256', 'display_name': 'Mansi Gupta', 'link': 'https://stackoverflow.com/users/8259219/mansi-gupta'}",True,10573,58436771.0,3,3,1661412858,1571310272,58431136,CC BY-SA 4.0,https://stackoverflow.com/questions/58431136/how-to-fix-mysql-8-error-codes-1525-and-1292,How to fix MySQL 8 error codes : 1525 and 1292?,1571310846.0,,,
20,"['sql', 'r', 'snowflake-cloud-data-platform']","{'account_id': 4443515, 'reputation': 1089, 'user_id': 5278594, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/xT07m.jpg?s=256&g=1', 'display_name': 'jay', 'link': 'https://stackoverflow.com/users/5278594/jay'}",True,2288,,3,2,1660099534,1571415576,58454722,CC BY-SA 4.0,https://stackoverflow.com/questions/58454722/how-to-perform-stratification-based-on-a-column-in-snowflake,How to perform stratification based on a column in Snowflake,,,,
21,"['php', 'html', 'sql']","{'account_id': 14905907, 'reputation': 25, 'user_id': 10763137, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-005hvDcvNd0/AAAAAAAAAAI/AAAAAAAAAfI/phIePpON89s/photo.jpg?sz=256', 'display_name': 'Wawa Haniee', 'link': 'https://stackoverflow.com/users/10763137/wawa-haniee'}",False,80,,1,-1,1659716172,1570675110,58314683,CC BY-SA 4.0,https://stackoverflow.com/questions/58314683/can-anyone-help-me-like-operator-in-sql,Can anyone help me like operator in sql?,1659716172.0,,,
22,"['sql', 'sql-server', 'date']","{'account_id': 13846214, 'reputation': 57, 'user_id': 9995310, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36304f6a270dba0eb23e331857a58989?s=256&d=identicon&r=PG&f=1', 'display_name': 'ChawleeJay', 'link': 'https://stackoverflow.com/users/9995310/chawleejay'}",True,156,,1,0,1659714394,1570673999,58314553,CC BY-SA 4.0,https://stackoverflow.com/questions/58314553/recurring-date-calculator-sql,Recurring Date Calculator SQL,1659714394.0,,,
23,"['sql', 'postgresql', 'window-functions']","{'account_id': 13857002, 'reputation': 972, 'user_id': 10003538, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0a823ad5dc0fafb023f0ab1c22fda4ed?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chau Loi', 'link': 'https://stackoverflow.com/users/10003538/chau-loi'}",True,1884,58606371.0,2,3,1659710850,1572347477,58606318,CC BY-SA 4.0,https://stackoverflow.com/questions/58606318/postgresql-how-to-create-conditional-column-with-the-filter-on-another-column,PostgreSql - How to create conditional column with the filter on another column?,1659710850.0,,,
24,"['sql', 'sql-server', 'xml', 'for-xml']","{'account_id': 4592129, 'reputation': 3416, 'user_id': 3725142, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/kUHuC.jpg?s=256&g=1', 'display_name': 'dns_nx', 'link': 'https://stackoverflow.com/users/3725142/dns-nx'}",True,512,58425447.0,1,1,1659218643,1571289479,58425351,CC BY-SA 4.0,https://stackoverflow.com/questions/58425351/sql-for-xml-how-to-add-property-to-tag,SQL - FOR XML - How to add property to tag,1659218643.0,,,
25,"['mysql', 'sql', 'schema']","{'account_id': 6165091, 'reputation': 2142, 'user_id': 4805357, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/muA8J.jpg?s=256&g=1', 'display_name': 'SDG', 'link': 'https://stackoverflow.com/users/4805357/sdg'}",True,52054,58514350.0,4,5,1659120937,1571794889,58514309,CC BY-SA 4.0,https://stackoverflow.com/questions/58514309/sql-query-for-distinct-professors-and-courses,SQL query for distinct professors and courses,1571796730.0,,,1659339382.0
26,"['sql', 'arrays', 'json', 'postgresql', 'jsonb']","{'account_id': 16853834, 'reputation': 71, 'user_id': 12186098, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-_ODMoy_LYa4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfd6R7qOPhRKDSXRGx1FY-ONEqVCA/photo.jpg?sz=256', 'display_name': 'mycoding213', 'link': 'https://stackoverflow.com/users/12186098/mycoding213'}",True,90,58551462.0,4,1,1658882858,1571968662,58551218,CC BY-SA 4.0,https://stackoverflow.com/questions/58551218/how-to-delete-an-object-in-a-json-array-element,How to delete an object in a json array element?,1658882858.0,,,
27,"['sql', 'sql-server', 'database', 'left-join', 'sql-null']","{'account_id': 10044665, 'reputation': 135, 'user_id': 7426473, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f7157ec6abbb413fbb5cebb98cead688?s=256&d=identicon&r=PG&f=1', 'display_name': 'SushiDynamite', 'link': 'https://stackoverflow.com/users/7426473/sushidynamite'}",True,4498,58446513.0,2,1,1658818562,1571385577,58446415,CC BY-SA 4.0,https://stackoverflow.com/questions/58446415/left-join-inside-left-join,Left join inside left join,1624286389.0,,,
28,"['sql', 'vb.net', 'ms-access']","{'account_id': 16902806, 'reputation': 109, 'user_id': 12223686, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7cdc3b04ef0565fb1863d81693d4ef95?s=256&d=identicon&r=PG&f=1', 'display_name': 'HungryCoder', 'link': 'https://stackoverflow.com/users/12223686/hungrycoder'}",True,1252,58539384.0,4,0,1658469759,1571876777,58532558,CC BY-SA 4.0,https://stackoverflow.com/questions/58532558/dual-alternative-in-ms-access-database,DUAL alternative in ms access database,1571890621.0,,,
29,"['sql', 'entity-framework', 'linq']","{'account_id': 8116725, 'reputation': 939, 'user_id': 6114993, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/c41844ba1526acb0ecf3072a35ec2d7c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Learn AspNet', 'link': 'https://stackoverflow.com/users/6114993/learn-aspnet'}",False,3361,,5,2,1658425517,1571946201,58548172,CC BY-SA 4.0,https://stackoverflow.com/questions/58548172/only-include-in-where-condition-if-value-is-not-null-in-linq,Only include in where condition if value is not null in Linq,,,,
30,"['sql', 'json', 'oracle', 'oracle11gr2']","{'account_id': 9290005, 'reputation': 9, 'user_id': 6898712, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b8266449e7dd66e1f4ff568dc1246fea?s=256&d=identicon&r=PG', 'display_name': 'mbilgil', 'link': 'https://stackoverflow.com/users/6898712/mbilgil'}",True,6016,,1,0,1658143973,1571656052,58485015,,https://stackoverflow.com/questions/58485015/how-to-parse-json-in-oracle-sql-version11-2-0,How to parse json in oracle sql? (Version:11.2.0),1658143973.0,1571657095.0,Duplicate,
31,"['sql', 'amazon-redshift']","{'account_id': 4343839, 'reputation': 1996, 'user_id': 3546389, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/33b8af3e90f8778acc075e1ad617f60f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yankee', 'link': 'https://stackoverflow.com/users/3546389/yankee'}",False,3701,,3,5,1657610889,1571903135,58536515,CC BY-SA 4.0,https://stackoverflow.com/questions/58536515/out-of-memory-error-while-creating-table-but-select-works,Out of Memory error while creating table but SELECT works,1572328490.0,,,
32,"['sql', 'relational-algebra']","{'account_id': 16840534, 'reputation': 49, 'user_id': 12176036, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBd508IT_Y6b8IVJ-2A2dH5gZJ9mnC_MvPtN0MwpA=k-s256', 'display_name': 'Raphael Arpa', 'link': 'https://stackoverflow.com/users/12176036/raphael-arpa'}",True,807,,1,1,1655604969,1570453552,58270175,,https://stackoverflow.com/questions/58270175/in-relational-algebra-does-the-distinct-have-a-symbol,"In relational algebra, does the DISTINCT have a symbol?",1655604969.0,1570454600.0,Duplicate,
33,"['sql', 'postgresql', 'where-clause', 'sqldatatypes', 'date-arithmetic']","{'account_id': 5262164, 'reputation': 31, 'user_id': 4203387, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b58b00bf272020d5aa13140bd4b04baf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sachika Sandeepa', 'link': 'https://stackoverflow.com/users/4203387/sachika-sandeepa'}",True,334,,1,-1,1655500702,1571236631,58415897,CC BY-SA 4.0,https://stackoverflow.com/questions/58415897/comparing-text-type-date-and-select-the-greater-than-dates,Comparing text type date and select the greater than dates,1655500702.0,,,
34,"['sql', 'oracle']","{'account_id': 16542656, 'reputation': 11, 'user_id': 11953025, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92d230c051e5e7c7ccc0703490d377b5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Carol Sun', 'link': 'https://stackoverflow.com/users/11953025/carol-sun'}",False,273,,0,1,1655319784,1571340229,58439460,CC BY-SA 4.0,https://stackoverflow.com/questions/58439460/how-to-log-into-sql-plus-as-sysdba,how to log into sql * plus as sysdba?,1655319784.0,,,
35,"['java', 'sql']","{'account_id': 16635000, 'reputation': 25, 'user_id': 12021931, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f650a2776dd961e45954b0ea2e1346f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Funkeyfreak', 'link': 'https://stackoverflow.com/users/12021931/funkeyfreak'}",True,33,,1,0,1655170306,1572135759,58575712,CC BY-SA 4.0,https://stackoverflow.com/questions/58575712/sql-false-comand-java-code-and-sql-hope-someone-can-help-me,"SQL False comand, Java Code and SQL? Hope someone can help me",1655170306.0,,,
36,"['sql', 'google-bigquery']","{'account_id': 15533417, 'reputation': 4897, 'user_id': 11206202, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-B5wYhU6eUcU/AAAAAAAAAAI/AAAAAAAAADc/erhKjsowEiA/photo.jpg?sz=256', 'display_name': 'Yun Zhang', 'link': 'https://stackoverflow.com/users/11206202/yun-zhang'}",True,13657,58245226.0,2,5,1655144292,1570247852,58245225,CC BY-SA 4.0,https://stackoverflow.com/questions/58245225/select-into-with-bigquery,SELECT INTO with BigQuery,,,,
37,"['sql', 'mariadb']","{'account_id': 4457767, 'reputation': 3, 'user_id': 9749729, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e4fe01fce9d705d004de6b1a05beed3b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Scryptus', 'link': 'https://stackoverflow.com/users/9749729/scryptus'}",True,390,58385003.0,2,0,1654949119,1571093417,58384978,CC BY-SA 4.0,https://stackoverflow.com/questions/58384978/an-insert-select-with-empty-values-too,an INSERT...SELECT with empty VALUES too,1654949119.0,,,
38,"['sql', 'authentication', 'sharepoint', 'ssis', 'sql-server-data-tools']","{'account_id': 7067580, 'reputation': 1, 'user_id': 5410402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91c1e2f7b0c6f7f1b53c80df6edc8f62?s=256&d=identicon&r=PG&f=1', 'display_name': 'Roshan Zameer', 'link': 'https://stackoverflow.com/users/5410402/roshan-zameer'}",False,829,,0,0,1654584327,1570733800,58329433,CC BY-SA 4.0,https://stackoverflow.com/questions/58329433/facing-issue-with-odatasource-connection-manager-in-ssis-for-pulling-the-data-fr,Facing issue with ODataSource Connection Manager in SSIS for pulling the data from Sharepoint site,1570734107.0,,,
39,"['sql', 'sql-server', 'azure', 'azure-sql-database', 'azure-logic-apps']","{'account_id': 1361174, 'reputation': 652, 'user_id': 1298523, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f3af72a436b8b9d5848c0da3b9f80c11?s=256&d=identicon&r=PG', 'display_name': 'scape', 'link': 'https://stackoverflow.com/users/1298523/scape'}",True,1973,58646879.0,4,0,1652947848,1572473086,58634254,CC BY-SA 4.0,https://stackoverflow.com/questions/58634254/azure-logicapp-cannot-get-rowid-from-sql-server,Azure LogicApp cannot get rowid from SQL Server,1572534554.0,,,
40,"['sql', 'snowflake-cloud-data-platform', 'computus']","{'account_id': 10282710, 'reputation': 988, 'user_id': 7587176, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6d63fadaec7e7f35ea7199ddca55c0b1?s=256&d=identicon&r=PG&f=1', 'display_name': '0004', 'link': 'https://stackoverflow.com/users/7587176/0004'}",True,1160,58621818.0,2,1,1652384793,1572397775,58617459,CC BY-SA 4.0,https://stackoverflow.com/questions/58617459/easter-good-friday-for-sowflake-date-dim,Easter / Good Friday for Sowflake Date Dim,1572573102.0,,,
41,"['sql', 'oracle', 'plsql']","{'account_id': 12029161, 'reputation': 53, 'user_id': 8799955, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b6615166e397ae180ccf4c7348a32137?s=256&d=identicon&r=PG&f=1', 'display_name': 'JCBA', 'link': 'https://stackoverflow.com/users/8799955/jcba'}",False,327,,2,3,1652024159,1570560092,58292293,CC BY-SA 4.0,https://stackoverflow.com/questions/58292293/dynamic-column-name-for-a-derived-column-oracle-sql,Dynamic Column Name for a Derived Column - ORACLE SQL,,,,
42,"['sql', 'google-bigquery']","{'account_id': 7315486, 'reputation': 7314, 'user_id': 5573294, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/f7wtO.jpg?s=256&g=1', 'display_name': 'Canovice', 'link': 'https://stackoverflow.com/users/5573294/canovice'}",True,697,58598861.0,2,3,1651917374,1572299317,58598835,CC BY-SA 4.0,https://stackoverflow.com/questions/58598835/bigquery-sort-a-concat-of-multiple-string-columns-in-select,BigQuery sort a CONCAT of multiple string columns in SELECT,1651917374.0,,,
