,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,bounty_amount,bounty_closes_date,closed_date,closed_reason,migrated_from
0,"['python', 'abstract-class', 'type-hinting', 'abc']","{'account_id': 4065088, 'reputation': 760, 'user_id': 3340344, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3894f29c1e65ddba004d740428633449?s=256&d=identicon&r=PG&f=1', 'display_name': 'dbokers', 'link': 'https://stackoverflow.com/users/3340344/dbokers'}",True,3285,58986197.0,2,14,1669202224,1574384830,1574398257.0,58986031,CC BY-SA 4.0,https://stackoverflow.com/questions/58986031/type-hinting-child-class-returning-self,Type-Hinting Child class returning self,,,,,,
1,"['python', 'string', 'list', 'duplicates', 'detection']","{'account_id': 17026898, 'reputation': 11, 'user_id': 12317878, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c41c2b083880c823eb854a9861ee64a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Paywolf', 'link': 'https://stackoverflow.com/users/12317878/paywolf'}",False,1388,,3,0,1669158433,1572829933,,58686081,CC BY-SA 4.0,https://stackoverflow.com/questions/58686081/how-would-i-detect-duplicate-elements-of-a-string-from-another-string-in-python,How would I detect duplicate elements of a string from another string in python?,,,,,,
2,"['python', 'android', 'kivy', 'bundle']","{'user_type': 'does_not_exist', 'display_name': 'user11019818'}",True,1020,,1,4,1669158326,1572996588,1669158326.0,58720980,CC BY-SA 4.0,https://stackoverflow.com/questions/58720980/apk-how-to-use-android-bundle-for-fix-googleplay-error,APK How to use Android Bundle for fix GooglePlay Error,,,,,,
3,"['python', 'python-3.x', 'loops', 'while-loop']","{'account_id': 17056477, 'reputation': 13, 'user_id': 12340876, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/893f804d2f86d3d2330604917c30ba62?s=256&d=identicon&r=PG&f=1', 'display_name': 'ZZnN', 'link': 'https://stackoverflow.com/users/12340876/zznn'}",True,65,58759819.0,3,0,1669158300,1573179385,1573179577.0,58759475,CC BY-SA 4.0,https://stackoverflow.com/questions/58759475/this-while-loop-wont-run,This while loop wont run?,,,,,,
4,"['python', 'selenium', 'selenium-webdriver']","{'account_id': 15431010, 'reputation': 11, 'user_id': 11132456, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc14d3ac24061addd5c05fde9dce2fa2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Real Haque', 'link': 'https://stackoverflow.com/users/11132456/real-haque'}",True,492,,3,-2,1669142552,1574533427,1668367524.0,59010815,CC BY-SA 4.0,https://stackoverflow.com/questions/59010815/how-do-i-find-an-element-by-its-id-in-selenium,How do I find an element by its id in Selenium?,,,,,,
5,"['python', 'django', 'apache', 'cpanel', 'shared-hosting']","{'account_id': 16072670, 'reputation': 21, 'user_id': 11600710, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ZryL7GJbNgM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdW1U0LoBjovtljDMtI8Lpvm8pD4g/mo/photo.jpg?sz=256', 'display_name': 'Jonathan Ting', 'link': 'https://stackoverflow.com/users/11600710/jonathan-ting'}",False,518,,0,2,1669111208,1574548250,1574559584.0,59012885,CC BY-SA 4.0,https://stackoverflow.com/questions/59012885/getting-invalid-command-passengerapproot-error-when-trying-to-install-django-o,Getting Invalid command &#39;PassengerAppRoot&#39; error when trying to install Django on GoDaddy w/ cPanel,,,,,,
6,"['python', 'numpy', 'matplotlib', 'scipy', 'fft']","{'account_id': 16904589, 'reputation': 45, 'user_id': 12225153, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2812832345408156/picture?type=large', 'display_name': 'Nguyễn Anh Duy', 'link': 'https://stackoverflow.com/users/12225153/nguy%e1%bb%85n-anh-duy'}",True,537,58983900.0,1,4,1669041870,1574346846,1574352810.0,58977386,CC BY-SA 4.0,https://stackoverflow.com/questions/58977386/why-is-the-result-in-fft-code-without-using-scipy-not-similar-to-scipy-fft,Why is the result in FFT code without using Scipy not similar to Scipy FFT?,,,,,,
7,"['python', 'anaconda', 'python-import', 'pyautogui']","{'account_id': 17073981, 'reputation': 33, 'user_id': 12354011, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-t6G_usN0mMs/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcTdD9q4tybTUIvr_6bj1aOa3z5mw/photo.jpg?sz=256', 'display_name': 'Kevin Shum', 'link': 'https://stackoverflow.com/users/12354011/kevin-shum'}",True,17636,,9,3,1669038921,1573877438,,58887481,CC BY-SA 4.0,https://stackoverflow.com/questions/58887481/pyautogui-not-importing-no-module-named-pyautogui,Pyautogui not importing &quot;No module named &#39;pyautogui&#39; &quot;,1647403432.0,,,,,
8,['python'],"{'account_id': 1049506, 'reputation': 3243, 'user_id': 1960266, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://i.stack.imgur.com/5iP9l.jpg?s=256&g=1', 'display_name': 'Little', 'link': 'https://stackoverflow.com/users/1960266/little'}",False,56,,0,1,1668981641,1572711829,1668981641.0,58672975,CC BY-SA 4.0,https://stackoverflow.com/questions/58672975/understanding-list-slicing-and-manipulation,Understanding list slicing and manipulation,,,,,,
9,"['python', 'integer', 'range']","{'account_id': 17070304, 'reputation': 53, 'user_id': 12351280, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/83200238ac0ae1657fe66bbab1750a38?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alireza1999', 'link': 'https://stackoverflow.com/users/12351280/alireza1999'}",True,1929,58791152.0,2,0,1668957165,1573405779,1573409016.0,58791012,CC BY-SA 4.0,https://stackoverflow.com/questions/58791012/how-do-i-implement-a-range-function-in-this-program,How do I implement a range function in this program?,,,,,,
10,['python'],"{'account_id': 12415161, 'reputation': 37, 'user_id': 9045140, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/21b2a61fdb43e6200ca7c09a0b660c1f?s=256&d=identicon&r=PG&f=1', 'display_name': 'michael', 'link': 'https://stackoverflow.com/users/9045140/michael'}",True,273,,4,0,1668937786,1573753385,1573921721.0,58862837,CC BY-SA 4.0,https://stackoverflow.com/questions/58862837/function-to-find-the-index-of-the-beginning-and-end-of-the-longest-run-in-a-list,Function to find the index of the beginning and end of the longest run in a list,,,,,,
