,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,migrated_from,closed_date,closed_reason,bounty_amount,bounty_closes_date,protected_date
0,"['python', 'jsonpath', 'jsonpath-ng']","{'account_id': 15902921, 'reputation': 350, 'user_id': 11474852, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xOKq0.jpg?s=256&g=1', 'display_name': 'Kai Roesner', 'link': 'https://stackoverflow.com/users/11474852/kai-roesner'}",False,310,2,0,1669195202,1647448326,1647524475.0,71500862,CC BY-SA 4.0,https://stackoverflow.com/questions/71500862/how-to-remove-a-node-from-a-dict-using-jsonpath-ng,How to remove a node from a dict using jsonpath-ng?,,,,,,,
1,"['python', 'scipy']","{'account_id': 24124180, 'reputation': 179, 'user_id': 18092798, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XZ42f.jpg?s=256&g=1', 'display_name': 'yippingAppa', 'link': 'https://stackoverflow.com/users/18092798/yippingappa'}",True,470,2,1,1669192576,1647449400,,71501140,CC BY-SA 4.0,https://stackoverflow.com/questions/71501140/type-hinting-for-scipy-sparse-matrices,Type hinting for scipy sparse matrices,71501478.0,,,,,,
2,"['python', 'pandas']","{'account_id': 3458119, 'reputation': 3025, 'user_id': 2896120, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user2896120', 'link': 'https://stackoverflow.com/users/2896120/user2896120'}",True,33,2,1,1669183678,1648012957,1648013044.0,71582184,CC BY-SA 4.0,https://stackoverflow.com/questions/71582184/pivoting-column-while-retaining-all-other-columns,Pivoting column while retaining all other columns,71582326.0,,,,,,
3,"['python', 'macos', 'gcc', 'clang']","{'account_id': 24631906, 'reputation': 51, 'user_id': 18531027, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f9f49d08226f137bfff281b0a5960a3?s=256&d=identicon&r=PG', 'display_name': 'Edward', 'link': 'https://stackoverflow.com/users/18531027/edward'}",False,1806,1,1,1669179918,1648615953,1669179918.0,71671666,CC BY-SA 4.0,https://stackoverflow.com/questions/71671666/error-command-usr-bin-clang-failed-with-exit-code-1,error: command &#39;/usr/bin/clang&#39; failed with exit code 1,,,,,,,
4,"['python', 'nlp', 'spacy']","{'account_id': 22499369, 'reputation': 377, 'user_id': 16695893, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/A1yqg.png?s=256&g=1', 'display_name': 'Aravind R', 'link': 'https://stackoverflow.com/users/16695893/aravind-r'}",True,7852,3,1,1669165402,1647520185,,71512301,CC BY-SA 4.0,https://stackoverflow.com/questions/71512301/error-could-not-build-wheels-for-spacy-which-is-required-to-install-pyproject,"ERROR: Could not build wheels for spacy, which is required to install pyproject.toml-based projects",71513781.0,,,,,,
5,"['python', 'sql', 'sqlalchemy', 'pydantic']","{'account_id': 18095653, 'reputation': 159, 'user_id': 13153985, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiE7zCzuQUjv7YhgODyHl4DQ_KDE6XzztfkeqXY=k-s256', 'display_name': 'user3105', 'link': 'https://stackoverflow.com/users/13153985/user3105'}",True,9965,1,14,1669156127,1647945516,1663846962.0,71570607,CC BY-SA 4.0,https://stackoverflow.com/questions/71570607/sqlalchemy-models-vs-pydantic-models,SQLAlchemy models vs Pydantic models,,,,,,,
6,"['python', 'overriding', 'overloading']","{'account_id': 20559271, 'reputation': 33, 'user_id': 15090122, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JP9Ja.png?s=256&g=1', 'display_name': 'Eby', 'link': 'https://stackoverflow.com/users/15090122/eby'}",False,105,1,0,1669153605,1646254875,1646255594.0,71329090,CC BY-SA 4.0,https://stackoverflow.com/questions/71329090/how-to-override-methods-decorated-overload,How to override methods decorated @overload?,,,,,,,
7,"['python', 'forecasting']","{'account_id': 24741966, 'reputation': 31, 'user_id': 18628609, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5de5880093e4deccfc36c902ed51493?s=256&d=identicon&r=PG&f=1', 'display_name': 'bhagya laxmi sanapala', 'link': 'https://stackoverflow.com/users/18628609/bhagya-laxmi-sanapala'}",False,708,1,3,1669132558,1648621626,,71672448,CC BY-SA 4.0,https://stackoverflow.com/questions/71672448/typeerror-init-got-an-unexpected-keyword-argument-model-list,TypeError: __init__() got an unexpected keyword argument &#39;model_list&#39;,,,,,,,
8,"['python', 'django', 'nginx', 'bad-gateway']","{'account_id': 19290207, 'reputation': 31, 'user_id': 14100404, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/77VrL.jpg?s=256&g=1', 'display_name': 'Enmanuel V', 'link': 'https://stackoverflow.com/users/14100404/enmanuel-v'}",False,605,1,0,1669130980,1648155244,,71609299,CC BY-SA 4.0,https://stackoverflow.com/questions/71609299/502-bad-gateway-nginx-1-18-0-ubuntu-django-digital-ocean,502 Bad Gateway nginx/1.18.0 (Ubuntu) Django Digital ocean,,,,,,,
9,"['python', 'selenium', 'selenium-webdriver', 'web-scraping', 'selenium-chromedriver']","{'account_id': 20245054, 'reputation': 73, 'user_id': 14847779, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiSH1GcBDPbXT_TQeNvmCT9nSmyreIBIyX9zJ4vGd8=k-s256', 'display_name': 'Cordell Jones', 'link': 'https://stackoverflow.com/users/14847779/cordell-jones'}",True,5197,2,2,1669129722,1647348438,1647354928.0,71482512,CC BY-SA 4.0,https://stackoverflow.com/questions/71482512/selenium-executable-path-has-been-deprecated,Selenium executable_path has been deprecated,71482730.0,,,,,,
