,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date,migrated_from
0,"['python', 'line']","{'account_id': 1639824, 'reputation': 2955, 'user_id': 1512491, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/8a81f39803f8820b45012550b549a595?s=256&d=identicon&r=PG', 'display_name': 'H.Choi', 'link': 'https://stackoverflow.com/users/1512491/h-choi'}",True,135809,11969474.0,10,30,1669303690,1345032534,1669303690.0,11968998,CC BY-SA 4.0,https://stackoverflow.com/questions/11968998/read-lines-from-one-file-and-write-to-another-file-but-remove-lines-that-contain,Read lines from one file and write to another file but remove lines that contain certain string,,,,,
1,"['python', 'python-3.x', 'function', 'decorator', 'python-decorators']","{'account_id': 313055, 'reputation': 22588, 'user_id': 627492, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/a65ecbb7d583a75511cff7d78dd7d6e7?s=256&d=identicon&r=PG', 'display_name': 'Duke Dougal', 'link': 'https://stackoverflow.com/users/627492/duke-dougal'}",True,18694,12046984.0,7,42,1669293208,1345507856,1668281145.0,12046883,,https://stackoverflow.com/questions/12046883/what-is-decorator-with-above-a-function-in-python,What is decorator with &quot;@&quot; above a function in Python?,1668281697.0,Duplicate,,,
2,"['python', 'list', 'dictionary', 'loops']","{'account_id': 1662271, 'reputation': 23867, 'user_id': 1530318, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/e70e6be62476342a1003e33d97ea1be4?s=256&d=identicon&r=PG', 'display_name': 'user1530318', 'link': 'https://stackoverflow.com/users/1530318/user1530318'}",True,446205,11941855.0,13,458,1669210780,1344889807,1660204643.0,11941817,CC BY-SA 4.0,https://stackoverflow.com/questions/11941817/how-to-avoid-runtimeerror-dictionary-changed-size-during-iteration-error,How to avoid &quot;RuntimeError: dictionary changed size during iteration&quot; error?,,,1575741228.0,,
3,"['python', 'email', 'smtplib']","{'account_id': 1622944, 'reputation': 10063, 'user_id': 1515864, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/j4msy.jpg?s=256&g=1', 'display_name': 'Stupid.Fat.Cat', 'link': 'https://stackoverflow.com/users/1515864/stupid-fat-cat'}",True,10122,11797380.0,3,13,1668938450,1344000336,1344003141.0,11796664,CC BY-SA 3.0,https://stackoverflow.com/questions/11796664/smtplib-sends-blank-message-if-the-message-contain-certain-characters,smtplib sends blank message if the message contain certain characters,,,,,
4,"['python', 'django']","{'account_id': 1721013, 'reputation': 683, 'user_id': 1576866, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc73f44a92e21b3bb15179db44924c43?s=256&d=identicon&r=PG', 'display_name': 'user1576866', 'link': 'https://stackoverflow.com/users/1576866/user1576866'}",True,73240,11814271.0,9,68,1668764030,1344142301,1577464916.0,11814059,CC BY-SA 4.0,https://stackoverflow.com/questions/11814059/site-matching-query-does-not-exist,Site matching query does not exist,,,,,
5,"['python', 'string', 'list']","{'account_id': 559133, 'reputation': 4581, 'user_id': 921486, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/f98dc33c1751a29f0a0916e1417e6c68?s=256&d=identicon&r=PG', 'display_name': 'kadrian', 'link': 'https://stackoverflow.com/users/921486/kadrian'}",True,114407,12007707.0,9,164,1668636606,1345213614,1615506575.0,12007686,CC BY-SA 4.0,https://stackoverflow.com/questions/12007686/join-a-list-of-strings-in-python-and-wrap-each-string-in-quotation-marks,Join a list of strings in python and wrap each string in quotation marks,,,,,
6,['python'],"{'account_id': 247912, 'reputation': 3186, 'user_id': 522962, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c77cd63cb8f567c1ffefca8e78f2c605?s=256&d=identicon&r=PG&f=1', 'display_name': 'user_78361084', 'link': 'https://stackoverflow.com/users/522962/user-78361084'}",True,18555,11873761.0,5,9,1668587319,1344462587,1344479709.0,11873714,CC BY-SA 3.0,https://stackoverflow.com/questions/11873714/how-do-i-get-new-york-city-time,How do I get New York City time?,,,,,
7,['python'],"{'account_id': 1726959, 'reputation': 161, 'user_id': 1581407, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/1dbf25b75904e3f0f7535869ceddb67b?s=256&d=identicon&r=PG', 'display_name': 'rocksland', 'link': 'https://stackoverflow.com/users/1581407/rocksland'}",True,35773,,4,5,1668428662,1344603007,1344669581.0,11902022,CC BY-SA 3.0,https://stackoverflow.com/questions/11902022/how-to-remove-special-characters-from-txt-files-using-python,How to remove special characters from txt files using Python,,,,,
8,"['python', 'matplotlib', 'axis-labels']","{'account_id': 1226135, 'reputation': 3660, 'user_id': 1191626, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/718457c17c8aa009f7bb455a5dcac6ce?s=256&d=identicon&r=PG', 'display_name': 'Jay Gattuso', 'link': 'https://stackoverflow.com/users/1191626/jay-gattuso'}",True,148654,12051323.0,3,121,1668347695,1345535310,1665255842.0,12050393,CC BY-SA 4.0,https://stackoverflow.com/questions/12050393/how-to-force-the-y-axis-to-only-use-integers,How to force the Y axis to only use integers,,,,,
9,"['python', 'version', 'string-comparison']","{'account_id': 108981, 'reputation': 16465, 'user_id': 289011, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/7fabc4413849953957908f8690c2c24c?s=256&d=identicon&r=PG', 'display_name': 'BorrajaX', 'link': 'https://stackoverflow.com/users/289011/borrajax'}",True,194497,11887885.0,15,386,1668165130,1344529370,1519837329.0,11887762,CC BY-SA 3.0,https://stackoverflow.com/questions/11887762/how-do-i-compare-version-numbers-in-python,How do I compare version numbers in Python?,,,,,
