,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,locked_date,community_owned_date
0,"['python', 'csv']","{'account_id': 71300, 'reputation': 6669, 'user_id': 206330, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/4f087e8c00195233207b03479a663f5a?s=256&d=identicon&r=PG', 'display_name': 'ihorko', 'link': 'https://stackoverflow.com/users/206330/ihorko'}",True,124892,11033891.0,4,38,1669481017,1339678807,1584798095.0,11033590,CC BY-SA 4.0,https://stackoverflow.com/questions/11033590/change-specific-value-in-csv-file-via-python,Change specific value in CSV file via Python,,,,,,
1,"['python', 'numpy', 'cartesian-product']","{'account_id': 18636, 'reputation': 11539, 'user_id': 42897, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/oDPxy.png?s=256&g=1', 'display_name': 'Rich', 'link': 'https://stackoverflow.com/users/42897/rich'}",True,102361,11144716.0,17,197,1669426921,1340303419,1562782605.0,11144513,CC BY-SA 4.0,https://stackoverflow.com/questions/11144513/cartesian-product-of-x-and-y-array-points-into-single-array-of-2d-points,Cartesian product of x and y array points into single array of 2D points,1522375949.0,,,,,
2,"['python', 'list']","{'account_id': 1595986, 'reputation': 2914, 'user_id': 1478098, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/GzF6H.jpg?s=256&g=1', 'display_name': 'Isuru', 'link': 'https://stackoverflow.com/users/1478098/isuru'}",True,690232,11178075.0,15,229,1669381351,1340546368,1475925960.0,11178061,CC BY-SA 3.0,https://stackoverflow.com/questions/11178061/print-list-without-brackets-in-a-single-row,Print list without brackets in a single row,1503818143.0,,,,,
3,"['python', 'git']","{'account_id': 293559, 'reputation': 1431, 'user_id': 596922, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/abb57161c0cb995a777ca6aa9429372f?s=256&d=identicon&r=PG', 'display_name': 'user596922', 'link': 'https://stackoverflow.com/users/596922/user596922'}",True,50969,11114028.0,7,27,1669307609,1340173398,1470149318.0,11113896,CC BY-SA 3.0,https://stackoverflow.com/questions/11113896/use-git-commands-within-python-code,Use Git commands within Python code,,,,,,
4,"['python', 'logging', 'args']","{'account_id': 264774, 'reputation': 4366, 'user_id': 551283, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/1480671ee19f340f4d66f2b7d5736e5c?s=256&d=identicon&r=PG', 'display_name': 'Graeme', 'link': 'https://stackoverflow.com/users/551283/graeme'}",True,5933,11197102.0,2,3,1669241444,1340657031,1340657349.0,11197072,CC BY-SA 3.0,https://stackoverflow.com/questions/11197072/pass-args-to-string-format-in-python,Pass *args to string.format in Python?,,,,,,
5,['python'],"{'account_id': 103699, 'reputation': 43469, 'user_id': 277603, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/7a9cef13e8a7de2131328fa033d94a5a?s=256&d=identicon&r=PG', 'display_name': 'Rajeev', 'link': 'https://stackoverflow.com/users/277603/rajeev'}",True,57044,10851409.0,6,6,1669223511,1338557465,1338557871.0,10851246,CC BY-SA 3.0,https://stackoverflow.com/questions/10851246/python-comparing-two-matrices,python comparing two matrices,,,,,,
6,"['python', 'functional-programming']","{'account_id': 263210, 'reputation': 10732, 'user_id': 548634, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/XlKOm.jpg?s=256&g=1', 'display_name': 'John Eipe', 'link': 'https://stackoverflow.com/users/548634/john-eipe'}",True,6188,10981487.0,3,5,1669204736,1339421200,1523948327.0,10981037,CC BY-SA 3.0,https://stackoverflow.com/questions/10981037/functional-programming-for-and-while-loops,Functional programming — for and while loops,,,,,,
7,['python'],"{'account_id': 966339, 'reputation': 1809, 'user_id': 989715, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/RDYF0.png?s=256&g=1', 'display_name': 'fanti', 'link': 'https://stackoverflow.com/users/989715/fanti'}",True,63184,10941237.0,12,66,1669182019,1339111527,1470310932.0,10941229,CC BY-SA 3.0,https://stackoverflow.com/questions/10941229/convert-list-of-tuples-to-list,Convert list of tuples to list?,,,,,,
8,"['python', 'list']","{'account_id': 1032976, 'reputation': 4515, 'user_id': 1040915, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/5d4fad479f4b604d4acc731fdae68d9d?s=256&d=identicon&r=PG', 'display_name': 'scubbo', 'link': 'https://stackoverflow.com/users/1040915/scubbo'}",True,4033,11205638.0,5,24,1668983740,1340706112,1663231662.0,11205254,CC BY-SA 4.0,https://stackoverflow.com/questions/11205254/why-do-these-list-operations-methods-clear-extend-reverse-append-sort,"Why do these list operations (methods: clear / extend / reverse / append / sort / remove) return None, rather than the resulting list?",,,,,,
9,"['python', 'flask']","{'account_id': 23786, 'reputation': 3358, 'user_id': 59877, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/60ff0a45eb4b03c984ef5f7be8b50521?s=256&d=identicon&r=PG', 'display_name': 'Meroon', 'link': 'https://stackoverflow.com/users/59877/meroon'}",True,75835,11150849.0,10,95,1668828626,1340340508,,11150343,CC BY-SA 3.0,https://stackoverflow.com/questions/11150343/slow-requests-on-local-flask-server,Slow Requests on Local Flask Server,,,,,,
