,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,community_owned_date,migrated_from
0,"['python', 'printing', 'python-3.x']","{'account_id': 1888345, 'reputation': 79, 'user_id': 1707093, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/10dc2a7ed47786ebc2c853291d4b1f97?s=256&d=identicon&r=PG', 'display_name': 'user1707093', 'link': 'https://stackoverflow.com/users/1707093/user1707093'}",True,9332,5,4,1669542017,1348858188,1348858470.0,12645697,CC BY-SA 3.0,https://stackoverflow.com/questions/12645697/how-to-print-spaces-between-values-in-loop,How to print spaces between values in loop?,,,,,,
1,"['python', 'json']","{'account_id': 1662271, 'reputation': 23867, 'user_id': 1530318, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/e70e6be62476342a1003e33d97ea1be4?s=256&d=identicon&r=PG', 'display_name': 'user1530318', 'link': 'https://stackoverflow.com/users/1530318/user1530318'}",True,2271342,16,1583,1669369858,1346970081,1648619392.0,12309269,CC BY-SA 4.0,https://stackoverflow.com/questions/12309269/how-do-i-write-json-data-to-a-file,How do I write JSON data to a file?,1541530502.0,12309296.0,,,,
2,"['python', 'list']","{'account_id': 385847, 'reputation': 1163, 'user_id': 743248, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/aebf2028436c48a9bee498e5f0a8709e?s=256&d=identicon&r=PG', 'display_name': 'ogward', 'link': 'https://stackoverflow.com/users/743248/ogward'}",True,22810,4,11,1669294232,1348758812,1493117196.0,12624623,CC BY-SA 3.0,https://stackoverflow.com/questions/12624623/combine-two-lists-into-one-multidimensional-list,Combine two lists into one multidimensional list,,12624645.0,,,,
3,"['python', 'function', 'if-statement', 'syntax', 'break']","{'account_id': 1449913, 'reputation': 3408, 'user_id': 1367160, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/47ChJ.jpg?s=256&g=1', 'display_name': 'Brandon Nadeau', 'link': 'https://stackoverflow.com/users/1367160/brandon-nadeau'}",True,84200,5,58,1669153080,1347147568,1596855547.0,12335358,CC BY-SA 4.0,https://stackoverflow.com/questions/12335358/what-does-a-semicolon-do,What does a semicolon do?,,12335362.0,,,,
4,"['python', 'regex', 'string-matching']","{'account_id': 982797, 'reputation': 5654, 'user_id': 1635116, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/72eb92d9d3c0753bb8731d646971a452?s=256&d=identicon&r=PG', 'display_name': 'DanielTA', 'link': 'https://stackoverflow.com/users/1635116/danielta'}",True,818207,8,487,1669136426,1348637256,1470045766.0,12595051,CC BY-SA 3.0,https://stackoverflow.com/questions/12595051/check-if-string-matches-pattern,Check if string matches pattern,,12595082.0,,,,
5,"['python', 'pdf-generation', 'pisa', 'xhtml2pdf']","{'account_id': 126477, 'reputation': 2363, 'user_id': 323000, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/7d008dac8b041074fdf9dd6b71ddbfb8?s=256&d=identicon&r=PG', 'display_name': 'thavan', 'link': 'https://stackoverflow.com/users/323000/thavan'}",True,1185,2,1,1669115256,1348068761,1348069397.0,12497983,CC BY-SA 3.0,https://stackoverflow.com/questions/12497983/password-protect-pdf-files-created-using-pisa,password protect pdf files created using pisa,,12498243.0,,,,
6,"['python', 'string', 'list', 'concatenation']","{'account_id': 302279, 'reputation': 108982, 'user_id': 610569, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/0e9087f2672b0e4f28d91266acf9ce57?s=256&d=identicon&r=PG', 'display_name': 'alvas', 'link': 'https://stackoverflow.com/users/610569/alvas'}",True,1911763,11,1037,1669103478,1347859945,1662878829.0,12453580,CC BY-SA 4.0,https://stackoverflow.com/questions/12453580/how-to-concatenate-join-items-in-a-list-to-a-single-string,How to concatenate (join) items in a list to a single string,1642788702.0,12453584.0,,,,
7,['python'],"{'account_id': 1680610, 'reputation': 7877, 'user_id': 1544915, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/49d0682bc23bba509cddc75901860fd5?s=256&d=identicon&r=PG', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/1544915/max'}",True,72109,5,42,1668953635,1347591090,1668953635.0,12417498,CC BY-SA 4.0,https://stackoverflow.com/questions/12417498/how-to-release-used-memory-immediately-in-python-list,how to release used memory immediately in python list?,,12417671.0,,,,
8,"['python', 'android', 'audio', 'kivy']","{'account_id': 1808961, 'reputation': 367, 'user_id': 1645410, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/7ba1baf693035a1c12a7bdc62de51bbc?s=256&d=identicon&r=PG', 'display_name': 'Mat Fluor', 'link': 'https://stackoverflow.com/users/1645410/mat-fluor'}",True,767,1,0,1668684368,1347190059,1668684368.0,12338672,CC BY-SA 4.0,https://stackoverflow.com/questions/12338672/kivy-sound-starts-to-play-but-is-unstoppable-on-android-but-on-windows-it-w,"Kivy: Sound starts to play, but is &#39;unstoppable&#39; on Android, but on Windows it works",,12706449.0,,,,
9,"['python', 'json', 'simplejson']","{'account_id': 1409612, 'reputation': 1131, 'user_id': 1660343, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f74858ba4faaa902d55510ba6f26e910?s=256&d=identicon&r=PG', 'display_name': 'BrunoVillanova', 'link': 'https://stackoverflow.com/users/1660343/brunovillanova'}",True,535349,5,99,1668553019,1347285642,1547138737.0,12353288,CC BY-SA 4.0,https://stackoverflow.com/questions/12353288/getting-values-from-json-using-python,Getting values from JSON using Python,,12353363.0,,,,
10,"['python', 'html', 'selenium', 'selenium-webdriver']","{'account_id': 254579, 'reputation': 8648, 'user_id': 534086, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/b23b88d5029dd59c7929bb9e7ed3d246?s=256&d=identicon&r=PG', 'display_name': 'josh', 'link': 'https://stackoverflow.com/users/534086/josh'}",True,152696,5,55,1668487883,1347052281,1668479823.0,12325454,CC BY-SA 4.0,https://stackoverflow.com/questions/12325454/how-can-i-get-text-of-an-element-in-selenium-webdriver-without-including-child,"How can I get text of an element in Selenium WebDriver, without including child element text?",,19040341.0,,,,
11,"['python', 'pickle', 'scikit-learn']","{'account_id': 1611744, 'reputation': 1761, 'user_id': 1490464, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/BuRS4.jpg?s=256&g=1', 'display_name': 'msunbot', 'link': 'https://stackoverflow.com/users/1490464/msunbot'}",True,65747,4,127,1668463066,1348727985,1495535445.0,12615525,CC BY-SA 3.0,https://stackoverflow.com/questions/12615525/what-are-the-different-use-cases-of-joblib-versus-pickle,What are the different use cases of joblib versus pickle?,,12617603.0,,,,
12,"['python', 'selenium']","{'account_id': 1814934, 'reputation': 101, 'user_id': 1650234, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/266d8ad3613536d58d54a1234e291650?s=256&d=identicon&r=PG', 'display_name': 'adamjmagyar', 'link': 'https://stackoverflow.com/users/1650234/adamjmagyar'}",True,10752,6,7,1668102651,1346878822,1346884034.0,12289700,CC BY-SA 3.0,https://stackoverflow.com/questions/12289700/passing-variables-through-selenium-send-keys-instead-of-strings,Passing variables through Selenium send.keys instead of strings,,,,,,
13,"['python', 'mysql', 'mysql-python']","{'account_id': 929093, 'reputation': 16018, 'user_id': 959306, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/MJSQv.png?s=256&g=1', 'display_name': 'jeffery_the_wind', 'link': 'https://stackoverflow.com/users/959306/jeffery-the-wind'}",True,22105,4,22,1667982971,1349015439,,12661999,CC BY-SA 3.0,https://stackoverflow.com/questions/12661999/get-raw-decimal-value-from-mysqldb-query,get raw decimal value from mysqldb query,,12662016.0,,,,
14,"['python', 'datetime', 'timedelta']","{'account_id': 42834, 'reputation': 45494, 'user_id': 124946, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/5048ffde7ab92aeeedf45959f6d13c24?s=256&d=identicon&r=PG', 'display_name': 'Denilson S&#225; Maia', 'link': 'https://stackoverflow.com/users/124946/denilson-s%c3%a1-maia'}",True,122706,4,128,1667807348,1347665351,,12433233,CC BY-SA 3.0,https://stackoverflow.com/questions/12433233/what-is-the-difference-between-datetime-timedelta-and-dateutil-relativedelta,What is the difference between &quot;datetime.timedelta&quot; and &quot;dateutil.relativedelta.relativedelta&quot; when working only with days?,,12433328.0,,,,
15,"['python', 'flask']","{'account_id': 1113868, 'reputation': 4168, 'user_id': 1103734, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/87a5e4ab78c197e14ca8cbe22e84b53c?s=256&d=identicon&r=PG', 'display_name': 'ollien', 'link': 'https://stackoverflow.com/users/1103734/ollien'}",True,52214,6,41,1667801165,1346659426,,12244057,CC BY-SA 3.0,https://stackoverflow.com/questions/12244057/any-way-to-add-a-new-line-from-a-string-with-the-n-character-in-flask,Any way to add a new line from a string with the &#39;\n&#39; character in flask?,,12244091.0,,,,
