,tags,owner,is_answered,view_count,bounty_amount,bounty_closes_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['python', 'function', 'exception', 'scope', 'pycharm']","{'account_id': 18285984, 'reputation': 685, 'user_id': 13313873, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6aa6b50fa640d12712242fe7ea1f60c7?s=256&d=identicon&r=PG&f=1', 'display_name': 'noob overflow', 'link': 'https://stackoverflow.com/users/13313873/noob-overflow'}",False,920,50.0,1669404898.0,2,-1,1669129405,1636059126,1668800185.0,69845686,CC BY-SA 4.0,https://stackoverflow.com/questions/69845686/local-variable-result-might-be-referenced-before-assignment,Local variable &#39;result&#39; might be referenced before assignment,,,,,
1,"['python', 'tkinter', 'subprocess', 'cpu', 'affinity']","{'account_id': 18697933, 'reputation': 31, 'user_id': 13630796, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e0a0b29cd0f090aad1d8e7ca19103a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'PEJ', 'link': 'https://stackoverflow.com/users/13630796/pej'}",False,725,,,1,3,1669123703,1636284690,,69872036,CC BY-SA 4.0,https://stackoverflow.com/questions/69872036/how-to-assign-cpu-affinity-for-python-3-subprocess,How to assign cpu affinity for Python 3 subprocess?,,,,,
2,"['python', 'python-3.x', 'amazon-web-services', 'apache-spark', 'amazon-s3']","{'account_id': 13789376, 'reputation': 141, 'user_id': 11407227, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/109ff1619f8eb798caa9e36137cf83d9?s=256&d=identicon&r=PG&f=1', 'display_name': 'user0454457', 'link': 'https://stackoverflow.com/users/11407227/user0454457'}",True,10987,,,2,14,1669097508,1637089832,1669097508.0,69994834,CC BY-SA 4.0,https://stackoverflow.com/questions/69994834/attributeerror-aioclientcreator-object-has-no-attribute-register-lazy-block,attributeerror: &#39;AioClientCreator&#39; object has no attribute &#39;_register_lazy_block_unknown_fips_pseudo_regions&#39;,,,,,
3,['python'],"{'account_id': 21607841, 'reputation': 57, 'user_id': 15934960, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwUrALUakPnbJY9-l246qXcOMa_3J9qYuDB5R1E=k-s256', 'display_name': 'Alex L', 'link': 'https://stackoverflow.com/users/15934960/alex-l'}",False,46,,,2,0,1669060036,1638175728,,70151897,CC BY-SA 4.0,https://stackoverflow.com/questions/70151897/errors-installing-pygraphviz-on-mac-os-11-6,Errors installing pygraphviz on mac os 11.6,,,,,
4,"['python', 'django', 'amazon-ec2', 'ubuntu-18.04', 'weasyprint']","{'account_id': 23134396, 'reputation': 109, 'user_id': 17238813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/731c6bd1083821ff5e90fb1eaee8464a?s=256&d=identicon&r=PG', 'display_name': 'Kyle', 'link': 'https://stackoverflow.com/users/17238813/kyle'}",True,941,,,2,4,1669052210,1637305907,,70031075,CC BY-SA 4.0,https://stackoverflow.com/questions/70031075/ctypes-util-find-library-did-not-manage-to-locate-a-library-called-pango-1-0,ctypes.util.find_library() did not manage to locate a library called &#39;pango-1.0-0&#39; UBUNTU SERVER (EC2),,,,,
5,"['python', 'mongodb', 'elasticsearch', 'replication', 'mongo-connector']","{'account_id': 12256329, 'reputation': 11, 'user_id': 8945261, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/55e08c43741315b05d3bb302153eee80?s=256&d=identicon&r=PG&f=1', 'display_name': 'BASAVARAJU', 'link': 'https://stackoverflow.com/users/8945261/basavaraju'}",False,110,,,0,1,1669046174,1638183691,1669046174.0,70153549,CC BY-SA 4.0,https://stackoverflow.com/questions/70153549/sync-mongo-collections-to-elastic-search-using-mongo-connector,sync mongo collections to elastic search using mongo-connector,,,,,
6,"['python', 'azure', 'azure-web-app-service']","{'account_id': 4075630, 'reputation': 171, 'user_id': 3347391, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Grumpybeard', 'link': 'https://stackoverflow.com/users/3347391/grumpybeard'}",False,459,,,2,0,1669022047,1638225436,,70162168,CC BY-SA 4.0,https://stackoverflow.com/questions/70162168/azure-app-service-with-aad-identity-provider-python-streamlit-framework-for,Azure App Service with AAD identity provider - Python &amp; Streamlit framework for app - get logged in user,,,,,
7,"['python', 'pip', 'pycharm', 'pyserial']","{'account_id': 21762239, 'reputation': 9, 'user_id': 16066656, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh4MXKAih_H7tRDyb0zaN4_9RjOmgXKvb3ZWjmS=k-s256', 'display_name': 'Dreac Leoson', 'link': 'https://stackoverflow.com/users/16066656/dreac-leoson'}",False,1457,,,3,-1,1668954450,1635991989,,69833807,CC BY-SA 4.0,https://stackoverflow.com/questions/69833807/pycharm-import-serial-is-not-working-but-i-already-did-pip3-install-pyserial,Pycharm: import Serial is NOT working but i already did &quot;pip3 install pyserial&quot;,,,,,
8,"['python', 'raster', 'gdal', 'shapefile', 'clip']","{'account_id': 23070792, 'reputation': 1, 'user_id': 17392560, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwsVOodkjtusj1wYioLgbWMC1vJO3bqAklXRxNT=k-s256', 'display_name': 'Utkarsh Karn', 'link': 'https://stackoverflow.com/users/17392560/utkarsh-karn'}",True,2257,,,1,0,1668874032,1636696369,1636697119.0,69938501,CC BY-SA 4.0,https://stackoverflow.com/questions/69938501/clipping-raster-through-a-shapefile-using-python,Clipping Raster through a shapefile using Python,,,,,
9,"['python', 'python-3.x', 'class', 'instance', 'class-variables']","{'account_id': 23250268, 'reputation': 43, 'user_id': 17338178, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6efb1b896b11ff13fbea1fc8e2d0992c?s=256&d=identicon&r=PG', 'display_name': 'azertqwert', 'link': 'https://stackoverflow.com/users/17338178/azertqwert'}",True,538,,,3,4,1668870058,1636132193,1668865887.0,69856889,CC BY-SA 4.0,https://stackoverflow.com/questions/69856889/why-isnt-my-class-variable-changed-for-all-instances-in-python,Why isn&#39;t my class variable changed for all instances in Python?,69856917.0,,,,
