,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,bounty_amount,bounty_closes_date,protected_date,migrated_from
0,"['python', 'django', 'django-views', 'django-forms', 'django-request']","{'account_id': 26778085, 'reputation': 9, 'user_id': 20373395, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2ACS7Dz81DHohpfPcPsWpyL_53yLHz8Uvq1BIK0w=k-s256', 'display_name': 'Saba khalid', 'link': 'https://stackoverflow.com/users/20373395/saba-khalid'}",True,74,1667202370.0,74255378.0,1,0,1669552204,1667151655,1669552204.0,74255338,https://stackoverflow.com/questions/74255338/someone-help-me-in-this-error-typeerror-at-contact-method-object-is-not-subsc,Not suitable for this site,Someone help me in this error TypeError at /contact &#39;method&#39; object is not subscriptable,,,,,
1,"['python', 'django', 'django-models', 'django-views', 'django-forms']","{'account_id': 18391877, 'reputation': 49, 'user_id': 13397363, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DqzKP.jpg?s=256&g=1', 'display_name': 'Olasubomi', 'link': 'https://stackoverflow.com/users/13397363/olasubomi'}",True,42,,74022410.0,1,1,1669552075,1665452512,1669552075.0,74022129,https://stackoverflow.com/questions/74022129/how-do-i-pre-populate-django-modelform-fields,,How do I pre-populate Django ModelForm fields?,CC BY-SA 4.0,,,,
2,"['python', 'pandas', 'scipy', 'bayesian', 'statistical-test']","{'account_id': 4214747, 'reputation': 9325, 'user_id': 3451339, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/HPuzK.png?s=256&g=1', 'display_name': '8-Bit Borges', 'link': 'https://stackoverflow.com/users/3451339/8-bit-borges'}",False,85,,,1,1,1669551239,1665715757,1669551212.0,74063811,https://stackoverflow.com/questions/74063811/scipy-adjust-national-team-means-based-on-sample-size,,Scipy - adjust National Team means based on sample size,CC BY-SA 4.0,,,,
3,"['python', 'django', 'django-views', 'django-forms']","{'account_id': 18391877, 'reputation': 49, 'user_id': 13397363, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DqzKP.jpg?s=256&g=1', 'display_name': 'Olasubomi', 'link': 'https://stackoverflow.com/users/13397363/olasubomi'}",True,33,,74189070.0,1,1,1669550468,1666616728,1669550468.0,74181534,https://stackoverflow.com/questions/74181534/check-if-user-exist-and-password-is-not-correct-django,,Check if user exist and password is not correct django,CC BY-SA 4.0,,,,
4,"['python', 'django', 'django-forms']","{'account_id': 18391877, 'reputation': 49, 'user_id': 13397363, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DqzKP.jpg?s=256&g=1', 'display_name': 'Olasubomi', 'link': 'https://stackoverflow.com/users/13397363/olasubomi'}",True,42,,74050355.0,1,0,1669550416,1665627518,1669550416.0,74049823,https://stackoverflow.com/questions/74049823/how-to-make-django-form-errors-display-only-error-and-not-input-field-affected,,How to make django form.errors display only error and not input field affected,CC BY-SA 4.0,,,,
5,"['python', 'python-3.x', 'python-requests', 'try-except']","{'account_id': 8056214, 'reputation': 101, 'user_id': 8193992, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/524c7ea1ed52be425f1678824341643e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tilman', 'link': 'https://stackoverflow.com/users/8193992/tilman'}",True,101,,74589736.0,1,2,1669549531,1667139662,1667386582.0,74253820,https://stackoverflow.com/questions/74253820/cannot-catch-requests-exceptions-connectionerror-with-try-except,,Cannot catch requests.exceptions.ConnectionError with try except,CC BY-SA 4.0,,,,
6,"['python', 'web-scraping']","{'account_id': 18558009, 'reputation': 207, 'user_id': 14889151, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c91822b1ef715990e2e945225fecb9f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'XYZ', 'link': 'https://stackoverflow.com/users/14889151/xyz'}",True,176,,74199234.0,2,0,1669547764,1666473434,1669046430.0,74167156,https://stackoverflow.com/questions/74167156/how-to-fetch-information-from-web-page-chain-wisesolving-captcha,,How to fetch information from web page chain wise(solving captcha)?,CC BY-SA 4.0,,,,
7,"['python', 'aws-lambda', 'python-requests-html']","{'account_id': 4506405, 'reputation': 176, 'user_id': 3663616, 'user_type': 'registered', 'accept_rate': 31, 'profile_image': 'https://www.gravatar.com/avatar/7bbf15dd36dca1151c627cf254aa49cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'qangdev', 'link': 'https://stackoverflow.com/users/3663616/qangdev'}",False,27,,,1,0,1669547065,1665389006,,74011801,https://stackoverflow.com/questions/74011801/requests-html-render-async-not-working-on-aws-lambda-read-only-file-system,,requests_html render (async) not working on AWS Lambda Read-only file system,CC BY-SA 4.0,,,,
8,"['python', 'pandas', 'dataframe']","{'account_id': 10173796, 'reputation': 484, 'user_id': 12560046, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hqEiZ.jpg?s=256&g=1', 'display_name': 'Abdelhamed Abdin', 'link': 'https://stackoverflow.com/users/12560046/abdelhamed-abdin'}",True,40,,74165213.0,2,0,1669546072,1666443542,1669546072.0,74163768,https://stackoverflow.com/questions/74163768/how-to-create-multiple-columns-in-pandas-dataframe,,How to create multiple columns in Pandas Dataframe?,CC BY-SA 4.0,,,,
9,"['python', 'python-3.x', 'selenium', 'selenium-webdriver', 'proxy']","{'account_id': 21851145, 'reputation': 1, 'user_id': 16143205, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/accO6.png?s=256&g=1', 'display_name': 'SonicallGameX', 'link': 'https://stackoverflow.com/users/16143205/sonicallgamex'}",True,32,,74588919.0,1,0,1669541832,1666782435,,74206758,https://stackoverflow.com/questions/74206758/i-added-a-proxy-to-selenium-and-now-the-page-wont-open-python,,I added a proxy to Selenium and now the page won&#39;t open [Python],CC BY-SA 4.0,,,,
10,"['python', 'python-3.x', 'pygame', 'pygame-clock']","{'account_id': 26619304, 'reputation': 13, 'user_id': 20238256, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc288a99d8111d804a441c989ce780b7?s=256&d=identicon&r=PG', 'display_name': 'kn2798', 'link': 'https://stackoverflow.com/users/20238256/kn2798'}",False,51,1669538344.0,,0,0,1669538393,1666946153,1667729247.0,74232643,https://stackoverflow.com/questions/74232643/pygame-cant-close-events,Duplicate,PYGAME: cant close events,,,,,
