,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,protected_date
0,"['python', 'reactjs', 'pyodide']","{'account_id': 1585590, 'reputation': 561, 'user_id': 1470034, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/d9174a06e622e192ef29947539e94ac5?s=256&d=identicon&r=PG', 'display_name': 'user1470034', 'link': 'https://stackoverflow.com/users/1470034/user1470034'}",False,166,0,0,1669706296,1660965448,1661302665.0,73423852,CC BY-SA 4.0,https://stackoverflow.com/questions/73423852/python-in-react-application-using-pyodide-unknown-type-on-runpython,Python in React application using Pyodide Unknown Type on RunPython,,,,
1,"['python', 'package']","{'account_id': 16512020, 'reputation': 854, 'user_id': 11930479, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bde613d45d62b786dbf93dd056de92f3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lilly', 'link': 'https://stackoverflow.com/users/11930479/lilly'}",False,15,0,0,1669705012,1661495845,1669705012.0,73496968,CC BY-SA 4.0,https://stackoverflow.com/questions/73496968/pip-install-lanms-package-issues,pip install lanms package issues,,,,
2,"['python', 'django', 'django-models', 'django-queryset']","{'account_id': 26049112, 'reputation': 11, 'user_id': 19752684, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlS4dYNFe6H9GC5LuHRQK7_RCSHTGrFmw07oW9g=k-s256', 'display_name': 'abigail daniel', 'link': 'https://stackoverflow.com/users/19752684/abigail-daniel'}",True,505,3,0,1669691917,1660326481,1669691917.0,73338018,,https://stackoverflow.com/questions/73338018/how-to-get-an-object-by-id-in-django,How to get an object by id in Django?,1660993971.0,Needs details or clarity,,
3,"['python', 'process', 'runtime-error', 'large-data', 'latentdirichletallocation']","{'account_id': 12669945, 'reputation': 1, 'user_id': 9207814, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1673340156022611/picture?type=large', 'display_name': 'Gopika Syam', 'link': 'https://stackoverflow.com/users/9207814/gopika-syam'}",False,47,1,0,1669675530,1659823802,1659829805.0,73263582,CC BY-SA 4.0,https://stackoverflow.com/questions/73263582/runtime-error-attempt-to-start-new-process-before-current-process-finished-in-p,Runtime error: Attempt to start new process before current process finished in python simple LDA implementation,,,,
4,"['python', 'postgresql', 'sqlalchemy', 'alembic']","{'account_id': 15533561, 'reputation': 636, 'user_id': 11206308, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-_lGDKTQtsqQ/AAAAAAAAAAI/AAAAAAAAAAo/zV-RkbvHYBI/photo.jpg?sz=256', 'display_name': 'Rukamakama', 'link': 'https://stackoverflow.com/users/11206308/rukamakama'}",False,38,1,0,1669646904,1661879758,,73546270,CC BY-SA 4.0,https://stackoverflow.com/questions/73546270/better-way-to-generate-postgresql-covered-index-with-sqlalchemy-and-alembic,Better way to generate Postgresql covered index with SQLAlchemy and Alembic,,,,
5,['python'],"{'account_id': 26132526, 'reputation': 11, 'user_id': 19823035, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmk30B90ca6jRmlUWHhWAgADFt2DHApmbvl4Sv2rHw=k-s256', 'display_name': 'sara alnaggar', 'link': 'https://stackoverflow.com/users/19823035/sara-alnaggar'}",True,95,1,0,1669643099,1661193927,1661194056.0,73449733,CC BY-SA 4.0,https://stackoverflow.com/questions/73449733/im-facing-this-attributeerror-nonetype-object-has-no-attribute-compile,I&#39;m facing this AttributeError: &#39;NoneType&#39; object has no attribute &#39;compile&#39;,,,,
6,"['python', 'python-3.x', 'django', 'unit-testing', 'django-rest-framework']","{'account_id': 25892832, 'reputation': 49, 'user_id': 19619966, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmnrV8b5BjDdTeBI-5CnO1SD4ylpE-JTK5ggejBO=k-s256', 'display_name': 'Naveen Pandia', 'link': 'https://stackoverflow.com/users/19619966/naveen-pandia'}",False,27,0,-4,1669636682,1659528919,1669636682.0,73221554,,https://stackoverflow.com/questions/73221554/django-rest-framework-unit-testing-syntaxerror-invalid-syntax,Django Rest Framework: Unit testing SyntaxError: invalid syntax,1659529270.0,Not suitable for this site,,
7,"['python', 'feature-selection', 'k-fold']","{'account_id': 25929001, 'reputation': 1, 'user_id': 19650429, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmmpy01H_jU0hYryR-Ta6fjFvmLq8qdx3AQOdOZV=k-s256', 'display_name': 'Alex Newhouse', 'link': 'https://stackoverflow.com/users/19650429/alex-newhouse'}",False,63,1,0,1669634418,1659976352,,73281240,CC BY-SA 4.0,https://stackoverflow.com/questions/73281240/alternative-to-using-repeated-stratified-k-fold-with-multiple-outputs,Alternative to Using Repeated Stratified K Fold with Multiple Outputs?,,,,
8,"['python', 'docker', 'google-cloud-platform', 'jobs', 'google-cloud-run']","{'account_id': 6302158, 'reputation': 2800, 'user_id': 4896449, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/bedc8f2b818a07cfcb09f0e763e1a596?s=256&d=identicon&r=PG&f=1', 'display_name': 'dendog', 'link': 'https://stackoverflow.com/users/4896449/dendog'}",False,232,1,3,1669502039,1659377019,,73197835,CC BY-SA 4.0,https://stackoverflow.com/questions/73197835/create-a-cloud-run-job-which-shares-code-with-a-cloud-run-service,Create a cloud run job which shares code with a cloud run service,,,,
9,"['python', 'printing', 'readability']","{'account_id': 22594569, 'reputation': 3, 'user_id': 16777093, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ldi6C.jpg?s=256&g=1', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/16777093/ryan'}",True,42,3,-1,1669497955,1659820981,,73263350,CC BY-SA 4.0,https://stackoverflow.com/questions/73263350/how-can-i-clean-up-these-print-statements,How can I clean up these print statements?,,,73263399.0,
