,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason
0,"['python', 'django']","{'account_id': 15633545, 'reputation': 1, 'user_id': 11279192, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-Ho9tx2Mb_ZY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdM7-RHbuJyw7zHvaAjTQi0Sp_oIw/mo/photo.jpg?sz=256', 'display_name': 'Hoat Vu', 'link': 'https://stackoverflow.com/users/11279192/hoat-vu'}",True,180,2,0,1669028596,1601322577,64108702,CC BY-SA 4.0,https://stackoverflow.com/questions/64108702/redirect-user-after-login-in-django,Redirect User After Login in Django,,,,,
1,"['python', 'time-series', 'pmdarima']","{'account_id': 18944354, 'reputation': 21, 'user_id': 13823627, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjnyg3GIG-ywXmBA29LlVeOk8N1dC2fdtiJHtLO7Q=k-s256', 'display_name': 'jmr', 'link': 'https://stackoverflow.com/users/13823627/jmr'}",False,866,1,2,1669026422,1599907562,63859508,CC BY-SA 4.0,https://stackoverflow.com/questions/63859508/different-results-in-ndiffs-pmdarima-time-series,Different results in ndiffs pmdarima (Time Series),,,,,
2,"['python', 'librosa']","{'account_id': 16057163, 'reputation': 1, 'user_id': 11589121, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2494909733904877/picture?type=large', 'display_name': 'Shir Shabat', 'link': 'https://stackoverflow.com/users/11589121/shir-shabat'}",False,217,1,0,1668926488,1601382933,64119762,CC BY-SA 4.0,https://stackoverflow.com/questions/64119762/understanding-librosa-feature-spectral-contrast,understanding librosa.feature.spectral_contrast,1601388107.0,,,,
3,"['python', 'pandas', 'matplotlib', 'data-science']","{'account_id': 19113919, 'reputation': 209, 'user_id': 13959362, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/eMmUZ.jpg?s=256&g=1', 'display_name': 'Vincent', 'link': 'https://stackoverflow.com/users/13959362/vincent'}",True,1048,2,2,1668822662,1599955838,63866002,CC BY-SA 4.0,https://stackoverflow.com/questions/63866002/how-to-add-error-bars-to-a-grouped-bar-plot,How to add error bars to a grouped bar plot?,1599961073.0,63866342.0,,,
4,"['python', 'string', 'list', 'filter']","{'account_id': 4196502, 'reputation': 48672, 'user_id': 3437787, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/W8tmU.jpg?s=256&g=1', 'display_name': 'vestland', 'link': 'https://stackoverflow.com/users/3437787/vestland'}",True,28276,5,26,1668804414,1601410874,64127075,CC BY-SA 4.0,https://stackoverflow.com/questions/64127075/how-to-retrieve-partial-matches-from-a-list-of-strings,How to retrieve partial matches from a list of strings,1621667054.0,64127140.0,1617029722.0,,
5,"['python', 'protocol-buffers', 'proto']","{'account_id': 17135231, 'reputation': 141, 'user_id': 12400439, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-S4sVwdm_IxI/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcUyw2pP4FmWkKPHGO-agzeq-Z4xg/photo.jpg?sz=256', 'display_name': 'General Gravicius', 'link': 'https://stackoverflow.com/users/12400439/general-gravicius'}",True,5838,3,3,1668759433,1600956115,64048132,CC BY-SA 4.0,https://stackoverflow.com/questions/64048132/proto-path-passed-empty-directory-name,--proto_path passed empty directory name,,,,,
6,"['python', 'audio', 'librosa']","{'user_type': 'does_not_exist', 'display_name': 'user13832229'}",True,2879,1,2,1668742127,1600160318,63898448,CC BY-SA 4.0,https://stackoverflow.com/questions/63898448/add-noise-to-audio-file-and-reconvert-the-noisy-signal-using-librosa-python,Add noise to Audio File and Reconvert the Noisy signal using Librosa Python,,63899381.0,,,
7,"['python', 'opencv', 'live-streaming', 'raspberry-pi4']","{'account_id': 16795714, 'reputation': 55, 'user_id': 12142210, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBoaZYJuoKIjqcdx3dD6QumE7NRzDrYPelAc8lD=k-s256', 'display_name': 'Ekta arora', 'link': 'https://stackoverflow.com/users/12142210/ekta-arora'}",True,931,2,1,1668739610,1600018850,63873746,CC BY-SA 4.0,https://stackoverflow.com/questions/63873746/video-written-through-opencv-on-raspberry-pi-not-running,Video written through OpenCV on Raspberry Pi not running,,63873936.0,,,
8,"['python', 'http', 'middleware', 'fastapi', 'starlette']","{'account_id': 5511336, 'reputation': 2334, 'user_id': 4377521, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/c9d2bda5df069b64d90ce679e09986a6?s=256&d=identicon&r=PG', 'display_name': 'sashaaero', 'link': 'https://stackoverflow.com/users/4377521/sashaaero'}",True,9824,7,9,1668709253,1601367628,64115628,CC BY-SA 4.0,https://stackoverflow.com/questions/64115628/get-starlette-request-body-in-the-middleware-context,Get starlette request body in the middleware context,,64117827.0,,,
9,"['python', 'numpy', 'sorting', 'unique', 'slice']","{'account_id': 18704369, 'reputation': 359, 'user_id': 13635877, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a01deceb37ce4cd7e700d10589098dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'lara_toff', 'link': 'https://stackoverflow.com/users/13635877/lara-toff'}",False,356,0,1,1668700481,1599670815,63816253,CC BY-SA 4.0,https://stackoverflow.com/questions/63816253/numpy-unique-slow-on-a-large-array-is-there-any-way-to-speed-it-up,Numpy Unique slow on a large array... is there any way to speed it up?,1668700481.0,,,,
