,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,locked_date
0,"['c++', 'clang-format']","{'account_id': 19370396, 'reputation': 115, 'user_id': 14163804, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KiieN.png?s=256&g=1', 'display_name': 'VN VNA', 'link': 'https://stackoverflow.com/users/14163804/vn-vna'}",False,41,0,0,1669583590,1662722201,1669583590.0,73661317,CC BY-SA 4.0,https://stackoverflow.com/questions/73661317/clang-format-14-unexpected-empty-line-after-requires-declarations,clang-format 14: Unexpected empty line after `requires` declarations,,,,
1,"['c++', 'fstream']","{'account_id': 25269822, 'reputation': 718, 'user_id': 19099302, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/81668e9b1eb8056d60b71e8a89d50509?s=256&d=identicon&r=PG', 'display_name': 'Usitha Indeewara', 'link': 'https://stackoverflow.com/users/19099302/usitha-indeewara'}",True,111,4,1,1669533494,1662815307,1669533494.0,73672049,CC BY-SA 4.0,https://stackoverflow.com/questions/73672049/how-to-make-copies-of-the-executable-itself-in-c,How to make copies of the executable itself in C++?,73672166.0,,,
2,"['c++', 'onnxruntime']","{'account_id': 9055947, 'reputation': 2384, 'user_id': 6744309, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://lh4.googleusercontent.com/-tQAOMTpSTTU/AAAAAAAAAAI/AAAAAAAAABY/A1YqSem_VsI/photo.jpg?sz=256', 'display_name': 'Nicholas Jela', 'link': 'https://stackoverflow.com/users/6744309/nicholas-jela'}",False,150,1,1,1669389047,1664334550,1669389047.0,73875800,CC BY-SA 4.0,https://stackoverflow.com/questions/73875800/onnxruntime-c-how-to-get-outputtensor-dynamic-shape,onnxruntime C++ how to get outputTensor dynamic shape?,,,,
3,"['c++', 'dll', 'header-files']","{'account_id': 22950506, 'reputation': 53, 'user_id': 17081855, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw-E0O-hqdlUT2n30-ev-xVQZvXUsXhm5d7v6s6=k-s256', 'display_name': 'Kaan Kaya', 'link': 'https://stackoverflow.com/users/17081855/kaan-kaya'}",True,46,1,-1,1669384618,1662545870,1669384491.0,73633801,CC BY-SA 4.0,https://stackoverflow.com/questions/73633801/using-dll-in-another-dll,Using DLL in another DLL,73636894.0,,,
4,"['c++', 'unit-testing', 'class']","{'account_id': 14225536, 'reputation': 21, 'user_id': 10276360, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-UbXe_WD8lk0/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaN00MY8XQqNXLmrMkjVshPfz67MXw/mo/photo.jpg?sz=256', 'display_name': 'Wendy Zhu', 'link': 'https://stackoverflow.com/users/10276360/wendy-zhu'}",False,44,1,0,1669176398,1662341624,,73603833,CC BY-SA 4.0,https://stackoverflow.com/questions/73603833/how-to-directly-add-and-call-a-brief-unit-test-in-solution-class-of-leetcode,How to directly add and call a brief unit test in Solution class of LeetCode,,,,
5,"['c++', 'c++11', 'clion']","{'account_id': 26369900, 'reputation': 1, 'user_id': 20024751, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e60160f9802d83670d28814a9c84e52f?s=256&d=identicon&r=PG', 'display_name': 'jack is carbon', 'link': 'https://stackoverflow.com/users/20024751/jack-is-carbon'}",False,44,1,-2,1669067224,1663565369,1663681131.0,73768857,CC BY-SA 4.0,https://stackoverflow.com/questions/73768857/need-some-help-on-this-problem-to-merge-these-two-codes,Need some help on this problem to merge these two codes,,,,
6,"['c++', 'gcc', 'cmake', 'linker', 'tbb']","{'account_id': 17154275, 'reputation': 240, 'user_id': 12487621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/60d7a8c862e076e95971c07d910137b9?s=256&d=identicon&r=PG&f=1', 'display_name': 'niran90', 'link': 'https://stackoverflow.com/users/12487621/niran90'}",True,161,2,1,1668879710,1662015771,1662021083.0,73565363,CC BY-SA 4.0,https://stackoverflow.com/questions/73565363/getting-tbb-linker-errors-when-including-the-execution-header,Getting tbb linker errors when including the &lt;execution&gt; header,73572122.0,,,
7,"['c++', 'cmake', 'static-linking']","{'account_id': 6880416, 'reputation': 46, 'user_id': 5287304, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-EcPwhhoU7rM/AAAAAAAAAAI/AAAAAAAAABc/aQ6hNN1y6yw/photo.jpg?sz=256', 'display_name': 'Alexey Astakhov', 'link': 'https://stackoverflow.com/users/5287304/alexey-astakhov'}",False,70,1,0,1668696336,1662908259,1662924656.0,73680279,CC BY-SA 4.0,https://stackoverflow.com/questions/73680279/how-cmake-find-package-automatically-find-all-the-dependencies,How cmake find_package automatically find all the dependencies?,,,,
8,['c++'],"{'account_id': 26332961, 'reputation': 181, 'user_id': 19993215, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmmWGBTPHNOovHurTpPlyhx1IPVaKn_H_s7ajy3k=k-s256', 'display_name': 'xuezou', 'link': 'https://stackoverflow.com/users/19993215/xuezou'}",True,3404,2,18,1668591163,1663146769,,73714336,CC BY-SA 4.0,https://stackoverflow.com/questions/73714336/xcode-update-to-version-2395-ld-compile-problem-occurs-computedatomcount-m,xcode update to version 2395. ld compile problem occurs: computedAtomCount &amp;&amp; &quot;more atoms allocated than expected,,,,
9,"['c++', 'visual-c++', 'chrono']","{'account_id': 13414449, 'reputation': 1356, 'user_id': 9679554, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19c0ec4ba34353083598e5abe63e7bc7?s=256&d=identicon&r=PG&f=1', 'display_name': 'dev65', 'link': 'https://stackoverflow.com/users/9679554/dev65'}",True,101,1,1,1668547831,1662762940,1662763986.0,73668044,CC BY-SA 4.0,https://stackoverflow.com/questions/73668044/msvc-stdchronotime-zoneget-info-throws-an-exception-saying-the-operation,msvc std::chrono::time_zone::get_info throws an exception saying: The operation completed successfully,,,,
