,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['python', 'file-upload', 'upload', 'fastapi', 'starlette']","{'account_id': 4497229, 'reputation': 61, 'user_id': 3656746, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3656746', 'link': 'https://stackoverflow.com/users/3656746/user3656746'}",True,3327,1,6,1669021167,1608216145,1669021167.0,65342833,CC BY-SA 4.0,https://stackoverflow.com/questions/65342833/fastapi-uploadfile-is-slow-compared-to-flask,FastAPI UploadFile is slow compared to Flask,,,,,
1,"['python', 'tkinter', 'pygame', 'garbage-collection']","{'account_id': 4900221, 'reputation': 1, 'user_id': 3948784, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'helpmeplease', 'link': 'https://stackoverflow.com/users/3948784/helpmeplease'}",False,172,1,0,1668978634,1609137120,1641765394.0,65473778,CC BY-SA 4.0,https://stackoverflow.com/questions/65473778/python-called-tcl-findhashentry-on-deleted-table-when-pygame-window-is-focused,Python - called Tcl_FindHashEntry on deleted table when Pygame window is focused after using Tkinter,,,,,
2,"['python', 'docker', 'selenium-webdriver', 'selenium-chromedriver']","{'account_id': 17169019, 'reputation': 49, 'user_id': 12426549, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dff85c04ca552c866fd1a261994542a0?s=256&d=identicon&r=PG&f=1', 'display_name': 'sebbelebbe', 'link': 'https://stackoverflow.com/users/12426549/sebbelebbe'}",False,2167,3,1,1668919020,1608200579,,65338801,CC BY-SA 4.0,https://stackoverflow.com/questions/65338801/python-app-with-selenium-failes-with-maxretryerror,python app with selenium failes with MaxRetryError,,,,,
3,"['python', 'encryption', 'cryptography', 'python-cryptography']","{'account_id': 20123838, 'reputation': 1, 'user_id': 14757800, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/22eee2fb8ad9c491858b8026f09c7e1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Grace', 'link': 'https://stackoverflow.com/users/14757800/grace'}",False,108,0,0,1668914699,1607014387,1668914699.0,65130450,CC BY-SA 4.0,https://stackoverflow.com/questions/65130450/auto-decryption-question-from-computer-science-circles-python,Auto-Decryption Question from Computer Science Circles (Python),,,,,
4,"['python', 'list', 'element']","{'account_id': 18391756, 'reputation': 785, 'user_id': 13397262, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0aa9060aef9a1d3f78fb752c97cbb5e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shahbaz ', 'link': 'https://stackoverflow.com/users/13397262/shahbaz'}",True,885,4,5,1668776299,1607705367,,65255368,CC BY-SA 4.0,https://stackoverflow.com/questions/65255368/how-to-remove-all-repeating-elements-from-a-list-in-python,How to remove all repeating elements from a list in python?,,,,,
5,"['python', 'pandas', 'dataframe', 'replace', 'fillna']","{'account_id': 17809133, 'reputation': 640, 'user_id': 12934163, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d1f4c741bb8c0300711554f8fc017f5?s=256&d=identicon&r=PG&f=1', 'display_name': 'TiTo', 'link': 'https://stackoverflow.com/users/12934163/tito'}",True,22,2,0,1668769122,1606843132,1668769122.0,65095292,CC BY-SA 4.0,https://stackoverflow.com/questions/65095292/how-to-use-the-value-of-one-column-as-part-of-a-string-to-fill-nans-in-another-c,How to use the value of one column as part of a string to fill NaNs in another column?,65095441.0,,,,
6,"['python', 'python-3.x', 'pip', 'pyqt5']","{'account_id': 20297068, 'reputation': 431, 'user_id': 14887378, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/afc80759ce6c97483b2b4635c08b5eff?s=256&d=identicon&r=PG&f=1', 'display_name': 'thecrispywisp', 'link': 'https://stackoverflow.com/users/14887378/thecrispywisp'}",True,38563,11,43,1668728785,1608892648,,65447314,CC BY-SA 4.0,https://stackoverflow.com/questions/65447314/attributeerror-module-sipbuild-api-has-no-attribute-prepare-metadata-for-bui,AttributeError: module &#39;sipbuild.api&#39; has no attribute &#39;prepare_metadata_for_build_wheel&#39; for PyQt5 5.15.0,,,,,
7,"['python', 'json', 'django', 'python-requests']","{'account_id': 13905223, 'reputation': 175, 'user_id': 10039765, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5f6889a303c2ce8cf250552998bef19c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Medo Abdin', 'link': 'https://stackoverflow.com/users/10039765/medo-abdin'}",True,1631,2,1,1668713694,1607945741,,65288343,CC BY-SA 4.0,https://stackoverflow.com/questions/65288343/how-can-i-use-a-json-file-such-as-a-database-to-store-new-and-old-objects,How can I use a JSON file such as a database to store new and old objects?,,,,,
8,"['python', 'pyqt', 'pyqt5', 'qt-designer']","{'account_id': 15875308, 'reputation': 31, 'user_id': 14535105, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156498696657775/picture?type=large', 'display_name': 'Mark Golberg', 'link': 'https://stackoverflow.com/users/14535105/mark-golberg'}",True,891,2,0,1668707438,1607240146,1607264677.0,65165757,CC BY-SA 4.0,https://stackoverflow.com/questions/65165757/how-can-i-add-a-minimize-maximize-buttons-in-gui-made-with-qt-designer,How can I add a minimize / maximize buttons in GUI made with Qt Designer?,,,,,
9,"['python', 'profiling', 'intel', 'intel-vtune']","{'account_id': 20161958, 'reputation': 117, 'user_id': 14786813, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-BXoLAdRZdwk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMoDXk38fCRQLqbkSKvUZydmniTg/s96-c/photo.jpg?sz=256', 'display_name': 'RanWang', 'link': 'https://stackoverflow.com/users/14786813/ranwang'}",False,299,1,0,1668679022,1608894299,1608968154.0,65447496,CC BY-SA 4.0,https://stackoverflow.com/questions/65447496/intel-vtune-cannot-find-python-source-file,Intel Vtune cannot find python source file,,,,,
10,"['python', 'user-interface', 'tkinter']","{'account_id': 6441800, 'reputation': 860, 'user_id': 4991648, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/a715b4a934b32b40922fac86690256ae?s=256&d=identicon&r=PG', 'display_name': 'Florian Bach', 'link': 'https://stackoverflow.com/users/4991648/florian-bach'}",True,3742,5,13,1668663784,1607972783,,65294987,CC BY-SA 4.0,https://stackoverflow.com/questions/65294987/detect-os-dark-mode-in-python,Detect OS dark mode in Python,,,,,
11,"['python', 'python-3.x', 'types']","{'account_id': 18142484, 'reputation': 454, 'user_id': 13196190, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-xEJJeUCM1TQ/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOebLD_FL92ikpzo2VFmP2jXk16SQ/photo.jpg?sz=256', 'display_name': 'Jonathan Levin', 'link': 'https://stackoverflow.com/users/13196190/jonathan-levin'}",True,1821,2,17,1668527461,1608504458,,65385585,CC BY-SA 4.0,https://stackoverflow.com/questions/65385585/where-are-the-type-annotation-constraints-valuerange-minlen-etc-in-python,Where are the Type annotation constraints (`ValueRange`/`MinLen` etc) in python 3.9?,,,,,
12,"['python', 'module', 'pypi']","{'account_id': 19749665, 'reputation': 52, 'user_id': 14461295, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Z9B2N.jpg?s=256&g=1', 'display_name': 'DionGR', 'link': 'https://stackoverflow.com/users/14461295/diongr'}",True,131,1,2,1668524155,1608043570,1668524155.0,65308164,CC BY-SA 4.0,https://stackoverflow.com/questions/65308164/pypi-personal-module-cannot-be-imported-by-other-users-or-myself,PyPI personal module cannot be imported by other users or myself?,65308274.0,,,,
13,"['python', 'multithreading', 'asynchronous']","{'account_id': 20226462, 'reputation': 373, 'user_id': 14834190, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6582922495ec627519a77b452f57e28?s=256&d=identicon&r=PG&f=1', 'display_name': 'Guest-01', 'link': 'https://stackoverflow.com/users/14834190/guest-01'}",True,8117,2,13,1668456733,1608089101,1668456733.0,65316863,CC BY-SA 4.0,https://stackoverflow.com/questions/65316863/is-asyncio-to-thread-method-different-to-threadpoolexecutor,is asyncio.to_thread() method different to ThreadPoolExecutor?,65319037.0,,,,
14,"['python', 'pandas', 'bar-chart', 'categorical-data']","{'account_id': 16961689, 'reputation': 81, 'user_id': 12268688, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed77d4a9e38014bc8885cfbb12c632af?s=256&d=identicon&r=PG&f=1', 'display_name': 'Paddy', 'link': 'https://stackoverflow.com/users/12268688/paddy'}",True,150,2,1,1668444274,1608314406,1668444274.0,65361827,CC BY-SA 4.0,https://stackoverflow.com/questions/65361827/stacked-bar-chart-based-on-pandas-column,Stacked Bar Chart based on Pandas Column,65365133.0,,,,
15,"['python', 'image', 'tiff', 'jpeg2000']","{'account_id': 16520747, 'reputation': 41, 'user_id': 11937016, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Wvlw_nf49q4/AAAAAAAAAAI/AAAAAAAABJQ/8YIs9uh9uuI/photo.jpg?sz=256', 'display_name': 'Frank Ceballos', 'link': 'https://stackoverflow.com/users/11937016/frank-ceballos'}",False,240,0,1,1668382509,1608232845,,65347051,CC BY-SA 4.0,https://stackoverflow.com/questions/65347051/bigtiff-to-jpeg-2000-using-python,BigTiff to JPEG 2000 using Python,,,,,
