,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['python', 'python-3.x', 'numpy']","{'account_id': 1976915, 'reputation': 147, 'user_id': 1774508, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/IYFiU.gif?s=256&g=1', 'display_name': 'SiltyDoubloon', 'link': 'https://stackoverflow.com/users/1774508/siltydoubloon'}",True,59013,54191712.0,5,5,1669200024,1547516945,54191677,CC BY-SA 4.0,https://stackoverflow.com/questions/54191677/numpy-error-the-truth-value-of-an-array-with-more-than-one-element-is-ambiguous,NumPy Error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),,,,,
1,"['python', 'python-3.x', 'visual-studio-code', 'pytest', 'pytest-django']","{'account_id': 2697, 'reputation': 10571, 'user_id': 3786, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/c08bc5769af0371e58a2bb5f86c904dc?s=256&d=identicon&r=PG', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/3786/ben'}",True,37109,60988898.0,10,14,1669083555,1548587071,54387442,CC BY-SA 4.0,https://stackoverflow.com/questions/54387442/vs-code-not-finding-pytest-tests,VS Code not finding pytest tests,,,,,
2,"['python', 'keras', 'deep-learning']","{'account_id': 15045334, 'reputation': 572, 'user_id': 10858691, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-fmYSLY2fD0E/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcbSmJpGprNawDUpFgBVjcmb0W5W9g/mo/photo.jpg?sz=256', 'display_name': 'MasayoMusic', 'link': 'https://stackoverflow.com/users/10858691/masayomusic'}",True,398,54214196.0,1,0,1669077449,1547630657,54213855,CC BY-SA 4.0,https://stackoverflow.com/questions/54213855/the-name-batch-normalization-1-is-used-2-times-in-the-model,The name &quot;batch_normalization_1&quot; is used 2 times in the model,1547631707.0,,,,
3,"['python', 'r', 'pandas', 'numpy', 'zoo']","{'account_id': 14921605, 'reputation': 454, 'user_id': 10773710, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c149ecc7a8921a9a87181394d17d0244?s=256&d=identicon&r=PG&f=1', 'display_name': 'user8261831', 'link': 'https://stackoverflow.com/users/10773710/user8261831'}",True,12370,,6,13,1669061695,1548129400,54301042,CC BY-SA 4.0,https://stackoverflow.com/questions/54301042/is-it-possible-to-use-pandas-dataframe-rolling-with-a-step-greater-than-1,Is it possible to use pandas.DataFrame.rolling with a step greater than 1?,1607289326.0,,,,
4,"['python', 'pytorch']","{'account_id': 15121571, 'reputation': 831, 'user_id': 10912236, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-J9pl45zx3tU/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZmfOMxlXMY4g4VimhlTBlKQW51iQ/mo/photo.jpg?sz=256', 'display_name': 'xiaoding chen', 'link': 'https://stackoverflow.com/users/10912236/xiaoding-chen'}",True,252918,,14,73,1669057320,1548466786,54374935,CC BY-SA 4.0,https://stackoverflow.com/questions/54374935/how-to-fix-this-strange-error-runtimeerror-cuda-error-out-of-memory,How to fix this strange error: &quot;RuntimeError: CUDA error: out of memory&quot;,1648535685.0,,,,
5,"['python', 'django', 'forms']","{'account_id': 14332192, 'reputation': 69, 'user_id': 10352673, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1abe839c913f85126b9cbbbb152ba6f4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cem', 'link': 'https://stackoverflow.com/users/10352673/cem'}",False,441,,2,1,1669020310,1547358201,54166392,CC BY-SA 4.0,https://stackoverflow.com/questions/54166392/unable-to-save-data-from-django-form,Unable to save data from Django form,1547363047.0,,,,
6,"['python', 'sockets', 'bluetooth', 'bluetooth-lowenergy']","{'account_id': 1689409, 'reputation': 945, 'user_id': 1552080, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/59ce9d0384a5c3a071ffaf2e7e2cc144?s=256&d=identicon&r=PG', 'display_name': 'WolfiG', 'link': 'https://stackoverflow.com/users/1552080/wolfig'}",True,3457,56058299.0,1,5,1668909666,1547043154,54112084,CC BY-SA 4.0,https://stackoverflow.com/questions/54112084/how-do-i-activate-socket-af-bluetooth-in-python3-6,How do I activate socket.AF_BLUETOOTH in Python3.6?,1547455355.0,,,,
7,"['python', 'numpy']","{'account_id': 7878365, 'reputation': 351, 'user_id': 5953386, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uosXW.jpg?s=256&g=1', 'display_name': 'Danny_P', 'link': 'https://stackoverflow.com/users/5953386/danny-p'}",True,25179,53991159.0,2,13,1668870713,1546287523,53991131,CC BY-SA 4.0,https://stackoverflow.com/questions/53991131/how-to-split-data-frame-into-x-and-y,How to split data frame into x and y,,,,,
8,"['python', 'numpy', 'pytorch', 'torch', 'bytesio']","{'account_id': 9862970, 'reputation': 53, 'user_id': 7305303, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1033942070068899/picture?type=large', 'display_name': 'Tenzin Singhay Bhotia', 'link': 'https://stackoverflow.com/users/7305303/tenzin-singhay-bhotia'}",False,7909,,2,3,1668859325,1546750029,54058716,CC BY-SA 4.0,https://stackoverflow.com/questions/54058716/how-to-pre-load-numpy-data-into-a-buffer-like-io-bytesio-to-make-it-seekable,How to pre-load numpy data into a buffer like io.BytesIO to make it seekable?,,,,,
9,"['python', 'python-2.7']","{'account_id': 2669721, 'reputation': 195, 'user_id': 2307378, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/b86dd2cc5cf6b637b03a9a93e031190e?s=256&d=identicon&r=PG', 'display_name': 'ohadshay', 'link': 'https://stackoverflow.com/users/2307378/ohadshay'}",True,46583,54221982.0,10,11,1668697520,1547641860,54217137,CC BY-SA 4.0,https://stackoverflow.com/questions/54217137/from-urllib3-util-ssl-import-importerror-cannot-import-name-ssl,from urllib3.util.ssl_ import ( ImportError: cannot import name ssl,1547643314.0,,,,
10,"['python', 'pandas', 'dictionary', 'dataframe', 'series']","{'account_id': 1781088, 'reputation': 1015, 'user_id': 1623829, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/b09f8825e49cc50df236dd404515da9b?s=256&d=identicon&r=PG', 'display_name': 'AllanLRH', 'link': 'https://stackoverflow.com/users/1623829/allanlrh'}",True,5025,,1,13,1668682607,1548324751,54344114,CC BY-SA 4.0,https://stackoverflow.com/questions/54344114/expand-pandas-dataframe-column-of-dict-into-dataframe-columns,Expand pandas dataframe column of dict into dataframe columns,,,,,
11,"['python', 'opencv', 'face-recognition']","{'account_id': 14644736, 'reputation': 9, 'user_id': 10576439, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2338920019468963/picture?type=large', 'display_name': 'Ardit Haxhikadrija', 'link': 'https://stackoverflow.com/users/10576439/ardit-haxhikadrija'}",False,8587,,5,0,1668676046,1547081836,54120605,CC BY-SA 4.0,https://stackoverflow.com/questions/54120605/empty-in-function-cvcascadeclassifierdetectmultiscale,&quot;!empty() in function &#39;cv::CascadeClassifier::detectMultiScale&#39;&quot;,1583145897.0,,,,
