,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,locked_date
0,"['python', 'tensorflow', 'keras', 'reinforcement-learning']","{'account_id': 16713611, 'reputation': 23, 'user_id': 12080288, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a16d0f2ee7d6a81d07cd60694c4068f2?s=256&d=identicon&r=PG&f=1', 'display_name': 'P.Jozsef', 'link': 'https://stackoverflow.com/users/12080288/p-jozsef'}",False,351,0,2,1669063976,1587565659,61367631,CC BY-SA 4.0,https://stackoverflow.com/questions/61367631/keras-reinforcement-learning-action-with-multiple-outputs,keras reinforcement learning - action with multiple outputs,,,,,,,
1,"['python', 'class', 'scipy', 'statistics']","{'account_id': 11664172, 'reputation': 309, 'user_id': 11584125, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a4ba4ec506a871bdc7600de20f20304?s=256&d=identicon&r=PG&f=1', 'display_name': 'Scott', 'link': 'https://stackoverflow.com/users/11584125/scott'}",False,278,1,5,1669058726,1585783609,60981879,CC BY-SA 4.0,https://stackoverflow.com/questions/60981879/creating-scipy-stats-random-variable-subclass-does-not-result-in-expected-object,Creating scipy.stats random variable subclass does not result in expected object type,1586450688.0,,,,,,
2,"['python', 'mysql', 'database']","{'account_id': 17073333, 'reputation': 97, 'user_id': 12368485, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-IxBRUoxkb1E/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdY06oPuSGA4PvKPg6dZumtW-Sjpw/photo.jpg?sz=256', 'display_name': 'chintan thakrar', 'link': 'https://stackoverflow.com/users/12368485/chintan-thakrar'}",True,1887,3,1,1669046822,1588204939,61513711,CC BY-SA 4.0,https://stackoverflow.com/questions/61513711/connect-to-mysql-database-using-python,Connect to MySQL database using python,1669046822.0,61513816.0,,,,,
3,"['python', 'amazon-s3', 'boto3']","{'account_id': 14399560, 'reputation': 49, 'user_id': 10401733, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dce8e48a9d2d33ab8b700bd96bacceee?s=256&d=identicon&r=PG&f=1', 'display_name': 'VENKATA KRISHNA REDDY PERAM', 'link': 'https://stackoverflow.com/users/10401733/venkata-krishna-reddy-peram'}",True,8986,3,2,1669024396,1587972263,61453620,CC BY-SA 4.0,https://stackoverflow.com/questions/61453620/how-to-append-data-to-an-existing-csv-file-in-aws-s3-using-python-boto3,How to append data to an existing csv file in AWS S3 using python boto3,,,,,,,
4,"['python', 'jupyter-notebook', 'google-colaboratory']","{'account_id': 6089151, 'reputation': 1630, 'user_id': 4752223, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b34adb7da1650017a9dd057afc814e8b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rub', 'link': 'https://stackoverflow.com/users/4752223/rub'}",True,957,2,1,1668987105,1586719329,61176900,CC BY-SA 4.0,https://stackoverflow.com/questions/61176900/jupyter-colab-play-sound-with-any-error-in-any-cell-play-sound-after-compl,Jupyter / Colab : Play sound with any error in any cell + Play sound after completing long running cells,1668977258.0,,,,,,
5,"['python', 'scikit-learn', 'cluster-analysis', 'dbscan']","{'account_id': 12573638, 'reputation': 37, 'user_id': 9146863, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Zz-AHF_3bEo/AAAAAAAAAAI/AAAAAAAAAA0/2ZPnWb3i3VI/photo.jpg?sz=256', 'display_name': 'James Connor', 'link': 'https://stackoverflow.com/users/9146863/james-connor'}",True,792,2,1,1668950322,1587146292,61277791,CC BY-SA 4.0,https://stackoverflow.com/questions/61277791/is-there-an-easy-way-to-use-dbscan-in-python-with-dimensions-higher-than-2,Is there an easy way to use DBSCAN in python with dimensions higher than 2?,1587157395.0,62907094.0,,,,,
6,"['python', 'ascii', 'distance', 'intersection', 'stl-format']","{'account_id': 18120315, 'reputation': 13, 'user_id': 13211417, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kZMzs.jpg?s=256&g=1', 'display_name': 'Pedro', 'link': 'https://stackoverflow.com/users/13211417/pedro'}",True,922,2,1,1668926192,1586620288,61159587,CC BY-SA 4.0,https://stackoverflow.com/questions/61159587/measure-distance-between-meshes,Measure distance between meshes,1658732790.0,,,,,,
7,"['python', 'machine-learning', 'pytorch', 'python-imaging-library', 'kaggle']","{'account_id': 16074801, 'reputation': 964, 'user_id': 12011589, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tQHdM.png?s=256&g=1', 'display_name': 'atin', 'link': 'https://stackoverflow.com/users/12011589/atin'}",True,10009,2,6,1668895071,1587495624,61351130,CC BY-SA 4.0,https://stackoverflow.com/questions/61351130/while-converting-a-pil-image-into-a-tensor-why-the-pixels-are-changing,While converting a PIL image into a tensor why the pixels are changing?,1607255230.0,65167669.0,,,,,
8,"['python', 'wget']","{'account_id': 10059548, 'reputation': 129, 'user_id': 7436717, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/COKa9.jpg?s=256&g=1', 'display_name': 'Ivan', 'link': 'https://stackoverflow.com/users/7436717/ivan'}",False,1164,2,-1,1668861798,1586033174,61034555,CC BY-SA 4.0,https://stackoverflow.com/questions/61034555/what-does-not-enough-values-to-unpack-expected-2-got-1-means,"What does &quot;not enough values to unpack (expected 2, got 1)&quot; means?",,,,,,,
9,"['python', 'tensorflow', 'keras', 'tensorflow2.0', 'tensorflow-probability']","{'account_id': 4148701, 'reputation': 14497, 'user_id': 3924118, 'user_type': 'registered', 'accept_rate': 35, 'profile_image': 'https://www.gravatar.com/avatar/abb01e1c2a8e3d9e1534dca14b19b3d8?s=256&d=identicon&r=PG&f=1', 'display_name': 'nbro', 'link': 'https://stackoverflow.com/users/3924118/nbro'}",True,2736,2,2,1668807896,1587515964,61355474,CC BY-SA 4.0,https://stackoverflow.com/questions/61355474/why-does-tf-executing-eagerly-return-false-in-tensorflow-2,Why does tf.executing_eagerly() return False in TensorFlow 2?,1587614881.0,,,,,,
10,"['python', 'error-handling', 'sqlalchemy']","{'account_id': 18032466, 'reputation': 11, 'user_id': 13106669, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-jCFqaTY1HcY/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nBZkMT90u2rH7qmOmAedXkeAAjxKw/photo.jpg?sz=256', 'display_name': 'Jean-Paul v E', 'link': 'https://stackoverflow.com/users/13106669/jean-paul-v-e'}",False,557,1,1,1668794915,1586976504,61236335,CC BY-SA 4.0,https://stackoverflow.com/questions/61236335/i-do-not-succeed-in-trapping-an-operationalerror-from-sqlalchemy,I do not succeed in trapping an OperationalError from SQLAlchemy,1586983235.0,,,,,,
11,"['python', 'django']","{'account_id': 15168456, 'reputation': 161, 'user_id': 10945297, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/eU8dI.jpg?s=256&g=1', 'display_name': 'navidabasi', 'link': 'https://stackoverflow.com/users/10945297/navidabasi'}",True,1375,2,1,1668764858,1586543993,61146625,CC BY-SA 4.0,https://stackoverflow.com/questions/61146625/does-not-appear-to-have-any-patterns-in-it-or-circular-import,does not appear to have any patterns in it. or circular import,,61146784.0,,,,,
12,"['python', 'selenium', 'download']","{'account_id': 18348671, 'reputation': 31, 'user_id': 13363334, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj153myhkSCPnv-e1cSW36h_lM6zBbdVck60tiVcA=k-s256', 'display_name': 'Shreeya Laad', 'link': 'https://stackoverflow.com/users/13363334/shreeya-laad'}",False,160,2,3,1668764429,1587394587,61325484,CC BY-SA 4.0,https://stackoverflow.com/questions/61325484/file-download-using-python-selenium,File Download using Python Selenium,1645101059.0,,,,,,
13,"['python', 'scikit-learn']","{'account_id': 18332471, 'reputation': 135, 'user_id': 13350670, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-kWTONYrmKYI/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPksmlJvXFPJ_BePQYh8_UBC411Yg/photo.jpg?sz=256', 'display_name': 'Felix', 'link': 'https://stackoverflow.com/users/13350670/felix'}",True,668,2,5,1668739995,1587640569,61385916,CC BY-SA 4.0,https://stackoverflow.com/questions/61385916/prediction-for-horse-racing-scikit-learn-multiple-rows-per-race,Prediction for horse racing scikit learn - multiple rows per race,1592644375.0,,,,,,
14,"['python', 'google-colaboratory']","{'account_id': 17516322, 'reputation': 1, 'user_id': 12703272, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/73a937e8300b090766b09fc68daea8f9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Newbie101', 'link': 'https://stackoverflow.com/users/12703272/newbie101'}",False,698,1,0,1668737406,1587528716,61357200,CC BY-SA 4.0,https://stackoverflow.com/questions/61357200/file-not-found-when-loading-dataset-using-google-colab,File not found when loading dataset using Google Colab,1668737406.0,,,,,,
15,"['python', 'loops', 'dataframe', 'if-statement']","{'account_id': 18131498, 'reputation': 1, 'user_id': 13269501, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c7e688a7ea159373720940a0acfb2fde?s=256&d=identicon&r=PG&f=1', 'display_name': 'nicoc', 'link': 'https://stackoverflow.com/users/13269501/nicoc'}",False,27,1,0,1668730104,1586438426,61122128,CC BY-SA 4.0,https://stackoverflow.com/questions/61122128/looping-through-dataframe-rows-and-compare-them,Looping through dataframe rows and compare them,,,,,,,
16,"['python', 'button', 'jupyter-notebook', 'ipywidgets', 'voila']","{'account_id': 9659561, 'reputation': 2769, 'user_id': 7168098, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://graph.facebook.com/10211116238159507/picture?type=large', 'display_name': 'JFerro', 'link': 'https://stackoverflow.com/users/7168098/jferro'}",True,793,2,1,1668680069,1587147779,61278187,CC BY-SA 4.0,https://stackoverflow.com/questions/61278187/how-to-deal-with-variable-width-of-buttons-in-ipywidgets,how to deal with variable width of Buttons in ipywidgets,1587217488.0,61319183.0,,,,,
17,"['python', 'django', 'django-staticfiles']","{'account_id': 15076296, 'reputation': 21, 'user_id': 10880321, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/123d066229141e7f7cd84cb7a7b0f521?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kesav', 'link': 'https://stackoverflow.com/users/10880321/kesav'}",False,2477,4,1,1668680037,1587723027,61405964,CC BY-SA 4.0,https://stackoverflow.com/questions/61405964/css-not-loading-in-django,Css not loading in Django,1587724830.0,,,,,,
18,"['python', 'pandas', 'geopandas']","{'account_id': 4405524, 'reputation': 6347, 'user_id': 3590067, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://graph.facebook.com/100003877435114/picture?type=large', 'display_name': 'emax', 'link': 'https://stackoverflow.com/users/3590067/emax'}",True,32092,4,24,1668661204,1586440742,61122875,CC BY-SA 4.0,https://stackoverflow.com/questions/61122875/geopandas-how-to-read-a-csv-and-convert-to-a-geopandas-dataframe-with-polygons,Geopandas: how to read a csv and convert to a geopandas dataframe with polygons?,,,,,,,
