,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,accepted_answer_id,protected_date,migrated_from
0,"['python', 'syntax', 'ipython']","{'account_id': 2471505, 'reputation': 272, 'user_id': 2153235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e48330b231bdc49660dc54187089c16?s=256&d=identicon&r=PG', 'display_name': 'user2153235', 'link': 'https://stackoverflow.com/users/2153235/user2153235'}",False,395,1560388629.0,0,1,1669152583,1560388356,1669152583.0,56572156,https://stackoverflow.com/questions/56572156/does-a-semicolon-at-the-end-of-a-python-statement-suppress-output,Duplicate,Does a semicolon at the end of a Python statement suppress output?,,,,
1,"['python', 'opencv', 'halcon', 'gige-sdk']","{'account_id': 16067698, 'reputation': 11, 'user_id': 11596890, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-pev3-ll5dqg/AAAAAAAAAAI/AAAAAAAAAGM/XjJ3yrXD4XU/photo.jpg?sz=256', 'display_name': 'Liu Alex', 'link': 'https://stackoverflow.com/users/11596890/liu-alex'}",False,2273,,1,1,1669138907,1559640030,1669138907.0,56441004,https://stackoverflow.com/questions/56441004/how-can-i-use-python-to-read-and-capture-images-from-a-gige-camera,,How can I use Python to read and capture images from a GIGE camera?,CC BY-SA 4.0,,,
2,"['python', 'json', 'python-3.x']","{'account_id': 16168372, 'reputation': 39, 'user_id': 11672776, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2039780006330163/picture?type=large', 'display_name': 'Caroline Cheng', 'link': 'https://stackoverflow.com/users/11672776/caroline-cheng'}",True,15723,,3,4,1669127448,1560990623,1560992589.0,56677516,https://stackoverflow.com/questions/56677516/how-to-open-a-json-gz-file-and-return-to-dictionary-in-python,,How to open a json.gz file and return to dictionary in Python,CC BY-SA 4.0,,,
3,"['python', 'keras', 'jupyter-notebook', 'anaconda']","{'account_id': 1672630, 'reputation': 985, 'user_id': 1538798, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://www.gravatar.com/avatar/4080ee7fd3a078df0936c9f2a86247f5?s=256&d=identicon&r=PG', 'display_name': 'user1538798', 'link': 'https://stackoverflow.com/users/1538798/user1538798'}",True,45497,,6,10,1669111037,1560826229,,56641165,https://stackoverflow.com/questions/56641165/modulenotfounderror-no-module-named-keras-for-jupyter-notebook,,ModuleNotFoundError: No module named &#39;keras&#39; for Jupyter Notebook,CC BY-SA 4.0,,,
4,"['python', 'python-3.x', 'asynchronous', 'python-asyncio', 'sleep']","{'account_id': 2757579, 'reputation': 3925, 'user_id': 2794152, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/hxpEu.png?s=256&g=1', 'display_name': 'an offer can&#39;t refuse', 'link': 'https://stackoverflow.com/users/2794152/an-offer-cant-refuse'}",True,100105,,2,94,1669043297,1561349692,1666756053.0,56729764,https://stackoverflow.com/questions/56729764/asyncio-sleep-vs-time-sleep-in-python,,asyncio.sleep() vs time.sleep() in Python,CC BY-SA 4.0,56730924.0,,
5,"['python', 'python-3.x', 'tkinter']","{'account_id': 9136937, 'reputation': 392, 'user_id': 11563939, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-FoQ91d8Cq1c/AAAAAAAAAAI/AAAAAAAAILE/J2gu0uMF2rA/photo.jpg?sz=256', 'display_name': 'Gabriel Dante', 'link': 'https://stackoverflow.com/users/11563939/gabriel-dante'}",False,65,,0,0,1668959858,1560524193,1570867907.0,56600677,https://stackoverflow.com/questions/56600677/tkinter-window-works-well-only-in-the-first-execution,,tkinter window works well only in the first execution,CC BY-SA 4.0,,,
6,"['python', 'tree', 'google-colaboratory']","{'account_id': 16096852, 'reputation': 31, 'user_id': 11618792, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-n4mHj7oUzPY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reqHMvuEKWCBGdQjC0nRlnCeLX9NQ/mo/photo.jpg?sz=256', 'display_name': 'Kevin Yin', 'link': 'https://stackoverflow.com/users/11618792/kevin-yin'}",True,2643,,3,3,1668956857,1560009920,1560274692.0,56507997,https://stackoverflow.com/questions/56507997/how-to-make-tree-work-after-pip-install-tree-on-google-colab-notebook,,how to make &#39;!tree&#39; work after &#39;!pip install tree&#39; on google colab notebook?,CC BY-SA 4.0,,,
7,"['python', 'pandas', 'numpy', 'concatenation']","{'account_id': 14251996, 'reputation': 926, 'user_id': 10295388, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-8QvG9FrIbFw/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaM2v0hPJ3dO3nr0VYbrOXAEZBL3pA/mo/photo.jpg?sz=256', 'display_name': 'callmeGuy', 'link': 'https://stackoverflow.com/users/10295388/callmeguy'}",True,775,,6,5,1668867132,1560437394,1668867132.0,56583174,https://stackoverflow.com/questions/56583174/how-to-collapse-columns-in-pandas-on-null-values,,how to collapse columns in pandas on null values?,CC BY-SA 4.0,56583714.0,,
8,"['python', 'arrays', 'numpy', 'reverse']","{'account_id': 7049725, 'reputation': 3879, 'user_id': 5399268, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/v45qe.jpg?s=256&g=1', 'display_name': 'Cedric Zoppolo', 'link': 'https://stackoverflow.com/users/5399268/cedric-zoppolo'}",True,1037,,3,1,1668804319,1560862738,1560864839.0,56649743,https://stackoverflow.com/questions/56649743/get-some-elements-from-numpy-array-in-reverse-order,,Get some elements from numpy array in reverse order,CC BY-SA 4.0,56650302.0,,
9,"['python', 'html', 'customization', 'bokeh', 'legend']","{'account_id': 12050535, 'reputation': 1610, 'user_id': 8813699, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a357d03ee3b56bb47c9ce999a1451e9e?s=256&d=identicon&r=PG&f=1', 'display_name': 'sehan2', 'link': 'https://stackoverflow.com/users/8813699/sehan2'}",True,1262,,1,1,1668804138,1561902486,1668804138.0,56825350,https://stackoverflow.com/questions/56825350/how-to-add-one-legend-that-controlls-multiple-bokeh-figures,,How to add one legend that controlls multiple bokeh figures?,CC BY-SA 4.0,56825812.0,,
