,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['python', 'matplotlib']","{'account_id': 15384620, 'reputation': 31, 'user_id': 11099038, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Myh630l7o-M/AAAAAAAAAAI/AAAAAAAAASQ/00IWvq47u4w/photo.jpg?sz=256', 'display_name': 'NiaHoyMenoy', 'link': 'https://stackoverflow.com/users/11099038/niahoymenoy'}",False,258,1,3,1669132962,1590562703,1590568250.0,62037161,CC BY-SA 4.0,https://stackoverflow.com/questions/62037161/using-plt-savefig-over-a-for-loop-of-iterated-plots-returns-blank-image,Using plt.savefig over a for loop of iterated plots returns blank image,,,,,,
1,"['python', 'django', 'django-models', 'django-admin', 'django-smart-selects']","{'account_id': 13310411, 'reputation': 235, 'user_id': 9608860, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-4R2sCNHYelY/AAAAAAAAAAI/AAAAAAAADFQ/4ahGZaKOWgI/photo.jpg?sz=256', 'display_name': 'Aarti Joshi', 'link': 'https://stackoverflow.com/users/9608860/aarti-joshi'}",True,1082,3,0,1669051749,1589191687,,61727169,CC BY-SA 4.0,https://stackoverflow.com/questions/61727169/django-smart-selects-not-working-properly,django-smart-selects not working properly,,,,,,
2,"['python', 'macos', 'visual-studio-code', 'jupyter-notebook']","{'account_id': 18534669, 'reputation': 1, 'user_id': 13504622, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/839a8ba5ac2d5394f702b9472bf0e5d5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dr Mohamed Abdelwahab', 'link': 'https://stackoverflow.com/users/13504622/dr-mohamed-abdelwahab'}",True,25379,3,0,1668976138,1589019179,1589084114.0,61695073,CC BY-SA 4.0,https://stackoverflow.com/questions/61695073/how-to-open-ipynb-files-on-a-mac,How to open ipynb files on a Mac?,,,,,,
3,"['python', 'windows', 'matplotlib', 'seaborn', 'emoji']","{'account_id': 11614271, 'reputation': 55, 'user_id': 8507582, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1471332616287575/picture?type=large', 'display_name': 'Conor McNally', 'link': 'https://stackoverflow.com/users/8507582/conor-mcnally'}",True,765,2,2,1668950136,1589048339,1589058049.0,61701600,CC BY-SA 4.0,https://stackoverflow.com/questions/61701600/is-there-any-way-to-plot-emojis-in-matplotlib,Is there any way to plot emojis in matplotlib?,,,,,,
4,"['python', 'matplotlib']","{'account_id': 10544660, 'reputation': 782, 'user_id': 7769344, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/29b88a403397edf43a853be33ad1b4cd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tahlil', 'link': 'https://stackoverflow.com/users/7769344/tahlil'}",False,101,1,0,1668883475,1590771476,,62091026,CC BY-SA 4.0,https://stackoverflow.com/questions/62091026/get-the-width-of-the-rectangle-in-the-plot-created-using-matplootlib,Get the width of the rectangle in the plot created using matplootlib,,,,,,
5,"['python', 'pygame']","{'account_id': 7322082, 'reputation': 190621, 'user_id': 5577765, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Sxn9i.png?s=256&g=1', 'display_name': 'Rabbid76', 'link': 'https://stackoverflow.com/users/5577765/rabbid76'}",True,2341,1,5,1668859226,1590439178,1668859226.0,62010434,CC BY-SA 4.0,https://stackoverflow.com/questions/62010434/how-do-i-get-the-snake-to-grow-and-chain-the-movement-of-the-snakes-body,How do I get the snake to grow and chain the movement of the snake&#39;s body?,62010435.0,,,,,
6,"['python', 'python-3.x', 'multiprocessing', 'pytest']","{'account_id': 1035149, 'reputation': 14916, 'user_id': 1042646, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/be235d7145f1740e8f275b6e6014c822?s=256&d=identicon&r=PG', 'display_name': 'Punter Vicky', 'link': 'https://stackoverflow.com/users/1042646/punter-vicky'}",True,195,1,1,1668784557,1588709158,1588710323.0,61622084,CC BY-SA 4.0,https://stackoverflow.com/questions/61622084/test-multiprocessing-implementation-in-python,Test Multiprocessing Implementation in python,74491710.0,,,,,
7,"['python', 'amazon-web-services', 'unit-testing', 'boto', 'moto']","{'account_id': 1016892, 'reputation': 25031, 'user_id': 1028270, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/lJIL5.png?s=256&g=1', 'display_name': 'red888', 'link': 'https://stackoverflow.com/users/1028270/red888'}",True,4494,3,3,1668772623,1590471118,1643239464.0,62015260,CC BY-SA 4.0,https://stackoverflow.com/questions/62015260/sns-mocking-with-moto-is-not-working-correctly,SNS mocking with moto is not working correctly,62023325.0,,,,,
8,"['python', 'datetime', 'pytz']","{'account_id': 2407857, 'reputation': 481, 'user_id': 2103784, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/owt30.jpg?s=256&g=1', 'display_name': 'spatialaustin', 'link': 'https://stackoverflow.com/users/2103784/spatialaustin'}",True,1078,2,1,1668681543,1590871630,1590871943.0,62108487,CC BY-SA 4.0,https://stackoverflow.com/questions/62108487/how-to-convert-a-localized-timestamp-to-utc-using-python,How to convert a localized timestamp to UTC using Python?,62108488.0,,,,,
9,"['python', 'function', 'input']","{'account_id': 18600536, 'reputation': 11, 'user_id': 13555471, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgJZ9L1IXD7v6kgSsFgKikmjrUoP-Wq-rFNIFO-rA=k-s256', 'display_name': 'Siaopei ching', 'link': 'https://stackoverflow.com/users/13555471/siaopei-ching'}",False,46,2,0,1668666997,1589814055,1589864227.0,61872542,CC BY-SA 4.0,https://stackoverflow.com/questions/61872542/bmi-calculator-how-do-restart-the-calculator-to-go-back-to-yes-no-at-the-top,bmi calculator how do restart the calculator to go back to yes/no at the top,,,,,,
