,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,migrated_from,closed_date,closed_reason
0,"['python', 'jupyter-notebook', 'amazon-sagemaker']","{'account_id': 15785507, 'reputation': 11, 'user_id': 11390414, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/p3w9x.jpg?s=256&g=1', 'display_name': 'Naider', 'link': 'https://stackoverflow.com/users/11390414/naider'}",True,5592,4,1,1669195305,1555838885,1555874946.0,55781509,CC BY-SA 4.0,https://stackoverflow.com/questions/55781509/automate-the-execution-of-a-ipynb-file-in-sagemaker,Automate the execution of a .ipynb file in SageMaker,,,,,
1,"['python', 'pytest', 'python-asyncio', 'pytest-asyncio']","{'account_id': 2513745, 'reputation': 726, 'user_id': 2185599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/01abbbf76361dc2d9c9f24227331e86b?s=256&d=identicon&r=PG', 'display_name': 'T Tse', 'link': 'https://stackoverflow.com/users/2185599/t-tse'}",True,2940,3,12,1669169851,1555314995,1556088340.0,55684737,CC BY-SA 4.0,https://stackoverflow.com/questions/55684737/how-to-timeout-an-async-test-in-pytest-with-fixture,How to timeout an async test in pytest with fixture?,55693498.0,,,,
2,"['python', 'nltk']","{'account_id': 13488457, 'reputation': 1, 'user_id': 10540191, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Heather', 'link': 'https://stackoverflow.com/users/10540191/heather'}",False,72,1,0,1669039641,1555054713,1555054758.0,55646710,CC BY-SA 4.0,https://stackoverflow.com/questions/55646710/basic-question-about-python-code-on-nltksent-lists-for-in,"basic question about python code on NLTK(sent(), list(s), for ~in~)",,,,,
3,"['python', 'numba']","{'account_id': 11912197, 'reputation': 143, 'user_id': 8717079, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b85e3cd9ea14abfd09b831c382a0f06e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ilan', 'link': 'https://stackoverflow.com/users/8717079/ilan'}",True,1054,1,4,1669020936,1554400901,,55522355,CC BY-SA 4.0,https://stackoverflow.com/questions/55522355/is-there-a-way-to-include-string-attributes-in-numba-jitclass,Is there a way to include string attributes in numba jitclass?,55522750.0,,,,
4,"['python', 'pygame']","{'account_id': 11280123, 'reputation': 1017, 'user_id': 8272888, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/bRUzh.jpg?s=256&g=1', 'display_name': 'sam-pyt', 'link': 'https://stackoverflow.com/users/8272888/sam-pyt'}",False,63,1,1,1668979578,1556467460,,55892066,CC BY-SA 4.0,https://stackoverflow.com/questions/55892066/arbitrary-polygon-with-transparency-in-pygame,arbitrary polygon with transparency in pygame,,,,,
5,"['python', 'numerical-methods', 'runge-kutta', 'lorenz-system']","{'account_id': 14094222, 'reputation': 13, 'user_id': 11420877, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-unUONgZLWDw/AAAAAAAAAAI/AAAAAAAAAEk/5_ZE7babSzs/photo.jpg?sz=256', 'display_name': 'Mat&#237;as Saavedra', 'link': 'https://stackoverflow.com/users/11420877/mat%c3%adas-saavedra'}",True,255,3,1,1668910275,1556397715,1592644375.0,55884705,CC BY-SA 4.0,https://stackoverflow.com/questions/55884705/runge-kutta-constants-diverging-for-lorenz-system,Runge Kutta constants diverging for Lorenz system?,55885733.0,,,,
6,"['python', 'regex', 'string', 'replace', 'strip']","{'account_id': 15769367, 'reputation': 33, 'user_id': 11378849, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2317009095185895/picture?type=large', 'display_name': 'Deeface', 'link': 'https://stackoverflow.com/users/11378849/deeface'}",True,508,5,3,1668907069,1555596773,1556093725.0,55747901,CC BY-SA 4.0,https://stackoverflow.com/questions/55747901/how-to-remove-characters-from-string,How to remove characters from string?,55747999.0,,,,
7,"['python', 'tensorflow']","{'account_id': 4497446, 'reputation': 3225, 'user_id': 3656912, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/4TOOK.jpg?s=256&g=1', 'display_name': 'Romeo Kienzler', 'link': 'https://stackoverflow.com/users/3656912/romeo-kienzler'}",True,19245,3,11,1668873520,1554467689,1559413684.0,55535518,CC BY-SA 4.0,https://stackoverflow.com/questions/55535518/modulenotfounderror-no-module-named-tensorflow-docs-when-creating-tensorflow,ModuleNotFoundError: No module named &#39;tensorflow_docs&#39; when creating TensorFlow docs,,,,,
8,"['python', 'command-prompt']","{'account_id': 14901044, 'reputation': 129, 'user_id': 10759858, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/--XsqVF2UaqU/AAAAAAAAAAI/AAAAAAAACOw/A07R65ukhOc/photo.jpg?sz=256', 'display_name': 'Toykan Ozdeger', 'link': 'https://stackoverflow.com/users/10759858/toykan-ozdeger'}",False,9619,1,3,1668852290,1556625286,1556627796.0,55920419,CC BY-SA 4.0,https://stackoverflow.com/questions/55920419/how-to-write-to-command-line-using-python,How to write to command line using python,,,,,
9,"['python', 'django', 'django-models', 'django-import-export']","{'account_id': 15668296, 'reputation': 147, 'user_id': 11305516, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68461f1df340ac373ee6b58a62c7acca?s=256&d=identicon&r=PG&f=1', 'display_name': 'Venugopal srinivasan', 'link': 'https://stackoverflow.com/users/11305516/venugopal-srinivasan'}",True,1029,1,1,1668687230,1554295756,,55495624,CC BY-SA 4.0,https://stackoverflow.com/questions/55495624/how-to-import-excel-files-in-django-that-has-a-foreign-key,How to import excel files in django that has a foreign key?,,,,,
