,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,community_owned_date,migrated_from
0,"['python', 'string', 'split']","{'account_id': 1283299, 'reputation': 5557, 'user_id': 1236878, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c56e1cc9f34567afadbabc658d1da194?s=256&d=identicon&r=PG', 'display_name': 'Brandon L Burnett', 'link': 'https://stackoverflow.com/users/1236878/brandon-l-burnett'}",True,557109,1550157752.0,18,554,1669525290,1330393704,1664672673.0,9475241,CC BY-SA 4.0,https://stackoverflow.com/questions/9475241/split-string-every-nth-character,Split string every nth character?,,,,,
1,"['python', 'ssh', 'paramiko']","{'account_id': 1282462, 'reputation': 879, 'user_id': 1236254, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://i.stack.imgur.com/h273l.jpg?s=256&g=1', 'display_name': 'marcelorodrigues', 'link': 'https://stackoverflow.com/users/1236254/marcelorodrigues'}",True,53801,,4,8,1669153538,1330369015,1554386831.0,9470584,CC BY-SA 4.0,https://stackoverflow.com/questions/9470584/python-paramiko-run-command,Python Paramiko - Run command,9470642.0,,,,
2,"['python', 'string-formatting']","{'account_id': 1021552, 'reputation': 1504, 'user_id': 1031765, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/3d62d466b6e7bdc7a3854b1a919e8366?s=256&d=identicon&r=PG', 'display_name': 'George Osterweil', 'link': 'https://stackoverflow.com/users/1031765/george-osterweil'}",True,112770,,3,99,1669113734,1329002160,1528395092.0,9244909,CC BY-SA 4.0,https://stackoverflow.com/questions/9244909/how-to-implement-conditional-string-formatting,How to implement conditional string formatting?,9244925.0,,,,
3,"['python', 'import', 'module', 'package']","{'user_type': 'does_not_exist', 'display_name': 'user623990'}",True,446127,,13,188,1668784566,1329848839,1329849555.0,9383014,CC BY-SA 3.0,https://stackoverflow.com/questions/9383014/cant-import-my-own-modules-in-python,Can&#39;t import my own modules in Python,9383295.0,,,,
4,"['python', 'if-statement']","{'account_id': 1228297, 'reputation': 10009, 'user_id': 1247509, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/e007b9fffa791bb9932086f44ed87c66?s=256&d=identicon&r=PG', 'display_name': 'Billjk', 'link': 'https://stackoverflow.com/users/1247509/billjk'}",True,103318,,9,101,1668776682,1329193750,1547344847.0,9271712,CC BY-SA 4.0,https://stackoverflow.com/questions/9271712/difference-between-multiple-ifs-and-elifs,Difference between multiple if&#39;s and elif&#39;s?,9271755.0,,,,
5,"['python', 'command-line', 'module', 'automation', 'command']","{'account_id': 57557, 'reputation': 18593, 'user_id': 172406, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/e750df851299d1c7d627f063a6e46980?s=256&d=identicon&r=PG', 'display_name': 'vfclists', 'link': 'https://stackoverflow.com/users/172406/vfclists'}",True,190,,4,1,1668690902,1328580303,,9170074,CC BY-SA 3.0,https://stackoverflow.com/questions/9170074/does-python-have-a-module-for-scripting-command-line-tasks,Does Python have a module for scripting command line tasks?,9170081.0,,,,
6,"['python', 'class', 'overriding', 'abstract-class']","{'account_id': 1276275, 'reputation': 333, 'user_id': 1231459, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/293d054d743a27e6981d258f1cb1b273?s=256&d=identicon&r=PG', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/1231459/brian'}",True,11496,,10,33,1668542334,1330111144,1635685046.0,9436681,CC BY-SA 4.0,https://stackoverflow.com/questions/9436681/how-to-detect-method-overloading-in-subclasses-in-python,How to detect method overloading in subclasses in python?,9437294.0,,,,
7,"['python', 'string', 'buffer']","{'account_id': 290983, 'reputation': 17315, 'user_id': 592851, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/21dc54ace246ac7672dabd01ae82ed2f?s=256&d=identicon&r=PG', 'display_name': 'tMC', 'link': 'https://stackoverflow.com/users/592851/tmc'}",True,3809,,3,5,1668537149,1328822940,,9219093,CC BY-SA 3.0,https://stackoverflow.com/questions/9219093/python-string-fifo,Python string FIFO,9220197.0,,,,
8,"['python', 'decorator', 'urllib2', 'urllib3']","{'account_id': 108651, 'reputation': 11965, 'user_id': 288280, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/O3uY8.jpg?s=256&g=1', 'display_name': 'iTayb', 'link': 'https://stackoverflow.com/users/288280/itayb'}",True,32898,,4,38,1668532829,1330191976,1595842559.0,9446387,CC BY-SA 4.0,https://stackoverflow.com/questions/9446387/how-to-retry-urllib2-request-when-fails,How to retry urllib2.request when fails?,9446765.0,,,,
9,"['python', 'self-reference']","{'account_id': 1247020, 'reputation': 3193, 'user_id': 1208245, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/232cc2bf994f2cc62500f647d2903486?s=256&d=identicon&r=PG', 'display_name': 'depling', 'link': 'https://stackoverflow.com/users/1208245/depling'}",True,344810,,6,302,1667907044,1329191555,1666377646.0,9271464,CC BY-SA 4.0,https://stackoverflow.com/questions/9271464/what-does-the-file-variable-mean-do,what does the __file__ variable mean/do?,,,,,
