,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,protected_date,migrated_from
0,"['python', 'list']","{'account_id': 10839766, 'reputation': 5142, 'user_id': 8200485, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/f6663ff2d61581b26bd021b3ce6b6376?s=256&d=identicon&r=PG', 'display_name': 'hyper-neutrino', 'link': 'https://stackoverflow.com/users/8200485/hyper-neutrino'}",True,2281,9,5,1669027280,1557927691,1557928159.0,56150856,CC BY-SA 4.0,https://stackoverflow.com/questions/56150856/python-insert-element-based-on-condition,Python insert element based on condition,,,,,
1,"['python', 'machine-learning', 'scikit-learn', 'cluster-analysis']","{'account_id': 14160967, 'reputation': 69, 'user_id': 10230283, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3c9b6a3ec281fdefa4973e0f960b734?s=256&d=identicon&r=PG&f=1', 'display_name': 'JQPx', 'link': 'https://stackoverflow.com/users/10230283/jqpx'}",False,688,2,0,1669010390,1556983305,,55983983,CC BY-SA 4.0,https://stackoverflow.com/questions/55983983/predict-new-data-based-on-previously-clustered-set,Predict new data based on previously clustered set,,,,,
2,"['python', 'file']","{'account_id': 9963585, 'reputation': 45, 'user_id': 7371991, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PiKP8.png?s=256&g=1', 'display_name': 'Billys Tutorial', 'link': 'https://stackoverflow.com/users/7371991/billys-tutorial'}",False,2459,1,0,1668990024,1558055551,,56178354,,https://stackoverflow.com/questions/56178354/how-to-fix-io-unsupportedoperation-file-not-open-for-writing-error,How to fix &quot;io.UnsupportedOperation: File not open for writing&quot; Error?,1558068853.0,Duplicate,,,
3,"['python', 'scipy', 'numerical-methods', 'ode']","{'account_id': 15698318, 'reputation': 17, 'user_id': 11327093, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-uppwUP3PqOI/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf7RvnYpMbgVQ8EJXpDBW2TIJJrRw/mo/photo.jpg?sz=256', 'display_name': 'wjelly', 'link': 'https://stackoverflow.com/users/11327093/wjelly'}",False,796,1,0,1668955017,1557572286,1668955017.0,56089651,CC BY-SA 4.0,https://stackoverflow.com/questions/56089651/not-subscriptable-problem-python-ode-solve,&quot;not subscriptable&quot; problem -python ode solve,,,,,
4,"['python', 'ascii', 'circular-list', 'alphabet']","{'account_id': 15975075, 'reputation': 41, 'user_id': 11528201, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-pjUk5eOBJjo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdrcNzvUBDRb_eXPmyyJXheKHcZEg/mo/photo.jpg?sz=256', 'display_name': 'Kati', 'link': 'https://stackoverflow.com/users/11528201/kati'}",True,1932,4,1,1668831339,1559130871,,56360035,CC BY-SA 4.0,https://stackoverflow.com/questions/56360035/how-to-create-a-circular-alphabet-in-python-so-that-the-letter-after-z-is-a-and,How to create a circular Alphabet in Python so that the letter after z is a and the letter before a is z,,,56360184.0,,
5,"['python', 'python-3.x', 'amazon-dynamodb', 'uuid']","{'account_id': 4321912, 'reputation': 1999, 'user_id': 3529833, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mojimi', 'link': 'https://stackoverflow.com/users/3529833/mojimi'}",True,7063,4,12,1668699731,1557778351,1558014319.0,56119272,CC BY-SA 4.0,https://stackoverflow.com/questions/56119272/how-to-generate-a-time-ordered-uid-in-python,How to generate a time-ordered uid in Python?,,,56170084.0,,
6,"['python', 'pandas', 'group-by', 'pandas-groupby']","{'user_type': 'does_not_exist', 'display_name': 'user11505060'}",True,1788,2,1,1668634357,1558672587,1558715116.0,56285925,CC BY-SA 4.0,https://stackoverflow.com/questions/56285925/aggregate-daily-data-by-month-and-an-additional-column,Aggregate daily data by month and an additional column,,,56285950.0,,
7,"['python', 'pandas', 'jupyter-notebook', 'pandas-styles']","{'account_id': 349280, 'reputation': 1843, 'user_id': 5115219, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/1e4daf0bfeb7f86112ad1ba5e32ca41b?s=256&d=identicon&r=PG', 'display_name': 'Ugur', 'link': 'https://stackoverflow.com/users/5115219/ugur'}",False,1849,2,10,1668617044,1558041299,1630888361.0,56176720,CC BY-SA 4.0,https://stackoverflow.com/questions/56176720/changing-style-of-pandas-dataframe-permanently,Changing style of pandas.DataFrame: Permanently?,,,,,
8,"['python', 'dictionary', 'set', 'time-complexity', 'add']","{'account_id': 11607556, 'reputation': 27, 'user_id': 8502759, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b97d3464a0d4a5c7d61823561ae3ef7?s=256&d=identicon&r=PG&f=1', 'display_name': 'block-ch', 'link': 'https://stackoverflow.com/users/8502759/block-ch'}",True,133,2,1,1668463108,1556805756,1556807461.0,55954204,CC BY-SA 4.0,https://stackoverflow.com/questions/55954204/is-add-operation-in-set-or-insert-in-dict-in-python-actually-on-where,Is &quot;add&quot; operation in set() or &quot;insert&quot; in dict() in Python actually O(n) where n is the length of the key string?,,,55954526.0,,
9,"['python', 'cv2']","{'account_id': 13232915, 'reputation': 71, 'user_id': 11138610, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd54d702c7ece6ae7d779c6d85e1eaac?s=256&d=identicon&r=PG&f=1', 'display_name': 'CZP3', 'link': 'https://stackoverflow.com/users/11138610/czp3'}",True,498,2,2,1668452328,1558744279,1558773683.0,56300792,CC BY-SA 4.0,https://stackoverflow.com/questions/56300792/how-to-fix-images-being-written-to-video-in-random-order,How to Fix Images Being Written to Video in Random Order,,,56300855.0,,
10,"['python', 'python-3.x', 'plotly-python', 'gantt-chart']","{'account_id': 11485683, 'reputation': 71, 'user_id': 8418433, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-c0OE_XD77PY/AAAAAAAAAAI/AAAAAAAABOM/jhUHrA9HGwo/photo.jpg?sz=256', 'display_name': 'Ayon Dey', 'link': 'https://stackoverflow.com/users/8418433/ayon-dey'}",True,8882,1,7,1668443828,1557255823,1668443828.0,56029002,CC BY-SA 4.0,https://stackoverflow.com/questions/56029002/how-to-cluster-gantt-bars-without-overlap,How to cluster Gantt bars without overlap?,,,,,
11,"['python', 'syntax']","{'account_id': 15944068, 'reputation': 3, 'user_id': 11505175, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/311244996477326/picture?type=large', 'display_name': 'James Zheng', 'link': 'https://stackoverflow.com/users/11505175/james-zheng'}",True,52,3,-6,1668361470,1557934858,1668361470.0,56153131,CC BY-SA 4.0,https://stackoverflow.com/questions/56153131/there-is-an-error-in-your-program-invalid-syntax-python-2-7-15,there is an error in your program invalid syntax python 2.7.15,,,,,
12,"['python', 'python-2.7']","{'account_id': 15725555, 'reputation': 89, 'user_id': 11347311, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-yL1PU0T08vw/AAAAAAAAAAI/AAAAAAAAAKY/S62v61Klfes/photo.jpg?sz=256', 'display_name': 'Logan Holmes', 'link': 'https://stackoverflow.com/users/11347311/logan-holmes'}",False,15109,5,2,1668316080,1556639950,1556649862.0,55924768,CC BY-SA 4.0,https://stackoverflow.com/questions/55924768/what-else-do-i-need-for-codehs-8-3-8-word-ladder,What else do I need for CodeHS 8.3.8: Word Ladder?,,,,,
13,"['python', 'numpy', 'image-processing', 'integer-overflow', 'numpy-ndarray']","{'account_id': 5684901, 'reputation': 837, 'user_id': 4494781, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/4286460e5acab54888caa828913e6244?s=256&d=identicon&r=PG&f=1', 'display_name': 'PiRK', 'link': 'https://stackoverflow.com/users/4494781/pirk'}",True,388,1,0,1668286099,1557243137,1557244307.0,56026014,,https://stackoverflow.com/questions/56026014/how-to-truncate-an-array-of-uint8-rather-than-overflow-when-adding-a-value,"how to truncate an array of uint8 rather than overflow, when adding a value?",1668287639.0,Duplicate,,,
14,"['python', 'dictionary']","{'account_id': 15764129, 'reputation': 31, 'user_id': 11375051, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fZgI2.jpg?s=256&g=1', 'display_name': 'R.Bannon', 'link': 'https://stackoverflow.com/users/11375051/r-bannon'}",True,112,4,3,1668282129,1557091191,1557091514.0,55996523,CC BY-SA 4.0,https://stackoverflow.com/questions/55996523/how-to-write-a-function-that-finds-the-mode-of-a-list-and-saves-it-as-dictionary,How to write a function that finds the mode of a list and saves it as dictionary?,,,,,
