,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['c++', 'generics', 'stl', 'c++17', 'callable']","{'account_id': 10510102, 'reputation': 87, 'user_id': 7746089, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e28d80de1e0dc83c65065ce143f467c7?s=256&d=identicon&r=PG&f=1', 'display_name': 'pettitpeon', 'link': 'https://stackoverflow.com/users/7746089/pettitpeon'}",True,336,3,2,1669150088,1592929434,62539394,CC BY-SA 4.0,https://stackoverflow.com/questions/62539394/c17-how-to-save-a-generic-callable-for-later-use,C++17 How to save a generic callable for later use,,,,,
1,"['c++', 'ansi']","{'user_type': 'does_not_exist', 'display_name': 'user12945091'}",False,393,1,0,1668633152,1592648265,62484496,CC BY-SA 4.0,https://stackoverflow.com/questions/62484496/get-terminal-size-using-ansi-escape-codes,Get terminal size (using ANSI escape codes),1668633152.0,,,,
2,"['c++', 'unordered-map']","{'account_id': 6970461, 'reputation': 6872, 'user_id': 5348875, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e050e66d97a3f54b0453533428088e6c?s=256&d=identicon&r=PG', 'display_name': 'Daniel', 'link': 'https://stackoverflow.com/users/5348875/daniel'}",True,2460,3,0,1668545283,1592723193,62495482,CC BY-SA 4.0,https://stackoverflow.com/questions/62495482/what-does-unordered-map-returns-when-looking-for-a-key-that-doesnt-exist,What does unordered_map returns when looking for a key that doesn&#39;t exist,,62495508.0,,,
3,"['c++', 'language-lawyer']","{'account_id': 1988549, 'reputation': 11140, 'user_id': 1783163, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/BfUwH.jpg?s=256&g=1', 'display_name': 'peterh', 'link': 'https://stackoverflow.com/users/1783163/peterh'}",True,297,2,-1,1668163231,1592402011,62430684,CC BY-SA 4.0,https://stackoverflow.com/questions/62430684/why-c-requires-public-inheritance-ignoring-friend-declarations-to-make-dynam,"Why C++ requires public inheritance, ignoring friend declarations, to make dynamic downcast working?",1592472054.0,62448359.0,,,
4,"['c++', 'arduino', 'stl', 'arduino-esp8266']","{'account_id': 3742978, 'reputation': 379, 'user_id': 3112345, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/s4hI8.gif?s=256&g=1', 'display_name': 'Alexander Hamilton', 'link': 'https://stackoverflow.com/users/3112345/alexander-hamilton'}",False,1697,2,2,1667579891,1591414805,62227006,CC BY-SA 4.0,https://stackoverflow.com/questions/62227006/arduino-compiler-and-stl-using-stdvector-and-stdmap,Arduino compiler and STL: Using std::vector and std::map,1591501183.0,,,,
5,"['c++', 'language-lawyer', 'nan', 'c++20', 'spaceship-operator']","{'user_type': 'does_not_exist', 'display_name': 'user13540365'}",True,277,1,7,1667332876,1593475624,62648411,CC BY-SA 4.0,https://stackoverflow.com/questions/62648411/spaceship-operator-on-nan,Spaceship Operator on NaN,1667332876.0,62648488.0,,,
6,"['c++', 'pow']","{'account_id': 17126393, 'reputation': 181, 'user_id': 12393492, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa7c83bb83536014830131bb8407516f?s=256&d=identicon&r=PG&f=1', 'display_name': 'imtinan', 'link': 'https://stackoverflow.com/users/12393492/imtinan'}",True,156,2,-1,1667111007,1591085529,62147604,,https://stackoverflow.com/questions/62147604/output-of-pow-function-in-c-is-not-giving-accurate-answer,Output of pow() function in C++ is not giving accurate answer,1667111007.0,62147810.0,1591096236.0,Duplicate,
7,"['c++', 'algorithm', 'numbers']","{'account_id': 12036846, 'reputation': 31, 'user_id': 9918696, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf1dc98625b76d014a624ac2a855a75b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jitesh', 'link': 'https://stackoverflow.com/users/9918696/jitesh'}",False,2987,3,2,1666759771,1592193301,62381102,CC BY-SA 4.0,https://stackoverflow.com/questions/62381102/special-numbers-having-only-2-and-5-as-its-digit,Special Numbers having only 2 and 5 as its digit,1592194260.0,,,,
8,"['c++', 'c++20', 'range-v3', 'std-ranges']","{'account_id': 16123273, 'reputation': 26982, 'user_id': 11638718, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/359a4a973e6a1f850f94f71bf09a47f6?s=256&d=identicon&r=PG&f=1', 'display_name': '康桓瑋', 'link': 'https://stackoverflow.com/users/11638718/%e5%ba%b7%e6%a1%93%e7%91%8b'}",True,1564,2,5,1666632622,1592502909,62456383,CC BY-SA 4.0,https://stackoverflow.com/questions/62456383/concatenate-multiple-range-adaptors-into-one-single-ranges-in-c20,Concatenate multiple range adaptors into one single ranges in C++20,,62456584.0,,,
9,"['c++', 'c']","{'account_id': 18663049, 'reputation': 169, 'user_id': 13603774, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-CGMVx_H-HwI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDYK2L4yVul7BhkhevCVJMuZmaIQ/photo.jpg?sz=256', 'display_name': 'tan', 'link': 'https://stackoverflow.com/users/13603774/tan'}",True,15968,6,13,1666600027,1592075576,62364507,CC BY-SA 4.0,https://stackoverflow.com/questions/62364507/compiled-c-executable-is-detected-as-a-virus-by-windows-defender,Compiled C executable is detected as a virus by windows defender,1592123523.0,,,,
