,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,community_owned_date,migrated_from,locked_date
0,"['c++', 'c', 'string']","{'account_id': 1869102, 'reputation': 1109, 'user_id': 1691818, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b166b7576366612b54f9c0d46d3abe8f?s=256&d=identicon&r=PG', 'display_name': 'OneMore', 'link': 'https://stackoverflow.com/users/1691818/onemore'}",True,13331,14095175.0,7,15,1669515912,1356901345,14094621,CC BY-SA 3.0,https://stackoverflow.com/questions/14094621/change-all-accented-letters-to-normal-letters-in-c,Change all accented letters to normal letters in C++,,,,,,,
1,"['c++', 'visual-studio', 'visual-c++', 'dll', 'mfc']","{'account_id': 21139, 'reputation': 44713, 'user_id': 51170, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/82d942c970e170236337221f754807dc?s=256&d=identicon&r=PG', 'display_name': 'Matt Davis', 'link': 'https://stackoverflow.com/users/51170/matt-davis'}",True,3562,13961114.0,2,4,1669117091,1355950281,13960949,CC BY-SA 3.0,https://stackoverflow.com/questions/13960949/afxloadlibrary-vs-loadlibrary,AfxLoadLibrary vs. LoadLibrary,,,,,,,
2,"['c++', 'c++11', 'enums', 'doxygen']","{'account_id': 1228151, 'reputation': 3037, 'user_id': 1419479, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f012fce9f997ceefa53283631d45de0d?s=256&d=identicon&r=PG', 'display_name': 'Corey Richardson', 'link': 'https://stackoverflow.com/users/1419479/corey-richardson'}",True,68230,,3,44,1669080571,1354826631,13752191,CC BY-SA 3.0,https://stackoverflow.com/questions/13752191/documenting-enum-values-with-doxygen,Documenting enum values with doxygen,1354853689.0,,,,,,
3,"['c++', 'c', 'ssh', 'sftp', 'libssh']","{'account_id': 2102518, 'reputation': 696, 'user_id': 1869741, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c0f291b977b2099cf9c183aafa6d6a10?s=256&d=identicon&r=PG', 'display_name': 'Raphael Teubner', 'link': 'https://stackoverflow.com/users/1869741/raphael-teubner'}",True,19528,13692035.0,3,11,1668874991,1354568088,13691520,CC BY-SA 4.0,https://stackoverflow.com/questions/13691520/how-to-copy-a-file-in-c-c-with-libssh-and-sftp,How to copy a file in C/C++ with libssh and SFTP,1620638289.0,,,,,,
4,"['c++', 'c++11', 'std', 'unordered-set', 'weak-ptr']","{'account_id': 1499487, 'reputation': 575, 'user_id': 1404617, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/5e98d3ff78835542cfba0a7cecb8b3c1?s=256&d=identicon&r=PG', 'display_name': 'user1404617', 'link': 'https://stackoverflow.com/users/1404617/user1404617'}",True,9376,13706309.0,4,15,1668715237,1354591842,13695640,CC BY-SA 3.0,https://stackoverflow.com/questions/13695640/how-to-make-a-c11-stdunordered-set-of-stdweak-ptr,How to make a c++11 std::unordered_set of std::weak_ptr,1442231129.0,,,,,,
5,"['c++', 'winapi', 'visual-studio-2012']","{'user_type': 'does_not_exist', 'display_name': 'user1182183'}",True,2475,14031357.0,3,5,1668674467,1356391918,14026496,CC BY-SA 3.0,https://stackoverflow.com/questions/14026496/sendinput-sends-num8-when-i-want-to-send-vk-up-how-come,SendInput sends &quot;num8&quot; when I want to send &quot;vk_up&quot; ? How come?,,,,,,,
6,"['c++', 'cmake']","{'account_id': 49441, 'reputation': 276453, 'user_id': 147192, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/E78Vj.png?s=256&g=1', 'display_name': 'Matthieu M.', 'link': 'https://stackoverflow.com/users/147192/matthieu-m'}",True,712527,13703725.0,12,366,1668248830,1354626294,13703647,CC BY-SA 4.0,https://stackoverflow.com/questions/13703647/how-to-properly-add-include-directories-with-cmake,How to properly add include directories with CMake,1667007486.0,,,,,,
7,"['c++', 'windows']","{'account_id': 2088050, 'reputation': 169, 'user_id': 1858488, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1b3b647450b2ff62f959e46b4ec3e46b?s=256&d=identicon&r=PG', 'display_name': 'Biostreem', 'link': 'https://stackoverflow.com/users/1858488/biostreem'}",True,12409,13662285.0,3,3,1668077696,1354383536,13661912,CC BY-SA 3.0,https://stackoverflow.com/questions/13661912/c-createwindowex-returns-null,C++ CreateWindowEx returns NULL,1354384448.0,,,,,,
8,"['c++', 'c', 'heap-memory', 'stack-memory']","{'account_id': 197478, 'reputation': 4282, 'user_id': 441575, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5850d3950f566e69b3c1f176a115f5ea?s=256&d=identicon&r=PG&f=1', 'display_name': 'Raj', 'link': 'https://stackoverflow.com/users/441575/raj'}",True,12491,13720219.0,7,21,1667908473,1354698354,13719563,CC BY-SA 4.0,https://stackoverflow.com/questions/13719563/how-to-find-if-a-variable-is-allocated-in-stack-or-heap,How to find if a variable is allocated in stack or heap?,1623773537.0,,,,,,
9,['c++'],"{'account_id': 188140, 'reputation': 41, 'user_id': 426696, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9eb777b749db972e09e838410dd725e7?s=256&d=identicon&r=PG', 'display_name': 'skidmarks', 'link': 'https://stackoverflow.com/users/426696/skidmarks'}",True,5293,,3,4,1667090172,1355700937,13906570,CC BY-SA 3.0,https://stackoverflow.com/questions/13906570/how-to-use-typeid-to-store-a-type-info-object,How to use typeid to store a type_info object,,,,,,,
