,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['c++', 'stl-algorithm', 'stdset']","{'account_id': 1382925, 'reputation': 16584, 'user_id': 1315565, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/QXtqX.jpg?s=256&g=1', 'display_name': 'ILikeTacos', 'link': 'https://stackoverflow.com/users/1315565/iliketacos'}",True,111395,13448094.0,6,118,1669105152,1353302259,1642300909.0,13448064,CC BY-SA 4.0,https://stackoverflow.com/questions/13448064/how-to-find-the-intersection-of-two-stl-sets,How to find the intersection of two STL sets?,,,,,
1,"['c++', 'winapi', 'icons']","{'account_id': 938690, 'reputation': 1230, 'user_id': 967162, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LUyVX.png?s=256&g=1', 'display_name': 'Bhupen', 'link': 'https://stackoverflow.com/users/967162/bhupen'}",True,11311,13187774.0,1,9,1667984798,1351815281,1667984798.0,13187453,CC BY-SA 4.0,https://stackoverflow.com/questions/13187453/load-window-icon-dynamically,Load window icon dynamically,,,,,
2,"['c++', 'compilation', 'profiling']","{'account_id': 870221, 'reputation': 1255, 'user_id': 1119818, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/551f59dcef1e4158dc71249bc3e7959a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jack Poulson', 'link': 'https://stackoverflow.com/users/1119818/jack-poulson'}",True,21762,21861251.0,7,91,1667502792,1353911956,1667232526.0,13559818,CC BY-SA 4.0,https://stackoverflow.com/questions/13559818/profiling-the-c-compilation-process,Profiling the C++ compilation process,,,,,
3,"['c++', 'opengl', 'linker-errors', 'glut', 'glew']","{'account_id': 1994858, 'reputation': 1109, 'user_id': 1788024, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/1e0dc0ea761caf9029402fa3d9527aed?s=256&d=identicon&r=PG&f=1', 'display_name': 'BulBul', 'link': 'https://stackoverflow.com/users/1788024/bulbul'}",True,58883,13339710.0,5,12,1667241251,1352703272,1667241251.0,13339444,CC BY-SA 4.0,https://stackoverflow.com/questions/13339444/error-lnk2019-unresolved-external-symbol,error LNK2019: unresolved external symbol,,,,,
4,['c++'],"{'account_id': 423541, 'reputation': 2729, 'user_id': 802997, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/03f53c19a23c299133b7ee4ebb58cb7a?s=256&d=identicon&r=PG&f=1', 'display_name': 'totten', 'link': 'https://stackoverflow.com/users/802997/totten'}",True,125281,13324452.0,5,86,1667054545,1352569197,,13324431,CC BY-SA 3.0,https://stackoverflow.com/questions/13324431/c-vectors-insert-push-back-difference,C++ vector&#39;s insert &amp; push_back difference,,,,,
5,['c++'],"{'account_id': 162071, 'reputation': 4258, 'user_id': 383306, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/H5QnV.png?s=256&g=1', 'display_name': 'Zach Saw', 'link': 'https://stackoverflow.com/users/383306/zach-saw'}",True,680,13565314.0,2,2,1666948316,1353933662,,13565050,CC BY-SA 3.0,https://stackoverflow.com/questions/13565050/replicating-c-cli-multidimensional-array-template-class-in-standard-c,Replicating C++/CLI multidimensional array template class in standard C++,,,,,
6,"['c++', 'eclipse', 'sdl']","{'account_id': 2048777, 'reputation': 9, 'user_id': 1828240, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b3ae75a3919733a716196baace2b82cf?s=256&d=identicon&r=PG', 'display_name': 'Jane Doe', 'link': 'https://stackoverflow.com/users/1828240/jane-doe'}",True,6940,,2,0,1666624691,1353024239,1666624691.0,13408410,CC BY-SA 4.0,https://stackoverflow.com/questions/13408410/sdl-sdl-h-no-such-file-or-directory,SDL/SDL.h: No such file or directory,,,,,
7,"['c++', 'templates']","{'account_id': 2017646, 'reputation': 3080, 'user_id': 1804543, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/u2EW6.jpg?s=256&g=1', 'display_name': 'WhatABeautifulWorld', 'link': 'https://stackoverflow.com/users/1804543/whatabeautifulworld'}",True,162490,13636569.0,6,131,1666374966,1354230905,1462216431.0,13636540,CC BY-SA 3.0,https://stackoverflow.com/questions/13636540/how-to-check-for-the-type-of-a-template-parameter,How to check for the type of a template parameter?,,,,,
8,"['c++', 'opencv', 'matrix']","{'account_id': 1714680, 'reputation': 3402, 'user_id': 1572032, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/ea0597078448c718d9101a7030ed3f4a?s=256&d=identicon&r=PG&f=1', 'display_name': 'E_learner', 'link': 'https://stackoverflow.com/users/1572032/e-learner'}",True,1828,13450516.0,2,2,1666259197,1353314760,,13450245,CC BY-SA 3.0,https://stackoverflow.com/questions/13450245/opencv-declaring-gpu-matrix,OpenCV: declaring GPU matrix,,,,,
9,"['c++', 'c', 'gcc', 'compiler-errors']","{'account_id': 2065243, 'reputation': 2366, 'user_id': 1840861, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/cYn1P.jpg?s=256&g=1', 'display_name': 'Praveen Vinny', 'link': 'https://stackoverflow.com/users/1840861/praveen-vinny'}",True,3562,13667696.0,4,8,1665437572,1354167344,1354733887.0,13619504,CC BY-SA 3.0,https://stackoverflow.com/questions/13619504/why-are-trigraphs-generating-errors-in-modern-c-compilers,Why are trigraphs generating errors in modern C++ compilers?,,,,,
10,"['c++', 'visual-studio', 'cryengine']","{'account_id': 910448, 'reputation': 14932, 'user_id': 944430, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/4d2b181af01c96927ac05eb864d6b7b6?s=256&d=identicon&r=PG', 'display_name': 'Maik Klein', 'link': 'https://stackoverflow.com/users/944430/maik-klein'}",True,26213,13422382.0,2,10,1664848999,1353089679,1592644375.0,13422178,CC BY-SA 4.0,https://stackoverflow.com/questions/13422178/visual-studio-2012-required-file-tracker-exe-is-missing,Visual Studio 2012 - Required file &quot;tracker.exe&quot; is missing,1556984501.0,,,,
11,"['c++', 'c', 'compiler-construction', 'llvm']","{'account_id': 108918, 'reputation': 19849, 'user_id': 1018562, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ca58bb22c2bf586eb0c11e94d79d031e?s=256&d=identicon&r=PG', 'display_name': 'pythonic', 'link': 'https://stackoverflow.com/users/1018562/pythonic'}",True,7904,13348631.0,3,13,1664560269,1352741287,,13348439,CC BY-SA 3.0,https://stackoverflow.com/questions/13348439/how-can-you-print-instruction-in-llvm,How can you print instruction in llvm,,,,,
12,"['c++', 'windows', 'visual-c++', 'unhandled-exception', 'minidump']","{'account_id': 125310, 'reputation': 36004, 'user_id': 321013, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/256c9d534302a138d5d1fe3ed833e217?s=256&d=identicon&r=PG', 'display_name': 'Martin Ba', 'link': 'https://stackoverflow.com/users/321013/martin-ba'}",True,3224,13591900.0,2,8,1664540363,1354042001,1495535244.0,13590980,CC BY-SA 3.0,https://stackoverflow.com/questions/13590980/how-do-i-get-at-the-exception-information-when-using-minidumpwritedump-out-of-pr,How do I get at the exception information when using MiniDumpWriteDump out-of-process?,,,,,
13,"['c++', 'function', 'templates', 'c++11', 'lambda']","{'account_id': 1435945, 'reputation': 868, 'user_id': 1357321, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a140dcb923b5f26469018ca7d764fd30?s=256&d=identicon&r=PG', 'display_name': 'retep998', 'link': 'https://stackoverflow.com/users/1357321/retep998'}",True,37364,13359347.0,10,72,1664103049,1352800769,1352802164.0,13358672,CC BY-SA 3.0,https://stackoverflow.com/questions/13358672/how-to-convert-a-lambda-to-an-stdfunction-using-templates,How to convert a lambda to an std::function using templates,,,,,
14,"['c++', 'cmake', 'compiler-warnings']","{'account_id': 295176, 'reputation': 1663, 'user_id': 599444, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/fe99553ced13df0e05d502c3c3d7b2ab?s=256&d=identicon&r=PG', 'display_name': 'J.B. Brown', 'link': 'https://stackoverflow.com/users/599444/j-b-brown'}",True,95255,13639476.0,4,133,1663570812,1354244557,1503462268.0,13638408,CC BY-SA 3.0,https://stackoverflow.com/questions/13638408/override-compile-flags-for-single-files,Override compile flags for single files,,,,,
15,"['c++', 'cmake']","{'account_id': 26642, 'reputation': 16476, 'user_id': 69537, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/b93340637646c5ad72bfd036f54a2bcd?s=256&d=identicon&r=PG&f=1', 'display_name': 'B Faley', 'link': 'https://stackoverflow.com/users/69537/b-faley'}",True,91899,13429998.0,5,98,1663569278,1353147924,1534948464.0,13429656,CC BY-SA 4.0,https://stackoverflow.com/questions/13429656/how-to-copy-contents-of-a-directory-into-build-directory-after-make-with-cmake,How to copy contents of a directory into build directory after make with CMake?,,,,,
16,"['c++', 'winapi', 'direct2d']","{'account_id': 1003011, 'reputation': 711, 'user_id': 1017443, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/b8f50fbddc62de2a48eaa9c49c55d2fa?s=256&d=identicon&r=PG', 'display_name': 'roohan', 'link': 'https://stackoverflow.com/users/1017443/roohan'}",True,17560,13282752.0,4,18,1663419916,1352345332,1454952984.0,13281964,CC BY-SA 3.0,https://stackoverflow.com/questions/13281964/gdi-versus-direct2d,GDI versus Direct2D,,,,,
17,"['c++', 'linux', 'unix', 'compiler-construction', 'codeblocks']","{'account_id': 1243847, 'reputation': 7462, 'user_id': 1205745, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/a11ba35d089eaa7eeb31a15a7b93240c?s=256&d=identicon&r=PG', 'display_name': 'Dnaiel', 'link': 'https://stackoverflow.com/users/1205745/dnaiel'}",True,24821,13518088.0,2,17,1662755210,1353607015,1662708356.0,13517938,CC BY-SA 4.0,https://stackoverflow.com/questions/13517938/how-to-start-a-codeblocks-project-from-external-code-and-makefile,How to start a CodeBlocks project from external code and Makefile?,,,,,
18,"['c++', 'c', 'function']","{'account_id': 1571474, 'reputation': 3751, 'user_id': 1459075, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/03de08b8f6ad55b8a15739656cc91daa?s=256&d=identicon&r=PG', 'display_name': 'Brandon Ling', 'link': 'https://stackoverflow.com/users/1459075/brandon-ling'}",True,57763,13327186.0,6,53,1662450241,1352590596,1543767149.0,13327155,CC BY-SA 4.0,https://stackoverflow.com/questions/13327155/memset-definition-and-use,Memset Definition and use,,,,,
19,"['c++', 'fstream']","{'account_id': 1695295, 'reputation': 643, 'user_id': 1556775, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/f724537368c442aabf9dce91c19460a6?s=256&d=identicon&r=PG', 'display_name': 'robertpas', 'link': 'https://stackoverflow.com/users/1556775/robertpas'}",True,16381,,5,1,1662444828,1352547249,,13321644,CC BY-SA 3.0,https://stackoverflow.com/questions/13321644/c-using-fstream,C++ using fstream,,,,,
20,"['c++', 'oop', 'templates', 'methods', 'implementation']","{'account_id': 1803884, 'reputation': 2227, 'user_id': 1641463, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/510e9c3db6d49f63e86176536f01484d?s=256&d=identicon&r=PG', 'display_name': 'Brandon Miller', 'link': 'https://stackoverflow.com/users/1641463/brandon-miller'}",True,29228,13351734.0,4,17,1662292428,1352754021,1595401215.0,13351474,CC BY-SA 4.0,https://stackoverflow.com/questions/13351474/c-separate-declaration-definition-for-template-function-in-template-class,C++ - Separate declaration/definition for template function in template class,,,,,
21,['c++'],"{'account_id': 1959080, 'reputation': 81, 'user_id': 1761260, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/0a408ccd7ec841f70c8538125fef5b37?s=256&d=identicon&r=PG', 'display_name': 'SUE', 'link': 'https://stackoverflow.com/users/1761260/sue'}",False,8163,,5,0,1662271650,1353972840,,13575010,CC BY-SA 3.0,https://stackoverflow.com/questions/13575010/how-to-add-dot-character-to-a-character-in-string,How to add dot character to a character in string?,,,,,
22,"['c#', 'c++', 'animation', 'easing']","{'account_id': 340145, 'reputation': 15988, 'user_id': 670017, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/14e34b1f97f25732aad207e006497f90?s=256&d=identicon&r=PG', 'display_name': 'ahmd0', 'link': 'https://stackoverflow.com/users/670017/ahmd0'}",True,65902,13462135.0,6,49,1661888296,1353358299,1661888296.0,13462001,CC BY-SA 4.0,https://stackoverflow.com/questions/13462001/ease-in-and-ease-out-animation-formula,Ease-in and ease-out animation formula,,,,,
23,"['c++', 'binary', 'add']","{'account_id': 1022622, 'reputation': 1157, 'user_id': 1032593, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/jW4ut.jpg?s=256&g=1', 'display_name': 'Muhammad Arslan Jamshaid', 'link': 'https://stackoverflow.com/users/1032593/muhammad-arslan-jamshaid'}",True,76481,13283126.0,14,10,1661775044,1352351549,1386253268.0,13282825,CC BY-SA 3.0,https://stackoverflow.com/questions/13282825/adding-binary-numbers-in-c,Adding binary numbers in C++,,,,,
24,"['c++', 'file', 'location']","{'account_id': 1150951, 'reputation': 345, 'user_id': 1132690, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/bcaffd6c9a665c4e055da47acbb9c01e?s=256&d=identicon&r=PG', 'display_name': 'Josh Smith', 'link': 'https://stackoverflow.com/users/1132690/josh-smith'}",True,35401,14370054.0,11,6,1661523700,1352001089,,13215910,CC BY-SA 3.0,https://stackoverflow.com/questions/13215910/where-does-xcode-create-txt-files-to,Where does Xcode create .txt files to?,,,,,
25,"['c++', 'c++11', 'ipc', 'shared-memory', 'stdatomic']","{'account_id': 161171, 'reputation': 1188, 'user_id': 381734, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/4d00a4a6dc7afbd2296c83f135788a89?s=256&d=identicon&r=PG', 'display_name': 'dschatz', 'link': 'https://stackoverflow.com/users/381734/dschatz'}",True,13509,13163378.0,2,22,1661363494,1351696526,1661363494.0,13161153,CC BY-SA 4.0,https://stackoverflow.com/questions/13161153/c11-interprocess-atomics-and-mutexes,c++11 interprocess atomics and mutexes,,,,,
26,"['c++', 'qt', 'window']","{'account_id': 470443, 'reputation': 3736, 'user_id': 877651, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/yDQSj.png?s=256&g=1', 'display_name': 'hetelek', 'link': 'https://stackoverflow.com/users/877651/hetelek'}",True,1281,13344770.0,1,3,1661336286,1352592074,1661336286.0,13327318,CC BY-SA 4.0,https://stackoverflow.com/questions/13327318/qt-mdi-child-not-closing-properly,Qt - MDI Child not closing properly,,,,,
27,"['c++', 'linker', 'compiler-errors', 'libraries', 'zbar']","{'account_id': 61232, 'reputation': 305, 'user_id': 182624, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/60fa7bc3e6ec6b27774689322a759365?s=256&d=identicon&r=PG', 'display_name': 'UnableToLoad', 'link': 'https://stackoverflow.com/users/182624/unabletoload'}",True,6957,13306514.0,1,3,1660997193,1352457563,,13306475,CC BY-SA 3.0,https://stackoverflow.com/questions/13306475/how-to-compile-zbar-examples-undefined-reference,How to Compile ZBar examples? (undefined reference...),,,,,
