,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['c++', 'visual-studio-code', 'release', 'launch']","{'account_id': 3610133, 'reputation': 1624, 'user_id': 3052832, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/9rMzH.jpg?s=256&g=1', 'display_name': 'Blue7', 'link': 'https://stackoverflow.com/users/3052832/blue7'}",False,1236,1,3,1669151750,1549362146,54532214,CC BY-SA 4.0,https://stackoverflow.com/questions/54532214/how-to-build-and-run-a-c-application-as-release-in-visual-studio-code,How to build and run a c++ application as release in Visual Studio Code,,,,,,
1,"['c++', 'big-o']","{'account_id': 6769373, 'reputation': 31, 'user_id': 10968047, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dcebee1e994208cb1b6989077f376855?s=256&d=identicon&r=PG&f=1', 'display_name': 'quickLambda', 'link': 'https://stackoverflow.com/users/10968047/quicklambda'}",True,63,2,-1,1668978124,1550973934,54848089,CC BY-SA 4.0,https://stackoverflow.com/questions/54848089/runtime-complexity-of-nested-for-loop,Runtime Complexity of nested for loop,54850585.0,1668978124.0,,,,
2,"['c++', 'visual-studio', 'include', 'intellisense', 'windows-subsystem-for-linux']","{'account_id': 2344241, 'reputation': 61, 'user_id': 2054913, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4496983567f148c70020234b0898625b?s=256&d=identicon&r=PG', 'display_name': 'user2054913', 'link': 'https://stackoverflow.com/users/2054913/user2054913'}",False,4581,2,6,1667481964,1549398525,54542533,CC BY-SA 4.0,https://stackoverflow.com/questions/54542533/how-to-fix-intellisense-a-definition-for-the-symbol-could-not-be-located-on-ws,How to fix intellisense &#39;A definition for the symbol could not be located&#39; on WSL,,,,,,
3,"['c++', 'arrays', 'if-statement', 'struct', 'try-catch']","{'account_id': 12450006, 'reputation': 27, 'user_id': 9064940, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b6befb222df473fa50ec8f7a0f40070d?s=256&d=identicon&r=PG&f=1', 'display_name': 'ChrisH', 'link': 'https://stackoverflow.com/users/9064940/chrish'}",False,14709,2,0,1667131210,1550797736,54818597,CC BY-SA 4.0,https://stackoverflow.com/questions/54818597/c-write-a-program-that-prompts-the-user-to-enter-a-persons-date-of-birth-in-n,C++ Write a program that prompts the user to enter a person&#39;s date of birth in numeric form (Throw/Catch),,,,,,
4,"['c++', 'parallel-processing', 'c++17']","{'account_id': 14073830, 'reputation': 127, 'user_id': 10166663, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e3b5ec12199a47ca879de6e27770976e?s=256&d=identicon&r=PG&f=1', 'display_name': 'breaker00', 'link': 'https://stackoverflow.com/users/10166663/breaker00'}",True,173,1,1,1666944044,1550198312,54701946,CC BY-SA 4.0,https://stackoverflow.com/questions/54701946/why-parallel-stdfor-each-return-void,Why parallel std::for_each return void,,1666944044.0,,,,
5,"['c++', 'compression', 'zlib']","{'account_id': 14961876, 'reputation': 45, 'user_id': 10804781, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b7e77282e0cb612c2b79e3c3963a72d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ivelin Krastev', 'link': 'https://stackoverflow.com/users/10804781/ivelin-krastev'}",True,1613,3,0,1666830243,1549532881,54570458,CC BY-SA 4.0,https://stackoverflow.com/questions/54570458/how-to-assume-what-will-be-the-size-after-zlib-uncompression,How to assume what will be the size after zlib uncompression?,54570698.0,,,,,
6,"['c++', 'googletest']","{'account_id': 10424277, 'reputation': 544, 'user_id': 8576325, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0af7caf735d56084cf3d409f98dfd538?s=256&d=identicon&r=PG&f=1', 'display_name': 'Игорь Пугачев', 'link': 'https://stackoverflow.com/users/8576325/%d0%98%d0%b3%d0%be%d1%80%d1%8c-%d0%9f%d1%83%d0%b3%d0%b0%d1%87%d0%b5%d0%b2'}",True,21157,5,20,1666629651,1550075262,54675027,CC BY-SA 4.0,https://stackoverflow.com/questions/54675027/compare-ptr-with-nullptr-in-gtest,Compare ptr with nullptr in gtest,54675676.0,1550075703.0,,,,
7,"['c++', 'openssl', 'rsa']","{'account_id': 3501988, 'reputation': 1069, 'user_id': 2928544, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/yeaGD.jpg?s=256&g=1', 'display_name': 'raidensan', 'link': 'https://stackoverflow.com/users/2928544/raidensan'}",True,6277,2,1,1666279103,1551092483,54864709,CC BY-SA 4.0,https://stackoverflow.com/questions/54864709/verifying-message-signature-produce-header-too-long-error,Verifying message signature produce HEADER TOO LONG error,,1551186465.0,,,,
8,"['c++', 'qt', 'qt5', 'qtquick2', 'qtvirtualkeyboard']","{'account_id': 7646389, 'reputation': 622, 'user_id': 5796919, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/500800856747120/picture?type=large', 'display_name': 'Petar Petrov', 'link': 'https://stackoverflow.com/users/5796919/petar-petrov'}",False,724,1,1,1666044196,1550281517,54719106,CC BY-SA 4.0,https://stackoverflow.com/questions/54719106/how-to-use-arrows-to-navigate-through-a-qtvirtualkeyboard,How to use arrows to navigate through a QtVirtualKeyboard,,1666044196.0,,,,
9,"['c++', 'windows', 'multiple-monitors', 'highdpi']","{'account_id': 1111579, 'reputation': 609, 'user_id': 1101955, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/619ab4ed1fc7a0862f2e6382b35eb05a?s=256&d=identicon&r=PG', 'display_name': 'htonus', 'link': 'https://stackoverflow.com/users/1101955/htonus'}",True,2103,4,1,1665532342,1549570402,54581535,CC BY-SA 4.0,https://stackoverflow.com/questions/54581535/how-to-detect-native-screen-resolution-or-scaling-factor-of-the-secondary-monito,How to detect native screen resolution or scaling factor of the secondary monitor at Windows 10,54628671.0,1549880601.0,,,,
