,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['javascript', 'c++', 'webassembly']","{'user_type': 'does_not_exist', 'display_name': 'user12658460'}",True,787,2,0,1668360923,1578851361,1578851775.0,59706549,CC BY-SA 4.0,https://stackoverflow.com/questions/59706549/module-not-defined-error-when-trying-to-run-a-wasm-function,Module not defined error when trying to run a wasm function,,,,
1,['c++'],"{'account_id': 1577449, 'reputation': 3330, 'user_id': 1463557, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/52qXF.gif?s=256&g=1', 'display_name': 'MadScientist', 'link': 'https://stackoverflow.com/users/1463557/madscientist'}",True,527,2,1,1668256156,1580288991,1580289770.0,59963734,CC BY-SA 4.0,https://stackoverflow.com/questions/59963734/how-to-make-a-cache-thread-safe,How to make a cache thread safe,59965279.0,,,
2,"['c++', 'stl', 'containers', 'libstdc++']","{'account_id': 14087267, 'reputation': 1758, 'user_id': 10176717, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b0303515be69a1ae26d7c8f0b85687a?s=256&d=identicon&r=PG&f=1', 'display_name': 'amirali', 'link': 'https://stackoverflow.com/users/10176717/amirali'}",True,1307,5,3,1667971501,1578997830,1579000590.0,59731946,CC BY-SA 4.0,https://stackoverflow.com/questions/59731946/unable-to-erase-from-libstdc-policy-based-data-structure,Unable to erase from libstdc++ Policy based data structure,,,,
3,"['c++', 'llvm']","{'account_id': 3535224, 'reputation': 1401, 'user_id': 3042790, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/7cfda1f5d09fc082ee8db124240eab4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'eager2learn', 'link': 'https://stackoverflow.com/users/3042790/eager2learn'}",False,501,1,2,1667892483,1580384353,,59985217,CC BY-SA 4.0,https://stackoverflow.com/questions/59985217/llvm-opt-cannot-find-function-pass,LLVM opt cannot find function pass,,,,
4,"['c++', 'data-structures', 'linked-list', 'trie']","{'account_id': 9128357, 'reputation': 11, 'user_id': 10837813, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/315183955539580/picture?type=large', 'display_name': 'Obada Mit', 'link': 'https://stackoverflow.com/users/10837813/obada-mit'}",False,96,1,0,1667524994,1577968821,,59563513,CC BY-SA 4.0,https://stackoverflow.com/questions/59563513/linking-different-types-of-information-using-trie-data-structure,Linking Different types of information using trie data structure,,,,
5,"['c++', 'apache-kafka', 'librdkafka']","{'account_id': 3573333, 'reputation': 859, 'user_id': 2983173, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/015af0dee8e6c512c9e451fe8008fc85?s=256&d=identicon&r=PG&f=1', 'display_name': 'norisknofun', 'link': 'https://stackoverflow.com/users/2983173/norisknofun'}",False,703,1,0,1667224530,1578168681,1578180174.0,59594429,CC BY-SA 4.0,https://stackoverflow.com/questions/59594429/how-to-set-username-and-password-for-plaintext-protocol-no-sasl-with-librdkafk,How to set username and password for plaintext protocol (no SASL) with librdkafka?,,,,
6,"['c++', 'linux', 'gcc', 'makefile', 'raspbian']","{'account_id': 9969173, 'reputation': 1007, 'user_id': 7375877, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6ebd55229168e7e58684bdaa28d556d1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mi Po', 'link': 'https://stackoverflow.com/users/7375877/mi-po'}",True,365,1,2,1666514961,1580249328,,59957804,CC BY-SA 4.0,https://stackoverflow.com/questions/59957804/how-to-build-libgpio-a-from-a-makefile-that-builds-libgpio-so,How to build libgpio.a from a makefile that builds libgpio.so,,,,
7,"['c++', 'api', 'websocket']","{'account_id': 14765021, 'reputation': 63, 'user_id': 10663327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79a8f861ded00acd42d6d60882c6bca0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mustafa G&#252;ng&#246;r', 'link': 'https://stackoverflow.com/users/10663327/mustafa-g%c3%bcng%c3%b6r'}",True,16356,3,2,1666377749,1579679748,,59855006,CC BY-SA 4.0,https://stackoverflow.com/questions/59855006/how-to-fix-invalid-api-key-ip-or-permissions-for-action-error,"How to fix Invalid API-key, IP, or permissions for action error?",60359239.0,,,
8,"['c++', 'mysql-8.0']","{'account_id': 4069308, 'reputation': 1, 'user_id': 3343032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3343032', 'link': 'https://stackoverflow.com/users/3343032/user3343032'}",False,497,1,0,1666187492,1579697826,1579700159.0,59860291,CC BY-SA 4.0,https://stackoverflow.com/questions/59860291/how-to-work-with-datetime-in-mysql-connector-c-8-0,How to work with DATETIME in MySQL Connector/C++ 8.0?,,,,
9,"['c++', 'unreal-engine4']","{'account_id': 17520579, 'reputation': 19, 'user_id': 12706721, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab4addd278ba7db5fba9a503096e5fca?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amakazor', 'link': 'https://stackoverflow.com/users/12706721/amakazor'}",True,1737,2,1,1666168532,1578947905,1579035968.0,59723824,CC BY-SA 4.0,https://stackoverflow.com/questions/59723824/unrealengine4-restricting-datatable-pointer-to-only-use-certain-row-structure,UnrealEngine4 - Restricting DataTable pointer to only use certain row structure,,,,
10,"['c++', 'clang', 'llvm', 'webassembly']","{'account_id': 16810230, 'reputation': 1, 'user_id': 12153409, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4f0d2d93c124bddc5a70d14f0fa45d1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'nonagone', 'link': 'https://stackoverflow.com/users/12153409/nonagone'}",False,512,1,-2,1665586767,1578751960,1665586767.0,59695189,,https://stackoverflow.com/questions/59695189/wasm-llvm-wierd-export-import-names,Wasm-LLVM wierd export/import names,,1613656011.0,Duplicate,
