,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
0,"['c++', 'c', 'gdb', 'constants']","{'account_id': 1413944, 'reputation': 58491, 'user_id': 1339987, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/76aa5ba88e0d95b6480113239fe50008?s=256&d=identicon&r=PG', 'display_name': 'djechlin', 'link': 'https://stackoverflow.com/users/1339987/djechlin'}",True,974,10986783.0,3,5,1669291686,1339444578,10986682,CC BY-SA 3.0,https://stackoverflow.com/questions/10986682/gdb-re-setting-a-const,gdb - re-setting a const,,,,,,,
1,"['c++', 'algorithm', 'hex', 'decimal']","{'account_id': 889640, 'reputation': 627, 'user_id': 928176, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/1febcbe06a4b62d64e340dbe18067b1d?s=256&d=identicon&r=PG', 'display_name': 'zeulb', 'link': 'https://stackoverflow.com/users/928176/zeulb'}",True,147041,11031516.0,11,16,1669049562,1339669476,11031159,CC BY-SA 4.0,https://stackoverflow.com/questions/11031159/c-converting-hexadecimal-to-decimal,C++: Converting Hexadecimal to Decimal,1603200274.0,,,,,,
2,"['c++', 'lambda', 'c++11', 'instantiation']","{'account_id': 1575401, 'reputation': 722, 'user_id': 1461998, 'user_type': 'registered', 'accept_rate': 23, 'profile_image': 'https://www.gravatar.com/avatar/067519c66e75fb19585d936d4ba8cba3?s=256&d=identicon&r=PG', 'display_name': 'andigor', 'link': 'https://stackoverflow.com/users/1461998/andigor'}",True,3896,,5,21,1668564109,1339949476,11072815,CC BY-SA 3.0,https://stackoverflow.com/questions/11072815/instantiating-c-lambda-by-its-type,Instantiating C++ lambda by its type,1339961891.0,,,,,,
3,"['c++', 'operators']","{'account_id': 556950, 'reputation': 1740, 'user_id': 919174, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/8bba8902f93fd33ace6e30ee9f219656?s=256&d=identicon&r=PG', 'display_name': 'itamar', 'link': 'https://stackoverflow.com/users/919174/itamar'}",True,108715,10983161.0,8,21,1668528446,1339428307,10983078,CC BY-SA 3.0,https://stackoverflow.com/questions/10983078/c-what-does-ab-mean,C++: what does (a&lt;&lt;b) mean?,1515450641.0,,,,,,
4,"['c++', 'greatest-common-divisor']","{'account_id': 1507650, 'reputation': 6741, 'user_id': 1410654, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/a0e4926cc4e04c41af2b5223576c672e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Connor Black', 'link': 'https://stackoverflow.com/users/1410654/connor-black'}",True,81817,10956598.0,5,25,1668010402,1339193060,10956543,CC BY-SA 3.0,https://stackoverflow.com/questions/10956543/gcd-function-in-c-sans-cmath-library,GCD function in c++ sans cmath library,1408146434.0,,,,,,
5,"['c++', 'string']","{'account_id': 59141, 'reputation': 4706, 'user_id': 177006, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://lh3.googleusercontent.com/-Sd1uApKXW2Y/AAAAAAAAAAI/AAAAAAAAGOs/FecCf6pD84I/photo.jpg?sz=256', 'display_name': 'bman', 'link': 'https://stackoverflow.com/users/177006/bman'}",True,1009,11046679.0,2,0,1666055190,1339746633,11046646,CC BY-SA 4.0,https://stackoverflow.com/questions/11046646/how-to-set-a-char-member-of-a-class-using-strcat-or-something-else,How to set a char* member of a class? Using strcat or something else?,1666055190.0,,,,,,
6,"['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']","{'account_id': 31692, 'reputation': 485953, 'user_id': 87234, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/FkjBe.png?s=256&g=1', 'display_name': 'GManNickG', 'link': 'https://stackoverflow.com/users/87234/gmannickg'}",True,1771304,11227902.0,27,26741,1665999409,1340805096,11227809,CC BY-SA 4.0,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,Why is processing a sorted array faster than processing an unsorted array?,1665601007.0,1399067470.0,,,,,
7,"['c++', 'linux', 'opencv', 'v4l2', 'v4l2loopback']","{'account_id': 220228, 'reputation': 341, 'user_id': 477519, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/a2a53f92006cb5294c9e7c6bc15d30ef?s=256&d=identicon&r=PG', 'display_name': 'user477519', 'link': 'https://stackoverflow.com/users/477519/user477519'}",True,8501,11215769.0,1,10,1665307076,1339886188,11067588,CC BY-SA 4.0,https://stackoverflow.com/questions/11067588/how-to-write-pipe-to-a-virtual-webcam-created-by-v4l2loopback-module,How to write/pipe to a virtual webcam created by V4L2loopback module?,1665307076.0,,,,,,
8,"['c++', 'opencv', 'version']","{'account_id': 474623, 'reputation': 8123, 'user_id': 884412, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/1ac6f71f76aaf92324224dfc30d4ee2e?s=256&d=identicon&r=PG', 'display_name': 'penelope', 'link': 'https://stackoverflow.com/users/884412/penelope'}",True,42857,11030733.0,9,28,1665003388,1339667579,11030640,CC BY-SA 3.0,https://stackoverflow.com/questions/11030640/how-to-determine-opencv-version,How to determine OpenCV version,1339668006.0,,,,,,
9,"['c++', 'visual-studio-2010', 'templates']","{'account_id': 146157, 'reputation': 37908, 'user_id': 356440, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/d16fc2844c1d9f8f815f318734554266?s=256&d=identicon&r=PG', 'display_name': 'Stephane Rolland', 'link': 'https://stackoverflow.com/users/356440/stephane-rolland'}",True,407,11153368.0,2,2,1664455365,1340355867,11153182,CC BY-SA 4.0,https://stackoverflow.com/questions/11153182/how-to-initialize-a-static-member-of-a-parametrized-template-class,How to initialize a static member of a parametrized-template class,1664455365.0,,,,,,
10,"['c++', 'reference', 'pass-by-reference']","{'account_id': 53229, 'reputation': 133804, 'user_id': 159145, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/9Mufm.png?s=256&g=1', 'display_name': 'Dai', 'link': 'https://stackoverflow.com/users/159145/dai'}",True,7204,11170458.0,4,12,1664448815,1340463029,11170440,CC BY-SA 4.0,https://stackoverflow.com/questions/11170440/c-passing-this-into-method-by-reference,C++ Passing `this` into method by reference,1613104041.0,,,,,,
11,"['c++', 'excel', 'visual-c++', 'interop', 'excel-2007']","{'account_id': 1006560, 'reputation': 490, 'user_id': 1020166, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/928c5dbae67095a91513bcee23916f94?s=256&d=identicon&r=PG', 'display_name': 'Giuseppe', 'link': 'https://stackoverflow.com/users/1020166/giuseppe'}",True,4240,10909831.0,2,1,1664338292,1338965442,10909422,CC BY-SA 3.0,https://stackoverflow.com/questions/10909422/how-can-i-create-an-excel-file-using-interop-on-c,how can i create an excel file using Interop on c++,1485786096.0,,,,,,
12,"['c++', 'c++11', 'cmake']","{'account_id': 969681, 'reputation': 7531, 'user_id': 992460, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/acd60e4afd4599eba252d836f88f846e?s=256&d=identicon&r=PG', 'display_name': 'tune2fs', 'link': 'https://stackoverflow.com/users/992460/tune2fs'}",True,55337,20165220.0,6,86,1663655562,1339433980,10984442,CC BY-SA 4.0,https://stackoverflow.com/questions/10984442/how-to-detect-c11-support-of-a-compiler-with-cmake,How to detect C++11 support of a compiler with CMake,1535727402.0,,,,,,
13,['c++'],"{'account_id': 1595347, 'reputation': 167, 'user_id': 1477630, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67266568c2738e0b422142ab6968c44a?s=256&d=identicon&r=PG', 'display_name': 'Rajesh', 'link': 'https://stackoverflow.com/users/1477630/rajesh'}",True,17534,,7,13,1663324571,1340626503,11189198,CC BY-SA 3.0,https://stackoverflow.com/questions/11189198/dynamic-arrays-vs-stl-vectors-exact-difference,Dynamic arrays vs STL vectors exact difference?,1474399520.0,,,,,,
14,"['java', 'c++', 'opencv']","{'account_id': 552394, 'reputation': 1924, 'user_id': 917511, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/4a7c1d7933724074db00448246ff7fd6?s=256&d=identicon&r=PG', 'display_name': 'SL_User', 'link': 'https://stackoverflow.com/users/917511/sl-user'}",True,1278,11115887.0,1,3,1662484284,1340181373,11115723,CC BY-SA 4.0,https://stackoverflow.com/questions/11115723/what-is-the-equal-method-of-opencv-pyrdown-in-to-javacv,what is the equal method of opencv pyrDown() in to javacv?,1662484284.0,,,,,,
15,"['c++', 'stl', 'vector']","{'account_id': 468403, 'reputation': 1657, 'user_id': 874371, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/Q2c49.jpg?s=256&g=1', 'display_name': 'Iron-Eagle', 'link': 'https://stackoverflow.com/users/874371/iron-eagle'}",True,119112,31009108.0,8,74,1662341733,1340268160,11134497,CC BY-SA 3.0,https://stackoverflow.com/questions/11134497/constant-sized-vector,Constant-sized vector,1486106417.0,,,,,,
16,"['c++', 'qt', 'g++', 'signals-slots']","{'account_id': 233139, 'reputation': 21337, 'user_id': 498437, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/d3fc61768229a2cb126ae7c28450b44d?s=256&d=identicon&r=PG', 'display_name': 'cmannett85', 'link': 'https://stackoverflow.com/users/498437/cmannett85'}",True,2614,10841682.0,1,8,1662042688,1338498863,10841385,CC BY-SA 3.0,https://stackoverflow.com/questions/10841385/g-parse-error-at,g++ Parse error at &quot;:&quot;,,,,,,,
