,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date,locked_date
0,"['c++', 'arguments', 'parameter-passing', 'function-pointers', 'pointer-to-member']","{'account_id': 893475, 'reputation': 17935, 'user_id': 931303, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/f1798bf4504775c89be6686fa6fc74e3?s=256&d=identicon&r=PG', 'display_name': 'Jorge Leitao', 'link': 'https://stackoverflow.com/users/931303/jorge-leitao'}",True,308807,12662961.0,9,167,1668262767,1349022482,1601695109.0,12662891,CC BY-SA 4.0,https://stackoverflow.com/questions/12662891/how-can-i-pass-a-member-function-where-a-free-function-is-expected,How can I pass a member function where a free function is expected?,,,,,,
1,"['c++', 'eclipse', 'mingw']","{'account_id': 1225751, 'reputation': 3947, 'user_id': 1191316, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/ed305bae65343df36563f3e8e5578d88?s=256&d=identicon&r=PG', 'display_name': '2607', 'link': 'https://stackoverflow.com/users/1191316/2607'}",True,40368,,8,17,1668127543,1349157418,1453747951.0,12685202,CC BY-SA 3.0,https://stackoverflow.com/questions/12685202/how-do-i-get-crtdbg-h-file,How do I get crtdbg.h file?,,,,,,
2,"['c++', 'string', 'infinite-loop', 'cout']","{'account_id': 1767847, 'reputation': 408, 'user_id': 1613254, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19c86e7d6d309a8e392c66456a0aa4e4?s=256&d=identicon&r=PG', 'display_name': 'user1613254', 'link': 'https://stackoverflow.com/users/1613254/user1613254'}",True,385,,3,2,1668005433,1349931245,,12832446,CC BY-SA 3.0,https://stackoverflow.com/questions/12832446/why-does-cout-not-display-the-string-variable-rnd,Why does cout not display the string variable rnd?,,,,,,
3,"['c++', 'c', 'linux', 'ubuntu', 'exec']","{'account_id': 1877114, 'reputation': 127, 'user_id': 1698102, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/9599802a86b9d8cb318f3dbd38976361?s=256&d=identicon&r=PG', 'display_name': 'user1698102', 'link': 'https://stackoverflow.com/users/1698102/user1698102'}",True,33153,12677236.0,6,8,1667546880,1349108258,1349109146.0,12677120,CC BY-SA 3.0,https://stackoverflow.com/questions/12677120/execl-arguments-in-ubuntu,execl() arguments in Ubuntu,,,,,,
4,"['c++', 'arrays', 'pass-by-reference']","{'account_id': 1911723, 'reputation': 1680, 'user_id': 1725372, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/bb2686a423008988fe33a4afffa3ed31?s=256&d=identicon&r=PG', 'display_name': 'Naruto', 'link': 'https://stackoverflow.com/users/1725372/naruto'}",True,63563,12987791.0,9,15,1667017032,1350730967,,12987760,CC BY-SA 3.0,https://stackoverflow.com/questions/12987760/passing-char-array-by-reference,Passing char array by reference,,,,,,
5,"['c++', 'arrays', 'function', 'pointers']","{'account_id': 1907460, 'reputation': 5610, 'user_id': 1722025, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/aS04m.jpg?s=256&g=1', 'display_name': 'asimes', 'link': 'https://stackoverflow.com/users/1722025/asimes'}",True,165848,12993051.0,7,33,1666629056,1350768963,1551471894.0,12992925,CC BY-SA 4.0,https://stackoverflow.com/questions/12992925/c-correct-way-to-return-pointer-to-array-from-function,C++ correct way to return pointer to array from function,,,,,,
6,"['c++', 'boost', 'process']","{'account_id': 1052875, 'reputation': 8812, 'user_id': 1056328, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/c1da3235261eea77050ca4df85948ac0?s=256&d=identicon&r=PG', 'display_name': 'myWallJSON', 'link': 'https://stackoverflow.com/users/1056328/mywalljson'}",False,7822,,1,3,1666249210,1349570183,1349571879.0,12765110,CC BY-SA 3.0,https://stackoverflow.com/questions/12765110/how-to-run-commandline-terminal-utils-with-boost-process-0-5,How to run commandline/terminal utils with Boost.Process 0.5?,,,,,,
7,['c++'],"{'account_id': 1965636, 'reputation': 465, 'user_id': 1766001, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2065ee542e105b83255a0893d1900ff7?s=256&d=identicon&r=PG', 'display_name': 'Cristi DroPs', 'link': 'https://stackoverflow.com/users/1766001/cristi-drops'}",True,146239,13016008.0,7,33,1666225946,1350924293,1350924521.0,13015932,CC BY-SA 3.0,https://stackoverflow.com/questions/13015932/how-to-find-minimum-value-from-vector,How to find minimum value from vector?,,,,,,
8,"['c++', 'sorting']","{'account_id': 337998, 'reputation': 177, 'user_id': 666584, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/cadedf0a630eaae5bbdf97b3d4b9db29?s=256&d=identicon&r=PG', 'display_name': 'Hussein', 'link': 'https://stackoverflow.com/users/666584/hussein'}",True,1491,12674882.0,3,5,1666131601,1349094201,1349112574.0,12673187,CC BY-SA 3.0,https://stackoverflow.com/questions/12673187/custom-sort-on-an-array-of-strings,Custom Sort on an array of Strings,,,,,,
9,"['c++', 'python', 'ruby-on-rails', 'web-applications', 'web-crawler']","{'account_id': 1672404, 'reputation': 466, 'user_id': 1538620, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/5bfd293714b1e68c55920eded8e7dbeb?s=256&d=identicon&r=PG', 'display_name': 'Michael M', 'link': 'https://stackoverflow.com/users/1538620/michael-m'}",True,323,12693121.0,3,2,1666109025,1349190508,,12693054,CC BY-SA 3.0,https://stackoverflow.com/questions/12693054/easiest-way-to-tackle-this-web-crawling-task,Easiest way to tackle this web crawling task?,,,,,,
