,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
0,"['c++', 'boost-process']","{'account_id': 16863718, 'reputation': 49, 'user_id': 12193917, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/71e35078ca1f116ef4e01750c48090a4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jonny Dens', 'link': 'https://stackoverflow.com/users/12193917/jonny-dens'}",False,439,1,2,1668948452,1570804062,58343374,CC BY-SA 4.0,https://stackoverflow.com/questions/58343374/passing-boostfilesystempath-to-boostprocesschild-causes-exception-on-win,Passing boost::filesystem::path to boost::process::child causes exception on Windows,,,,,,
1,"['c++', 'c++20', 'stdatomic', 'stdmutex']","{'account_id': 236652, 'reputation': 1200, 'user_id': 504286, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/c89e451f0090eb23b2ba9307b1dfcb45?s=256&d=identicon&r=PG', 'display_name': 'Nonyme', 'link': 'https://stackoverflow.com/users/504286/nonyme'}",True,595,2,13,1668695424,1570816446,58346307,CC BY-SA 4.0,https://stackoverflow.com/questions/58346307/how-is-stdatomic-ref-implemented-for-non-atomic-types,How is std::atomic_ref implemented for non-atomic types?,58349885.0,,,,,
2,"['c++', 'direct2d']","{'account_id': 14003590, 'reputation': 161, 'user_id': 10114417, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab68d30f5a1b5a76d61a2e58553d101d?s=256&d=identicon&r=PG&f=1', 'display_name': 'gldhnchn', 'link': 'https://stackoverflow.com/users/10114417/gldhnchn'}",True,669,2,0,1668099897,1572016893,58561374,CC BY-SA 4.0,https://stackoverflow.com/questions/58561374/how-to-draw-a-image-with-effects-that-rescales-with-its-window-in-direct2d,How to draw a image with effects that rescales with it&#39;s window in direct2d,58751091.0,,,,,
3,"['c++', 'arrays']","{'account_id': 1640809, 'reputation': 15208, 'user_id': 1513286, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/s66iO.jpg?s=256&g=1', 'display_name': 'Vin&#237;cius', 'link': 'https://stackoverflow.com/users/1513286/vin%c3%adcius'}",True,390,2,0,1667928391,1572286800,58596360,CC BY-SA 4.0,https://stackoverflow.com/questions/58596360/initialize-std-array-with-numbers-from-1-to-n-template-argument,Initialize std array with numbers from 1-to N template argument,58596454.0,1572323642.0,,,,
4,"['c++', 'libpqxx']","{'account_id': 16967418, 'reputation': 1, 'user_id': 12272919, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5313f12000c8c7418a5fc34a1be90dc6?s=256&d=identicon&r=PG&f=1', 'display_name': 'olebenny', 'link': 'https://stackoverflow.com/users/12272919/olebenny'}",False,443,2,0,1667818894,1571995738,58555800,CC BY-SA 4.0,https://stackoverflow.com/questions/58555800/c-with-libpqxx-header-produces-error-c2039-encoding-group-is-not-a-member,C++ with libpqxx-header produces error C2039: &#39;encoding_group&#39;: is not a member of &#39;`global namespace&#39;&#39;,,1572006334.0,,,,
5,"['c++', 'visual-studio', 'default-constructor']","{'account_id': 14606035, 'reputation': 83, 'user_id': 10548897, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kj8W1.png?s=256&g=1', 'display_name': 'Legat', 'link': 'https://stackoverflow.com/users/10548897/legat'}",True,1211,2,3,1667754477,1572219939,58584358,CC BY-SA 4.0,https://stackoverflow.com/questions/58584358/visual-studio-no-longer-generates-constructor-deconstructor-when-creating-class,Visual Studio no longer generates Constructor/Deconstructor when creating class?,,1572222321.0,,,,
6,"['c++', 'dicom']","{'account_id': 3859254, 'reputation': 4117, 'user_id': 3197387, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/45ec27435a4e7d85c8eb8b5e4799abc7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sisir', 'link': 'https://stackoverflow.com/users/3197387/sisir'}",True,520,2,1,1667552193,1570778206,58336075,CC BY-SA 4.0,https://stackoverflow.com/questions/58336075/how-to-modify-the-preamble-of-a-dicom-file,How to modify the preamble of a DICOM file?,58338318.0,1667552193.0,,,,
7,"['c++', 'winapi', 'mingw', 'mingw32', 'winmain']","{'account_id': 16865457, 'reputation': 233, 'user_id': 12195265, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mB4Lr84cYalRLV043yRGzjDSd0o5y_fnvanjZSC=k-s256', 'display_name': 'wuzipu', 'link': 'https://stackoverflow.com/users/12195265/wuzipu'}",True,41951,5,23,1667503204,1570714450,58324230,CC BY-SA 4.0,https://stackoverflow.com/questions/58324230/undefined-reference-to-winmain-c-mingw,Undefined reference to WinMain (C++ MinGW),58336414.0,1667503204.0,,,,
8,"['c++', 'c++-standard-library', 'c++20', 'type-punning']","{'account_id': 1523208, 'reputation': 2512, 'user_id': 1672986, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/e242f8881f17c6bc32f2ad1119e5ca24?s=256&d=identicon&r=PG', 'display_name': 'markt1964', 'link': 'https://stackoverflow.com/users/1672986/markt1964'}",True,2444,2,10,1667417704,1570333104,58254009,CC BY-SA 4.0,https://stackoverflow.com/questions/58254009/any-useful-difference-between-stdbit-cast-and-stdstart-lifetime-as,Any useful difference between std::bit_cast and std::start_lifetime_as?,58254431.0,1571067855.0,,,,
9,"['c++', 'immutability', 'immutablelist']","{'account_id': 8609891, 'reputation': 1958, 'user_id': 6448656, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-mxGPtoY2SrU/AAAAAAAAAAI/AAAAAAAAAFs/Y_WHjk6tw1c/photo.jpg?sz=256', 'display_name': 'Rishabh Agarwal', 'link': 'https://stackoverflow.com/users/6448656/rishabh-agarwal'}",True,1241,3,1,1667391571,1571647205,58482645,CC BY-SA 4.0,https://stackoverflow.com/questions/58482645/immutable-list-in-c,Immutable list in C++,58482815.0,,,,,
