,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,locked_date,community_owned_date
0,"['c++', 'cmake', 'include-path']","{'account_id': 19661, 'reputation': 1645, 'user_id': 46250, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/b307c404fc653ea586953f738201479a?s=256&d=identicon&r=PG', 'display_name': 'Paul D.', 'link': 'https://stackoverflow.com/users/46250/paul-d'}",True,603,2,5,1669504577,1342646153,1669504577.0,11550475,CC BY-SA 4.0,https://stackoverflow.com/questions/11550475/how-to-easily-include-headers-from-library-dependency-in-cmake-circa-v2-8-8,How to easily include headers from library dependency in cmake circa v2.8.8,,,,,,,
1,"['c++', 'qt', 'qtextedit', 'qtextcursor']","{'account_id': 1611608, 'reputation': 28690, 'user_id': 1490355, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/296f0478cb1b6724e3f862ace601fa99?s=256&d=identicon&r=PG', 'display_name': 'SingerOfTheFall', 'link': 'https://stackoverflow.com/users/1490355/singerofthefall'}",True,20404,2,13,1669379463,1343374275,1343374898.0,11683311,CC BY-SA 3.0,https://stackoverflow.com/questions/11683311/moving-the-cursor-inside-of-qtextedit,Moving the cursor inside of QTextEdit,11683575.0,,,,,,
2,"['c++', 'windows', 'boost-asio', 'codeblocks']","{'account_id': 1635382, 'reputation': 85, 'user_id': 1509040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e5703d8ad3b7c4d5cd67d6e8db4e835d?s=256&d=identicon&r=PG', 'display_name': 'jakekaz', 'link': 'https://stackoverflow.com/users/1509040/jakekaz'}",True,5483,3,2,1669245332,1342402532,1395755731.0,11497160,CC BY-SA 3.0,https://stackoverflow.com/questions/11497160/codeblocks-and-boost-asio-it-just-wont-work,Code::Blocks and Boost Asio. It just wont work,,,,,,,
3,"['c++', 'standards', 'modulo']","{'account_id': 271958, 'reputation': 115026, 'user_id': 562769, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/e86681e49622d52817b36fd2a4c936b7?s=256&d=identicon&r=PG', 'display_name': 'Martin Thoma', 'link': 'https://stackoverflow.com/users/562769/martin-thoma'}",True,30338,4,71,1669232816,1343130892,,11630321,CC BY-SA 3.0,https://stackoverflow.com/questions/11630321/why-does-c-output-negative-numbers-when-using-modulo,Why does C++ output negative numbers when using modulo?,11631146.0,,,,,,
4,"['c++', 'pointers', 'g++', 'compiler-warnings', 'rule-of-three']","{'account_id': 932526, 'reputation': 59146, 'user_id': 962089, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/b6SVs.jpg?s=256&g=1', 'display_name': 'chris', 'link': 'https://stackoverflow.com/users/962089/chris'}",True,22022,3,17,1669214357,1342399800,1342401609.0,11496942,CC BY-SA 3.0,https://stackoverflow.com/questions/11496942/understanding-weffc,Understanding -Weffc++,11529328.0,,,,,,
5,"['c++', 'fltk']","{'account_id': 13523, 'reputation': 877, 'user_id': 27238, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/80b8a8d1501c298f57a316d35e0d1ceb?s=256&d=identicon&r=PG', 'display_name': 'Buzzzz', 'link': 'https://stackoverflow.com/users/27238/buzzzz'}",True,2838,3,1,1668643935,1341946598,,11420008,,https://stackoverflow.com/questions/11420008/fltk-layout-management,FLTK layout management,11482923.0,1668645689.0,Not suitable for this site,,,,
6,['c++'],"{'account_id': 1225368, 'reputation': 3335, 'user_id': 1191020, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/5ce80185030a0922f13a04584f080960?s=256&d=identicon&r=PG', 'display_name': 'FatalCatharsis', 'link': 'https://stackoverflow.com/users/1191020/fatalcatharsis'}",True,125708,3,55,1667914533,1341118833,1459238992.0,11279715,CC BY-SA 3.0,https://stackoverflow.com/questions/11279715/nullptr-and-checking-if-a-pointer-points-to-a-valid-object,Nullptr and checking if a pointer points to a valid object,11279743.0,,,,,,
7,"['c++', 'qt', 'qtcpsocket']","{'account_id': 430252, 'reputation': 683, 'user_id': 813592, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/gQS15.png?s=256&g=1', 'display_name': 'Furkan', 'link': 'https://stackoverflow.com/users/813592/furkan'}",True,14534,5,10,1667899725,1342959933,,11600288,CC BY-SA 3.0,https://stackoverflow.com/questions/11600288/qtcpsocket-client-auto-reconnect,QTcpSocket client auto reconnect,11602815.0,,,,,,
8,"['c++', 'templates', 'gcc', 'g++']","{'account_id': 1358160, 'reputation': 1245, 'user_id': 1296119, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/9cb96905d72d03110ef795d27f570e16?s=256&d=identicon&r=PG', 'display_name': 'Fabio Dalla Libera', 'link': 'https://stackoverflow.com/users/1296119/fabio-dalla-libera'}",True,9893,3,15,1667495190,1341465018,1667494684.0,11338109,CC BY-SA 4.0,https://stackoverflow.com/questions/11338109/understand-where-compilation-time-is-taken-when-using-gcc,Understand where compilation time is taken when using GCC,11338623.0,,,,,,
9,"['c++', 'dialog', 'console', 'terminal']","{'account_id': 164232, 'reputation': 2107, 'user_id': 386863, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/5ced9e563f792af413a5d4791899f024?s=256&d=identicon&r=PG&f=1', 'display_name': 'fyhuang', 'link': 'https://stackoverflow.com/users/386863/fyhuang'}",True,3958,3,1,1666810774,1341612023,,11370228,CC BY-SA 3.0,https://stackoverflow.com/questions/11370228/dialog-shell-script-program-but-for-c-c-programs,dialog (shell script program) but for C/C++ programs,11370341.0,,,,,,
10,"['c++', 'algorithm', 'time']","{'account_id': 417853, 'reputation': 3956, 'user_id': 794075, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/330a71a96f4697c914caca4e3ec0b98f?s=256&d=identicon&r=PG', 'display_name': 'Tibi', 'link': 'https://stackoverflow.com/users/794075/tibi'}",True,14755,11,14,1666797991,1343035684,1343036341.0,11609769,CC BY-SA 3.0,https://stackoverflow.com/questions/11609769/efficient-algorithm-for-converting-number-of-days-to-years-including-leap-years,Efficient algorithm for converting number of days to years (including leap years),11610446.0,,,,,,
11,"['c++', 'struct', 'initialization']","{'account_id': 1032021, 'reputation': 6668, 'user_id': 1040174, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/82c3b64e9375a9874c4f1a1d7014f785?s=256&d=identicon&r=PG', 'display_name': 'Dinesh P.R.', 'link': 'https://stackoverflow.com/users/1040174/dinesh-p-r'}",True,683103,17,362,1666244612,1342503982,1660053083.0,11516657,,https://stackoverflow.com/questions/11516657/c-structure-initialization,C++ Structure Initialization,11516847.0,1666245240.0,Duplicate,,,,
12,"['c++', 'qt-creator', 'pragma', 'code-folding']","{'account_id': 146340, 'reputation': 13483, 'user_id': 356726, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/PhH4C.gif?s=256&g=1', 'display_name': 'Horst Walter', 'link': 'https://stackoverflow.com/users/356726/horst-walter'}",True,12558,7,13,1666148872,1341238041,1341245145.0,11295361,CC BY-SA 3.0,https://stackoverflow.com/questions/11295361/code-folding-pragma-region-in-qt-creator,Code folding (#pragma region) in Qt creator,11295492.0,,,,,,
13,"['c#', 'c++', 'parsing', 'compiler-construction', 'lexer']","{'account_id': 91845, 'reputation': 251058, 'user_id': 252000, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/082b8ee2b0aebb430b8d4d98e6a5c32f?s=256&d=identicon&r=PG', 'display_name': 'fredoverflow', 'link': 'https://stackoverflow.com/users/252000/fredoverflow'}",True,5545,5,37,1666134435,1341846047,,11397731,CC BY-SA 3.0,https://stackoverflow.com/questions/11397731/communication-between-lexer-and-parser,Communication between lexer and parser,11398296.0,,,,,,
