,tags,owner,is_answered,view_count,answer_count,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
0,"['c++', 'c++11', 'clion', 'member-functions']","{'account_id': 14713952, 'reputation': 39, 'user_id': 14183715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c8e08344fcbe2dd62a22a79ccd7248bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arunabh Bhattacharya', 'link': 'https://stackoverflow.com/users/14183715/arunabh-bhattacharya'}",True,764,1,-7,1667522620.0,1668904100,1623266167,1668904100.0,67910418,CC BY-SA 4.0,https://stackoverflow.com/questions/67910418/what-step-can-i-take-to-fix-the-error-of-unknown-type-name-node,What step can I take to fix the error of “Unknown type name &#39;Node&#39; ”?,,,
1,"['c++', 'string', 'palindrome']","{'account_id': 21549236, 'reputation': 3, 'user_id': 15885618, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi8LhVECWWVbsL-ZOfv--CF6cg85SdxvAjme4VC=k-s256', 'display_name': 'Vishal Kumar', 'link': 'https://stackoverflow.com/users/15885618/vishal-kumar'}",False,305,3,0,,1668881543,1623341162,1623343456.0,67924796,CC BY-SA 4.0,https://stackoverflow.com/questions/67924796/previous-greatest-palindrome-numbers-before-a-given-palindrome-number,previous greatest palindrome numbers before a given palindrome number,,,
2,"['c++', 'c++11']","{'account_id': 1900589, 'reputation': 3008, 'user_id': 1716525, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://i.stack.imgur.com/Fn3LA.jpg?s=256&g=1', 'display_name': 'Kumar Roshan Mehta', 'link': 'https://stackoverflow.com/users/1716525/kumar-roshan-mehta'}",True,86,3,1,,1668311721,1623085963,1623086956.0,67875995,CC BY-SA 4.0,https://stackoverflow.com/questions/67875995/unable-to-understand-custom-allocator,Unable to Understand Custom Allocator,67876328.0,,
3,"['c++', 'visual-studio-code', 'vscode-settings']","{'account_id': 21935926, 'reputation': 1, 'user_id': 16217163, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e2e670a5bcbf5a381321fc8805aafb73?s=256&d=identicon&r=PG&f=1', 'display_name': 'xypaul', 'link': 'https://stackoverflow.com/users/16217163/xypaul'}",False,485,2,0,,1668277815,1623616536,1623620530.0,67962456,CC BY-SA 4.0,https://stackoverflow.com/questions/67962456/how-to-show-warnings-in-vscode-editor-for-c-c-files,How to show warnings in VSCode editor for C/C++ files?,,,
4,"['c++', 'boost-geometry']","{'account_id': 2247232, 'reputation': 2194, 'user_id': 2601293, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/43WA3.jpg?s=256&g=1', 'display_name': 'J&#39;e', 'link': 'https://stackoverflow.com/users/2601293/je'}",False,128,1,2,,1668161841,1623068990,1668161841.0,67871642,CC BY-SA 4.0,https://stackoverflow.com/questions/67871642/using-boostgeometry-project-a-new-point-using-distance-and-azimuth,"using boost::geometry, project a new point using distance and azimuth",,,
5,"['c++', 'netbeans', 'netbeans-plugins']","{'account_id': 20314050, 'reputation': 53, 'user_id': 14900353, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/125ce5e7d474de11701bd8290afaf470?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shervan_d', 'link': 'https://stackoverflow.com/users/14900353/shervan-d'}",True,2124,2,4,,1667939595,1623976204,,68027919,CC BY-SA 4.0,https://stackoverflow.com/questions/68027919/error-installing-c-c-plugin-in-netbeans-12-4-with-jdk-16-in-windows-10,Error installing C/C++ plugin in Netbeans 12.4 with JDK 16 in Windows 10,68043338.0,,
6,"['c++', 'c++20', 'c++-coroutine']","{'account_id': 9638896, 'reputation': 481, 'user_id': 7153906, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/97687139bd27e15ba7b1b8914adb7e75?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kenneth', 'link': 'https://stackoverflow.com/users/7153906/kenneth'}",True,2178,1,6,,1667821279,1623373172,1623373238.0,67930087,CC BY-SA 4.0,https://stackoverflow.com/questions/67930087/how-to-do-chained-coroutines-in-c-20,How to do chained coroutines in C++ 20,,,
7,"['c++', 'winui-3']","{'account_id': 20791572, 'reputation': 1, 'user_id': 15269621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78fd0546e11c56bfeb6c7c53b7214e8e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nicholas Meyer', 'link': 'https://stackoverflow.com/users/15269621/nicholas-meyer'}",False,1801,3,0,,1667746195,1624868908,,68160034,CC BY-SA 4.0,https://stackoverflow.com/questions/68160034/how-can-i-create-multiple-windows-in-winui-3-0,How can I create multiple windows in winui 3.0?,,,
8,"['c++', 'visual-studio-code', 'cmake']","{'account_id': 5830025, 'reputation': 1194, 'user_id': 4594902, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://graph.facebook.com/686173344826419/picture?type=large', 'display_name': 'Ilja KO', 'link': 'https://stackoverflow.com/users/4594902/ilja-ko'}",False,756,1,1,,1667631714,1622569318,,67793665,CC BY-SA 4.0,https://stackoverflow.com/questions/67793665/cant-include-libs-for-c-project-in-vs-code-with-cmake-vcpkg,Can&#39;t include libs for C++ project in VS Code with cmake + vcpkg,,,
9,"['c++', 'qt', 'ubuntu', 'qt6']","{'account_id': 18250721, 'reputation': 353, 'user_id': 13285779, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JSy5R.png?s=256&g=1', 'display_name': 'CuriousPan', 'link': 'https://stackoverflow.com/users/13285779/curiouspan'}",True,39880,7,9,,1667494960,1624024654,,68036484,CC BY-SA 4.0,https://stackoverflow.com/questions/68036484/qt6-qt-qpa-plugin-could-not-load-the-qt-platform-plugin-xcb-in-even-thou,QT6: &quot;qt.qpa.plugin: Could not load the Qt platform plugin &quot;xcb&quot; in &quot;&quot; even though it was found.&quot;,68058308.0,,
