,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['c++', 'std', 'allocator']","{'account_id': 10768270, 'reputation': 59, 'user_id': 9262430, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bedd74ef757081ffdc9620e4cbed5788?s=256&d=identicon&r=PG&f=1', 'display_name': 'Charles', 'link': 'https://stackoverflow.com/users/9262430/charles'}",True,613,59539125.0,3,3,1668789850,1577760745,59539057,CC BY-SA 4.0,https://stackoverflow.com/questions/59539057/c-does-it-lead-to-double-free-when-destroy-element-in-allocatorstring,C++ does it lead to double free when destroy element in allocator&lt;string&gt;?,,,,,,
1,"['c++', 'structure', 'unreal-engine4']","{'account_id': 14266083, 'reputation': 11, 'user_id': 10305176, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-e3dtT5FLLGg/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaPhTLukBHwR_CEfHTizcsQLc8bXSw/mo/photo.jpg?sz=256', 'display_name': 'Samuel Diesbergen', 'link': 'https://stackoverflow.com/users/10305176/samuel-diesbergen'}",False,8183,,1,1,1668643620,1577800632,59545012,CC BY-SA 4.0,https://stackoverflow.com/questions/59545012/ue4-c-unrecognized-type-fmasteritem-type-must-be-a-uclass-ustruct-or-uenu,"UE4 C++ Unrecognized type &#39;FMasterItem&#39; - type must be a UCLASS, USTRUCT or UENUM",1577802207.0,,,,,
2,"['c++', 'c++20', 'c++-modules']","{'account_id': 17365591, 'reputation': 111, 'user_id': 12580820, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e528e337070d1105df62ded771b5fe32?s=256&d=identicon&r=PG&f=1', 'display_name': 'Geroz1501', 'link': 'https://stackoverflow.com/users/12580820/geroz1501'}",True,7055,,2,11,1668120032,1577040970,59447206,CC BY-SA 4.0,https://stackoverflow.com/questions/59447206/standard-way-of-importing-modules,Standard way of importing modules,1577052639.0,,,,,
3,"['c++', 'stl', 'time-complexity', 'c++14', 'complexity-theory']","{'account_id': 3069453, 'reputation': 1280, 'user_id': 5257342, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/853e0927481c25d437a7133e4c94bda1?s=256&d=identicon&r=PG', 'display_name': 'Trajan', 'link': 'https://stackoverflow.com/users/5257342/trajan'}",True,8898,59512613.0,4,1,1667660729,1577544154,59511882,CC BY-SA 4.0,https://stackoverflow.com/questions/59511882/find-the-number-of-steps-a-string-can-be-reduced-to-0,Find the number of steps a string can be reduced to 0,1577561367.0,,,,,
4,"['c++', 'vector']","{'account_id': 13750476, 'reputation': 441, 'user_id': 11522462, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/srpTZ.png?s=256&g=1', 'display_name': 'mpnm', 'link': 'https://stackoverflow.com/users/11522462/mpnm'}",True,658,,4,0,1667072720,1575812066,59235919,CC BY-SA 4.0,https://stackoverflow.com/questions/59235919/printing-a-vectorpairint-int,"Printing a `vector&lt;pair&lt;int, int&gt;&gt;`",,,,,,
5,"['c++', 'visual-studio', 'cmake', 'visual-studio-2019', 'boost-test']","{'account_id': 6721244, 'reputation': 5781, 'user_id': 5181181, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/j8M6A.jpg?s=256&g=1', 'display_name': 'Nickpick', 'link': 'https://stackoverflow.com/users/5181181/nickpick'}",True,252,74150039.0,1,0,1666336729,1575928933,59257324,CC BY-SA 4.0,https://stackoverflow.com/questions/59257324/how-to-get-boost-tests-discovered-by-visual-studio-test-explorer-in-a-cmake-proj,How to get boost tests discovered by Visual Studio Test Explorer in a cmake project,,,,,,
6,"['c++', 'mysql', 'qt']","{'account_id': 11767260, 'reputation': 174, 'user_id': 8674022, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dlBYf.jpg?s=256&g=1', 'display_name': 'oScarDiAnno', 'link': 'https://stackoverflow.com/users/8674022/oscardianno'}",True,179,,1,0,1666274761,1575431352,59168667,CC BY-SA 4.0,https://stackoverflow.com/questions/59168667/installing-qt-and-mysql-to-code-and-connect-with-the-database,Installing Qt and MySQL to code and connect with the database,,,,,,
7,"['c++', 'visual-studio', 'c++17', 'natvis']","{'account_id': 2873722, 'reputation': 10716, 'user_id': 2466431, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/gSQh3.png?s=256&g=1', 'display_name': 'JVApen', 'link': 'https://stackoverflow.com/users/2466431/jvapen'}",True,1466,,2,18,1665825149,1576067658,59285956,CC BY-SA 4.0,https://stackoverflow.com/questions/59285956/using-stdtype-info-for-casting-in-natvis,Using std::type_info for casting in natvis,1581837872.0,,,,,
8,"['c++', 'c', 'googletest', 'automake']","{'account_id': 3709957, 'reputation': 968, 'user_id': 3087555, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/fe453dd9d1b38e7fcc19dc5f71e3cc4a?s=256&d=identicon&r=PG&f=1', 'display_name': 'ZeppRock', 'link': 'https://stackoverflow.com/users/3087555/zepprock'}",True,2740,59300287.0,2,4,1665593021,1576074369,59287962,CC BY-SA 4.0,https://stackoverflow.com/questions/59287962/fff-fake-function-with-google-test,FFF fake function with google test,,,,,,
9,"['c++', 'xcode', 'generics', 'ide', 'clion']","{'account_id': 14240910, 'reputation': 450, 'user_id': 10287265, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2199094160324861/picture?type=large', 'display_name': 'Patrik Nusszer', 'link': 'https://stackoverflow.com/users/10287265/patrik-nusszer'}",True,240,59545513.0,2,2,1665403163,1577802368,59545304,CC BY-SA 4.0,https://stackoverflow.com/questions/59545304/c-ides-will-not-deduce-auto-complete-member-access-on-stdarray-subscript-exp,C++ IDEs will not deduce/auto complete member access on std::array subscript expression in template class,1577802718.0,,,,,
