,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from
0,"['c++', 'windows', 'cmake', 'clion', 'vcpkg']","{'account_id': 12960660, 'reputation': 534, 'user_id': 9370018, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc7ce6db1045fd1770be45ffe8c78ce5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ojav', 'link': 'https://stackoverflow.com/users/9370018/ojav'}",True,4819,57100995.0,1,6,1668759811,1563446604,1563446919.0,57092692,CC BY-SA 4.0,https://stackoverflow.com/questions/57092692/how-to-fix-vcpkg-cmake-is-unable-to-determine-target-architecture-windows10-v,"How to fix &#39;Vcpkg/CMake Is Unable to determine target architecture&#39; (Windows10,vcpkg,clion,cmake)",,,,
1,"['c++', 'for-loop']","{'account_id': 10233121, 'reputation': 698, 'user_id': 7553068, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/14d15a8d504433d2ad0a46e8eb9de71b?s=256&d=identicon&r=PG&f=1', 'display_name': 'northerner', 'link': 'https://stackoverflow.com/users/7553068/northerner'}",True,303,57071830.0,3,0,1667832405,1563352232,1563395836.0,57071695,CC BY-SA 4.0,https://stackoverflow.com/questions/57071695/why-does-having-unsigned-int-crash-for-loop-on-last-iteration,Why does having unsigned int crash for loop on last iteration?,,,,
2,"['c++', 'libcurl']","{'account_id': 10941187, 'reputation': 29, 'user_id': 8040992, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1372315486191596/picture?type=large', 'display_name': 'Uzair Khan', 'link': 'https://stackoverflow.com/users/8040992/uzair-khan'}",False,542,,1,0,1667830867,1564313057,1564313133.0,57240386,CC BY-SA 4.0,https://stackoverflow.com/questions/57240386/libcurl-c-segmentation-fault-core-dumped-in-linux,Libcurl c++ Segmentation fault (core dumped) in linux,,,,
3,"['c++', 'winapi', 'tchar', 'buffer-overrun', 'strsafe']","{'account_id': 335482, 'reputation': 755, 'user_id': 662586, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/e02811681b46047f576392d3db3f74dd?s=256&d=identicon&r=PG', 'display_name': 'JeffR', 'link': 'https://stackoverflow.com/users/662586/jeffr'}",False,308,,2,1,1667250604,1562762646,1667250604.0,56970980,CC BY-SA 4.0,https://stackoverflow.com/questions/56970980/why-error-c6386-buffer-overrun-with-strsafe-h-stringcch-functions,Why error C6386 buffer overrun with strsafe.h StringCch functions?,,,,
4,"['c++', 'c', 'algorithm', 'breadth-first-search']","{'user_type': 'does_not_exist', 'display_name': 'user11799835'}",True,962,57090104.0,3,0,1666874261,1563437824,1563439828.0,57090013,CC BY-SA 4.0,https://stackoverflow.com/questions/57090013/generate-stepping-numbers-upto-a-given-number-n,Generate stepping numbers upto a given number N,,,,
5,"['c++', 'language-lawyer', 'typetraits']","{'account_id': 6436757, 'reputation': 1209, 'user_id': 4988044, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/176bea70fb8474bc1a454ffeefd59702?s=256&d=identicon&r=PG&f=1', 'display_name': 'TheCppZoo', 'link': 'https://stackoverflow.com/users/4988044/thecppzoo'}",False,301,,2,3,1666228468,1562114490,1562119901.0,56861548,CC BY-SA 4.0,https://stackoverflow.com/questions/56861548/is-there-a-standard-compliant-way-to-determine-the-alignment-of-a-non-static-mem,Is there a standard-compliant way to determine the alignment of a non-static member?,,,,
6,"['c++', 'templates', 'language-lawyer']","{'account_id': 4190188, 'reputation': 1931, 'user_id': 3766405, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/ba50b15daf0e2845b9bc8cb9274e2613?s=256&d=identicon&r=PG&f=1', 'display_name': 'user42768', 'link': 'https://stackoverflow.com/users/3766405/user42768'}",True,97,,1,5,1666183805,1563907664,1563912013.0,57170449,CC BY-SA 4.0,https://stackoverflow.com/questions/57170449/c-dr-115-address-of-template-specialization-even-if-deduction-fails,C++ DR 115: Address of template specialization even if deduction fails,,,,
7,"['c++', 'amazon-web-services', 'aws-sdk-cpp']","{'account_id': 6895194, 'reputation': 334, 'user_id': 5297434, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6207e42f63ec1129a913afbbf2ab8a1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Andrew W', 'link': 'https://stackoverflow.com/users/5297434/andrew-w'}",True,330,,1,9,1665593748,1562007429,,56841031,CC BY-SA 4.0,https://stackoverflow.com/questions/56841031/what-is-the-purpose-of-the-allocationtag-parameter-in-the-aws-sdk-for-c,What is the purpose of the &quot;allocationTag&quot; parameter in the AWS SDK for C++?,,,,
8,"['c++', 'arrays', 'loops']","{'account_id': 14182706, 'reputation': 31, 'user_id': 10245723, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f00dc87d41499c68f31c5ade27b6a280?s=256&d=identicon&r=PG&f=1', 'display_name': 'J.Soumya', 'link': 'https://stackoverflow.com/users/10245723/j-soumya'}",True,807,,5,2,1665587546,1563700439,1563701332.0,57131815,CC BY-SA 4.0,https://stackoverflow.com/questions/57131815/next-greater-element,Next Greater Element,,,,
9,"['c++', 'std', 'typedef', 'chrono', 'libc++']","{'account_id': 8359447, 'reputation': 1, 'user_id': 6278402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b2293c5b209bee78ef81abc74421897d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amrit Ayyar', 'link': 'https://stackoverflow.com/users/6278402/amrit-ayyar'}",True,184,,1,0,1665426327,1563187814,1665426327.0,57038172,CC BY-SA 4.0,https://stackoverflow.com/questions/57038172/unable-to-typedef-stdchronomicroseconds-to-override-its-definition-to-change,Unable to typedef std::chrono::microseconds to override its definition to change its underlying type,,,,
