,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id
0,"['c++', 'post-increment', 'pre-increment', 'friend-function']","{'account_id': 13314025, 'reputation': 41, 'user_id': 9611104, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/99a02216aa3d997f7019f701c5095486?s=256&d=identicon&r=PG&f=1', 'display_name': 'Priyansh', 'link': 'https://stackoverflow.com/users/9611104/priyansh'}",False,54,1,0,1668773584,1586778990,61187364,CC BY-SA 4.0,https://stackoverflow.com/questions/61187364/overloading-unary-operator-specially-post-increment-and-pre-increment-using-frie,Overloading unary operator specially post-increment and pre-increment using friend keyword,,,,
1,"['c++', 'static-methods', 'static-functions']","{'account_id': 5440761, 'reputation': 2460, 'user_id': 4792660, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/59ace870f4a27de7c1cb1ecb3436d195?s=256&d=identicon&r=PG&f=1', 'display_name': 'user8469759', 'link': 'https://stackoverflow.com/users/4792660/user8469759'}",True,2697,1,2,1668516398,1587383914,61321975,CC BY-SA 4.0,https://stackoverflow.com/questions/61321975/static-function-vs-static-member-functions-c,Static function vs Static member functions C++,,,,
2,"['c++', 'random', 'dynamic', 'dynamic-memory-allocation', 'srand']","{'account_id': 16902614, 'reputation': 305, 'user_id': 12223536, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1cb9ad14d764a3f01d215036196f58f1?s=256&d=identicon&r=PG&f=1', 'display_name': 'wolfeweeks', 'link': 'https://stackoverflow.com/users/12223536/wolfeweeks'}",False,32,0,0,1667455713,1585791700,60982998,,https://stackoverflow.com/questions/60982998/create-different-random-numbers-in-default-constructor-while-dynamically-allocat,Create different random numbers in default constructor while dynamically allocating an array C++,1585792709.0,1667455713.0,Duplicate,
3,"['c++', 'conways-game-of-life']","{'account_id': 18380319, 'reputation': 127, 'user_id': 13388503, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ifzE0.jpg?s=256&g=1', 'display_name': 'Debug', 'link': 'https://stackoverflow.com/users/13388503/debug'}",False,102,0,0,1667455448,1588231868,61518098,CC BY-SA 4.0,https://stackoverflow.com/questions/61518098/need-help-finding-dead-cell-data-game-of-life,Need help finding dead cell data *GAME OF LIFE*,,1667455448.0,,
4,"['c++', 'c', 'windows', 'wifi', 'sid']","{'account_id': 7312113, 'reputation': 53, 'user_id': 5570919, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/otCLL.png?s=256&g=1', 'display_name': 'Googe', 'link': 'https://stackoverflow.com/users/5570919/googe'}",True,614,1,0,1667453852,1586446461,61124778,CC BY-SA 4.0,https://stackoverflow.com/questions/61124778/lookupaccountname-always-fails-with-error-122-error-insufficient-buffer,LookupAccountName Always Fails With Error 122 (ERROR_INSUFFICIENT_BUFFER),,1667453852.0,,61125273.0
5,"['c++', 'x509', 'wincrypt']","{'account_id': 1528771, 'reputation': 342, 'user_id': 1426535, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/MB8rC.jpg?s=256&g=1', 'display_name': 'Rufus Buschart', 'link': 'https://stackoverflow.com/users/1426535/rufus-buschart'}",True,880,3,1,1667371140,1587847344,61432333,CC BY-SA 4.0,https://stackoverflow.com/questions/61432333/how-to-check-the-revocation-status-of-a-x509-certificate-in-c-with-wincrypt-h,How to check the revocation status of a x509 certificate in c++ with wincrypt.h?,,,,
6,"['c++', 'algorithm']","{'account_id': 15532490, 'reputation': 455, 'user_id': 12826055, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-2_g01SPgsuE/AAAAAAAAAAI/AAAAAAAAATM/CSo_84AGd3c/photo.jpg?sz=256', 'display_name': 'str1ng', 'link': 'https://stackoverflow.com/users/12826055/str1ng'}",True,72,2,-2,1667352973,1586041038,61035845,CC BY-SA 4.0,https://stackoverflow.com/questions/61035845/how-can-i-fix-the-code-so-it-prints-out-the-sum-of-each-pair,How can I fix the code so it prints out the sum of each pair?,,1667352973.0,,61036667.0
7,"['c++', 'algorithm', 'search', 'heuristics', 'n-queens']","{'account_id': 4123854, 'reputation': 488, 'user_id': 3383513, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/UClZ2.png?s=256&g=1', 'display_name': 'Just_Alex', 'link': 'https://stackoverflow.com/users/3383513/just-alex'}",True,399,1,4,1667241892,1587369395,61317605,CC BY-SA 4.0,https://stackoverflow.com/questions/61317605/poor-performance-on-the-nqueens-min-conflic-search,Poor performance on the nqueens min-conflic search,,1587725544.0,,
8,"['c++', 'qt', 'blackmagic-design']","{'account_id': 18141228, 'reputation': 11, 'user_id': 13195064, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf56e92102deac1dd8df0608fbcbf465?s=256&d=identicon&r=PG&f=1', 'display_name': 'JPonsford', 'link': 'https://stackoverflow.com/users/13195064/jponsford'}",False,615,0,1,1667074458,1585817163,60987547,CC BY-SA 4.0,https://stackoverflow.com/questions/60987547/no-suitable-user-defined-conversion-from-type-to-const-decklink-input-device,No suitable user defined conversion from type to const Decklink Input Device,,1667074458.0,,
9,"['c++', 'tree']","{'account_id': 15558725, 'reputation': 21, 'user_id': 11224370, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/770909823306294/picture?type=large', 'display_name': 'lostatall', 'link': 'https://stackoverflow.com/users/11224370/lostatall'}",False,225,2,0,1665589955,1587540852,61359595,CC BY-SA 4.0,https://stackoverflow.com/questions/61359595/how-would-i-recursively-traverse-a-tree-that-returns-a-bool,How would I recursively traverse a tree that returns a bool,,1665589955.0,,
