,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
0,"['c++', 'linker', 'g++', 'gdi+']","{'account_id': 1277475, 'reputation': 140, 'user_id': 1232403, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/c15f4fab4ef18d28d66f021825fa64d1?s=256&d=identicon&r=PG', 'display_name': 'cuter44', 'link': 'https://stackoverflow.com/users/1232403/cuter44'}",True,4083,5,6,1669540104,1330738052,1485156196.0,9542558,CC BY-SA 3.0,https://stackoverflow.com/questions/9542558/undefined-reference-to-gdiplusstartup12,undefined reference to `GdiplusStartup@12&#39;,,,,,,
1,"['c++', 'debugging', 'netbeans', 'command-line']","{'account_id': 196184, 'reputation': 6559, 'user_id': 439497, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/913585cae910787fdd2186698cc7698e?s=256&d=identicon&r=PG', 'display_name': 'ManInMoon', 'link': 'https://stackoverflow.com/users/439497/maninmoon'}",True,23293,2,25,1669336520,1331574184,1401157957.0,9672072,CC BY-SA 3.0,https://stackoverflow.com/questions/9672072/netbeans-ide-for-c-how-to-specify-command-line-arguments,Netbeans IDE for C++ how to specify command line arguments,,,,,,
2,"['c++', 'c++11', 'unique-ptr']","{'account_id': 1160476, 'reputation': 507, 'user_id': 1140072, 'user_type': 'registered', 'accept_rate': 35, 'profile_image': 'https://www.gravatar.com/avatar/eb434238f7445e2a3826289832f98195?s=256&d=identicon&r=PG', 'display_name': 'Evan', 'link': 'https://stackoverflow.com/users/1140072/evan'}",True,23523,8,19,1669222097,1332274765,1456799685.0,9794267,CC BY-SA 3.0,https://stackoverflow.com/questions/9794267/double-two-dimensional-array-using-stdunique-ptr,Double (two-dimensional) array using std::unique_ptr,,,,,,
3,"['c++', 'visual-studio-2010', 'winapi', 'memory-management']","{'account_id': 968297, 'reputation': 1213, 'user_id': 991339, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/06c45796927f6e538121cd02fe804891?s=256&d=identicon&r=PG', 'display_name': 'Leo', 'link': 'https://stackoverflow.com/users/991339/leo'}",True,370,2,0,1669060710,1332099701,1669060710.0,9761616,CC BY-SA 4.0,https://stackoverflow.com/questions/9761616/heap-separation-to-solve-memory-fragmentation,Heap separation to solve memory fragmentation,9762172.0,,,,,
4,"['c++', 'casting']","{'account_id': 412380, 'reputation': 2492, 'user_id': 785413, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/547d87ff46af17f5d0bd657d79eb7f86?s=256&d=identicon&r=PG', 'display_name': 'Jon', 'link': 'https://stackoverflow.com/users/785413/jon'}",True,20838,2,27,1668211369,1331738911,1668211369.0,9704893,,https://stackoverflow.com/questions/9704893/c-dynamic-cast-vs-typeid-for-class-comparison,C++ dynamic_cast vs typeid for class comparison,9705016.0,1331803100.0,exact duplicate,,,
5,"['c++', 'exception-handling', 'inputstream', 'file-handling']","{'account_id': 79304, 'reputation': 57057, 'user_id': 224988, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/7XElg.jpg?s=256&g=1', 'display_name': 'Moshe', 'link': 'https://stackoverflow.com/users/224988/moshe'}",True,93737,2,50,1667838392,1331567797,1348618548.0,9670396,CC BY-SA 3.0,https://stackoverflow.com/questions/9670396/exception-handling-and-opening-a-file,Exception Handling and Opening a File?,10279023.0,,,,,
6,"['c++', 'windows', 'winapi', 'directory']","{'account_id': 435935, 'reputation': 55697, 'user_id': 1723893, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/dpcFl.jpg?s=256&g=1', 'display_name': 'NullPoiиteя', 'link': 'https://stackoverflow.com/users/1723893/nullpoi%d0%b8te%d1%8f'}",True,13082,5,7,1667697943,1332499998,1667697943.0,9837965,CC BY-SA 4.0,https://stackoverflow.com/questions/9837965/how-do-i-remove-a-directory-recursively,How do I remove a directory recursively?,9838110.0,,,,,
7,"['java', 'c++', 'java-native-interface', 'kinect', 'com+']","{'account_id': 1293012, 'reputation': 1282, 'user_id': 1244730, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8f5f1c377b77b9c6d20ca30cf0ac02a0?s=256&d=identicon&r=PG', 'display_name': 'seveves', 'link': 'https://stackoverflow.com/users/1244730/seveves'}",True,13948,3,4,1666742135,1331273846,,9629766,CC BY-SA 3.0,https://stackoverflow.com/questions/9629766/communication-between-java-application-and-c-application,Communication between Java Application and C++ Application,9629859.0,,,,,
8,"['c++', 'math']","{'account_id': 1316048, 'reputation': 31, 'user_id': 1262876, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/00c5aff32138fb7de774a09f7304a9f9?s=256&d=identicon&r=PG', 'display_name': 'user1262876', 'link': 'https://stackoverflow.com/users/1262876/user1262876'}",True,3735,5,2,1666375961,1332223884,1332224857.0,9782103,CC BY-SA 3.0,https://stackoverflow.com/questions/9782103/c-or-c-pow-giving-wrong-result,c++ or c pow giving wrong result,9782325.0,,,,,
9,"['c++', 'eclipse', 'g++', 'mingw']","{'account_id': 1330551, 'reputation': 251, 'user_id': 1274566, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/07e59dd2ba53ae3be7aae5ac1e0825e7?s=256&d=identicon&r=PG', 'display_name': 'user1274566', 'link': 'https://stackoverflow.com/users/1274566/user1274566'}",True,111097,4,25,1665830038,1331917779,1393232180.0,9741568,CC BY-SA 3.0,https://stackoverflow.com/questions/9741568/g-is-not-recognized-as-an-internal-or-external-command-mingw,"&quot;g++&quot; is not recognized as an internal or external command, MinGW",,,,,,
10,"['c++', 'performance']","{'account_id': 388246, 'reputation': 11417, 'user_id': 747050, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/26d857ba7fe9617d9362c7c8ca428ee4?s=256&d=identicon&r=PG', 'display_name': 'klm123', 'link': 'https://stackoverflow.com/users/747050/klm123'}",True,21918,7,30,1665681068,1333095592,1386194698.0,9939322,CC BY-SA 3.0,https://stackoverflow.com/questions/9939322/fast-1-x-division-reciprocal,Fast 1/X division (reciprocal),,,,,,
11,"['c++', 'c++11', 'perfect-forwarding']","{'account_id': 127682, 'reputation': 6705, 'user_id': 325016, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/84dd218304770335d0a408867d8cc407?s=256&d=identicon&r=PG', 'display_name': 'aCuria', 'link': 'https://stackoverflow.com/users/325016/acuria'}",True,50059,4,186,1665593628,1331572852,1519811610.0,9671749,CC BY-SA 3.0,https://stackoverflow.com/questions/9671749/whats-the-difference-between-stdmove-and-stdforward,What&#39;s the difference between std::move and std::forward,9716708.0,,,,,
12,"['c++', 'visual-studio', 'visual-c++', 'unresolved-external']","{'account_id': 557270, 'reputation': 12771, 'user_id': 919348, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/7da5555bc18ddb7271d342ce2ce4b66f?s=256&d=identicon&r=PG', 'display_name': 'Novellizator', 'link': 'https://stackoverflow.com/users/919348/novellizator'}",True,646344,31,217,1665431241,1333033888,1460534906.0,9928238,CC BY-SA 3.0,https://stackoverflow.com/questions/9928238/unresolved-external-symbol-in-object-files,Unresolved external symbol in object files,9928586.0,,,,,
13,"['c++', 'ubuntu']","{'account_id': 1253275, 'reputation': 77, 'user_id': 1215675, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/6c7e91412ccc9cd1198622917c6429f5?s=256&d=identicon&r=PG', 'display_name': 'Ali Iqbal', 'link': 'https://stackoverflow.com/users/1215675/ali-iqbal'}",True,1150,3,0,1665219486,1330855634,,9553993,CC BY-SA 3.0,https://stackoverflow.com/questions/9553993/changing-directory-in-shell-using-c-program,changing directory in shell using c++ program,9554060.0,,,,,
14,"['c++', 'regex', 'performance', 'pcre']","{'account_id': 61152, 'reputation': 17837, 'user_id': 182402, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/de96aa2f424a48b2510a7d29c65a8ace?s=256&d=identicon&r=PG', 'display_name': 'Wander Nauta', 'link': 'https://stackoverflow.com/users/182402/wander-nauta'}",True,758,2,0,1664569800,1331993043,,9750574,CC BY-SA 3.0,https://stackoverflow.com/questions/9750574/how-do-i-use-pcre-study-with-pcrecpp,How do I use pcre_study with pcrecpp?,9750635.0,,,,,
15,"['c++', 'unique-ptr', 'incomplete-type', 'libc++']","{'user_type': 'does_not_exist', 'display_name': 'user1203803'}",True,73847,7,249,1664532332,1333184597,1333185424.0,9954518,CC BY-SA 3.0,https://stackoverflow.com/questions/9954518/stdunique-ptr-with-an-incomplete-type-wont-compile,std::unique_ptr with an incomplete type won&#39;t compile,9954553.0,,,,,
16,"['c++', 'c', 'pointers']","{'account_id': 473751, 'reputation': 18226, 'user_id': 883033, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/lkrDS.jpg?s=256&g=1', 'display_name': 'Chandra Sekhar', 'link': 'https://stackoverflow.com/users/883033/chandra-sekhar'}",True,16610,8,46,1663744143,1332325330,1568537440.0,9802585,CC BY-SA 4.0,https://stackoverflow.com/questions/9802585/why-is-the-data-type-needed-in-pointer-declarations,Why is the data type needed in pointer declarations?,9802673.0,,,,,
17,"['c++', 'c', 'json', 'web-services']","{'account_id': 1031346, 'reputation': 1308, 'user_id': 1039612, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f2d789f9bf0baa847bc317f1cc5581c?s=256&d=identicon&r=PG', 'display_name': 'jllodra', 'link': 'https://stackoverflow.com/users/1039612/jllodra'}",True,55008,11,30,1663074589,1332253106,,9788572,CC BY-SA 3.0,https://stackoverflow.com/questions/9788572/ways-to-implement-a-json-restful-service-in-c-c,Ways to implement a JSON RESTful service in C/C++,,,,,,
18,"['c++', 'math']","{'account_id': 356508, 'reputation': 1426, 'user_id': 696058, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/bf870cb634677eb81599f2a3d51bacaf?s=256&d=identicon&r=PG', 'display_name': 'gardian06', 'link': 'https://stackoverflow.com/users/696058/gardian06'}",True,22905,7,8,1662873364,1331441306,1495540956.0,9652549,CC BY-SA 3.0,https://stackoverflow.com/questions/9652549/self-made-pow-c,self made pow() c++,,,,,,
19,"['c++', 'compiler-errors', 'initialization', 'c++11']","{'account_id': 334826, 'reputation': 219893, 'user_id': 661519, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/1735ab1c8ba4229daa855ec6aad03065?s=256&d=identicon&r=PG', 'display_name': 'juanchopanza', 'link': 'https://stackoverflow.com/users/661519/juanchopanza'}",True,28619,3,78,1662841347,1331212692,1428110650.0,9618268,CC BY-SA 3.0,https://stackoverflow.com/questions/9618268/initializing-container-of-unique-ptrs-from-initializer-list-fails-with-gcc-4-7,Initializing container of unique_ptrs from initializer list fails with GCC 4.7,9618553.0,,,,,
20,"['c++', 'windows', 'winapi']","{'account_id': 1171069, 'reputation': 5044, 'user_id': 1148251, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/5ec6eeaff994218f7d2279b3d2f5daa7?s=256&d=identicon&r=PG', 'display_name': 'NFRCR', 'link': 'https://stackoverflow.com/users/1148251/nfrcr'}",True,16074,8,22,1662451751,1330612662,1330620278.0,9518106,CC BY-SA 3.0,https://stackoverflow.com/questions/9518106/winapi-sleep-function-call-sleeps-for-longer-than-expected,WinAPI Sleep() function call sleeps for longer than expected,9518185.0,,,,,
21,"['c++', 'compilation', 'linker', 'ncurses']","{'account_id': 1294663, 'reputation': 201, 'user_id': 1246043, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0d7daee6234684006b650dc86d67c1b?s=256&d=identicon&r=PG', 'display_name': 'Fari', 'link': 'https://stackoverflow.com/users/1246043/fari'}",True,36951,8,15,1662414514,1330729915,1563745513.0,9541679,CC BY-SA 4.0,https://stackoverflow.com/questions/9541679/undefined-reference-to-stdscr-while-using-ncurses,Undefined reference to `stdscr&#39; while using ncurses,,,,,,
22,"['c++', 'gcc', 'compiler-construction', 'compiler-errors', 'compiler-warnings']","{'account_id': 1007912, 'reputation': 107, 'user_id': 1021140, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3aa1598721cad0225e37af11627a8b7?s=256&d=identicon&r=PG', 'display_name': 'c0f33.alex', 'link': 'https://stackoverflow.com/users/1021140/c0f33-alex'}",True,2967,1,5,1662080278,1333021065,1662080278.0,9924570,CC BY-SA 4.0,https://stackoverflow.com/questions/9924570/gcc-options-warning-on-non-void-functions-without-a-return-statement,GCC options: warning on non-void functions without a return statement,9924593.0,,,,,
23,"['c++', 'c', 'json']","{'account_id': 1017970, 'reputation': 155, 'user_id': 1029083, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/70d32558b388d0a61f55dffa21222ae2?s=256&d=identicon&r=PG', 'display_name': 'user1029083', 'link': 'https://stackoverflow.com/users/1029083/user1029083'}",True,9781,3,5,1661728901,1332894732,,9899597,CC BY-SA 3.0,https://stackoverflow.com/questions/9899597/json-to-c-struct,json to c++ struct,,,,,,
24,"['c++', 'for-loop', 'nested']","{'account_id': 1297538, 'reputation': 669, 'user_id': 1248208, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/15098892246836c7ef8e9972206fd3de?s=256&d=identicon&r=PG', 'display_name': 'cortex', 'link': 'https://stackoverflow.com/users/1248208/cortex'}",True,12014,7,7,1661628110,1330872933,1330874241.0,9555864,CC BY-SA 3.0,https://stackoverflow.com/questions/9555864/variable-nested-for-loops,variable nested for loops,9556157.0,,,,,
25,"['c++', 'configuration', 'build', 'cmake']","{'account_id': 2576, 'reputation': 68028, 'user_id': 3594, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/5928057c2aff65b162eb34d5cc3797fa?s=256&d=identicon&r=PG', 'display_name': 'cdleary', 'link': 'https://stackoverflow.com/users/3594/cdleary'}",True,13236,4,27,1661621463,1330743027,,9542971,CC BY-SA 3.0,https://stackoverflow.com/questions/9542971/using-cmake-with-multiple-compilers-for-the-same-language,Using CMake with multiple compilers for the same language,9545369.0,,,,,
26,"['c++', 'parallel-processing', 'openmp']","{'account_id': 1336230, 'reputation': 15, 'user_id': 1278923, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/f75a1a9311d40f700abef2a708861851?s=256&d=identicon&r=PG', 'display_name': 'Andre Pereira', 'link': 'https://stackoverflow.com/users/1278923/andre-pereira'}",True,528,1,0,1660322398,1332172189,1660322398.0,9773356,CC BY-SA 4.0,https://stackoverflow.com/questions/9773356/openmp-parallel-region-within-master-directive,OpenMP - Parallel region within master directive,,,,,,
27,"['c++', 'return', 'return-value']","{'account_id': 183728, 'reputation': 3626, 'user_id': 419284, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/2c9fdfde3e44539d2cb2770ac87537c0?s=256&d=identicon&r=PG', 'display_name': 'LoveTW', 'link': 'https://stackoverflow.com/users/419284/lovetw'}",True,11315,7,0,1660292440,1331036922,1660292440.0,9583721,,https://stackoverflow.com/questions/9583721/c-return-without-value,C++ &quot;return&quot; without value,9583980.0,1331042753.0,not constructive,,,
28,"['c++', 'g++']","{'account_id': 901221, 'reputation': 9274, 'user_id': 937324, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/5sD0l.jpg?s=256&g=1', 'display_name': 'Gabriel Southern', 'link': 'https://stackoverflow.com/users/937324/gabriel-southern'}",True,35806,7,45,1660246519,1332366172,1557970568.0,9813316,CC BY-SA 4.0,https://stackoverflow.com/questions/9813316/print-template-typename-at-compile-time,Print template typename at compile time,9813792.0,,,,,
29,"['c++', 'visual-studio-2010', 'mfc']","{'account_id': 58693, 'reputation': 423, 'user_id': 175699, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/uHXa3.jpg?s=256&g=1', 'display_name': 'MBraedley', 'link': 'https://stackoverflow.com/users/175699/mbraedley'}",True,4501,2,5,1660194199,1331565529,1331568007.0,9669768,CC BY-SA 3.0,https://stackoverflow.com/questions/9669768/how-do-i-change-the-default-language-locality-for-new-mfc-dialogs,How do I change the default language (locality) for new MFC dialogs?,9676897.0,,,,,
30,"['c++', 'algorithm', 'median']","{'user_type': 'does_not_exist', 'display_name': 'user466534'}",True,2195,4,0,1659781717,1331649031,1430599988.0,9686078,CC BY-SA 3.0,https://stackoverflow.com/questions/9686078/median-of-two-sorted-array,Median of two sorted array,9686790.0,,,,,
31,"['c++', 'algorithm', 'kadanes-algorithm']","{'account_id': 318298, 'reputation': 5343, 'user_id': 996056, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3ddabd219208d1fbc6f5b003144ca673?s=256&d=identicon&r=PG', 'display_name': 'David Gomes', 'link': 'https://stackoverflow.com/users/996056/david-gomes'}",True,31770,18,20,1659699474,1333107656,1334205271.0,9942228,CC BY-SA 3.0,https://stackoverflow.com/questions/9942228/kadane-algorithm-negative-numbers,Kadane Algorithm Negative Numbers,9942342.0,,,1562545736.0,,
