,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,"['c++', 'linux', 'raspbian', 'sdl-2', 'framebuffer']","{'account_id': 91808, 'reputation': 2876, 'user_id': 251914, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/8809800aec2460f291384b794d7e6f8f?s=256&d=identicon&r=PG', 'display_name': 'Rick', 'link': 'https://stackoverflow.com/users/251914/rick'}",True,14579,1,15,1668796976,1566901254,1649630705.0,57672568,CC BY-SA 4.0,https://stackoverflow.com/questions/57672568/sdl2-on-raspberry-pi-without-x,SDL2 on Raspberry Pi without X?,,,,,
1,"['c++', 'visual-studio-code']","{'account_id': 8778378, 'reputation': 627, 'user_id': 6562851, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe826ca6a948af29e85abdecb68bd3e0?s=256&d=identicon&r=PG&f=1', 'display_name': 'brenzo', 'link': 'https://stackoverflow.com/users/6562851/brenzo'}",False,7846,1,6,1668747675,1565809939,,57500703,CC BY-SA 4.0,https://stackoverflow.com/questions/57500703/vscode-c-c-intellisense-identifier-undefined-but-can-resolve-definition,"VSCode C/C++ IntelliSense identifier undefined, but can resolve definition",,,,,
2,"['c++', 'c++11', 'chrono']","{'account_id': 3564072, 'reputation': 1625, 'user_id': 2976142, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/bfd05e60ee1df85447ae8124d0f6a2a2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Přemysl Šťastn&#253;', 'link': 'https://stackoverflow.com/users/2976142/p%c5%99emysl-%c5%a0%c5%a5astn%c3%bd'}",True,22497,3,19,1667085262,1566063072,,57538507,CC BY-SA 4.0,https://stackoverflow.com/questions/57538507/how-to-convert-stdchronoduration-to-double-seconds,How to convert std::chrono::duration to double (seconds)?,57538583.0,,,,
3,"['c++', 'c', 'visual-c++']","{'account_id': 61253, 'reputation': 814, 'user_id': 10870835, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/IlVhK.png?s=256&g=1', 'display_name': 'Chef Gladiator', 'link': 'https://stackoverflow.com/users/10870835/chef-gladiator'}",True,488,2,5,1664480705,1565360071,1664480705.0,57431947,CC BY-SA 4.0,https://stackoverflow.com/questions/57431947/tales-from-the-msvc-extern-c,Tales from the MSVC extern &quot;C&quot;,73369809.0,,,,
4,"['c++', 'windows']","{'account_id': 3054563, 'reputation': 2162, 'user_id': 2588499, 'user_type': 'registered', 'accept_rate': 34, 'profile_image': 'https://www.gravatar.com/avatar/a774cbfdbf028557b13027b6ec42cccf?s=256&d=identicon&r=PG', 'display_name': 'Arun', 'link': 'https://stackoverflow.com/users/2588499/arun'}",True,919,2,-1,1664132913,1566891985,,57669937,CC BY-SA 4.0,https://stackoverflow.com/questions/57669937/get-current-logged-in-user-name-from-within-a-c-windows-service,get current Logged in user name from within a C++ windows service,,,,,
5,"['c++', 'boost', 'boost-asio']","{'account_id': 4591764, 'reputation': 535, 'user_id': 3724853, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3724853', 'link': 'https://stackoverflow.com/users/3724853/user3724853'}",False,487,1,4,1663281323,1566006290,1632574309.0,57532714,CC BY-SA 4.0,https://stackoverflow.com/questions/57532714/boostasiobind-executor-behavior-is-it-intended,"boost::asio::bind_executor() behavior, is it intended?",,,,,
6,"['c++', 'arm', 'keil', 'armcc']","{'account_id': 14548795, 'reputation': 135, 'user_id': 10508322, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd9afad1051f8ad5f0297e253465d84d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tal Ben-Porath', 'link': 'https://stackoverflow.com/users/10508322/tal-ben-porath'}",True,2552,1,6,1662140199,1565536679,1662140199.0,57451208,CC BY-SA 4.0,https://stackoverflow.com/questions/57451208/whats-the-structure-of-arm-extab-entry-in-armcc,What&#39;s the structure of .arm.extab entry in armcc?,57452373.0,,,,
7,"['android', 'c++', 'opencv', 'clang']","{'account_id': 5603516, 'reputation': 83, 'user_id': 4438948, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-HFfM-ijuc0I/AAAAAAAAAAI/AAAAAAAAADw/SU8yCmo1Dng/photo.jpg?sz=256', 'display_name': 'darkwater84', 'link': 'https://stackoverflow.com/users/4438948/darkwater84'}",False,251,1,0,1662100284,1566002232,1662100284.0,57532452,CC BY-SA 4.0,https://stackoverflow.com/questions/57532452/reduce-opencv4-dynamic-lib-so-size,Reduce opencv4 dynamic lib .so size,,,,,
8,"['c++', 'ios', 'objective-c', 'opencv']","{'account_id': 58378, 'reputation': 173, 'user_id': 174782, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b74ad8bca2b05cd8f18424ab2acf049?s=256&d=identicon&r=PG', 'display_name': 'Erle', 'link': 'https://stackoverflow.com/users/174782/erle'}",False,408,0,1,1662100263,1565269363,1662100263.0,57413297,CC BY-SA 4.0,https://stackoverflow.com/questions/57413297/ios-opencv-image-matching-with-orb-leads-to-exc-bad-access,iOS OpenCV: Image matching with ORB leads to EXC_BAD_ACCESS,,,,,
9,"['c++', 'templates', 'recursion', 'template-specialization', 'factorial']","{'account_id': 6975655, 'reputation': 20535, 'user_id': 5825294, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://graph.facebook.com/10207587812237236/picture?type=large', 'display_name': 'Enlico', 'link': 'https://stackoverflow.com/users/5825294/enlico'}",True,470,2,16,1661987754,1567016734,1661987754.0,57698167,CC BY-SA 4.0,https://stackoverflow.com/questions/57698167/template-factorial-function-without-template-specialization,Template factorial function without template specialization,57698248.0,,,,
