,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
0,"['c++', 'c']","{'account_id': 479846, 'reputation': 1455, 'user_id': 892759, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/OUvbe.jpg?s=256&g=1', 'display_name': 'Forever Learner', 'link': 'https://stackoverflow.com/users/892759/forever-learner'}",True,630,8732268.0,3,7,1669420766,1325702954,1669420766.0,8732234,CC BY-SA 4.0,https://stackoverflow.com/questions/8732234/what-difference-between-c-and-c-prohibits-this-eclectic-code-sample-from-compi,What difference between C and C++ prohibits this eclectic code sample from compiling in the latter?,,,,,
1,"['javascript', 'c++', 'directx']","{'account_id': 330362, 'reputation': 12159, 'user_id': 654434, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/d4046093d5c6499ff13d5b5690a6cb32?s=256&d=identicon&r=PG', 'display_name': 'FlavorScape', 'link': 'https://stackoverflow.com/users/654434/flavorscape'}",True,1341,9001798.0,2,0,1668875369,1327454764,1495542001.0,8996799,CC BY-SA 3.0,https://stackoverflow.com/questions/8996799/how-to-transform-a-vec3-by-a-mat4,How to transform a vec3 by a mat4?,,,,,
2,"['c++', 'c', 'compilation']","{'account_id': 476896, 'reputation': 17369, 'user_id': 888051, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/c4e1477113874fc2971bee45c984b3d6?s=256&d=identicon&r=PG', 'display_name': 'Alcott', 'link': 'https://stackoverflow.com/users/888051/alcott'}",True,35531,8776886.0,4,46,1668557529,1326018811,,8776810,CC BY-SA 3.0,https://stackoverflow.com/questions/8776810/parameter-name-omitted-c-vs-c,"parameter name omitted, C++ vs C",,,,,
3,"['c++', 'linux', 'pdf', 'poppler']","{'account_id': 1166910, 'reputation': 195, 'user_id': 1144953, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a705ab8b6b425f56d761f0411aa56462?s=256&d=identicon&r=PG', 'display_name': 'zxi', 'link': 'https://stackoverflow.com/users/1144953/zxi'}",True,6481,8891279.0,3,5,1667527652,1326779984,1326786882.0,8890350,CC BY-SA 3.0,https://stackoverflow.com/questions/8890350/how-can-i-build-libpoppler-from-source,How can I build libpoppler from source?,,,,,
4,"['c++', 'boost', 'unicode']","{'account_id': 343618, 'reputation': 3311, 'user_id': 675455, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/06cf1f97c88f58d3f229fe0fda0d785a?s=256&d=identicon&r=PG', 'display_name': 'itun', 'link': 'https://stackoverflow.com/users/675455/itun'}",False,7758,,1,2,1666864965,1327939563,1632748952.0,9066863,CC BY-SA 4.0,https://stackoverflow.com/questions/9066863/unicode-string-in-c-with-boost,unicode string in c++ with boost,,,,,
5,"['c++', 'python', 'loops', 'for-loop']","{'account_id': 169465, 'reputation': 25156, 'user_id': 395573, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/4a4cee4867d94511baabe7ebf49ef28a?s=256&d=identicon&r=PG', 'display_name': 'MBZ', 'link': 'https://stackoverflow.com/users/395573/mbz'}",True,1101,9038492.0,5,3,1666241702,1327690145,,9038467,,https://stackoverflow.com/questions/9038467/break-for-loop-in-python,break for loop in Python,1666241540.0,Duplicate,,,
6,"['c++', 'templates', 'metaprogramming']","{'account_id': 165345, 'reputation': 195, 'user_id': 388712, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/oazqs.gif?s=256&g=1', 'display_name': 'Anephezeton', 'link': 'https://stackoverflow.com/users/388712/anephezeton'}",True,11470,8709830.0,7,9,1666169903,1325577286,,8709340,CC BY-SA 3.0,https://stackoverflow.com/questions/8709340/can-the-type-of-a-base-class-be-obtained-from-a-template-type-automatically,Can the type of a base class be obtained from a template type automatically?,,,,,
7,"['c++', 'algorithm', 'math']","{'account_id': 33157, 'reputation': 12483, 'user_id': 92568, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/7a83e1ba4b326a1b9a4552966da05231?s=256&d=identicon&r=PG', 'display_name': 'Avinash', 'link': 'https://stackoverflow.com/users/92568/avinash'}",True,8134,8970261.0,14,6,1666116814,1327296862,1327298098.0,8967578,CC BY-SA 3.0,https://stackoverflow.com/questions/8967578/fastest-way-to-find-the-sum-of-decimal-digits,Fastest way to find the sum of decimal digits,,,,,
8,"['c++', 'vector', 'sizeof']","{'account_id': 1145736, 'reputation': 5709, 'user_id': 1128551, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/1b2e64745ac36bf554b976e3625a4ba0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shibli', 'link': 'https://stackoverflow.com/users/1128551/shibli'}",True,14854,8778105.0,2,14,1665616274,1326030770,,8778091,CC BY-SA 3.0,https://stackoverflow.com/questions/8778091/sizeof-stdvector-c,sizeof() std::vector (C++),,,,,
9,"['c++', 'string', 'char', 'arrays']","{'account_id': 279876, 'reputation': 11216, 'user_id': 575281, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/2a3iz.jpg?s=256&g=1', 'display_name': 'RajSanpui', 'link': 'https://stackoverflow.com/users/575281/rajsanpui'}",True,962424,8960101.0,5,294,1665521553,1327223349,1394182220.0,8960087,CC BY-SA 3.0,https://stackoverflow.com/questions/8960087/how-to-convert-a-char-array-to-a-string,How to convert a char array to a string?,,,1523792924.0,,
