,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date
0,"['c++', 'arrays', 'function', '2d']","{'account_id': 10140524, 'reputation': 67, 'user_id': 7490434, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-V2cerXmXJNk/AAAAAAAAAAI/AAAAAAAAANc/2wBt1P-i2AE/photo.jpg?sz=256', 'display_name': 'JustSoniBG', 'link': 'https://stackoverflow.com/users/7490434/justsonibg'}",True,95,1668778534.0,65255162.0,2,0,1668778572,1607704005,1668775589.0,65255047,https://stackoverflow.com/questions/65255047/c-passing-2d-array-to-function,Duplicate,C++ - Passing 2D array to function,,
1,"['c++', 'arrays', 'integer', 'constants']","{'account_id': 10140524, 'reputation': 67, 'user_id': 7490434, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-V2cerXmXJNk/AAAAAAAAAAI/AAAAAAAAANc/2wBt1P-i2AE/photo.jpg?sz=256', 'display_name': 'JustSoniBG', 'link': 'https://stackoverflow.com/users/7490434/justsonibg'}",True,241,1607777973.0,65265174.0,1,0,1668775549,1607777677,1668775549.0,65265146,https://stackoverflow.com/questions/65265146/c-creating-2d-array-with-nonconstant-size,Duplicate,"C++ Creating 2D array with nonconstant size,",,
2,"['c++', 'linux', 'compiler-errors', 'suse', 'dynamic-library']","{'account_id': 761690, 'reputation': 2136, 'user_id': 772739, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/XkYzQ.jpg?s=256&g=1', 'display_name': 'Darkgaze', 'link': 'https://stackoverflow.com/users/772739/darkgaze'}",True,18178,,,4,13,1668630834,1608635301,1611049400.0,65407610,https://stackoverflow.com/questions/65407610/relocation-against-xxx-in-read-only-section-text-wrong-compiler-or-linux-se,,relocation against xxx in read-only section &#39;.text&#39; - wrong compiler or linux setup in SUSE?,CC BY-SA 4.0,
3,"['c++', 'visual-c++']","{'account_id': 19633261, 'reputation': 23, 'user_id': 14371058, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/971d029771b1312db3038855fe60e616?s=256&d=identicon&r=PG&f=1', 'display_name': 'yuidk', 'link': 'https://stackoverflow.com/users/14371058/yuidk'}",True,67,,,1,1,1668226848,1606796525,1668226848.0,65084690,https://stackoverflow.com/questions/65084690/left-right-and-setw-together-for-output-problem,,"Left, right, and setw together for output problem",CC BY-SA 4.0,
4,"['c++', 'windows', 'filter', 'categories', 'directshow']","{'user_type': 'does_not_exist', 'display_name': 'user13867014'}",False,156,,,2,0,1667767972,1608506732,1613497500.0,65385819,https://stackoverflow.com/questions/65385819/list-of-all-categories-of-filters-and-hardware-devices-under-windows,,List of all categories of filters and hardware devices under Windows,CC BY-SA 4.0,
5,"['c++', 'visual-studio-code', 'compiler-errors']","{'account_id': 20090979, 'reputation': 345, 'user_id': 14731466, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8489da5b34b188f580afe44e89e22a44?s=256&d=identicon&r=PG&f=1', 'display_name': 'rjc810', 'link': 'https://stackoverflow.com/users/14731466/rjc810'}",False,492,1667663380.0,,0,0,1667663422,1608834337,,65442000,https://stackoverflow.com/questions/65442000/vscode-compiler-expected-at-end-of-declaration,Duplicate,vscode compiler: &quot;expected ; at end of declaration&quot;,,
6,"['c++', 'casting', 'reinterpret-cast', 'static-cast', 'signedness']","{'account_id': 14454417, 'reputation': 1304, 'user_id': 10441038, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/FbXo3.jpg?s=256&g=1', 'display_name': 'Leon', 'link': 'https://stackoverflow.com/users/10441038/leon'}",True,283,,,4,1,1667205815,1606901551,1667205815.0,65105405,https://stackoverflow.com/questions/65105405/the-best-way-in-c-to-cast-different-signedness-types-each-other,,The best way in C++ to cast different signedness types each other?,CC BY-SA 4.0,
7,"['c++', 'arm', 'pytorch', 'conv-neural-network', 'convolution']","{'account_id': 19710755, 'reputation': 33, 'user_id': 14431359, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-3fQcXzx_CFk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4G2sblQripvS6ID2KC28YfqJ8qg/s96-c/photo.jpg?sz=256', 'display_name': 'Jong Seok Park', 'link': 'https://stackoverflow.com/users/14431359/jong-seok-park'}",False,124,,,1,1,1667092413,1609402730,,65518357,https://stackoverflow.com/questions/65518357/is-there-way-to-change-convolution-method-in-pytorch-or-in-other-frameworks,,Is there way to change convolution method in Pytorch? (Or in other Frameworks?),CC BY-SA 4.0,
8,"['c++', 'dll', 'clr']","{'account_id': 120445, 'reputation': 17967, 'user_id': 312896, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/57c5b6cdd1a94aef510d5dce28992494?s=256&d=identicon&r=PG', 'display_name': 'Yola', 'link': 'https://stackoverflow.com/users/312896/yola'}",True,223,,65253590.0,2,0,1665605283,1607659674,1607660996.0,65245658,https://stackoverflow.com/questions/65245658/remove-c-clr-dll-from-disk-after-freelibrary,,Remove C++/clr dll from disk after FreeLibrary,CC BY-SA 4.0,
9,"['c++', 'gcc', 'dockerfile', 'github-actions']","{'account_id': 8394976, 'reputation': 153, 'user_id': 7039156, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-gZy-ckBaF_0/AAAAAAAAAAI/AAAAAAAADHo/VwJyvb7V_x8/photo.jpg?sz=256', 'display_name': 'Zium', 'link': 'https://stackoverflow.com/users/7039156/zium'}",True,1140,,65471031.0,1,1,1665111224,1609107236,1609129214.0,65470979,https://stackoverflow.com/questions/65470979/github-actions-path-does-not-update,,Github Actions path does not update,CC BY-SA 4.0,
