,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
0,"['c++', 'class', 'undefined', 'base']","{'account_id': 1321910, 'reputation': 125, 'user_id': 1267558, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6891092d782588143668e268bc176225?s=256&d=identicon&r=PG', 'display_name': 'JimRaid', 'link': 'https://stackoverflow.com/users/1267558/jimraid'}",True,45533,10675710.0,4,11,1669291379,1337534998,1337610811.0,10675618,CC BY-SA 3.0,https://stackoverflow.com/questions/10675618/base-class-undefined,Base class undefined,,,,,,
1,"['c++', 'hex', 'printf', 'unsigned-char']","{'account_id': 397754, 'reputation': 2901, 'user_id': 762062, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/6f97c028bf7e237116db60049f94f68c?s=256&d=identicon&r=PG', 'display_name': 'louis.luo', 'link': 'https://stackoverflow.com/users/762062/louis-luo'}",True,53087,10451523.0,3,15,1669038217,1336144172,1336145548.0,10451493,CC BY-SA 3.0,https://stackoverflow.com/questions/10451493/how-to-print-unsigned-char-as-hex-in-c,How to print unsigned char[] as HEX in C++?,,,,,,
2,"['c++', 'macros', 'lisp']","{'account_id': 252815, 'reputation': 3730, 'user_id': 531116, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/cc7ddd2dac7ecfefe2e25b68cc59f13f?s=256&d=identicon&r=PG', 'display_name': 'Dean Chen', 'link': 'https://stackoverflow.com/users/531116/dean-chen'}",True,633,10539594.0,3,3,1667595004,1336658635,,10535684,CC BY-SA 3.0,https://stackoverflow.com/questions/10535684/lisp-macro-special-usage,Lisp macro special usage?,,,,,,
3,"['c++', 'vector', 'output', 'stdvector', 'cout']","{'account_id': 1492922, 'reputation': 4245, 'user_id': 1399580, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/2fbf9c98919fca2c1c9892929c7f7ed3?s=256&d=identicon&r=PG', 'display_name': 'forthewinwin', 'link': 'https://stackoverflow.com/users/1399580/forthewinwin'}",True,1076396,10758845.0,31,387,1667590791,1337930032,1612340175.0,10750057,CC BY-SA 4.0,https://stackoverflow.com/questions/10750057/how-do-i-print-out-the-contents-of-a-vector,How do I print out the contents of a vector?,1615041767.0,,,,,
4,"['c++', 'bind']","{'account_id': 295903, 'reputation': 5605, 'user_id': 600545, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/d34ee2348ea695f1a5b3408e11e2dca0?s=256&d=identicon&r=PG', 'display_name': 'romeovs', 'link': 'https://stackoverflow.com/users/600545/romeovs'}",True,5857,10692170.0,3,7,1667198561,1337631987,1337632496.0,10692121,CC BY-SA 3.0,https://stackoverflow.com/questions/10692121/c-bind-function-for-use-as-argument-of-other-function,C++ bind function for use as argument of other function,,,,,,
5,"['c++', 'oop', 'generics', 'sorting', 'object']","{'account_id': 465143, 'reputation': 2267, 'user_id': 869046, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/39eaefbde4f90465ddcdc635e2e0a795?s=256&d=identicon&r=PG', 'display_name': 'SGE', 'link': 'https://stackoverflow.com/users/869046/sge'}",True,42479,10579045.0,7,15,1666966312,1336980063,1392950691.0,10579022,,https://stackoverflow.com/questions/10579022/can-you-make-a-c-generic-function,Can you make a C++ generic function?,,1666966298.0,Duplicate,,,
6,"['c#', 'c++', 'string', 'string-formatting']","{'account_id': 1287982, 'reputation': 6609, 'user_id': 1240679, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/817742e06feb1d4b5bece2e7cd043969?s=256&d=identicon&r=PG', 'display_name': 'user1240679', 'link': 'https://stackoverflow.com/users/1240679/user1240679'}",True,136449,10410031.0,7,34,1666769156,1335946526,1506550192.0,10410023,CC BY-SA 3.0,https://stackoverflow.com/questions/10410023/string-format-alternative-in-c,String.Format alternative in C++,,1429869454.0,Duplicate,,,
7,"['c++', 'winapi', 'unicode', 'utf-16']","{'account_id': 52410, 'reputation': 2628, 'user_id': 156604, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/uIrFK.png?s=256&g=1', 'display_name': 'neminem', 'link': 'https://stackoverflow.com/users/156604/neminem'}",True,23230,10509465.0,3,8,1666636485,1336500503,1336595972.0,10504044,CC BY-SA 3.0,https://stackoverflow.com/questions/10504044/correctly-reading-a-utf-16-text-file-into-a-string-without-external-libraries,Correctly reading a utf-16 text file into a string without external libraries?,,,,,,
8,"['c++', 'winapi', 'opengl', 'visual-c++', 'glut']","{'account_id': 1510582, 'reputation': 78, 'user_id': 1412823, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/eceb63ae4ebfa996c00d97bab7a9bab6?s=256&d=identicon&r=PG', 'display_name': 'Muayyad Diab', 'link': 'https://stackoverflow.com/users/1412823/muayyad-diab'}",True,3599,,2,-1,1666615028,1337782910,1666615028.0,10721949,CC BY-SA 4.0,https://stackoverflow.com/questions/10721949/day-and-night-effect-in-opengl-c,day and night effect in opengl c++,,,,,,
9,"['c++', 'boost-test']","{'account_id': 81464, 'reputation': 29209, 'user_id': 229686, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/e6ce612702a34f9bcebee2f34139c3f1?s=256&d=identicon&r=PG', 'display_name': 'edA-qa mort-ora-y', 'link': 'https://stackoverflow.com/users/229686/eda-qa-mort-ora-y'}",True,2171,,2,6,1666037538,1337178521,,10620712,CC BY-SA 3.0,https://stackoverflow.com/questions/10620712/how-to-print-test-summary-using-boost-unit-test,How to print test summary using boost unit test,,,,,,
10,"['c++', 'arrays', 'return-value']","{'account_id': 1250524, 'reputation': 549, 'user_id': 1211024, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/f6a315e54117a8bbee2629a77ad53718?s=256&d=identicon&r=PG', 'display_name': 'Storm2012', 'link': 'https://stackoverflow.com/users/1211024/storm2012'}",True,5285,,4,1,1664376510,1338340693,1338341212.0,10808825,CC BY-SA 3.0,https://stackoverflow.com/questions/10808825/c-function-to-return-array,C++ function to return array,,,,,,
11,"['c++', 'sqlite']","{'account_id': 1427553, 'reputation': 15, 'user_id': 1350684, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e592097753af3cf4c06f5415c7cf05f4?s=256&d=identicon&r=PG', 'display_name': 'muthu kumar', 'link': 'https://stackoverflow.com/users/1350684/muthu-kumar'}",True,2542,,2,1,1663977252,1338270678,1663977252.0,10793707,CC BY-SA 4.0,https://stackoverflow.com/questions/10793707/regarding-sqlite-replication,Regarding SQLite replication,,,,,,
12,['c++'],"{'account_id': 392615, 'reputation': 1086, 'user_id': 753997, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/08180d6e8c2fcae59003fd8010497542?s=256&d=identicon&r=PG', 'display_name': 'judeclarke', 'link': 'https://stackoverflow.com/users/753997/judeclarke'}",True,23601,10508376.0,8,13,1663896934,1336519315,1663896934.0,10507893,CC BY-SA 4.0,https://stackoverflow.com/questions/10507893/libzip-with-visual-studio-2010,libzip with Visual Studio 2010,,,,,,
13,"['c++', 'memory-management']","{'user_type': 'does_not_exist', 'display_name': 'user774340'}",True,10410,10705975.0,4,12,1663276982,1337702606,,10705754,CC BY-SA 3.0,https://stackoverflow.com/questions/10705754/c-memory-management-techniques-practices,C++ Memory Management Techniques/Practices,,,,,,
14,"['c++', 'c++11', 'typedef', 'using-declaration']","{'account_id': 1745, 'reputation': 65581, 'user_id': 2368, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/18c4b79a7fd7e606866246ff5991c7eb?s=256&d=identicon&r=PG', 'display_name': 'Klaim', 'link': 'https://stackoverflow.com/users/2368/klaim'}",True,384706,62196340.0,8,1170,1663157265,1337913591,1608153545.0,10747810,CC BY-SA 4.0,https://stackoverflow.com/questions/10747810/what-is-the-difference-between-typedef-and-using-in-c11,What is the difference between &#39;typedef&#39; and &#39;using&#39; in C++11?,,,,,,
15,"['c++', 'visual-c++']","{'account_id': 444838, 'reputation': 484, 'user_id': 836910, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/0107c79b520f6ae4258edf3d4b508baf?s=256&d=identicon&r=PG', 'display_name': 'user836910', 'link': 'https://stackoverflow.com/users/836910/user836910'}",True,57418,10712139.0,8,4,1663138111,1337734507,,10712117,CC BY-SA 3.0,https://stackoverflow.com/questions/10712117/how-to-count-the-characters-in-a-text-file,how to count the characters in a text file,,,,,,
16,"['c++', 'c', 'algorithm', 'square-root']","{'account_id': 348505, 'reputation': 16698, 'user_id': 683233, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/62ac67057f93de526d81b518909b33a5?s=256&d=identicon&r=PG', 'display_name': 'Sourav', 'link': 'https://stackoverflow.com/users/683233/sourav'}",True,3490,10492893.0,3,8,1662139795,1336453696,1336454923.0,10492855,CC BY-SA 3.0,https://stackoverflow.com/questions/10492855/simplify-square-roots-algebraically,Simplify square roots algebraically,,,,,,
17,"['c++', 'c', 'c-preprocessor']","{'account_id': 1011218, 'reputation': 2785, 'user_id': 1023753, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/a801bb769a73e5d0d73a15fb6eb78ba6?s=256&d=identicon&r=PG', 'display_name': 'noisy cat', 'link': 'https://stackoverflow.com/users/1023753/noisy-cat'}",True,94190,10419556.0,7,97,1661188363,1335983157,1445609392.0,10419530,CC BY-SA 3.0,https://stackoverflow.com/questions/10419530/multi-line-preprocessor-macros,Multi line preprocessor macros,,,,,,
18,"['c++', 'touch', 'fstream', 'ofstream']","{'account_id': 336472, 'reputation': 3453, 'user_id': 664132, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/7be89889980d26e20445d0f13115af9f?s=256&d=identicon&r=PG', 'display_name': 'basic6', 'link': 'https://stackoverflow.com/users/664132/basic6'}",True,2597,26715916.0,2,4,1660899580,1337547854,,10677200,CC BY-SA 3.0,https://stackoverflow.com/questions/10677200/c-ofstream-doesnt-change-mtime,C++ ofstream doesn&#39;t change mtime,,,,,,
