,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,migrated_from,community_owned_date,locked_date
0,"['c++', 'struct', 'bit-manipulation']","{'account_id': 1840010, 'reputation': 248, 'user_id': 1669612, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e4f539c1d5285a01aa55b300f0da45b?s=256&d=identicon&r=PG', 'display_name': 'Joel M.', 'link': 'https://stackoverflow.com/users/1669612/joel-m'}",True,14919,1348028064.0,12482925.0,4,9,1669510732,1347992707,1495541324.0,12482806,https://stackoverflow.com/questions/12482806/structures-with-bitwise-data-in-c,exact duplicate,Structures with bitwise data in C++,,,,,
1,"['c++', 'mfc']","{'account_id': 282375, 'reputation': 1714, 'user_id': 579228, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/12a65897f41d3c7fc778990b078cf762?s=256&d=identicon&r=PG', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/579228/james'}",False,7425,,,2,0,1669223080,1347613278,1430243809.0,12421227,https://stackoverflow.com/questions/12421227/mfc-on-wm-timer-issue-with-static-cast,,MFC ON_WM_TIMER() issue with static cast,CC BY-SA 3.0,,,,
2,"['c++', 'casting', 'implicit', 'explicit']","{'account_id': 977393, 'reputation': 9379, 'user_id': 1177738, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/5eb1c3870bd028398f5d847006d9e5a7?s=256&d=identicon&r=PG', 'display_name': 'lucacerone', 'link': 'https://stackoverflow.com/users/1177738/lucacerone'}",True,175,,,3,5,1668625802,1347989678,1348003425.0,12482127,https://stackoverflow.com/questions/12482127/why-certain-implicit-type-conversions-are-safe-on-a-machine-and-not-on-an-other,,Why certain implicit type conversions are safe on a machine and not on an other?? How can I prevent this cross platform issues?,CC BY-SA 3.0,,,,
3,"['c++', 'string', 'stl', 'stdstring', 'unicode-string']","{'account_id': 88784, 'reputation': 10361, 'user_id': 245376, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/i8mL8.png?s=256&g=1', 'display_name': 'hkBattousai', 'link': 'https://stackoverflow.com/users/245376/hkbattousai'}",True,7975,,12645056.0,5,13,1668548021,1348848617,1435321346.0,12643580,https://stackoverflow.com/questions/12643580/how-do-i-use-3-and-4-byte-unicode-characters-with-standard-c-strings,,How do I use 3 and 4-byte Unicode characters with standard C++ strings?,CC BY-SA 3.0,,,,
4,"['c++', 'qt', 'projects-and-solutions']","{'account_id': 1000516, 'reputation': 471, 'user_id': 1015476, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/4b1f2bba84d6062e72b87ecff0d163e6?s=256&d=identicon&r=PG', 'display_name': 'Danran', 'link': 'https://stackoverflow.com/users/1015476/danran'}",True,35651,,12327104.0,3,9,1668451065,1347058317,,12326401,https://stackoverflow.com/questions/12326401/qt-specify-dll-path-in-pro-file,,QT - Specify DLL path in pro. file,CC BY-SA 3.0,,,,
5,"['c++', 'algorithm', 'stl']","{'account_id': 8929, 'reputation': 57562, 'user_id': 16287, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/Ogq0T.png?s=256&g=1', 'display_name': 'Drew Dormann', 'link': 'https://stackoverflow.com/users/16287/drew-dormann'}",True,6246,,12288738.0,7,12,1668169557,1346873561,1625149336.0,12288486,https://stackoverflow.com/questions/12288486/how-to-efficiently-select-a-random-element-from-a-stdset,,How to efficiently select a random element from a std::set,CC BY-SA 4.0,,,,
6,"['c++', 'header']","{'account_id': 1060375, 'reputation': 1956, 'user_id': 1062139, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/83dfb51830eacf96178afe4ae7596aa2?s=256&d=identicon&r=PG', 'display_name': 'peter.slizik', 'link': 'https://stackoverflow.com/users/1062139/peter-slizik'}",True,3151,1346829522.0,12260317.0,3,8,1666529344,1346749946,1495540906.0,12260236,https://stackoverflow.com/questions/12260236/what-happens-if-i-implement-a-class-in-the-header-file,exact duplicate,What happens if I implement a class in the header file?,,,,,
7,"['c++', 'c++11', 'iterator', 'containers']","{'account_id': 997527, 'reputation': 6866, 'user_id': 1013125, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/bdaa2b18f3a392bbb3a5e9d20e25bb0d?s=256&d=identicon&r=PG', 'display_name': 'memecs', 'link': 'https://stackoverflow.com/users/1013125/memecs'}",True,132228,,,11,148,1666438834,1348402391,1380114568.0,12552277,https://stackoverflow.com/questions/12552277/whats-the-best-way-to-iterate-over-two-or-more-containers-simultaneously,,What&#39;s the best way to iterate over two or more containers simultaneously,CC BY-SA 3.0,,,,
8,"['c++', 'templates']","{'account_id': 305214, 'reputation': 2130, 'user_id': 1823440, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/a05172a798e21a3e41dda8cba1ef5cc5?s=256&d=identicon&r=PG', 'display_name': 'Need4Steed', 'link': 'https://stackoverflow.com/users/1823440/need4steed'}",True,30637,,12615591.0,6,19,1666099647,1348728060,1348747477.0,12615549,https://stackoverflow.com/questions/12615549/how-to-get-the-default-value-of-any-type,,How to get the default value of any type,CC BY-SA 3.0,,,,
9,"['c++', 'assembly', 'header']","{'account_id': 449586, 'reputation': 85, 'user_id': 844446, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/06a1de4ef1112e9a61a396f5e52fbc54?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/844446/mike'}",True,1488,,12513750.0,1,2,1664995285,1348147647,,12513665,https://stackoverflow.com/questions/12513665/how-can-i-use-g-to-get-assembly-code-for-a-c-header-hpp-file,,How can I use g++ to get assembly code for a C++ header (.hpp) file?,CC BY-SA 3.0,,,,
