,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,community_owned_date,closed_date,closed_reason,migrated_from
0,"['c++', 'file-io']","{'account_id': 1193093, 'reputation': 213, 'user_id': 1165435, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/53b98093de7cf34c0478b175c373a9a0?s=256&d=identicon&r=PG', 'display_name': 'user1165435', 'link': 'https://stackoverflow.com/users/1165435/user1165435'}",True,50450,5,8,1669064671,1328254041,1669064671.0,9125122,CC BY-SA 4.0,https://stackoverflow.com/questions/9125122/how-to-copy-a-file-from-a-folder-to-another-folder,How to copy a file from a folder to another folder,,,,,,
1,"['android', 'c++', 'ios', 'cross-platform', 'openmp']","{'account_id': 67390, 'reputation': 58781, 'user_id': 197229, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/80a68e69526f81d2dc560c47eedd198a?s=256&d=identicon&r=PG', 'display_name': 'Mr. Boy', 'link': 'https://stackoverflow.com/users/197229/mr-boy'}",True,7054,2,8,1668759195,1330421492,,9479434,CC BY-SA 3.0,https://stackoverflow.com/questions/9479434/openmp-on-ios-android,OpenMP on iOS/Android,,,,,,
2,"['c++', 'clang']","{'account_id': 108918, 'reputation': 19849, 'user_id': 1018562, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ca58bb22c2bf586eb0c11e94d79d031e?s=256&d=identicon&r=PG', 'display_name': 'pythonic', 'link': 'https://stackoverflow.com/users/1018562/pythonic'}",True,175943,6,120,1668495277,1328437593,1519582088.0,9148488,CC BY-SA 3.0,https://stackoverflow.com/questions/9148488/how-do-i-compile-c-with-clang,How do I compile C++ with Clang?,9148513.0,,,,,
3,['c++'],"{'account_id': 57320, 'reputation': 3512, 'user_id': 171672, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/6ccdfbebd8b5bd896943f62d33a78c54?s=256&d=identicon&r=PG&f=1', 'display_name': 'Oliver', 'link': 'https://stackoverflow.com/users/171672/oliver'}",True,13042,4,16,1667866153,1328732607,1452690999.0,9200827,CC BY-SA 3.0,https://stackoverflow.com/questions/9200827/why-does-passing-by-reference-involve-a-copy-constructor,Why does passing by reference involve a copy constructor?,9200852.0,,,,,
4,"['python', 'c++', 'boost', 'import', 'boost-python']","{'account_id': 137143, 'reputation': 16954, 'user_id': 341133, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/ad771df6692c52ba58141a4545b47e1d?s=256&d=identicon&r=PG', 'display_name': 'radman', 'link': 'https://stackoverflow.com/users/341133/radman'}",True,5458,2,8,1667735302,1329259753,1426041004.0,9285384,CC BY-SA 3.0,https://stackoverflow.com/questions/9285384/how-does-import-work-with-boost-python-from-inside-python-files,How does import work with Boost.Python from inside python files,9288360.0,,,,,
5,"['c++', 'inline']","{'user_type': 'does_not_exist', 'display_name': 'user195488'}",True,23329,3,27,1667713315,1329169681,,9268542,CC BY-SA 3.0,https://stackoverflow.com/questions/9268542/inline-in-definition-and-declaration,inline in definition and declaration,9268589.0,,,,,
6,"['c++', 'c', 'struct']","{'account_id': 399128, 'reputation': 631, 'user_id': 764254, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/17f3e027426fbd40c99ebed03eaf8a9c?s=256&d=identicon&r=PG', 'display_name': 'jim', 'link': 'https://stackoverflow.com/users/764254/jim'}",True,83653,6,54,1667693766,1329177053,1329178570.0,9269825,CC BY-SA 3.0,https://stackoverflow.com/questions/9269825/how-to-assign-multiple-values-into-a-struct-at-once,how to assign multiple values into a struct at once?,9269878.0,,,,,
7,"['c++', 'winapi', 'networking', 'connection', 'wireless']","{'account_id': 1163975, 'reputation': 460, 'user_id': 1142958, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/MolO2.png?s=256&g=1', 'display_name': 'ovi', 'link': 'https://stackoverflow.com/users/1142958/ovi'}",True,4225,3,4,1667662527,1328718272,1328718322.0,9197326,CC BY-SA 3.0,https://stackoverflow.com/questions/9197326/how-to-scan-wireless-network-and-display-the-list-of-all-computers-and-devices-c,how to scan wireless network and display the list of all computers and devices connected,9459405.0,,,,,
8,"['c++', 'stl', 'vector']","{'account_id': 1225751, 'reputation': 3947, 'user_id': 1191316, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/ed305bae65343df36563f3e8e5578d88?s=256&d=identicon&r=PG', 'display_name': '2607', 'link': 'https://stackoverflow.com/users/1191316/2607'}",True,10499,6,18,1667235526,1329494736,1329495601.0,9331561,CC BY-SA 3.0,https://stackoverflow.com/questions/9331561/why-does-my-classs-destructor-get-called-when-i-add-instances-to-a-vector,Why does my class&#39;s destructor get called when I add instances to a vector?,9332535.0,,,,,
9,"['c++', 'priority-queue', 'min-heap']","{'account_id': 257568, 'reputation': 6443, 'user_id': 539085, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/4058be946256c6d093ec35bdac8d44e1?s=256&d=identicon&r=PG', 'display_name': 'Programmer', 'link': 'https://stackoverflow.com/users/539085/programmer'}",True,40477,7,19,1667133181,1328625199,1667133181.0,9178083,CC BY-SA 4.0,https://stackoverflow.com/questions/9178083/priority-queue-for-user-defined-types,Priority queue for user-defined types,9178170.0,,,,,
10,"['c++', 'random', 'numbers']","{'account_id': 147796, 'reputation': 2064, 'user_id': 359170, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/b09755c6fb3c4047540d2bd4afb3a06a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hamed', 'link': 'https://stackoverflow.com/users/359170/hamed'}",True,40766,5,20,1666915601,1330373616,1382355920.0,9471604,CC BY-SA 3.0,https://stackoverflow.com/questions/9471604/what-is-the-best-way-to-generate-random-numbers-in-c,What is the best way to generate random numbers in C++?,9471733.0,,,,,
11,"['c++', 'random', 'vector']","{'account_id': 1160051, 'reputation': 363, 'user_id': 1139757, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/8bb990f9bd34f8a6038563cff19ab286?s=256&d=identicon&r=PG', 'display_name': 'Vinay', 'link': 'https://stackoverflow.com/users/1139757/vinay'}",True,15332,3,25,1666835565,1329607200,,9345087,CC BY-SA 3.0,https://stackoverflow.com/questions/9345087/choose-m-elements-randomly-from-a-vector-containing-n-elements,Choose m elements randomly from a vector containing n elements,9345144.0,,,,,
12,"['c++', 'naming-conventions', 'c++11']","{'account_id': 539129, 'reputation': 49619, 'user_id': 906773, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/synii.jpg?s=256&g=1', 'display_name': 'Jesse Good', 'link': 'https://stackoverflow.com/users/906773/jesse-good'}",True,42706,6,188,1666728377,1329001944,1329002125.0,9244879,CC BY-SA 3.0,https://stackoverflow.com/questions/9244879/what-does-iota-of-stdiota-stand-for,What does iota of std::iota stand for?,9244949.0,,,,,
