,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,locked_date
0,"['c++', 'winapi', 'memory', 'stdstring']","{'account_id': 16679679, 'reputation': 11, 'user_id': 12055134, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAqGdI4wrzgTzRjg96-K1hE7QpyVH8T_oBwpHmyRw=k-s256', 'display_name': 'Jowen', 'link': 'https://stackoverflow.com/users/12055134/jowen'}",True,470,1,1,1667064304,1568233786,1666913949.0,57896398,CC BY-SA 4.0,https://stackoverflow.com/questions/57896398/how-do-i-read-a-stdstring-from-memory-using-rpm,How do i read a std::string from memory using RPM,,,,,
1,"['c++', 'c++11', 'vector']","{'account_id': 2082956, 'reputation': 5982, 'user_id': 1854563, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/a35a0a2452bd51baeb666ffb2b182b93?s=256&d=identicon&r=PG', 'display_name': 'Gunnar Bernstein', 'link': 'https://stackoverflow.com/users/1854563/gunnar-bernstein'}",True,237,2,8,1666599249,1568137439,1568473466.0,57875915,CC BY-SA 4.0,https://stackoverflow.com/questions/57875915/can-i-create-a-view-on-a-vector,Can I create a view on a vector?,57879268.0,,,,
2,"['c++', 'visual-studio-2019', 'c++20']","{'account_id': 5561134, 'reputation': 843, 'user_id': 4410323, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/NBejJ.png?s=256&g=1', 'display_name': 'Sergio', 'link': 'https://stackoverflow.com/users/4410323/sergio'}",True,3526,1,4,1666271072,1568680494,1666271072.0,57965923,CC BY-SA 4.0,https://stackoverflow.com/questions/57965923/how-to-enable-c20-in-visual-studio-2019-16-3-preview-4,How to enable c++20 in Visual Studio 2019 (16.3 preview 4),57965947.0,,,,
3,"['c++', 'opengl', 'textures', 'sdl-ttf']","{'account_id': 16697170, 'reputation': 25, 'user_id': 12068039, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7fcbf8d99ecd84e3a5341dfa14ed75c8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jean Mathieu', 'link': 'https://stackoverflow.com/users/12068039/jean-mathieu'}",True,149,1,0,1666265680,1568487512,1568531575.0,57938402,CC BY-SA 4.0,https://stackoverflow.com/questions/57938402/surface-poorly-filled-with-sdl-ttf,Surface poorly filled with sdl_ttf,57941915.0,,,,
4,"['c++', 'c', 'debugging', 'assert']","{'account_id': 179242, 'reputation': 5484, 'user_id': 411768, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/68c7cc0d48dc36878142557289acbd02?s=256&d=identicon&r=PG', 'display_name': 'shuhalo', 'link': 'https://stackoverflow.com/users/411768/shuhalo'}",True,10205,9,13,1665514551,1568298704,,57908992,CC BY-SA 4.0,https://stackoverflow.com/questions/57908992/better-alternatives-to-assertfalse-in-c-c,Better alternatives to assert(false) in C/C++,57909024.0,,,,
5,"['c++', 'opencv', 'mat']","{'account_id': 8138481, 'reputation': 2257, 'user_id': 6129428, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f7dab9d0dec9975a9de1237243c42804?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hadi GhahremanNezhad', 'link': 'https://stackoverflow.com/users/6129428/hadi-ghahremannezhad'}",True,723,1,-1,1665394944,1568499210,1568500036.0,57939657,CC BY-SA 4.0,https://stackoverflow.com/questions/57939657/how-to-copy-a-rectangular-area-of-a-mat-a-new-mat-of-the-same-size,How to copy a rectangular area of a Mat a new Mat of the same size?,57941249.0,,,,
6,"['c++', 'constructor', 'language-lawyer', 'implicit-declaration', 'defaulted-functions']","{'account_id': 4190188, 'reputation': 1931, 'user_id': 3766405, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/ba50b15daf0e2845b9bc8cb9274e2613?s=256&d=identicon&r=PG&f=1', 'display_name': 'user42768', 'link': 'https://stackoverflow.com/users/3766405/user42768'}",False,439,1,1,1665019892,1568751763,1568846821.0,57981575,CC BY-SA 4.0,https://stackoverflow.com/questions/57981575/c-implicit-definition-of-special-functions,C++ implicit definition of special functions,,,,,
7,['c++'],"{'account_id': 15314258, 'reputation': 11, 'user_id': 11048585, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd4c51655ece1a7f810a204b71f1ccb5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jenna M', 'link': 'https://stackoverflow.com/users/11048585/jenna-m'}",True,93,2,-1,1664611263,1569438511,,58105092,CC BY-SA 4.0,https://stackoverflow.com/questions/58105092/having-issues-printing-2-dimensional-array-by-column,Having issues printing 2 dimensional array by column,,,,,
8,"['c++', 'compiler-errors', 'mingw']","{'account_id': 11133116, 'reputation': 105, 'user_id': 8172489, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Tb7NXafAdOo/AAAAAAAAAAI/AAAAAAAAApo/girUi0nAMkM/photo.jpg?sz=256', 'display_name': 'A.Karwowski', 'link': 'https://stackoverflow.com/users/8172489/a-karwowski'}",False,1683,1,2,1664192700,1568239011,,57897314,CC BY-SA 4.0,https://stackoverflow.com/questions/57897314/fatal-error-when-compiling-include-sys-uio-h-on-project-windows,Fatal error when compiling #include &lt;sys/uio.h&gt; on project [windows],,,,,
9,"['c++', 'recursion', 'big-o']","{'account_id': 11587750, 'reputation': 37, 'user_id': 8489248, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4d1d4fedf13df89c014315e1402d4c55?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bruthon1', 'link': 'https://stackoverflow.com/users/8489248/bruthon1'}",False,456,1,1,1663968487,1569008036,,58034235,CC BY-SA 4.0,https://stackoverflow.com/questions/58034235/time-complexity-of-recursive-palindrome-question-c,"Time complexity of recursive palindrome question, C++",,,,,
