,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
0,"['c++', 'shared-libraries', 'c++20', 'c++-modules']","{'account_id': 5602731, 'reputation': 1879, 'user_id': 4438463, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/1a0f16ea396090bd329422805329b1ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'Touloudou', 'link': 'https://stackoverflow.com/users/4438463/touloudou'}",True,2000,2,4,1668706789,1633445695,69452740,CC BY-SA 4.0,https://stackoverflow.com/questions/69452740/shared-libraries-and-c20-modules,Shared libraries and c++20 modules,,,,,,
1,"['c++', 'for-loop', 'memory', 'stack']","{'account_id': 15091436, 'reputation': 427, 'user_id': 10891226, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-nu6zxDB6qsc/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZZ7LejrlSOO61ArBuvXHulldpZ7g/mo/photo.jpg?sz=256', 'display_name': 'RIVERMAN2010', 'link': 'https://stackoverflow.com/users/10891226/riverman2010'}",True,140,1,1,1668057850,1634994618,69688471,CC BY-SA 4.0,https://stackoverflow.com/questions/69688471/foreach-loop-uses-more-stack-memory-than-traditional-for-loop,Foreach loop uses more stack memory than traditional for loop?,69688666.0,1634995294.0,,,,
2,"['c++', 'react-native', 'react-native-bridge', 'react-native-jsi']","{'account_id': 12559202, 'reputation': 243, 'user_id': 9137651, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/EERR1.jpg?s=256&g=1', 'display_name': 'Enzo Manuel Mangano', 'link': 'https://stackoverflow.com/users/9137651/enzo-manuel-mangano'}",True,2827,1,11,1667881411,1633725885,69501535,CC BY-SA 4.0,https://stackoverflow.com/questions/69501535/whats-the-difference-between-bridging-a-module-with-c-or-with-jsi-in-react-na,What&#39;s the difference between bridging a module with C++ or with JSI in React Native?,70380553.0,1639664364.0,,,,
3,"['c++', 'gcc', 'c++-modules', 'xmake']","{'account_id': 14692229, 'reputation': 125, 'user_id': 10610569, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/52DfX.jpg?s=256&g=1', 'display_name': 'ruki', 'link': 'https://stackoverflow.com/users/10610569/ruki'}",True,339,1,1,1667699217,1634094558,69549286,CC BY-SA 4.0,https://stackoverflow.com/questions/69549286/how-to-modify-gcm-cache-path-when-using-gcc-11-to-build-c20-modules,How to modify gcm.cache path when using gcc-11 to build c++20 modules?,,1634182339.0,,,,
4,"['c++', 'clang-format']","{'account_id': 19529, 'reputation': 29785, 'user_id': 45843, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/55f76441107f14055f95e08bb7bd01df?s=256&d=identicon&r=PG&f=1', 'display_name': 'rwallace', 'link': 'https://stackoverflow.com/users/45843/rwallace'}",True,358,1,3,1667404509,1634026047,69537052,CC BY-SA 4.0,https://stackoverflow.com/questions/69537052/clang-format-array-initializer-one-per-line,Clang-format array initializer one per line,74292111.0,,,,,
5,"['c++', 'serialization', 'io', 'cereal']","{'account_id': 8246377, 'reputation': 7317, 'user_id': 6202327, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/AFtrB.png?s=256&g=1', 'display_name': 'Makogan', 'link': 'https://stackoverflow.com/users/6202327/makogan'}",True,337,1,0,1667395552,1634497251,69607679,CC BY-SA 4.0,https://stackoverflow.com/questions/69607679/cereal-seems-to-not-properly-serialize-an-stdstring,Cereal seems to not properly serialize an std::string,74289942.0,,,,,
6,"['c++', 'yaml-cpp']","{'account_id': 22959597, 'reputation': 1, 'user_id': 17089695, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17d5bff2084efa090cac7ccf3a75c4b9?s=256&d=identicon&r=PG', 'display_name': 'neo', 'link': 'https://stackoverflow.com/users/17089695/neo'}",False,237,0,0,1666803792,1633525775,69466351,CC BY-SA 4.0,https://stackoverflow.com/questions/69466351/how-can-one-get-print-details-of-a-node-from-its-value-using-yaml-cpp,How can one get/print details of a node from its value using yaml-cpp,,1666803792.0,,,,
7,"['c++', 'c++11', 'vector', 'segmentation-fault', 'fstream']","{'account_id': 20899802, 'reputation': 64, 'user_id': 17175449, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f0599b4a63daf521d3a07c556039899c?s=256&d=identicon&r=PG', 'display_name': 'apetrai', 'link': 'https://stackoverflow.com/users/17175449/apetrai'}",True,93,1,0,1666792436,1634485369,69605973,CC BY-SA 4.0,https://stackoverflow.com/questions/69605973/comparison-of-two-vectors-leads-to-an-exception,Comparison of two vectors leads to an exception,69606233.0,1666792436.0,,,,
8,"['c++', 'c++20', 'std-ranges']","{'account_id': 2401973, 'reputation': 932, 'user_id': 2099460, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3dcc36eb7c709f75e25c6814d10f9cab?s=256&d=identicon&r=PG', 'display_name': 'Generic Name', 'link': 'https://stackoverflow.com/users/2099460/generic-name'}",True,567,1,4,1666632919,1634298259,69584217,CC BY-SA 4.0,https://stackoverflow.com/questions/69584217/how-do-i-join-views-using-stdranges,How do I join views using std::ranges,,1634304839.0,,,,
9,"['c++', 'visual-studio', 'cmake']","{'account_id': 319958, 'reputation': 1335, 'user_id': 637987, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/47e98f619e6b1fd3c1162253865b6c3b?s=256&d=identicon&r=PG', 'display_name': 'Vaillancourt', 'link': 'https://stackoverflow.com/users/637987/vaillancourt'}",False,159,1,0,1666511775,1634175885,69564143,CC BY-SA 4.0,https://stackoverflow.com/questions/69564143/how-can-i-cleanly-place-files-in-the-root-filter-in-visual-studio-using-cmake,How can I cleanly place files in the &quot;root&quot; filter in Visual Studio using CMake?,,1634225514.0,,,,
