,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from
0,"['c++', 'winapi', 'sapi']","{'account_id': 9864900, 'reputation': 73, 'user_id': 7306693, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1271384256255717/picture?type=large', 'display_name': 'Alzer Casi&#241;o', 'link': 'https://stackoverflow.com/users/7306693/alzer-casi%c3%b1o'}",False,101,1,0,1669135613,1551913715,55033630,CC BY-SA 4.0,https://stackoverflow.com/questions/55033630/how-to-speed-up-performance-of-ispvoice,How to Speed Up Performance of ISpVoice?,,,,,,
1,"['c++', 'fuse', 'dokan']","{'account_id': 14254153, 'reputation': 19, 'user_id': 10296926, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-WrQGbVecvvg/AAAAAAAAAAI/AAAAAAAACGk/2gLzG2GIQ0Q/photo.jpg?sz=256', 'display_name': 'Devendra shaktawat', 'link': 'https://stackoverflow.com/users/10296926/devendra-shaktawat'}",False,301,0,0,1668774581,1553711959,55384389,CC BY-SA 4.0,https://stackoverflow.com/questions/55384389/dokanfuse-how-to-use-fuse-wrapper-of-dokan-to-import-a-simple-file-system-appl,Dokanfuse : how to use Fuse wrapper of Dokan to import a simple file system application of Fuse to windows,1668774581.0,,,,,
2,"['c++', 'qt', 'condition-variable']","{'account_id': 4163187, 'reputation': 9721, 'user_id': 3414900, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/KlvbC.jpg?s=256&g=1', 'display_name': 'bartop', 'link': 'https://stackoverflow.com/users/3414900/bartop'}",True,301,1,1,1666431764,1552301793,55100268,CC BY-SA 4.0,https://stackoverflow.com/questions/55100268/can-qwaitcondition-spuriously-wake-up,Can QWaitCondition spuriously wake up?,1552302233.0,74159432.0,,,,
3,"['c++', 'linker', 'shared-libraries', 'language-lawyer']","{'account_id': 7867492, 'reputation': 1991, 'user_id': 5945883, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17f8de79f057abb63afb9ce7bee0ca51?s=256&d=identicon&r=PG&f=1', 'display_name': 'R2RT', 'link': 'https://stackoverflow.com/users/5945883/r2rt'}",False,62,1,3,1666314807,1553038973,55251540,CC BY-SA 4.0,https://stackoverflow.com/questions/55251540/inconsistency-with-creating-link-symbol-for-never-defined-static-member-object,Inconsistency with creating link symbol for never defined static member object,1553116652.0,,,,,
4,"['c++', 'windows', 'multipartform-data', 'libcurl']","{'account_id': 15479880, 'reputation': 13, 'user_id': 11167502, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a9d3c54e9543240196e01c6d7e5e6fff?s=256&d=identicon&r=PG&f=1', 'display_name': 'Veronian', 'link': 'https://stackoverflow.com/users/11167502/veronian'}",True,636,1,0,1666187859,1553822375,55409192,CC BY-SA 4.0,https://stackoverflow.com/questions/55409192/why-does-file-upload-stop-after-sending-a-couple-of-chunks-of-data-using-multip,Why does file upload stop after sending a couple of chunks of data (using multipart/form-data)?,1553885853.0,,,,,
5,"['android', 'c++', 'apk', 'zlib']","{'account_id': 14559895, 'reputation': 1, 'user_id': 10516264, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-pVYtEXohbNc/AAAAAAAAAAI/AAAAAAAAAFE/REp24H2gb1o/photo.jpg?sz=256', 'display_name': 'Miz Media', 'link': 'https://stackoverflow.com/users/10516264/miz-media'}",True,1201,2,0,1665995939,1553175299,55281648,CC BY-SA 4.0,https://stackoverflow.com/questions/55281648/how-to-check-zlib-version-in-file-apk-was-builded,How to check zlib version in file apk was builded,,,,,,
6,"['c++', 'openssl', 'gsoap', 'onvif']","{'account_id': 15608840, 'reputation': 75, 'user_id': 11260852, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0e085fe7f5a446ffbe54dde29d4878dc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jonny', 'link': 'https://stackoverflow.com/users/11260852/jonny'}",True,2318,4,2,1665640346,1553767343,55394792,CC BY-SA 4.0,https://stackoverflow.com/questions/55394792/compile-gsoap-onvif-solve-error-m-asn1-string-data-was-not-declared-in-this,Compile gsoap-onvif solve #error: ‘M_ASN1_STRING_data’ was not declared in this scope,1553860629.0,55403345.0,,,,
7,['c++'],"{'account_id': 15500495, 'reputation': 13, 'user_id': 11182031, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-Ng1gezXx7E0/AAAAAAAAAAI/AAAAAAAACQM/Y1bIyW9c9r8/photo.jpg?sz=256', 'display_name': 'Rafik', 'link': 'https://stackoverflow.com/users/11182031/rafik'}",True,10535,1,-1,1665510233,1552268275,55094183,CC BY-SA 4.0,https://stackoverflow.com/questions/55094183/cannot-use-dot-operator-on-a-type,cannot use dot operator on a type,1552268673.0,55095156.0,,,,
8,"['c++', 'qt']","{'account_id': 12940097, 'reputation': 7, 'user_id': 9356198, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7616048dd0271dd2687c86e769709570?s=256&d=identicon&r=PG&f=1', 'display_name': 'Powdermist', 'link': 'https://stackoverflow.com/users/9356198/powdermist'}",False,226,0,0,1665503655,1551548154,54961186,CC BY-SA 4.0,https://stackoverflow.com/questions/54961186/set-qvboxlayout-in-full-size-in-main-window-without-spacing-or-border,Set QVBoxLayout in full size in main window without spacing or border,1665503655.0,,,,,
9,"['c++', 'opengl', 'g++', 'glfw']","{'account_id': 12453712, 'reputation': 1031, 'user_id': 9067589, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3bb22a01f673c88e3eb21dcd4dc5ddff?s=256&d=identicon&r=PG&f=1', 'display_name': 'Miger', 'link': 'https://stackoverflow.com/users/9067589/miger'}",True,1506,1,2,1665453927,1551861460,55018747,CC BY-SA 4.0,https://stackoverflow.com/questions/55018747/opengl-c-with-g-compiler-not-able-to-find-glfw-on-windows-10-no-visual-stu,"OpenGL C++ with g++ compiler, not able to find GLFW on Windows 10 (no Visual Studio)",1665453927.0,55019716.0,,,,
