,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,locked_date
0,"['c++', 'qt']","{'account_id': 15183355, 'reputation': 561, 'user_id': 10956085, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0fae981f0dcb9694b206a6c05d30036?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cascades', 'link': 'https://stackoverflow.com/users/10956085/cascades'}",True,310,64347463.0,2,1,1668983410,1602644691,1602655313.0,64346031,CC BY-SA 4.0,https://stackoverflow.com/questions/64346031/how-to-connect-qt-signals-and-slots-using-qt-designer-and-visual-studio,How to connect Qt signals and slots using QT Designer and Visual Studio,,,
1,"['c++', 'c', 'sdl', 'sdl-2']","{'account_id': 3267988, 'reputation': 69559, 'user_id': 2752075, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/5oQlf.png?s=256&g=1', 'display_name': 'HolyBlackCat', 'link': 'https://stackoverflow.com/users/2752075/holyblackcat'}",True,10417,64396980.0,3,21,1668971453,1602885986,1649103642.0,64396979,CC BY-SA 4.0,https://stackoverflow.com/questions/64396979/how-do-i-use-sdl2-in-my-programs-correctly,How do I use SDL2 in my programs correctly?,,,
2,"['c++', 'iterator']","{'account_id': 17548358, 'reputation': 33, 'user_id': 13976542, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/q1NGL.jpg?s=256&g=1', 'display_name': 'daboor', 'link': 'https://stackoverflow.com/users/13976542/daboor'}",True,91,64543653.0,2,0,1668896290,1603727910,1603738431.0,64540686,CC BY-SA 4.0,https://stackoverflow.com/questions/64540686/c-why-operator-on-iterator-doesnt-work-if-put-after-expression-v-begi,"C++, Why ++ operator on iterator doesn&#39;t work, if put after expression, *(v.begin() + i / 10)++?",,,
3,"['c++', 'boost', 'c++14', 'state-machine', 'boost-extension']","{'account_id': 6905094, 'reputation': 25, 'user_id': 5303294, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d36d59232edfcd4b3e0d7178f49e9988?s=256&d=identicon&r=PG&f=1', 'display_name': 'Christopher Vogl', 'link': 'https://stackoverflow.com/users/5303294/christopher-vogl'}",True,1000,64258422.0,1,1,1668804086,1601982323,1668804086.0,64224519,CC BY-SA 4.0,https://stackoverflow.com/questions/64224519/boostext-sml-access-sm-and-dependencies-in-an-action,[Boost::ext].SML: Access SM and dependencies in an action,,,
4,"['c++', 'function', 'sorting', 'vector', 'selection']","{'account_id': 19847076, 'reputation': 1, 'user_id': 14538446, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c89e964828f47cacb254518fa8c5e7e0?s=256&d=identicon&r=PG&f=1', 'display_name': '3_5', 'link': 'https://stackoverflow.com/users/14538446/3-5'}",True,67,,1,0,1668766682,1603917704,1668766682.0,64580989,CC BY-SA 4.0,https://stackoverflow.com/questions/64580989/why-are-my-vector-functions-not-sorting-data-like-theyre-supposed-to,Why are my vector functions not sorting data like they&#39;re supposed to?,,,
5,"['c++', 'visual-studio-code', 'gdb', 'vscode-debugger']","{'account_id': 19337773, 'reputation': 679, 'user_id': 14138027, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d221a62e464a6ee976ac2cd7aafe910d?s=256&d=identicon&r=PG', 'display_name': 'Maqsud', 'link': 'https://stackoverflow.com/users/14138027/maqsud'}",True,3830,66238128.0,3,6,1668757053,1601765303,1614019596.0,64189683,CC BY-SA 4.0,https://stackoverflow.com/questions/64189683/unable-to-inspect-c-stl-content-in-vs-code,Unable to Inspect C++ STL content in VS Code,,,
6,"['c++', 'vector']","{'account_id': 19812411, 'reputation': 43, 'user_id': 14510887, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1596572997170416/picture?type=large', 'display_name': 'Leobej', 'link': 'https://stackoverflow.com/users/14510887/leobej'}",True,266,64518150.0,2,0,1668603404,1603526691,1668603404.0,64511260,CC BY-SA 4.0,https://stackoverflow.com/questions/64511260/how-to-insert-product-and-sum-between-every-two-consecutive-elements-in-an-array,How to insert product and sum between every two consecutive elements in an array,,,
7,"['c++', 'node.js', 'linux', 'dependencies', 'libraries']","{'account_id': 10577073, 'reputation': 1418, 'user_id': 7792079, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/0IF2F.png?s=256&g=1', 'display_name': 'J-Cake', 'link': 'https://stackoverflow.com/users/7792079/j-cake'}",True,2581,74412218.0,1,1,1668250065,1603862250,1629862996.0,64566851,CC BY-SA 4.0,https://stackoverflow.com/questions/64566851/error-libm-so-6-version-glibc-2-29-not-found-nodejs,Error: libm.so.6 : version `GLIBC_2.29&#39; not found. NodeJS,,,
8,"['c++', 'lzma', 'bi5']","{'account_id': 13198172, 'reputation': 367, 'user_id': 9532216, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/96afd099f3ec5c1b6861230810ca3f5d?s=256&d=identicon&r=PG&f=1', 'display_name': 'ahmed allam', 'link': 'https://stackoverflow.com/users/9532216/ahmed-allam'}",True,156,64354383.0,1,0,1667627750,1601982181,1667627750.0,64224481,CC BY-SA 4.0,https://stackoverflow.com/questions/64224481/lzma-totalread-is-greater-than-header-uncompressed-size-by-1,lzma totalread is greater than header uncompressed size by 1,,,
9,"['c++', 'visual-studio-code', 'formatting', 'clang', 'vscode-settings']","{'account_id': 15600943, 'reputation': 41, 'user_id': 11255114, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1088eb0ba505b0e5bce574be26c9369?s=256&d=identicon&r=PG&f=1', 'display_name': 'theishita', 'link': 'https://stackoverflow.com/users/11255114/theishita'}",False,1332,,1,2,1666832903,1602862811,,64392293,CC BY-SA 4.0,https://stackoverflow.com/questions/64392293/c-clang-formatter-how-to-avoid-rearranging-sorting-include-blocks-at-all,C++ Clang formatter: how to avoid rearranging/sorting include blocks at all?,,,
