,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,locked_date,migrated_from
0,"['c++', 'visual-studio-code', 'gdb']","{'account_id': 15106656, 'reputation': 66, 'user_id': 10902149, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-xTrh_Bp8IAk/AAAAAAAAAAI/AAAAAAAAAJo/SktWZTVI0xU/photo.jpg?sz=256', 'display_name': 'gunhasiz', 'link': 'https://stackoverflow.com/users/10902149/gunhasiz'}",True,165,74534596.0,1,3,1669128796,1664828081,1665604888.0,73940416,CC BY-SA 4.0,https://stackoverflow.com/questions/73940416/vscode-gdb-debugging-internal-error-while-converting-character-sets,VSCode GDB debugging Internal error while converting character sets,,,,
1,"['c++', 'opengl', 'glsl']","{'account_id': 5854007, 'reputation': 39, 'user_id': 4611870, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/05a9d22516f94539da5f9ea4ded992a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'andrew', 'link': 'https://stackoverflow.com/users/4611870/andrew'}",True,58,,1,-2,1669126929,1665411194,1669126929.0,74016264,,https://stackoverflow.com/questions/74016264/opengl-glsl-shader-not-linking,OpenGL GLSL Shader not linking,1665760252.0,Not suitable for this site,,
2,"['c++', 'unicode', 'ghostscript', 'postscript', 'truetype']","{'account_id': 9616832, 'reputation': 123, 'user_id': 10725972, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sBeG9.jpg?s=256&g=1', 'display_name': 'Marmayogi', 'link': 'https://stackoverflow.com/users/10725972/marmayogi'}",True,334,,1,3,1669121038,1664779245,1669121038.0,73931912,CC BY-SA 4.0,https://stackoverflow.com/questions/73931912/conversion-from-ttf-to-type-2-cid-font-type-42-base-font,Conversion from ttf to type 2 CID font (type 42 base font),,,,
3,"['c++', 'opencv', 'rotation', 'ros', 'aruco']","{'account_id': 8671139, 'reputation': 31, 'user_id': 6490048, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/28d4a0ddbc8d083b920edd2deaf14f51?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dave B', 'link': 'https://stackoverflow.com/users/6490048/dave-b'}",False,32,,1,1,1669111790,1666119147,1666169014.0,74116118,CC BY-SA 4.0,https://stackoverflow.com/questions/74116118/what-is-the-correct-way-to-average-several-aruco-rotation-vectors,What is the correct way to average several ARUCO rotation vectors,,,,
4,"['c++', 'neural-network', 'embedded', 'signal-processing', 'stm32']","{'account_id': 23770004, 'reputation': 51, 'user_id': 17784198, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwmS0mUL1KrKuz5pNi_XwFpuIGRSreEni_vQpUr=k-s256', 'display_name': 'Gio', 'link': 'https://stackoverflow.com/users/17784198/gio'}",True,46,74529850.0,1,0,1669107343,1666456559,,74165292,CC BY-SA 4.0,https://stackoverflow.com/questions/74165292/how-to-compute-the-mel-spectrogram-on-stm32,How to compute the mel spectrogram on STM32?,,,,
5,"['c++', 'c++11', 'c++14']","{'account_id': 10740711, 'reputation': 41, 'user_id': 7903913, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10212514548156049/picture?type=large', 'display_name': 'Hugo Costa Machado', 'link': 'https://stackoverflow.com/users/7903913/hugo-costa-machado'}",True,87,,1,3,1669091399,1665886246,1669091399.0,74084172,CC BY-SA 4.0,https://stackoverflow.com/questions/74084172/is-the-implementation-of-threadraii-correct-in-the-effective-modern-c-book,Is the implementation of ThreadRAII correct in the Effective Modern C++ book?,,,,
6,"['c++', 'c', 'constants', 'language-lawyer', 'memcpy']","{'account_id': 22900208, 'reputation': 697, 'user_id': 17039046, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxGw4O9KE6p7tA9XpP0YjVYJ8VzbOAH3ZJ9NGfZ=k-s256', 'display_name': 'Jackson Allan', 'link': 'https://stackoverflow.com/users/17039046/jackson-allan'}",True,1973,,2,35,1669046812,1665326155,1665399488.0,74005650,CC BY-SA 4.0,https://stackoverflow.com/questions/74005650/memcpy-zero-bytes-into-const-variable-undefined-behavior,memcpy zero bytes into const variable - undefined behavior?,,,,
7,"['c++', 'c', 'code-analysis', 'coverity']","{'account_id': 9707992, 'reputation': 619, 'user_id': 7200859, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/8b36a5883c42690004f991c0edf36396?s=256&d=identicon&r=PG&f=1', 'display_name': 'ge45mue', 'link': 'https://stackoverflow.com/users/7200859/ge45mue'}",False,47,,2,0,1669038081,1666790732,1666793286.0,74208599,CC BY-SA 4.0,https://stackoverflow.com/questions/74208599/how-to-configure-coverity-for-iar-arm-iccarm,How to configure Coverity for IAR ARM (iccarm),,,,
8,"['c++', 'collections', 'libraries']","{'account_id': 19259266, 'reputation': 1427, 'user_id': 14075508, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/m6728.jpg?s=256&g=1', 'display_name': 'Alex Vergara', 'link': 'https://stackoverflow.com/users/14075508/alex-vergara'}",True,83,74508778.0,2,1,1668955651,1665159814,1668955651.0,73990029,CC BY-SA 4.0,https://stackoverflow.com/questions/73990029/difference-between-a-vector-and-a-dynamically-allocated-array,Difference between a vector and a dynamically allocated array,,,,
9,"['c++', 'qt', 'qml', 'qt5']","{'account_id': 5847516, 'reputation': 336, 'user_id': 4607234, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/c9c04d0047153813380f02a6ff737ff5?s=256&d=identicon&r=PG&f=1', 'display_name': 'magrif', 'link': 'https://stackoverflow.com/users/4607234/magrif'}",True,58,74499417.0,2,0,1668855576,1666210332,1667991187.0,74131348,CC BY-SA 4.0,https://stackoverflow.com/questions/74131348/its-possible-to-register-already-defined-enum-for-moc,It&#39;s possible to register already defined enum for MOC?,,,,
