,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
0,"['c++', 'udp', 'automotive']","{'account_id': 20371666, 'reputation': 21, 'user_id': 14943752, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/09228319325837e46446d1571b5afbaf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sireesha', 'link': 'https://stackoverflow.com/users/14943752/sireesha'}",False,1745,2,1,1669131855,1609845091,65577742,CC BY-SA 4.0,https://stackoverflow.com/questions/65577742/vsomeip-configuration-file-for-client-and-server,vsomeip configuration file for client and server,,,,,
1,"['c++', 'access-violation', 'fmt']","{'account_id': 19601744, 'reputation': 53, 'user_id': 14346393, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d0b0f9e52603602bb8af2578a4c3b138?s=256&d=identicon&r=PG&f=1', 'display_name': 'TigerCipher', 'link': 'https://stackoverflow.com/users/14346393/tigercipher'}",False,130,1,0,1669006618,1611367372,65855022,CC BY-SA 4.0,https://stackoverflow.com/questions/65855022/fmtformat-access-violation,fmt::format access violation,,,,,
2,"['c++', 'windows', 'unreal-engine4']","{'account_id': 16769166, 'reputation': 13, 'user_id': 12122056, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/iFPjp.png?s=256&g=1', 'display_name': 'Fluffyalien', 'link': 'https://stackoverflow.com/users/12122056/fluffyalien'}",True,2531,2,0,1668765079,1610224915,65647393,CC BY-SA 4.0,https://stackoverflow.com/questions/65647393/the-game-module-project-name-could-not-be-loaded-unreal-engine-4-26,&quot;The game module *project name* could not be loaded&quot; Unreal Engine 4.26,,,,,
3,"['c++', 'syntax-error']","{'account_id': 19587282, 'reputation': 35, 'user_id': 14335137, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1af855cbf8bd489a9793c494c1ee4b71?s=256&d=identicon&r=PG&f=1', 'display_name': 'A_HotMashing', 'link': 'https://stackoverflow.com/users/14335137/a-hotmashing'}",False,1260,1,0,1668592978,1609758236,65561615,CC BY-SA 4.0,https://stackoverflow.com/questions/65561615/c-syntaxerror-invalid-syntax-for-no-apparent-reason,C++ SyntaxError: invalid syntax for no apparent reason,,,,,
4,"['c++', 'c', 'visual-studio', 'sqlite']","{'account_id': 10890580, 'reputation': 185, 'user_id': 8006506, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://i.stack.imgur.com/gmkBg.jpg?s=256&g=1', 'display_name': 'Hari prasad kasavajjala', 'link': 'https://stackoverflow.com/users/8006506/hari-prasad-kasavajjala'}",True,947,2,-1,1668510109,1611335908,65849805,CC BY-SA 4.0,https://stackoverflow.com/questions/65849805/c-header-files-missing-to-compile-sqlite3-c,C header files missing to compile Sqlite3.c,65878315.0,1668510109.0,,,
5,"['c++', 'arrays', 'sorting']","{'account_id': 19148973, 'reputation': 443, 'user_id': 13987643, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c74b97a11317434ec6f6a12bb993819?s=256&d=identicon&r=PG&f=1', 'display_name': 'AnonymousMe', 'link': 'https://stackoverflow.com/users/13987643/anonymousme'}",True,322,2,3,1668287805,1609442582,65524856,CC BY-SA 4.0,https://stackoverflow.com/questions/65524856/sorting-a-range-of-numbers-in-place,Sorting a range of numbers - In place,,1609443210.0,,,
6,"['c++', 'string', 'c++11', 'wstring']","{'account_id': 6362660, 'reputation': 876, 'user_id': 4937674, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://lh5.googleusercontent.com/-5tQEtpK4bRc/AAAAAAAAAAI/AAAAAAAAAAA/o7r6g4uyfEE/photo.jpg?sz=256', 'display_name': 'Sayantan Ghosh', 'link': 'https://stackoverflow.com/users/4937674/sayantan-ghosh'}",True,246,2,3,1668200441,1610715820,65736613,CC BY-SA 4.0,https://stackoverflow.com/questions/65736613/c-sso-how-to-programatically-find-if-a-stdwstring-is-allocated-with-short,C++ SSO : How to programatically find if a std::wstring is allocated with Short String Optimization?,,1610728044.0,,,
7,"['c++', 'multithreading', 'gtk', 'gtkmm', 'thread-sanitizer']","{'account_id': 3919777, 'reputation': 3, 'user_id': 3242485, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vern', 'link': 'https://stackoverflow.com/users/3242485/vern'}",False,364,1,0,1667654797,1611349974,65852836,CC BY-SA 4.0,https://stackoverflow.com/questions/65852836/why-is-threadsanitizer-tsan-reporting-data-race-on-glibsignal-idle-connect,Why is ThreadSanitizer (TSAN) reporting data race on Glib::signal_idle().connect_once,,,,,
8,['c++'],"{'account_id': 19101900, 'reputation': 33, 'user_id': 13949993, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ce05090d64b9ca0b5d415f8cfecca7b5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sof&#237;a Gonz&#225;lez', 'link': 'https://stackoverflow.com/users/13949993/sof%c3%ada-gonz%c3%a1lez'}",True,331,3,0,1667270847,1611371599,65855365,CC BY-SA 4.0,https://stackoverflow.com/questions/65855365/trying-to-sum-two-large-large-numbers-and-dont-get-a-result,Trying to sum two large large numbers and don&#39;t get a result&#161;,,,,,
9,"['c++', 'opencv', 'ros2']","{'account_id': 20569364, 'reputation': 21, 'user_id': 15098030, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-kTMB93CnHu0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmREtTr1kvdQOQoBGQKwUUaqOUVQw/s96-c/photo.jpg?sz=256', 'display_name': 'Confused One', 'link': 'https://stackoverflow.com/users/15098030/confused-one'}",False,4098,1,2,1667214543,1611830142,65935364,CC BY-SA 4.0,https://stackoverflow.com/questions/65935364/looking-for-cv-bridge-example-in-c-for-ros2,Looking for cv_bridge example in C++ for ROS2,,,,,
