,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date
0,"['c++', 'qt', 'httprequest']","{'account_id': 3076625, 'reputation': 2616, 'user_id': 2605781, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://i.stack.imgur.com/7WwaM.jpg?s=256&g=1', 'display_name': 'Cid', 'link': 'https://stackoverflow.com/users/2605781/cid'}",True,2503,58695960.0,2,0,1668611167,1572877830,58695510,CC BY-SA 4.0,https://stackoverflow.com/questions/58695510/how-to-send-http-request-synchronously-in-qt,How to send http request synchronously in QT?,,,,
1,['c++'],"{'account_id': 16944393, 'reputation': 39, 'user_id': 12255465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e60f9cd107aa4fe415aad9ff604515c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naq Z', 'link': 'https://stackoverflow.com/users/12255465/naq-z'}",False,772,,1,0,1668599734,1574688987,59033096,CC BY-SA 4.0,https://stackoverflow.com/questions/59033096/c-unknown-type-name-even-though-type-is-defined-through-headers,C++ Unknown type name even though type is defined through headers,,,,
2,"['c++', 'segmentation-fault', 'unique-ptr']","{'account_id': 15640750, 'reputation': 29, 'user_id': 11284153, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6691524f490d7e1748f6a8762bf10fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'O.B.', 'link': 'https://stackoverflow.com/users/11284153/o-b'}",True,4700,,2,1,1668539191,1574323492,58970041,CC BY-SA 4.0,https://stackoverflow.com/questions/58970041/segmentation-fault-with-unique-ptr,Segmentation fault with unique_ptr,,,,
3,"['c++', 'visual-studio-code', 'gtk3', 'vscode-settings', 'vscode-debugger']","{'account_id': 8990551, 'reputation': 1659, 'user_id': 6702598, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yZQB0.png?s=256&g=1', 'display_name': 'DarkTrick', 'link': 'https://stackoverflow.com/users/6702598/darktrick'}",True,12264,58751822.0,2,10,1667633752,1573139941,58751821,CC BY-SA 4.0,https://stackoverflow.com/questions/58751821/how-to-configure-vscode-for-gtk3-for-intellisense-build-debug-and-g,How to configure VSCode for GTK3 for intellisense / build / debug and g++,1611034218.0,,,
4,"['c++', 'winapi', 'logging', 'windows-services', 'wevtutil']","{'account_id': 1013184, 'reputation': 1707, 'user_id': 1967661, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/32659e79c7bdcabade3eae9f8180a817?s=256&d=identicon&r=PG', 'display_name': 'synacker', 'link': 'https://stackoverflow.com/users/1967661/synacker'}",True,448,58772208.0,2,2,1667356136,1573034734,58727573,CC BY-SA 4.0,https://stackoverflow.com/questions/58727573/why-i-have-empty-windows-logs-after-success-eventwrite-function-call,Why I have empty windows logs after success EventWrite function call,1573156162.0,,,
5,"['c++', 'arrays', 'permutation']","{'account_id': 10401616, 'reputation': 127, 'user_id': 7669698, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-MNRp8o3n8hw/AAAAAAAAAAI/AAAAAAAAAAo/RG0XMYqkJ1k/photo.jpg?sz=256', 'display_name': 'Arun R Nambiar', 'link': 'https://stackoverflow.com/users/7669698/arun-r-nambiar'}",True,5969,58859528.0,3,2,1667313489,1573742327,58859316,CC BY-SA 4.0,https://stackoverflow.com/questions/58859316/next-permutation-definition,Next Permutation definition,1573752518.0,,,
6,"['c++', 'opengl', 'glfw']","{'user_type': 'does_not_exist', 'display_name': 'user8028736'}",True,1341,58655919.0,1,0,1667250553,1572592726,58655529,CC BY-SA 4.0,https://stackoverflow.com/questions/58655529/failing-to-create-glfw-window,Failing to create GLFW window,1572603104.0,,,
7,"['c++', 'math', 'unreal-engine4']","{'account_id': 16759461, 'reputation': 1, 'user_id': 12114597, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mA3eAYyayHRzo27xM8JM9z3blCGLxrbUmMqrvTnVQ=k-s256', 'display_name': 'Kelton Weigelt', 'link': 'https://stackoverflow.com/users/12114597/kelton-weigelt'}",False,1832,,2,0,1667160849,1575018947,59101924,CC BY-SA 4.0,https://stackoverflow.com/questions/59101924/how-to-use-draw-circle-in-unreal,How to use Draw Circle In Unreal,1575020147.0,,,
8,"['c++', 'debugging', 'visual-studio-code', 'cmake']","{'account_id': 2760375, 'reputation': 4676, 'user_id': 2377399, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/H4Jf0.png?s=256&g=1', 'display_name': 'AlainD', 'link': 'https://stackoverflow.com/users/2377399/alaind'}",True,3382,58784558.0,2,1,1667119851,1573336111,58783805,CC BY-SA 4.0,https://stackoverflow.com/questions/58783805/define-debug-and-release-symbols-in-visual-studio-code,Define DEBUG and RELEASE symbols in Visual Studio Code,1573341896.0,,,
9,"['c++', 'visual-studio', 'cmake']","{'account_id': 17019221, 'reputation': 71, 'user_id': 12312246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/73a4249cc5c7ea65f3e1704a0a51a7f6?s=256&d=identicon&r=PG&f=1', 'display_name': 'behanep757', 'link': 'https://stackoverflow.com/users/12312246/behanep757'}",False,38,,1,2,1667053668,1572699497,58671342,CC BY-SA 4.0,https://stackoverflow.com/questions/58671342/link-cmake-to-visual-studios-cmake-tools,Link cmake to visual studio&#39;s cmake tools,,,,
