,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason,protected_date,migrated_from
0,"['c++', 'algorithm']","{'account_id': 12221689, 'reputation': 1, 'user_id': 14079930, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1460470850697361/picture?type=large', 'display_name': 'Tirim George', 'link': 'https://stackoverflow.com/users/14079930/tirim-george'}",False,114,4,0,1668887197,1597054971,1597056916.0,63338320,CC BY-SA 4.0,https://stackoverflow.com/questions/63338320/moving-values-in-array-to-the-left-right-to-k-positions,Moving values in Array to the left/right to k positions?,,,,,
1,"['c++', 'c++11']","{'account_id': 17021306, 'reputation': 3, 'user_id': 12313811, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d47e8bc4f9d3525c510aa5f6bcf6b53?s=256&d=identicon&r=PG&f=1', 'display_name': 'mkx', 'link': 'https://stackoverflow.com/users/12313811/mkx'}",True,1577,2,0,1668696714,1596820072,1668696714.0,63306352,,https://stackoverflow.com/questions/63306352/what-n1-and-n-1-mean,What n&amp;1 and n&gt;&gt;=1 mean?,1596820320.0,63306385.0,Duplicate,,
2,"['c++', 'stl', 'queue']","{'account_id': 3751128, 'reputation': 511, 'user_id': 3118602, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3118602', 'link': 'https://stackoverflow.com/users/3118602/user3118602'}",True,6692,3,5,1668534384,1596847085,,63310723,CC BY-SA 4.0,https://stackoverflow.com/questions/63310723/circular-queue-using-stl-queue,Circular queue using STL queue?,,,,,
3,"['c++', 'visual-studio', 'visual-studio-2019', 'unreal-engine4', 'unreal-engine5']","{'account_id': 1572115, 'reputation': 1159, 'user_id': 1459607, 'user_type': 'registered', 'accept_rate': 8, 'profile_image': 'https://www.gravatar.com/avatar/9521d2ebbcb24f803880ac7378e78140?s=256&d=identicon&r=PG', 'display_name': 'Ryan Glenn', 'link': 'https://stackoverflow.com/users/1459607/ryan-glenn'}",True,9712,1,10,1668466822,1598028749,1623343337.0,63527007,CC BY-SA 4.0,https://stackoverflow.com/questions/63527007/cannot-compile-unreal-engine-4-25-with-visual-studio-2019-7-2,Cannot compile unreal engine 4.25 with visual studio 2019.7.2,,,,1620131084.0,
4,"['c++', 'pivot-table']","{'account_id': 19070801, 'reputation': 21, 'user_id': 13925006, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/950c2064dceee0a57a99e5e3cb306f90?s=256&d=identicon&r=PG&f=1', 'display_name': 'gnvsdnvjds', 'link': 'https://stackoverflow.com/users/13925006/gnvsdnvjds'}",True,418,1,0,1668354684,1596580572,1596580639.0,63255990,CC BY-SA 4.0,https://stackoverflow.com/questions/63255990/read-csv-into-c-and-implement-method-similar-to-pivot-table,Read csv into C++ and implement method similar to pivot table,,,,,
5,"['c++', 'makefile', 'compilation', 'header-files']","{'account_id': 5277484, 'reputation': 191, 'user_id': 4213849, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://graph.facebook.com/774557457/picture?type=large', 'display_name': 'Yaron Israeli', 'link': 'https://stackoverflow.com/users/4213849/yaron-israeli'}",True,719,2,4,1668290914,1597872468,,63495250,,https://stackoverflow.com/questions/63495250/makefile-doesnt-check-for-updates-in-header-file,Makefile doesn&#39;t check for updates in header file,1668291141.0,,Duplicate,,
6,"['c++', 'visual-studio', 'templates', 'require', 'c++20']","{'account_id': 15813656, 'reputation': 79, 'user_id': 11410004, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-YfpTB6bH7aQ/AAAAAAAAAAI/AAAAAAAAAh0/XgXlJCzqhXo/photo.jpg?sz=256', 'display_name': 'Luca Ciucci', 'link': 'https://stackoverflow.com/users/11410004/luca-ciucci'}",False,811,2,7,1668284044,1597056201,1668092349.0,63338629,CC BY-SA 4.0,https://stackoverflow.com/questions/63338629/requires-clause-for-a-non-template-member-function-in-a-template-class,requires clause for a non-template member function in a template class,,,,,
7,"['c++', 'bgi']","{'account_id': 19329291, 'reputation': 13, 'user_id': 14131251, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3430959853621201/picture?type=large', 'display_name': 'Mustafa Noman', 'link': 'https://stackoverflow.com/users/14131251/mustafa-noman'}",True,11474,2,0,1668118061,1598107251,1598530091.0,63537397,CC BY-SA 4.0,https://stackoverflow.com/questions/63537397/unable-to-use-graphic-h-in-c-in-visual-studio,Unable to use graphic.h in c++ in visual studio,,,,,
8,"['c++', 'c', 'debugging', 'casting', 'c++17']","{'account_id': 16868361, 'reputation': 41, 'user_id': 12197499, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6fa9ffdfd04655d4f6c66df6f5891b86?s=256&d=identicon&r=PG&f=1', 'display_name': 'seaiam', 'link': 'https://stackoverflow.com/users/12197499/seaiam'}",True,88,1,0,1667454830,1596598085,1667454830.0,63257982,CC BY-SA 4.0,https://stackoverflow.com/questions/63257982/trying-to-cast-an-integer-to-a-char,Trying to cast an integer to a char,,,,,
9,"['c++', 'sockets', 'visual-studio-2010', 'visual-c++-6']","{'account_id': 19315472, 'reputation': 1, 'user_id': 14120340, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjyBQ5k8wFtNNwMBeeAjDBXjOArcV4JkAlzgO15HJA=k-s256', 'display_name': 'Thibear', 'link': 'https://stackoverflow.com/users/14120340/thibear'}",False,76,0,0,1667454785,1597679808,1667454785.0,63454423,CC BY-SA 4.0,https://stackoverflow.com/questions/63454423/vc-6-0-project-error-more-than-one-operator-matches-these-operands,VC++ 6.0 project error &quot;more than one operator &quot;+=&quot; matches these operands&quot;,,,,,
