,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,protected_date,migrated_from
0,['c++'],"{'account_id': 1302131, 'reputation': 1896, 'user_id': 1251826, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/fd3c7cb770e244ef3b5138629c2d1288?s=256&d=identicon&r=PG', 'display_name': 'Seb', 'link': 'https://stackoverflow.com/users/1251826/seb'}",True,349999,10135260.0,7,54,1669376995,1334291497,1602031592.0,10135244,CC BY-SA 4.0,https://stackoverflow.com/questions/10135244/how-to-fix-c-error-expected-unqualified-id,How to fix C++ error: expected unqualified-id,,,,,
1,"['c++', 'linux', 'critical-section', 'interrupt', 'preemption']","{'account_id': 1392030, 'reputation': 57, 'user_id': 1322623, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0a24b3f4adef99be2fabe25fb073b38?s=256&d=identicon&r=PG', 'display_name': 'wapadomo', 'link': 'https://stackoverflow.com/users/1322623/wapadomo'}",True,5686,,2,5,1668885892,1334003715,1495542577.0,10079506,CC BY-SA 3.0,https://stackoverflow.com/questions/10079506/how-can-i-avoid-preemption-of-my-thread-in-user-mode,How can I avoid preemption of my thread in user mode,,,,,
2,"['iphone', 'c++', 'objective-c', 'ios', 'ffmpeg']","{'account_id': 1373618, 'reputation': 107, 'user_id': 1308078, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/586e2f19d03c0319515301cbab122a9d?s=256&d=identicon&r=PG', 'display_name': 'Chuck Mc Duran', 'link': 'https://stackoverflow.com/users/1308078/chuck-mc-duran'}",True,211,10080499.0,2,1,1668634056,1334007723,1668634056.0,10080258,CC BY-SA 4.0,https://stackoverflow.com/questions/10080258/error-building-app-undefined-symbols-for-architecture-armv7,Error building app: Undefined symbols for architecture armv7,,,,,
3,"['c++', 'python', 'floating-point']","{'account_id': 1236664, 'reputation': 2236, 'user_id': 1200129, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/50afb8a504db160e7f469ac97a0166eb?s=256&d=identicon&r=PG', 'display_name': '01100110', 'link': 'https://stackoverflow.com/users/1200129/01100110'}",True,4045,10010624.0,2,0,1668499428,1333540624,1337707386.0,10010589,CC BY-SA 3.0,https://stackoverflow.com/questions/10010589/python-and-floats-print-only-the-whole-number,Python and Floats - Print only the Whole Number,,,,,
4,"['c++', 'list', 'iterator']","{'account_id': 239542, 'reputation': 10580, 'user_id': 509233, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/cb9d734ebf196eac83de143ec4933829?s=256&d=identicon&r=PG', 'display_name': 'Mihran Hovsepyan', 'link': 'https://stackoverflow.com/users/509233/mihran-hovsepyan'}",True,47685,10137694.0,3,51,1668081444,1334304034,1334304133.0,10137214,CC BY-SA 3.0,https://stackoverflow.com/questions/10137214/how-get-next-previous-element-in-stdlist-without-incrementing-decrementing,How get next (previous) element in std::list without incrementing (decrementing) iterator?,,,,,
5,"['c++', 'matrix', 'alglib']","{'account_id': 960659, 'reputation': 2146, 'user_id': 985087, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/12c52b7844096eeb4ced9c90f1c87c07?s=256&d=identicon&r=PG', 'display_name': 'pintoch', 'link': 'https://stackoverflow.com/users/985087/pintoch'}",True,1280,16491298.0,3,5,1667575805,1335635825,1495535068.0,10366092,CC BY-SA 3.0,https://stackoverflow.com/questions/10366092/how-to-add-matrices-with-alglib,How to add matrices with alglib?,,,,,
6,"['c++', 'makefile']","{'account_id': 44390, 'reputation': 15393, 'user_id': 130278, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/735eb7b4dda26bb7aa6b1bfb71593a78?s=256&d=identicon&r=PG', 'display_name': 'domlao', 'link': 'https://stackoverflow.com/users/130278/domlao'}",True,59395,,5,88,1667415835,1335164897,1439391654.0,10276202,CC BY-SA 3.0,https://stackoverflow.com/questions/10276202/exclude-source-file-in-compilation-using-makefile,Exclude source file in compilation using Makefile,,,,,
7,"['c++', 'windows', 'winapi']","{'account_id': 95447, 'reputation': 21107, 'user_id': 259953, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/ec198cb6fc38d98bb88dd390e0bed8e3?s=256&d=identicon&r=PG', 'display_name': 'Oliver Salzburg', 'link': 'https://stackoverflow.com/users/259953/oliver-salzburg'}",True,53624,10246877.0,4,15,1667106061,1334925674,1592644375.0,10246444,CC BY-SA 4.0,https://stackoverflow.com/questions/10246444/how-can-i-get-enumwindows-to-list-all-windows,How can I get EnumWindows to list all windows?,,,,,
8,"['c++', 'compiler-construction', 'constructor', 'return']","{'account_id': 1441916, 'reputation': 6943, 'user_id': 1361802, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/nsW0g.jpg?s=256&g=1', 'display_name': 'wonton', 'link': 'https://stackoverflow.com/users/1361802/wonton'}",True,14305,10356222.0,9,12,1666043377,1335552176,,10356109,CC BY-SA 3.0,https://stackoverflow.com/questions/10356109/c-constructors-have-no-return-type-just-exactly-why,C++ Constructors have no return type. Just exactly why?,,,,,
9,"['c++', 'visual-c++', 'c++11', 'smart-pointers']","{'account_id': 165302, 'reputation': 7005, 'user_id': 388626, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/70393519eb2d28453fac8b087d71e68a?s=256&d=identicon&r=PG', 'display_name': 'Rei Miyasaka', 'link': 'https://stackoverflow.com/users/388626/rei-miyasaka'}",True,10122,10133791.0,2,6,1665862600,1334275793,1334276760.0,10133591,CC BY-SA 3.0,https://stackoverflow.com/questions/10133591/using-smart-pointers-in-a-struct-or-class,Using smart pointers in a struct or class,,,,,
