,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,locked_date
0,"['c++', 'codelite']","{'account_id': 16964213, 'reputation': 11, 'user_id': 13271450, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-I_2bBF7gYu0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcY3zblwQQpZ5Ne5yFE1UBmCt777w/photo.jpg?sz=256', 'display_name': 'alex spi', 'link': 'https://stackoverflow.com/users/13271450/alex-spi'}",True,447,3,0,1668769404,1605121036,64792524,CC BY-SA 4.0,https://stackoverflow.com/questions/64792524/create-a-class-in-codelite,Create a class in Codelite,,,,,
1,"['c++', 'image', 'visual-studio', 'opencv', 'visual-c++']","{'account_id': 16289884, 'reputation': 139, 'user_id': 11763609, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-PHF0AScRKsA/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfObrdtyJ61VrzAxIPc0hx5xa-kuQ/photo.jpg?sz=256', 'display_name': 'SSR', 'link': 'https://stackoverflow.com/users/11763609/ssr'}",True,617,3,1,1668651260,1604998224,64765622,CC BY-SA 4.0,https://stackoverflow.com/questions/64765622/no-suitable-user-defined-conversion-from-cvmat-to-iplimage-exists,No suitable user-defined conversion from &quot;cv::Mat&quot; to &quot;IplImage&quot; exists,,,,,
2,"['c++', 'qt', 'visual-studio-code']","{'account_id': 19142129, 'reputation': 443, 'user_id': 13994294, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8895178a87854428d48c4a1bc15bd76a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Christoph Thiede', 'link': 'https://stackoverflow.com/users/13994294/christoph-thiede'}",False,214,0,1,1668620273,1606206919,64982849,CC BY-SA 4.0,https://stackoverflow.com/questions/64982849/how-to-enable-documentation-comments-for-c-qt-in-vs-code,How to enable documentation comments for C++/Qt in VS Code?,1606207632.0,,,,
3,"['c++', 'macos', 'clang', 'homebrew', 'fmt']","{'account_id': 6930658, 'reputation': 104, 'user_id': 5320228, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/226611680552618d9e16e29547285fe4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mister Happy', 'link': 'https://stackoverflow.com/users/5320228/mister-happy'}",False,230,1,0,1668586163,1605356743,64833870,CC BY-SA 4.0,https://stackoverflow.com/questions/64833870/fmtlib-and-format-h-not-linked-on-mac-clang,Fmtlib and Format.h not linked on MAC CLANG,1605357212.0,,,,
4,"['c++', 'c', 'macos', 'debugging', 'valgrind']","{'account_id': 2120900, 'reputation': 13553, 'user_id': 1884158, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/TZDGc.jpg?s=256&g=1', 'display_name': 'modulitos', 'link': 'https://stackoverflow.com/users/1884158/modulitos'}",False,318,1,3,1668094382,1605340597,64831930,CC BY-SA 4.0,https://stackoverflow.com/questions/64831930/how-do-you-use-valgrind-helgrind-on-macos,How do you use Valgrind/Helgrind on macOS?,1605340856.0,,,,
5,"['c++', 'c', 'linux', 'unix']","{'account_id': 15906282, 'reputation': 19, 'user_id': 11477407, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-VkcZonmXmM0/AAAAAAAAAAI/AAAAAAAAABI/nUYS-bDoOls/photo.jpg?sz=256', 'display_name': 'pacifique irakoze', 'link': 'https://stackoverflow.com/users/11477407/pacifique-irakoze'}",True,5397,7,-1,1667430712,1605004363,64767189,CC BY-SA 4.0,https://stackoverflow.com/questions/64767189/which-of-these-answers-are-the-equivalent-of-o-rdwr-on-ubuntu-14-04-lts,Which of these answers are the equivalent of O_RDWR on Ubuntu 14.04 LTS?,,64767522.0,,,
6,"['c++', 'overriding']","{'account_id': 10088378, 'reputation': 261, 'user_id': 13149182, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9d2cc01364b288039438070a778dba69?s=256&d=identicon&r=PG&f=1', 'display_name': 'Believer', 'link': 'https://stackoverflow.com/users/13149182/believer'}",True,84,1,-1,1666289031,1604219826,64630036,CC BY-SA 4.0,https://stackoverflow.com/questions/64630036/confusion-about-the-phenomenon-of-overriding,Confusion about the phenomenon of overriding,,64631084.0,,,
7,"['android', 'c++', 'static-libraries']","{'account_id': 18552400, 'reputation': 97, 'user_id': 13518368, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Hh0U8.jpg?s=256&g=1', 'display_name': 'user13518368', 'link': 'https://stackoverflow.com/users/13518368/user13518368'}",True,1343,1,0,1666085488,1604602997,64703761,CC BY-SA 4.0,https://stackoverflow.com/questions/64703761/can-you-link-static-library-directly-in-android-application,Can you link static library directly in android application?,1604843904.0,64739008.0,,,
8,"['c++', 'qt', 'qml', 'qtquick2', 'qt-quick']","{'account_id': 121273, 'reputation': 11583, 'user_id': 314247, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/8b51cf60b2e05db1b30933d72242c19d?s=256&d=identicon&r=PG&f=1', 'display_name': 'User7723337', 'link': 'https://stackoverflow.com/users/314247/user7723337'}",False,1503,4,1,1666040921,1606146052,64971542,CC BY-SA 4.0,https://stackoverflow.com/questions/64971542/open-new-qml-file-from-another-qml-file,Open new QML file from Another QML file,,,,,
9,"['c++', 'boost', 'boost-test']","{'account_id': 26373, 'reputation': 44154, 'user_id': 68571, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/Yw9Lg.png?s=256&g=1', 'display_name': 'VansFannel', 'link': 'https://stackoverflow.com/users/68571/vansfannel'}",False,193,2,0,1665664030,1604850109,64739953,CC BY-SA 4.0,https://stackoverflow.com/questions/64739953/boost-test-custom-operator-for-stdvectorfloat-type,BOOST TEST: Custom &lt;&lt; operator for std::vector&lt;float&gt; type?,1604853063.0,,,,
