,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from
0,"['c++', 'unicode', 'utf-8', 'c++20']","{'user_type': 'does_not_exist', 'display_name': 'user3624760'}",True,9775,7,33,1668982629,1554618060,55556200,CC BY-SA 4.0,https://stackoverflow.com/questions/55556200/convert-between-stdu8string-and-stdstring,Convert between std::u8string and std::string,,,,,
1,"['c++', 'c++11', 'g++', 'c++17']","{'account_id': 2362723, 'reputation': 275292, 'user_id': 2069064, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/e4V2X.jpg?s=256&g=1', 'display_name': 'Barry', 'link': 'https://stackoverflow.com/users/2069064/barry'}",True,1741,3,10,1668482493,1555339289,55691645,CC BY-SA 4.0,https://stackoverflow.com/questions/55691645/silencing-gccs-only-available-with-std-cxx-or-std-gnuxx-warning,Silencing gcc&#39;s &quot;only available with -std=c++XX or -std=gnu++XX&quot; warning,,,,,
2,"['c++', 'vector']","{'account_id': 12678781, 'reputation': 1, 'user_id': 9213371, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/81ec31b3e554a6fa7f5cef1cd9a1d612?s=256&d=identicon&r=PG&f=1', 'display_name': 'Agraj Singh', 'link': 'https://stackoverflow.com/users/9213371/agraj-singh'}",True,4189,4,-3,1668476185,1555617734,55753017,CC BY-SA 4.0,https://stackoverflow.com/questions/55753017/can-we-use-vector-in-c-to-take-user-input-of-unknown-size-only-till-we-hit-ent,Can we use vector in c++ to take user input of unknown size only till we hit enter?,55753254.0,1555683078.0,,,
3,"['c++', 'c++11', 'subclass', 'typetraits']","{'account_id': 514136, 'reputation': 109065, 'user_id': 1593077, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/10c44e0d9568e48d05708ae196ad936f?s=256&d=identicon&r=PG', 'display_name': 'einpoklum', 'link': 'https://stackoverflow.com/users/1593077/einpoklum'}",True,314,1,0,1668461107,1555786127,55776684,,https://stackoverflow.com/questions/55776684/how-can-i-check-whether-a-class-inherits-another-class,How can I check whether a class inherits another class?,,1555786434.0,1555786342.0,Duplicate,
4,"['c++', 'pointer-to-member']","{'account_id': 11159374, 'reputation': 334, 'user_id': 8807512, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/16411b2f860f2c383e81cbd1e4832b15?s=256&d=identicon&r=PG&f=1', 'display_name': 'JRVeale', 'link': 'https://stackoverflow.com/users/8807512/jrveale'}",True,598,2,1,1667904087,1554374150,55513790,CC BY-SA 4.0,https://stackoverflow.com/questions/55513790/understanding-error-with-taking-address-of-non-static-member-to-form-pointer-to,Understanding error with taking address of non-static member to form pointer to member function?,55515065.0,,,,
5,"['c++', 'pointers']","{'account_id': 15758721, 'reputation': 21, 'user_id': 11371074, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/J8ie2.jpg?s=256&g=1', 'display_name': 'ariyon', 'link': 'https://stackoverflow.com/users/11371074/ariyon'}",True,5645,3,1,1666412498,1555458079,55717960,CC BY-SA 4.0,https://stackoverflow.com/questions/55717960/how-to-fix-address-of-stack-memory-associated-with-local-variable-when-returni,How to fix &#39;address of stack memory associated with local variable&#39; when returning a variable address from function?,,1666412498.0,,,
6,"['c++', 'move']","{'account_id': 15709087, 'reputation': 2550, 'user_id': 11335032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d8a2395b2fa45d4aa621f4e6f500ede7?s=256&d=identicon&r=PG&f=1', 'display_name': 'maxbachmann', 'link': 'https://stackoverflow.com/users/11335032/maxbachmann'}",True,2112,2,12,1666170082,1556272899,55865219,,https://stackoverflow.com/questions/55865219/when-to-use-move-in-function-calls,when to use move in function calls,55865302.0,1666170082.0,1556276543.0,Duplicate,
7,"['c++', 'node.js', 'multithreading', 'node.js-addon', 'n-api']","{'account_id': 10125194, 'reputation': 979, 'user_id': 7480820, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-EYbddFUbJW0/AAAAAAAAAAI/AAAAAAAAAHY/LzyS_Lco87Y/photo.jpg?sz=256', 'display_name': 'Philip Nelson', 'link': 'https://stackoverflow.com/users/7480820/philip-nelson'}",True,2457,3,6,1665679268,1555438909,55714406,CC BY-SA 4.0,https://stackoverflow.com/questions/55714406/how-can-you-call-an-emitter-callback-from-separate-c-thread-in-an-addon,How can you call an emitter callback from separate c++ thread in an addon?,55717574.0,1555441904.0,,,
8,"['python', 'c++', 'destructor', 'pybind11']","{'account_id': 2664104, 'reputation': 805, 'user_id': 2303067, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/6aa110b96d8e4f94e9d949ee7ee81965?s=256&d=identicon&r=PG', 'display_name': 'GoFaster', 'link': 'https://stackoverflow.com/users/2303067/gofaster'}",True,2398,2,3,1665670389,1554113796,55452762,CC BY-SA 4.0,https://stackoverflow.com/questions/55452762/pybind11-destructor-not-invoked,PyBind11 destructor not invoked?,74056943.0,,,,
9,"['c++', 'c', 'linux', 'debugging', 'backtrace']","{'account_id': 13441006, 'reputation': 395, 'user_id': 9698161, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a2881d4f88da4ddcd701eccf723006f?s=256&d=identicon&r=PG&f=1', 'display_name': 'J.Panek', 'link': 'https://stackoverflow.com/users/9698161/j-panek'}",True,3179,3,5,1665625813,1554107585,55450932,CC BY-SA 4.0,https://stackoverflow.com/questions/55450932/how-ro-resolve-cpp-symbols-from-backtrace-symbols-in-the-offset-during-runtime,How ro resolve cpp symbols from backtrace_symbols() in the offset during runtime for addr2line,55511761.0,1554113245.0,,,
