,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['c++', 'reactjs', 'react-native', 'qml', 'bridge']","{'account_id': 17916937, 'reputation': 1, 'user_id': 13017681, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fab9e9c3a4c20811cd703521cb26dbfa?s=256&d=identicon&r=PG&f=1', 'display_name': 'Msh', 'link': 'https://stackoverflow.com/users/13017681/msh'}",False,95,1,0,1668965688,1654754697,72555408,CC BY-SA 4.0,https://stackoverflow.com/questions/72555408/bridge-library-between-qml-and-reactjs,bridge library between QML and ReactJs,,,,
1,"['c++', 'server', 'crow']","{'account_id': 25622757, 'reputation': 5, 'user_id': 19394369, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c25f6eeb08263a25dab4b3a2a1ffc40?s=256&d=identicon&r=PG&f=1', 'display_name': 'jacktherabbit', 'link': 'https://stackoverflow.com/users/19394369/jacktherabbit'}",False,147,1,1,1668877237,1655930710,72721794,CC BY-SA 4.0,https://stackoverflow.com/questions/72721794/crow-c-framework-html-page-blank-after-compiling-on-xcode,Crow C++ framework HTML page blank after compiling on Xcode,1668877237.0,,,
2,"['c++', 'c++20', 'coroutine', 'c++-coroutine']","{'account_id': 2391740, 'reputation': 588, 'user_id': 2091463, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e43a32f3340ad0654063a6248895bc56?s=256&d=identicon&r=PG', 'display_name': 'Oleksandr Kozlov', 'link': 'https://stackoverflow.com/users/2091463/oleksandr-kozlov'}",False,123,0,0,1668783277,1655634985,72676120,CC BY-SA 4.0,https://stackoverflow.com/questions/72676120/wrap-a-c-function-with-a-callback-into-an-awaitable-function-coroutine-that,Wrap a C++ function with a callback into an awaitable function (coroutine) that returns a task-like type,1668783277.0,,,
3,"['c++', 'inheritance', 'crtp']","{'account_id': 2864677, 'reputation': 2234, 'user_id': 2459228, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/284b38b878a6fee846358af7abb9bfb5?s=256&d=identicon&r=PG', 'display_name': 'Magnar Myrtveit', 'link': 'https://stackoverflow.com/users/2459228/magnar-myrtveit'}",True,75,1,3,1668763768,1654255730,72488935,CC BY-SA 4.0,https://stackoverflow.com/questions/72488935/conditional-inheritance-based-on-derived-type,Conditional inheritance based on derived type,,74487496.0,,
4,"['c++', 'ubuntu', 'debugging', 'neovim', 'vimspector']","{'account_id': 12280076, 'reputation': 11, 'user_id': 8962002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2160883260246ded4390f8f1f669288d?s=256&d=identicon&r=PG', 'display_name': 'user8962002', 'link': 'https://stackoverflow.com/users/8962002/user8962002'}",False,173,1,1,1668596899,1656157994,72753627,CC BY-SA 4.0,https://stackoverflow.com/questions/72753627/no-variables-seen-in-the-debugging-window-in-vimspector-while-debugging-a-c-pr,No variables seen in the debugging window in Vimspector while debugging a c++ program in Neovim. Breakpoints set are not seen too,1656158098.0,,,
5,"['c++', 'mysql']","{'account_id': 24392492, 'reputation': 23, 'user_id': 18322282, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dbfedb6901d9c7dd3dee904127a843e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lia', 'link': 'https://stackoverflow.com/users/18322282/lia'}",True,61,1,1,1668066247,1655974266,72727268,CC BY-SA 4.0,https://stackoverflow.com/questions/72727268/how-to-show-a-variable-in-message-text-in-signal-query-in-c,how to show a variable in MESSAGE_TEXT in signal query in c++,,72727368.0,,
6,"['c++', 'linux']","{'account_id': 25635245, 'reputation': 50, 'user_id': 19404943, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74875ab47513635d3fc44d84f1459a35?s=256&d=identicon&r=PG', 'display_name': 'zalanshah64', 'link': 'https://stackoverflow.com/users/19404943/zalanshah64'}",False,61,1,1,1667894037,1656048320,72739338,CC BY-SA 4.0,https://stackoverflow.com/questions/72739338/temporarily-clear-linux-terminal-while-program-is-running-in-c,Temporarily clear Linux terminal while program is running in C++,,,,
7,"['c++', 'arduino', 'raspberry-pi-pico']","{'account_id': 22947669, 'reputation': 39, 'user_id': 17079418, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fffdfb168412509dfa0efa68f7503e76?s=256&d=identicon&r=PG', 'display_name': 'Tryingtogetsome', 'link': 'https://stackoverflow.com/users/17079418/tryingtogetsome'}",True,237,1,2,1667580909,1655053929,72594333,CC BY-SA 4.0,https://stackoverflow.com/questions/72594333/arduino-rp2040-pico-unique-id,Arduino RP2040 Pico Unique ID,,74320491.0,,
8,"['c++', 'visual-studio-code', 'vector', 'g++']","{'account_id': 19543282, 'reputation': 613, 'user_id': 14300637, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6Mtgs.jpg?s=256&g=1', 'display_name': 'TKirishima', 'link': 'https://stackoverflow.com/users/14300637/tkirishima'}",True,169,2,0,1667142581,1656027195,72737601,CC BY-SA 4.0,https://stackoverflow.com/questions/72737601/nothing-execute-when-using-vector-in-c-with-vscode,Nothing execute when using Vector in C++ with VSCode,1656483177.0,72737660.0,,
9,"['c++', 'clang-format']","{'account_id': 15709087, 'reputation': 2550, 'user_id': 11335032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d8a2395b2fa45d4aa621f4e6f500ede7?s=256&d=identicon&r=PG&f=1', 'display_name': 'maxbachmann', 'link': 'https://stackoverflow.com/users/11335032/maxbachmann'}",False,29,1,4,1667136102,1655903677,72716217,CC BY-SA 4.0,https://stackoverflow.com/questions/72716217/disable-spaces-in-single-line-function-in-clang-format,disable spaces in single line function in clang-format,,,,
