,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['c++', 'c++20', 'c++-coroutine']","{'account_id': 380209, 'reputation': 429411, 'user_id': 734069, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/a356923f858fbe363dad1dc566837fc6?s=256&d=identicon&r=PG', 'display_name': 'Nicol Bolas', 'link': 'https://stackoverflow.com/users/734069/nicol-bolas'}",False,176,1,0,1668367625,1652205522,72191029,CC BY-SA 4.0,https://stackoverflow.com/questions/72191029/the-state-of-a-coroutine-after-final-suspend,The state of a coroutine after final-suspend,,,,,
1,"['c++', 'inline', 'static-variables', 'initialization-order', 'inline-variable']","{'account_id': 4751101, 'reputation': 728, 'user_id': 5336393, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/64fe8c36b426c5c7bbb4cb09f71fdd42?s=256&d=identicon&r=PG&f=1', 'display_name': 'tchatow', 'link': 'https://stackoverflow.com/users/5336393/tchatow'}",True,273,1,9,1668304228,1652865952,72286507,CC BY-SA 4.0,https://stackoverflow.com/questions/72286507/static-initialization-order-of-inline-variables-in-single-tu,Static initialization order of inline variables in single TU,1653025953.0,,,,
2,"['c++', 'palindrome']","{'account_id': 20957256, 'reputation': 5, 'user_id': 15397428, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhxJhlTiCl0eqyR5BJNN_Mqw0nx1LI4QoGgTEVZWw=k-s256', 'display_name': 'Anmol Garg', 'link': 'https://stackoverflow.com/users/15397428/anmol-garg'}",False,127,1,-2,1668269025,1652534196,72240575,CC BY-SA 4.0,https://stackoverflow.com/questions/72240575/leetcode-q9-palindrome-number-same-code-works-in-java-but-not-in-c,Leetcode Q9 Palindrome Number same code works in Java but not in C++,1668269025.0,,,,
3,['c++'],"{'account_id': 14052735, 'reputation': 1, 'user_id': 10150994, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-sg4vkqETJCU/AAAAAAAAAAI/AAAAAAAAH6M/y0cGhf5Qyto/photo.jpg?sz=256', 'display_name': 'Ayush Bali', 'link': 'https://stackoverflow.com/users/10150994/ayush-bali'}",True,612,3,0,1667985103,1651575276,72098376,CC BY-SA 4.0,https://stackoverflow.com/questions/72098376/i-wrote-a-program-to-convert-a-negative-number-to-binary-is-this-code-correct,"I wrote a program to convert a negative number to binary, is this code correct?",,,,,
4,"['c++', 'linear-algebra', 'eigen', 'rcppeigen']","{'account_id': 1541781, 'reputation': 3397, 'user_id': 1436247, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/uGDkL.jpg?s=256&g=1', 'display_name': 'zdebruine', 'link': 'https://stackoverflow.com/users/1436247/zdebruine'}",True,316,2,6,1667847511,1651586016,72100483,CC BY-SA 4.0,https://stackoverflow.com/questions/72100483/matrix-multiplication-of-an-eigen-matrix-for-a-subset-of-columns,Matrix multiplication of an Eigen Matrix for a subset of columns,1652201706.0,72193004.0,,,
5,"['c++', 'linker', 'g++', 'macos-sierra', 'dylib']","{'account_id': 28812, 'reputation': 4156, 'user_id': 77265, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/c5e2cafad90940217f650762d555ad8d?s=256&d=identicon&r=PG', 'display_name': 'Hahnemann', 'link': 'https://stackoverflow.com/users/77265/hahnemann'}",True,73,1,0,1667773049,1651612434,72105527,CC BY-SA 4.0,https://stackoverflow.com/questions/72105527/linking-c-code-to-a-dylib-library-in-macos,Linking C++ code to a DYLIB library in macOS,1667772864.0,72132277.0,,,
6,"['c++', 'cmake', 'assimp']","{'account_id': 1534251, 'reputation': 6122, 'user_id': 1430705, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/9506189ea17aabbf0e847fe365e8054f?s=256&d=identicon&r=PG', 'display_name': 'Karlovsky120', 'link': 'https://stackoverflow.com/users/1430705/karlovsky120'}",False,168,1,1,1667749217,1651608130,72104857,CC BY-SA 4.0,https://stackoverflow.com/questions/72104857/using-assimp-makes-compilations-30-times-slower,Using assimp makes compilations 30 times slower,,,,,
7,['c++'],"{'account_id': 6872311, 'reputation': 3174, 'user_id': 5282154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a468ae12f72b587ad0c4e89ffde11839?s=256&d=identicon&r=PG', 'display_name': 'doug', 'link': 'https://stackoverflow.com/users/5282154/doug'}",True,235,3,4,1667487299,1652149478,72180086,CC BY-SA 4.0,https://stackoverflow.com/questions/72180086/can-contents-of-a-const-vector-be-modified-w-o-ub,Can contents of a `const vector` be modified w/o UB?,1652210048.0,,,,
8,"['c++', 'opencv', 'memory-leaks']","{'account_id': 14579104, 'reputation': 55, 'user_id': 10530156, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/920344724834211/picture?type=large', 'display_name': 'Priyanshu', 'link': 'https://stackoverflow.com/users/10530156/priyanshu'}",True,593,2,-1,1667026423,1653366549,72357225,CC BY-SA 4.0,https://stackoverflow.com/questions/72357225/opencv-c-memory-leak-issue,OpenCV C++ memory leak issue,1653367931.0,72357290.0,,,
9,"['c++', 'postgresql', 'qt']","{'account_id': 22819224, 'reputation': 3, 'user_id': 16969362, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/017daa88daa44af0b1a0b08bd9cff6ed?s=256&d=identicon&r=PG', 'display_name': 'thaidy_04', 'link': 'https://stackoverflow.com/users/16969362/thaidy-04'}",False,68,0,0,1666908378,1653162439,72332760,CC BY-SA 4.0,https://stackoverflow.com/questions/72332760/why-qdebug-returns-failed-when-i-try-to-connected-the-postgresql-database,Why qDebug() returns &quot;failed&quot; when I try to connected the PostgreSql Database,1666908378.0,,,,
10,"['c++', 'visual-c++', 'cmake', 'qt-creator', 'or-tools']","{'account_id': 2347076, 'reputation': 19681, 'user_id': 2057033, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/868c67cd2d96685d2ec0a8bd472a2f69?s=256&d=identicon&r=PG', 'display_name': 'Blackhole', 'link': 'https://stackoverflow.com/users/2057033/blackhole'}",True,128,2,1,1666900974,1652636355,72250704,CC BY-SA 4.0,https://stackoverflow.com/questions/72250704/cant-build-or-tools-fetched-with-fetchcontent-with-msvc-in-qt-creator,Can&#39;t build OR-Tools (fetched with FetchContent) with MSVC in Qt Creator,1652733974.0,,,,
11,"['c++', 'qt', 'qml', 'treeview']","{'account_id': 21101243, 'reputation': 11, 'user_id': 15511097, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbc639e6f9d3d7dab9ed46b13246413f?s=256&d=identicon&r=PG&f=1', 'display_name': 'jevon', 'link': 'https://stackoverflow.com/users/15511097/jevon'}",False,78,0,1,1666845210,1651511235,72090012,CC BY-SA 4.0,https://stackoverflow.com/questions/72090012/qml-treeview-with-qfilesystemmodel-cannot-set-root-folder,QML Treeview with QFileSystemModel: cannot set root folder,,,,,
12,"['c++', 'cmake', 'makefile', 'jsoncpp']","{'account_id': 18577227, 'reputation': 359, 'user_id': 13537583, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-5JycoFf5mu0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4uvxu_G_ZCDqxHWZrPw1Vu6a3Ng/photo.jpg?sz=256', 'display_name': 'Joao Donasolo', 'link': 'https://stackoverflow.com/users/13537583/joao-donasolo'}",True,142,1,0,1666833312,1653966006,72441818,CC BY-SA 4.0,https://stackoverflow.com/questions/72441818/cmake-cannot-link-executable-ljsoncpp-no-such-file-using-github-submodules,CMake cannot link executable -ljsoncpp: no such file using github submodules,1666833312.0,72442751.0,,,
13,"['c++', 'multithreading', 'gdb']","{'account_id': 239814, 'reputation': 874, 'user_id': 509665, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aa32d53dfcffd4589da949d822aa0f93?s=256&d=identicon&r=PG', 'display_name': 'Wilco', 'link': 'https://stackoverflow.com/users/509665/wilco'}",False,172,1,2,1666808943,1652869785,72287460,CC BY-SA 4.0,https://stackoverflow.com/questions/72287460/c-gdb-breakpooint-in-second-thread-causing-core-dump,C++ gdb breakpooint in second thread causing core dump,,,,,
14,"['c++', 'zlib', 'clang++', 'ubuntu-20.04', 'address-sanitizer']","{'account_id': 19651658, 'reputation': 161, 'user_id': 14385310, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/77a09bf1f6d866d306fd1eda309c1c50?s=256&d=identicon&r=PG', 'display_name': 'SuperNoob', 'link': 'https://stackoverflow.com/users/14385310/supernoob'}",True,258,1,1,1666763349,1652447638,72230186,CC BY-SA 4.0,https://stackoverflow.com/questions/72230186/clang-14-warning-cannot-compress-debug-sections-zlib-not-installed-wdebug,clang-14: warning: cannot compress debug sections (zlib not installed) [-Wdebug-compression-unavailable] while using address sanitizer,1652448084.0,74203195.0,,,
15,"['c++', 'networking', 'server', 'tcp', 'winsock']","{'account_id': 18210364, 'reputation': 1069, 'user_id': 13253010, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ReyOE.gif?s=256&g=1', 'display_name': 'thedemons', 'link': 'https://stackoverflow.com/users/13253010/thedemons'}",True,140,1,2,1666571689,1653676111,72409685,CC BY-SA 4.0,https://stackoverflow.com/questions/72409685/wsapoll-vs-overlapped-wsarecv-performance,WSAPoll vs Overlapped WSARecv Performance?,1666571689.0,72420618.0,,,
