,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,locked_date
0,"['c++', 'installation', 'compiler-errors', 'mingw', 'msys2']","{'account_id': 24482656, 'reputation': 31, 'user_id': 18400816, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1QaTT.jpg?s=256&g=1', 'display_name': 'Virat Srivastava', 'link': 'https://stackoverflow.com/users/18400816/virat-srivastava'}",True,3075,3,3,1668979524,1650089104,71891509,CC BY-SA 4.0,https://stackoverflow.com/questions/71891509/mingw-pacman-sys-unable-to-lock-database,MinGW pacman -Sys Unable to lock database,,,,,,
1,"['c++', 'pointers', 'language-lawyer', 'void-pointers', 'pointer-conversion']","{'account_id': 16608944, 'reputation': 30035, 'user_id': 12002570, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d6a482d9642ec6f3eccf3162640003ab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jason Liam', 'link': 'https://stackoverflow.com/users/12002570/jason-liam'}",True,6815,10,51,1668751877,1649932527,71870205,CC BY-SA 4.0,https://stackoverflow.com/questions/71870205/do-all-pointers-have-the-same-size-in-c,Do all pointers have the same size in C++?,1661049174.0,,,,,
2,"['java', 'android', 'c++', 'adb']","{'account_id': 19052022, 'reputation': 1, 'user_id': 13909976, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/isv9S.png?s=256&g=1', 'display_name': 'Lty', 'link': 'https://stackoverflow.com/users/13909976/lty'}",False,206,2,0,1668676943,1649385208,71791045,CC BY-SA 4.0,https://stackoverflow.com/questions/71791045/why-app-process-run-java-method-get-killed-after-call-jni,why app_process run java method get killed after call JNI,1649386748.0,,,,,
3,"['c++', 'design-patterns']","{'account_id': 480174, 'reputation': 11827, 'user_id': 893254, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/e4417c43fd253cd5b52e2dd709e34b44?s=256&d=identicon&r=PG&f=1', 'display_name': 'FreelanceConsultant', 'link': 'https://stackoverflow.com/users/893254/freelanceconsultant'}",False,130,4,1,1668495189,1650665252,71975139,CC BY-SA 4.0,https://stackoverflow.com/questions/71975139/c-reversing-the-operation-of-type-erasure,C++ Reversing the operation of type erasure,,,,,,
4,"['c++', 'curl', 'xml-rpc', 'xmlrpcclient']","{'account_id': 8828121, 'reputation': 1845, 'user_id': 6595663, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c1f203ae549c956239af1fcc315da1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'BhanuKiran', 'link': 'https://stackoverflow.com/users/6595663/bhanukiran'}",True,83,1,0,1668421104,1649149060,71748860,CC BY-SA 4.0,https://stackoverflow.com/questions/71748860/make-a-curl-request-for-xml-rpc-c-server,Make a curl request for xml_rpc c++ server,,71749245.0,,,,
5,"['c++', 'macos', 'cmake', 'makefile', 'gnu-make']","{'account_id': 6576696, 'reputation': 5019, 'user_id': 5082463, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/877843e34372342a80c73f38ee79ad60?s=256&d=identicon&r=PG&f=1', 'display_name': 'KcFnMi', 'link': 'https://stackoverflow.com/users/5082463/kcfnmi'}",True,685,3,0,1668307598,1648962516,71723171,CC BY-SA 4.0,https://stackoverflow.com/questions/71723171/cmake-build-vs-make-what-the-difference,"cmake --build vs make, what the difference?",1648963210.0,,,,,
6,"['c++', 'visual-studio', 'visual-c++', 'cmake', 'eigen']","{'account_id': 14898023, 'reputation': 57, 'user_id': 10757677, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-wvzqkhTDCew/AAAAAAAAAAI/AAAAAAAAU_Q/nJ_0w0uAvx8/photo.jpg?sz=256', 'display_name': 'Stephen Koplin', 'link': 'https://stackoverflow.com/users/10757677/stephen-koplin'}",False,627,0,1,1668133255,1649962689,71876437,CC BY-SA 4.0,https://stackoverflow.com/questions/71876437/cmake-error-compiler-does-not-support-c11-when-configuring-eigen-with-visual,CMake Error: Compiler does not support C++11 when configuring Eigen with Visual Studio 17,1668133255.0,,,,,
7,"['c++', 'boost', 'cmake', 'system', 'clang-tidy']","{'account_id': 79407, 'reputation': 12813, 'user_id': 225186, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/dbc60362bf2df08202ff198e00085a5c?s=256&d=identicon&r=PG', 'display_name': 'alfC', 'link': 'https://stackoverflow.com/users/225186/alfc'}",True,428,2,3,1668030063,1649584217,71815447,CC BY-SA 4.0,https://stackoverflow.com/questions/71815447/prevent-clang-tidy-to-report-warnings-on-boost-test-headers,Prevent clang tidy to report warnings on Boost Test headers,1668030063.0,,,,,
8,"['c++', 'visual-c++', 'mfc']","{'account_id': 13225579, 'reputation': 77, 'user_id': 9550759, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4cb5fbe5357894ad3af60fac0ae6874c?s=256&d=identicon&r=PG&f=1', 'display_name': 'dev guy', 'link': 'https://stackoverflow.com/users/9550759/dev-guy'}",True,74,1,0,1668015995,1651048894,72025775,CC BY-SA 4.0,https://stackoverflow.com/questions/72025775/how-to-remove-hardcoded-value-for-t-in-c,How to remove hardcoded value for _T() in C++,,,,,,
9,"['c++', 'boost', 'boost-geometry']","{'account_id': 2247232, 'reputation': 2194, 'user_id': 2601293, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/43WA3.jpg?s=256&g=1', 'display_name': 'J&#39;e', 'link': 'https://stackoverflow.com/users/2601293/je'}",False,228,1,0,1668006172,1649258237,71769392,CC BY-SA 4.0,https://stackoverflow.com/questions/71769392/when-using-boostgeometry-to-calculate-the-area-of-a-polygon-what-are-the-unit,"When using Boost::Geometry to calculate the area of a Polygon, what are the units in?",1668006172.0,,,,,
