,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,['c++'],"{'account_id': 22838802, 'reputation': 45, 'user_id': 16986175, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/307d3ebbe21252343d42f0e3fe935a2e?s=256&d=identicon&r=PG', 'display_name': 'Gvidas28', 'link': 'https://stackoverflow.com/users/16986175/gvidas28'}",False,454,4,-2,1668623016,1632943083,69382260,CC BY-SA 4.0,https://stackoverflow.com/questions/69382260/how-to-take-a-doubles-fraction-part-and-turn-it-into-an-integer-c,how to take a double&#39;s fraction part and turn it into an integer? (c++),,,,,,
1,['c++'],"{'account_id': 1149452, 'reputation': 64009, 'user_id': 1131467, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/6115f0a575cf85c444663504d5f1b3c3?s=256&d=identicon&r=PG', 'display_name': 'Andrew Tomazos', 'link': 'https://stackoverflow.com/users/1131467/andrew-tomazos'}",True,240,3,2,1668622172,1632283725,69278080,CC BY-SA 4.0,https://stackoverflow.com/questions/69278080/default-arguments-vs-overloading,Default Arguments vs Overloading?,1632286798.0,,,,,
2,"['c++', 'qt', 'qml']","{'account_id': 12732268, 'reputation': 2582, 'user_id': 9248466, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/--qmgxz1R4Qc/AAAAAAAAAAI/AAAAAAAAAAc/SNdLtaojonM/photo.jpg?sz=256', 'display_name': 'Ghasem Ramezani', 'link': 'https://stackoverflow.com/users/9248466/ghasem-ramezani'}",True,214,1,1,1668346416,1632077468,69246212,CC BY-SA 4.0,https://stackoverflow.com/questions/69246212/how-to-pass-component-pointer-from-qml-to-c,How To Pass Component Pointer From QML To C++?,1668346416.0,69247123.0,,,,
3,"['c++', 'comparator']","{'account_id': 22840118, 'reputation': 11, 'user_id': 16987279, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc39aec3f77c7c8bb690b57160e800d0?s=256&d=identicon&r=PG', 'display_name': 'migo101', 'link': 'https://stackoverflow.com/users/16987279/migo101'}",True,770,3,0,1668339424,1632420985,69305080,CC BY-SA 4.0,https://stackoverflow.com/questions/69305080/how-to-alternate-sort-between-even-and-odds-ascendingly-in-c,How to alternate sort between even and odds ascendingly in C++?,,69305478.0,,,,
4,"['c++', 'sockets', 'http']","{'account_id': 21098335, 'reputation': 19, 'user_id': 15508797, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6908bc10cd910369e95d52a7875fb32a?s=256&d=identicon&r=PG&f=1', 'display_name': 'user2912091902102109', 'link': 'https://stackoverflow.com/users/15508797/user2912091902102109'}",True,331,1,-1,1668207186,1630437435,69004250,CC BY-SA 4.0,https://stackoverflow.com/questions/69004250/c-socket-http-request,C++ Socket HTTP Request,1668207186.0,,,,,
5,"['c++', 'c++17', 'googletest']","{'account_id': 22611893, 'reputation': 69, 'user_id': 16791922, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3083599068536946/picture?type=large', 'display_name': 'Justin Philip Fulkerson', 'link': 'https://stackoverflow.com/users/16791922/justin-philip-fulkerson'}",True,1705,1,4,1667882445,1631224850,69125133,CC BY-SA 4.0,https://stackoverflow.com/questions/69125133/google-test-unkown-file-failure,Google Test: Unkown File Failure,1667882445.0,,,,,
6,"['c++', 'cmake', 'protocol-buffers', 'proto']","{'account_id': 64075, 'reputation': 693, 'user_id': 189341, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/6659c9fead0b5740dd21ee40b0f6b449?s=256&d=identicon&r=PG', 'display_name': 'Kevin', 'link': 'https://stackoverflow.com/users/189341/kevin'}",False,360,0,2,1667550464,1632442308,69308150,CC BY-SA 4.0,https://stackoverflow.com/questions/69308150/cmake-correct-way-to-generate-from-multiple-proto-files-in-different-directorie,cmake: correct way to generate from multiple proto files in different directories with import statements?,,,,,,
7,"['c++', 'pragma']","{'account_id': 22550574, 'reputation': 458, 'user_id': 16739739, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyF0zRZHkwHbknUW6bPnYkD-rrkh97f1dRTewTV=k-s256', 'display_name': 'mouse_00', 'link': 'https://stackoverflow.com/users/16739739/mouse-00'}",True,744,1,1,1667463391,1632136887,69253581,CC BY-SA 4.0,https://stackoverflow.com/questions/69253581/using-pragma-once-in-cpp-file,Using pragma once in .cpp file,,69253641.0,,,,
8,"['c++', 'math']","{'account_id': 19049559, 'reputation': 187, 'user_id': 13908029, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjd2F-yRdaUbGTRkSIWALt5ARH8ITl4IWf4PpiKbA=k-s256', 'display_name': 'Aravinda KS', 'link': 'https://stackoverflow.com/users/13908029/aravinda-ks'}",False,402,3,-1,1667250576,1632278848,69277571,CC BY-SA 4.0,https://stackoverflow.com/questions/69277571/how-to-get-second-half-of-a-number,How to get second half of a number?,,,,,,
9,['c++'],"{'account_id': 22697303, 'reputation': 150, 'user_id': 16865225, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5bc81aff6a32cb6f8d68b8ce816ba7ae?s=256&d=identicon&r=PG&f=1', 'display_name': 'Avva', 'link': 'https://stackoverflow.com/users/16865225/avva'}",True,323,2,0,1667116081,1632176697,69261457,CC BY-SA 4.0,https://stackoverflow.com/questions/69261457/why-is-it-not-allowed-to-have-default-arguments-on-function-declaration-and-defi,Why is it not allowed to have default arguments on function declaration and definition?,,,,,,
