,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,question_id,link,closed_reason,title,bounty_amount,bounty_closes_date,last_edit_date,content_license,accepted_answer_id
0,"['c#', '.net-core', 'dapr']","{'account_id': 266003, 'reputation': 284, 'user_id': 553333, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://www.gravatar.com/avatar/3d4dc8855644d985b1d8c4997f718405?s=256&d=identicon&r=PG', 'display_name': 'Venkatesh', 'link': 'https://stackoverflow.com/users/553333/venkatesh'}",False,81,1669529481.0,1,-3,1669517714,1659665425,73243949,https://stackoverflow.com/questions/73243949/unable-to-use-dapr-to-persist-and-retrieve-from-state-store-in-kubernetes-job,Not suitable for this site,Unable to use Dapr to persist and retrieve from state store in Kubernetes Job,,,,,
1,"['c#', 'visual-studio', 'arm', 'vsto', 'office-addins']","{'account_id': 3246, 'reputation': 181819, 'user_id': 4653, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/a525b89ed2980a2bbc41e1f23dc350cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'leora', 'link': 'https://stackoverflow.com/users/4653/leora'}",True,146,,1,3,1669470422,1661172535,73445396,https://stackoverflow.com/questions/73445396/can-you-build-a-vsto-excel-solution-in-the-latest-visual-studio-on-arm,,Can you build a VSTO Excel solution in the latest Visual Studio on ARM?,500.0,1670075222.0,1662126148.0,CC BY-SA 4.0,
2,"['c#', 'unity3d', 'playfab']","{'account_id': 9085371, 'reputation': 81, 'user_id': 6763592, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PgIg1.png?s=256&g=1', 'display_name': 'Davi', 'link': 'https://stackoverflow.com/users/6763592/davi'}",True,209,,2,2,1669395673,1660788504,73396682,https://stackoverflow.com/questions/73396682/error-on-pass-two-values-in-return-unity-c-cs8210-a-tuple-may-not-contain-a-va,,Error on pass two values in return Unity C# CS8210: A tuple may not contain a value of type &#39;void&#39;,,,1661029802.0,CC BY-SA 4.0,73430401.0
3,"['c#', 'asp.net-mvc', 'azure', 'azure-active-directory']","{'account_id': 26081819, 'reputation': 1, 'user_id': 19779820, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/35d08c8b6c8205a6cc75ab8c76527902?s=256&d=identicon&r=PG', 'display_name': 'Samie', 'link': 'https://stackoverflow.com/users/19779820/samie'}",False,52,,0,0,1669256894,1660840161,73406562,https://stackoverflow.com/questions/73406562/idx10501-signature-validation-failed-unable-to-match-key-kid,,IDX10501: Signature validation failed. Unable to match key: kid:,,,1669256894.0,CC BY-SA 4.0,
4,"['c#', 'recursion', 'interface', 'c#-11.0', '.net-generic-math']","{'account_id': 23035963, 'reputation': 37, 'user_id': 17154728, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyZi4MhEbXYAPlJqJ8_3z4uY6QsOrWSBt92soTR=k-s256', 'display_name': 'Marcin', 'link': 'https://stackoverflow.com/users/17154728/marcin'}",True,181,,1,-1,1669211815,1660855155,73409170,https://stackoverflow.com/questions/73409170/why-does-iparseablet-need-to-be-recursive,,Why does IParseable&lt;T&gt; need to be recursive?,,,1669211748.0,CC BY-SA 4.0,
5,"['c#', 'amazon-s3', 'amazon-athena', 'aws-sdk-net']","{'account_id': 5666231, 'reputation': 614, 'user_id': 4482337, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/EHvZl.png?s=256&g=1', 'display_name': 'Andre', 'link': 'https://stackoverflow.com/users/4482337/andre'}",False,110,,1,2,1669208284,1660757167,73392628,https://stackoverflow.com/questions/73392628/aws-athena-sdk-with-c-how-run-ddl-instructions,,"AWS Athena SDK with C#, how run DDL instructions?",,,,CC BY-SA 4.0,
6,"['c#', '.net', 'windows', 'xamarin', 'maui']","{'account_id': 8004665, 'reputation': 21, 'user_id': 6038303, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-7d03OU7SdNc/AAAAAAAAAAI/AAAAAAAAiXA/rBPM0wpPnrA/photo.jpg?sz=256', 'display_name': 'Filip Wtterwulghe', 'link': 'https://stackoverflow.com/users/6038303/filip-wtterwulghe'}",False,335,,1,1,1669164890,1659943837,73274259,https://stackoverflow.com/questions/73274259/maui-openapppackagefileasync-does-not-want-to-open-my-files-on-windows-11,,MAUI: OpenAppPackageFileAsync does not want to open my files on windows 11,,,,CC BY-SA 4.0,
7,"['c#', 'asp.net-core', 'asp.net-web-api', 'fluentvalidation']","{'account_id': 12399732, 'reputation': 747, 'user_id': 9037515, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/af49acecd5e2eb23f74bae2cf511113f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ayobamilaye', 'link': 'https://stackoverflow.com/users/9037515/ayobamilaye'}",True,1883,,4,1,1669110902,1660821114,73402059,https://stackoverflow.com/questions/73402059/asp-net-core-web-api-fluentvalidationmvcextensions-addfluentvalidationimvcbui,,"ASP.NET Core Web API - FluentValidationMvcExtensions.AddFluentValidation(IMvcBuilder, Action&lt;FluentValidationMvcConfiguration&gt;)&#39; is obsolete",,,,CC BY-SA 4.0,73402360.0
8,"['c#', 'performance', 'asp.net-core', 'asp.net-core-mvc', 'visual-studio-2022']","{'account_id': 25526494, 'reputation': 21, 'user_id': 19315477, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/00420568230a756f1bbdb65a0e451f7b?s=256&d=identicon&r=PG', 'display_name': 'donStroller', 'link': 'https://stackoverflow.com/users/19315477/donstroller'}",False,506,,0,2,1669110044,1659602211,73232789,https://stackoverflow.com/questions/73232789/visual-studio-2022-asp-net-core-6-mvc-slow-page-loading,,Visual Studio 2022 / ASP.NET Core 6 MVC : slow page loading,,,1659605318.0,CC BY-SA 4.0,
9,"['c#', 'maui', '.net-maui', 'maui-windows']","{'account_id': 11691736, 'reputation': 13, 'user_id': 8559822, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-N6BzBNOSSj8/AAAAAAAAAAI/AAAAAAAAAH0/tKHoqVxkdwo/photo.jpg?sz=256', 'display_name': 'Gregor Bučar', 'link': 'https://stackoverflow.com/users/8559822/gregor-bu%c4%8dar'}",True,172,,1,1,1669108073,1661802478,73533963,https://stackoverflow.com/questions/73533963/net-maui-custom-searchhandler-not-applying-itemtemplate,,.NET MAUI Custom SearchHandler not applying ItemTemplate,,,,CC BY-SA 4.0,74530008.0
