,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,locked_date
0,"['c#', 'kubernetes', '.net-core']","{'account_id': 3660385, 'reputation': 64, 'user_id': 3050374, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3050374', 'link': 'https://stackoverflow.com/users/3050374/user3050374'}",True,793,2,1,1668984566,1596456643,63229166,CC BY-SA 4.0,https://stackoverflow.com/questions/63229166/how-to-deploy-kubernetes-yaml-using-c,How to Deploy Kubernetes yaml using C#,,,,,
1,"['c#', 'asp.net', 'visual-studio', 'visual-studio-2019', 'publish']","{'account_id': 6437313, 'reputation': 157, 'user_id': 4988390, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a7d047dace1ca780b4100cb51e409ea4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Krish', 'link': 'https://stackoverflow.com/users/4988390/krish'}",True,8253,3,2,1668864215,1596908993,63318551,CC BY-SA 4.0,https://stackoverflow.com/questions/63318551/asp-net-web-application-fail-to-publish-in-visual-studio-2019,ASP.NET web application fail to publish in Visual Studio 2019,1618598074.0,,,,
2,"['c#', 'blazor']","{'account_id': 7413216, 'reputation': 1032, 'user_id': 5639935, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XxGhZ.png?s=256&g=1', 'display_name': 'The Sharp Ninja', 'link': 'https://stackoverflow.com/users/5639935/the-sharp-ninja'}",True,224,1,0,1668699351,1598392240,63587602,CC BY-SA 4.0,https://stackoverflow.com/questions/63587602/blazor-get-actioncontext,Blazor: Get `ActionContext`,1598402500.0,,,,
3,"['c#', 'asp.net-core', '.net-core', 'code-generation', 'asp.net-core-scaffolding']","{'account_id': 1592638, 'reputation': 1405, 'user_id': 1475630, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/043e9bec14fc83700d69526b3ef26b00?s=256&d=identicon&r=PG', 'display_name': 'cezarlamann', 'link': 'https://stackoverflow.com/users/1475630/cezarlamann'}",True,6862,3,4,1668698117,1597605005,63440962,CC BY-SA 4.0,https://stackoverflow.com/questions/63440962/microsoft-visualstudio-web-codegeneration-design-not-being-found-by-the-dotnet-a,Microsoft.VisualStudio.Web.CodeGeneration.Design not being found by the dotnet aspnet-codegenerator tool,1598539845.0,66178244.0,,,
4,"['c#', 'postgresql', 'enums', 'npgsql']","{'account_id': 2529158, 'reputation': 164, 'user_id': 2197813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c3d7b20bf7d9abd68ee847ade29ceae?s=256&d=identicon&r=PG&f=1', 'display_name': 'rosepalette', 'link': 'https://stackoverflow.com/users/2197813/rosepalette'}",True,6611,3,3,1668424282,1598417964,63590759,CC BY-SA 4.0,https://stackoverflow.com/questions/63590759/c-enum-to-postgres-enum,C# enum to postgres enum,1598421959.0,,,,
5,"['c#', 'asp.net-core', 'asp.net-identity', 'identityserver4', 'appauth']","{'account_id': 79899, 'reputation': 1883, 'user_id': 226256, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/d64a48d9e6c1a5f80ea85a5ffd930836?s=256&d=identicon&r=PG', 'display_name': 'Yehia A.Salam', 'link': 'https://stackoverflow.com/users/226256/yehia-a-salam'}",False,7932,3,4,1668226186,1597013166,63332069,CC BY-SA 4.0,https://stackoverflow.com/questions/63332069/invalid-redirect-uri-identityserver4-and-appauth,Invalid redirect_uri IdentityServer4 and AppAuth,1597077635.0,,,,
6,"['c#', 'lattice', 'digital-filter']","{'account_id': 18483828, 'reputation': 11, 'user_id': 13465286, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/abd9afcafaf97636a413aa255d6900db?s=256&d=identicon&r=PG&f=1', 'display_name': 'gb008', 'link': 'https://stackoverflow.com/users/13465286/gb008'}",False,73,1,1,1668160774,1597737268,63464167,CC BY-SA 4.0,https://stackoverflow.com/questions/63464167/lattice-filter-reflection-and-ladder-coefficient,Lattice filter Reflection and Ladder coefficient,1597741782.0,,,,
7,"['c#', 'asp.net-core', 'razor']","{'account_id': 184870, 'reputation': 110368, 'user_id': 421195, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/9a9793fdeb3b94e185c8c99c0238372f?s=256&d=identicon&r=PG', 'display_name': 'paulsm4', 'link': 'https://stackoverflow.com/users/421195/paulsm4'}",True,1297,1,0,1668028218,1596828866,63308171,CC BY-SA 4.0,https://stackoverflow.com/questions/63308171/asp-net-core-3-how-do-i-make-an-html-dropdownlistfor-read-only-with-a-defaul,ASP.Net Core 3: How do I make an @Html.DropDownListFor &quot;read-only&quot; with a default value?,,63309899.0,,,
8,"['c#', 'unity3d']","{'account_id': 15965301, 'reputation': 1050, 'user_id': 11521157, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zBc4Y.png?s=256&g=1', 'display_name': 'CodingChap', 'link': 'https://stackoverflow.com/users/11521157/codingchap'}",True,21940,2,-2,1667648680,1597273753,63385840,CC BY-SA 4.0,https://stackoverflow.com/questions/63385840/how-do-i-create-a-list-in-unity,How Do I Create A List In Unity?,1597278711.0,,,,
9,"['c#', 'xml-parsing', 'json.net', 'xml-serialization', 'json-deserialization']","{'account_id': 10095528, 'reputation': 31, 'user_id': 7461027, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e1f82ca9b27dafa2ebbb051d5350155a?s=256&d=identicon&r=PG&f=1', 'display_name': 'user7461027', 'link': 'https://stackoverflow.com/users/7461027/user7461027'}",False,981,3,2,1667505849,1597402874,63411504,CC BY-SA 4.0,https://stackoverflow.com/questions/63411504/deserialize-an-array-inside-a-json-object-using-jsonconvert-deserializeobject,Deserialize an array inside a json object using JsonConvert.DeserializeObject(),1667505849.0,,,,
