,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,migrated_from
0,"['c#', 'active-directory', 'alias', 'domain-name']","{'account_id': 409509, 'reputation': 5750, 'user_id': 780798, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/Z2xY6.jpg?s=256&g=1', 'display_name': 'stukselbax', 'link': 'https://stackoverflow.com/users/780798/stukselbax'}",True,5013,1468392222.0,13814584.0,2,6,1669396116,1355205103,1355210243.0,13814423,CC BY-SA 3.0,https://stackoverflow.com/questions/13814423/how-to-get-domain-alias-using-system-directoryservices-activedirectory-domain-cl,How to get domain alias using System.DirectoryServices.ActiveDirectory.Domain class,,,,
1,"['c#', 'oop', 'overriding', 'virtual']","{'account_id': 1752575, 'reputation': 10249, 'user_id': 1601336, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/8fe638514ed00ac7d5c00e718bab72b1?s=256&d=identicon&r=PG', 'display_name': 'Victor Mukherjee', 'link': 'https://stackoverflow.com/users/1601336/victor-mukherjee'}",True,4438,,13856913.0,5,13,1669279289,1355391243,1621543957.0,13856879,CC BY-SA 4.0,https://stackoverflow.com/questions/13856879/virtual-keyword-in-c,virtual keyword in c#,,,,
2,"['c#', 'windows-installer']","{'account_id': 18937, 'reputation': 2513, 'user_id': 43886, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/63cf6a7e8dfbb2c12f8e7ed8fd9c13be?s=256&d=identicon&r=PG', 'display_name': 'Devashri B.', 'link': 'https://stackoverflow.com/users/43886/devashri-b'}",True,21337,,,5,12,1669220066,1355913343,1669220066.0,13950420,CC BY-SA 4.0,https://stackoverflow.com/questions/13950420/how-to-read-msi-properties-in-c,How to read MSI properties in c#,,,,
3,"['c#', 'console-application']","{'account_id': 1869104, 'reputation': 497, 'user_id': 1691819, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/e6b79c586a3210d4a16f085306b09aab?s=256&d=identicon&r=PG', 'display_name': 'Himanshu', 'link': 'https://stackoverflow.com/users/1691819/himanshu'}",True,17577,,13656941.0,6,35,1669126047,1354341088,1669126047.0,13656846,CC BY-SA 4.0,https://stackoverflow.com/questions/13656846/how-to-programmatic-disable-c-console-applications-quick-edit-mode,How to programmatic disable C# Console Application&#39;s Quick Edit mode?,,,,
4,"['c#', '.net', 'linq', 'collections', 'dictionary']","{'account_id': 102274, 'reputation': 62027, 'user_id': 274627, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f84eb4d8ec7ec9a694d18ca9e54db3f0?s=256&d=identicon&r=PG', 'display_name': 'Ivan', 'link': 'https://stackoverflow.com/users/274627/ivan'}",True,3284,,,6,42,1669018392,1355910651,,13949596,CC BY-SA 3.0,https://stackoverflow.com/questions/13949596/how-to-write-a-linq-query-resulting-in-a-dictionary,How to write a LINQ query resulting in a Dictionary?,,,,
5,"['c#', 'xaml', 'uwp']","{'account_id': 2165944, 'reputation': 31, 'user_id': 1919060, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc8cf70d7dff177e037b85a0aa583339?s=256&d=identicon&r=PG', 'display_name': 'Paul Vidal', 'link': 'https://stackoverflow.com/users/1919060/paul-vidal'}",True,12887,,,2,3,1668861414,1356030969,1464126107.0,13978947,CC BY-SA 3.0,https://stackoverflow.com/questions/13978947/hide-display-xaml-elements-or-block-lostfocus-event,Hide/Display XAML elements or block LostFocus event,,,,
6,"['c#', 'process']","{'account_id': 1893493, 'reputation': 1399, 'user_id': 1710944, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/6bf6b0889767c4888d7031565b854ff9?s=256&d=identicon&r=PG', 'display_name': 'user1710944', 'link': 'https://stackoverflow.com/users/1710944/user1710944'}",True,73656,,13952842.0,5,74,1668672474,1355920623,1496140254.0,13952635,CC BY-SA 3.0,https://stackoverflow.com/questions/13952635/what-are-the-differences-between-kill-process-and-close-process,What are the differences between kill process and close process?,,,,
7,"['c#', 'ajax', 'asp.net-mvc']","{'account_id': 220732, 'reputation': 4240, 'user_id': 478296, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/c5904bc36f5e091a4d476c0b3239164b?s=256&d=identicon&r=PG', 'display_name': 'Arcadian', 'link': 'https://stackoverflow.com/users/478296/arcadian'}",True,48959,,14198619.0,5,12,1668464665,1356834015,1543251934.0,14087743,CC BY-SA 4.0,https://stackoverflow.com/questions/14087743/how-to-implement-file-download-with-ajax-and-mvc,How to implement file download with AJAX and MVC,,,,
8,"['c#', '.net', 'usb', 'hid']","{'account_id': 1411060, 'reputation': 233, 'user_id': 1337631, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/SqRrI.jpg?s=256&g=1', 'display_name': 'Kerberos42', 'link': 'https://stackoverflow.com/users/1337631/kerberos42'}",True,3231,,13924176.0,2,0,1668446683,1355784000,,13923436,CC BY-SA 3.0,https://stackoverflow.com/questions/13923436/redirect-keyboard-input-from-second-keypad,Redirect Keyboard input from second keypad,,,,
9,"['c#', 'serial-port', 'usb', 'semaphore', 'usbserial']","{'account_id': 2140347, 'reputation': 2437, 'user_id': 1901636, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.stack.imgur.com/aU9IT.jpg?s=256&g=1', 'display_name': 'User.1', 'link': 'https://stackoverflow.com/users/1901636/user-1'}",True,115295,,,7,33,1668344103,1356142068,1519272317.0,13999439,CC BY-SA 3.0,https://stackoverflow.com/questions/13999439/the-semaphore-timeout-period-has-expired-error-for-usb-connection,&quot;The semaphore timeout period has expired&quot; error for USB connection,,,,
10,"['c#', 'wpf', 'plot', 'legend', 'dynamic-data-display']","{'account_id': 2062111, 'reputation': 93, 'user_id': 1838421, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fdcb5c1607ee4fe00df9e9c9cb32ba6f?s=256&d=identicon&r=PG', 'display_name': 'cis', 'link': 'https://stackoverflow.com/users/1838421/cis'}",False,406,,,2,1,1668254664,1354875305,1355929598.0,13761032,CC BY-SA 3.0,https://stackoverflow.com/questions/13761032/legend-outside-the-plot,Legend outside the plot,,,,
11,"['c#', 'linq', 'csv']","{'account_id': 2057677, 'reputation': 649, 'user_id': 1834977, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d3531d7031666f4cada3d98ef0f382d2?s=256&d=identicon&r=PG', 'display_name': 'Gnanasekaran Kuppusamy', 'link': 'https://stackoverflow.com/users/1834977/gnanasekaran-kuppusamy'}",True,65546,,13815673.0,2,25,1667672350,1355211381,1355211624.0,13815634,CC BY-SA 3.0,https://stackoverflow.com/questions/13815634/how-to-create-a-csv-file-from-liststring,How to create a csv file from List&lt;String[]&gt;,,,,
12,"['c#', 'arrays', 'indexing']","{'account_id': 417288, 'reputation': 6226, 'user_id': 793197, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/d6fc4658d3977a3aa505625723048f83?s=256&d=identicon&r=PG', 'display_name': 'Edmund Rojas', 'link': 'https://stackoverflow.com/users/793197/edmund-rojas'}",True,427462,,13755053.0,22,122,1667663079,1354839521,,13755007,CC BY-SA 3.0,https://stackoverflow.com/questions/13755007/c-find-highest-array-value-and-index,C# find highest array value and index,,,,
13,"['c#', '.net', 'vb.net', 'visual-studio-2012']","{'user_type': 'does_not_exist', 'display_name': 'user1182183'}",True,21459,,13793600.0,3,25,1667476568,1355100612,,13793560,CC BY-SA 3.0,https://stackoverflow.com/questions/13793560/find-closest-match-to-input-string-in-a-list-of-strings,Find closest match to input string in a list of strings,,,,
14,"['c#', 'jquery', 'asp.net-mvc-3']","{'account_id': 1049217, 'reputation': 3598, 'user_id': 1053524, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/1ea7969daffce52826931aec78f7b7c6?s=256&d=identicon&r=PG', 'display_name': 'Jignesh Thakker', 'link': 'https://stackoverflow.com/users/1053524/jignesh-thakker'}",False,8671,,,2,0,1667387185,1356266583,1495539786.0,14011038,CC BY-SA 3.0,https://stackoverflow.com/questions/14011038/how-to-call-action-on-button-click-from-jquery,How to call Action on Button click from JQuery,,,,
15,"['c#', 'linq']","{'account_id': 1905029, 'reputation': 3214, 'user_id': 1720077, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/O5A1p.jpg?s=256&g=1', 'display_name': 'BlakeH', 'link': 'https://stackoverflow.com/users/1720077/blakeh'}",True,91439,,68061090.0,22,152,1667366758,1354739256,1658336697.0,13731796,CC BY-SA 4.0,https://stackoverflow.com/questions/13731796/create-batches-in-linq,Create batches in LINQ,,,,
16,"['c#', '.net', 'sql-server-2008']","{'account_id': 1561388, 'reputation': 3109, 'user_id': 1451184, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/fd7369e493497b1bb91fd0120029340e?s=256&d=identicon&r=PG', 'display_name': 'Anshuman Jasrotia', 'link': 'https://stackoverflow.com/users/1451184/anshuman-jasrotia'}",True,23239,,14070272.0,8,16,1667228497,1356698101,1356700814.0,14069661,CC BY-SA 3.0,https://stackoverflow.com/questions/14069661/dropping-sql-server-database-through-c,Dropping SQL Server database through C#,,,,
17,"['c#', 'arrays', 'methods', 'for-loop']","{'account_id': 2132734, 'reputation': 21, 'user_id': 1893175, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a4aea27c4a39c6db221f64ca7c7ee13e?s=256&d=identicon&r=PG', 'display_name': 'Bex', 'link': 'https://stackoverflow.com/users/1893175/bex'}",True,17227,,,5,2,1666771415,1355217385,1666771415.0,13817045,CC BY-SA 4.0,https://stackoverflow.com/questions/13817045/how-to-sort-elements-of-an-array-using-nested-for-loops,How to sort elements of an array using nested for-loops?,,,,
18,"['c#', 'asp.net']","{'account_id': 2102752, 'reputation': 41, 'user_id': 1869914, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/84a162af81fb967c819cd4f38b2c20c3?s=256&d=identicon&r=PG', 'display_name': 'user1869914', 'link': 'https://stackoverflow.com/users/1869914/user1869914'}",True,9581,,,2,3,1666761195,1354608489,1400369579.0,13698491,CC BY-SA 3.0,https://stackoverflow.com/questions/13698491/dataview-table-rows-count-is-returning-1-when-there-is-no-such-rows,Dataview Table.Rows.Count is returning 1 when there is no such rows,,,,
19,"['c#', 'design-patterns', 'domain-driven-design', 'architectural-patterns']","{'account_id': 1475146, 'reputation': 858, 'user_id': 1385732, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/a85c5284de0ee68b261951e89dff8dc3?s=256&d=identicon&r=PG', 'display_name': 'retslig', 'link': 'https://stackoverflow.com/users/1385732/retslig'}",True,5996,,13805069.0,6,11,1666300431,1355156171,,13804765,CC BY-SA 3.0,https://stackoverflow.com/questions/13804765/factory-pattern-where-should-this-live-in-ddd,Factory Pattern where should this live in DDD?,,,,
20,"['c#', 'linq', 'datatable']","{'account_id': 1964835, 'reputation': 47, 'user_id': 1765372, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6470d1bbccdb1be2ddebb6aaee1762be?s=256&d=identicon&r=PG', 'display_name': 'boiler1974', 'link': 'https://stackoverflow.com/users/1765372/boiler1974'}",True,110,,13847472.0,2,0,1666215254,1355340707,1378420435.0,13847186,CC BY-SA 3.0,https://stackoverflow.com/questions/13847186/formatting-a-query-to-enumerate-through-2-different-datatables,Formatting a query to enumerate through 2 different datatables,,,,
21,"['c#', '.net', 'globalization']","{'account_id': 721724, 'reputation': 11425, 'user_id': 650148, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/aedf1996bc5e46665cbb41fa9180113f?s=256&d=identicon&r=PG', 'display_name': 'Jacek', 'link': 'https://stackoverflow.com/users/650148/jacek'}",True,26577,,13723966.0,4,23,1666109245,1354712280,1666109245.0,13723790,CC BY-SA 4.0,https://stackoverflow.com/questions/13723790/how-to-check-if-culture-exists-in-net,How to check if culture exists in .NET,,,,
22,"['c#', 'asp.net-mvc-3', 'asp.net-mvc-4']","{'account_id': 1169982, 'reputation': 6703, 'user_id': 1147385, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/1a4db177cdeb3cc98de534ac46f7564e?s=256&d=identicon&r=PG', 'display_name': 'Adrian Thompson Phillips', 'link': 'https://stackoverflow.com/users/1147385/adrian-thompson-phillips'}",True,3331,,14735840.0,2,3,1666009079,1354711603,1354719583.0,13723596,CC BY-SA 3.0,https://stackoverflow.com/questions/13723596/how-to-use-metadatatypeattribute-with-extended-classes,How to use MetadataTypeAttribute with extended classes,,,,
23,"['c#', 'database', 'image', 'visual-studio-2010']","{'account_id': 2108228, 'reputation': 31, 'user_id': 1874042, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26dab468f20a3b8839c52c568f851d14?s=256&d=identicon&r=PG', 'display_name': 'user1874042', 'link': 'https://stackoverflow.com/users/1874042/user1874042'}",False,8107,,,2,3,1665932540,1354576223,1493998513.0,13693454,CC BY-SA 3.0,https://stackoverflow.com/questions/13693454/how-do-i-include-images-in-my-database-in-visual-studio-2010,How do I include Images in my Database in Visual Studio 2010,,,,
24,"['c#', 'asp.net', 'viewstate', 'composite-controls', 'childcontrol']","{'account_id': 552870, 'reputation': 144, 'user_id': 918128, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/5rVzy.jpg?s=256&g=1', 'display_name': 'fso', 'link': 'https://stackoverflow.com/users/918128/fso'}",True,282,,13778911.0,1,0,1665599361,1354975458,1665599361.0,13778176,CC BY-SA 4.0,https://stackoverflow.com/questions/13778176/recreate-child-controls-and-viewstate,Recreate child controls and ViewState,,,,
25,"['c#', 'file-io', 'text-files']","{'account_id': 2173371, 'reputation': 109, 'user_id': 1924715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/15d7b049cd8b12aea49bf992ed1c58c6?s=256&d=identicon&r=PG', 'display_name': 'Brandon Gross', 'link': 'https://stackoverflow.com/users/1924715/brandon-gross'}",True,26005,,,4,10,1665302289,1356251847,1665302289.0,14009683,CC BY-SA 4.0,https://stackoverflow.com/questions/14009683/streamwriter-writeline-results-in-empty-file,StreamWriter.WriteLine() results in empty file,,,,
26,"['c#', '.net', 'linq']","{'account_id': 2111742, 'reputation': 125, 'user_id': 1876894, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3ac56dbed697e3305b7d6cd3fe71e754?s=256&d=identicon&r=PG', 'display_name': 'Bruno', 'link': 'https://stackoverflow.com/users/1876894/bruno'}",False,7423,,,1,2,1665284851,1354652770,1354714612.0,13711280,CC BY-SA 3.0,https://stackoverflow.com/questions/13711280/how-to-use-linqtoexcel-to-get-cell-values-without-header,How to use LinqToExcel to get cell values without header,,,,
