,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,locked_date
0,"['c#', '.net-6.0', 'quartz.net', 'visual-studio-2022', 'iis-10']","{'account_id': 3521293, 'reputation': 1, 'user_id': 2943496, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1786785043/picture?type=large', 'display_name': 'Richard Waggoner', 'link': 'https://stackoverflow.com/users/2943496/richard-waggoner'}",False,993,0,0,1669382919,1649970532,71877638,CC BY-SA 4.0,https://stackoverflow.com/questions/71877638/quartz-3-4-job-in-net-6-web-app-running-in-iis-10-will-not-start-until-first-we,Quartz 3.4 Job in .NET 6 Web App Running in IIS 10 Will Not Start Until First Web Request,,,,,
1,"['c#', 'amazon-s3']","{'account_id': 18643477, 'reputation': 45, 'user_id': 13588718, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/14e8db5ea3c3ee6d0801761ea39935a3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ashok ', 'link': 'https://stackoverflow.com/users/13588718/ashok'}",True,2176,2,0,1669381360,1649668985,71825436,CC BY-SA 4.0,https://stackoverflow.com/questions/71825436/unable-to-get-iam-security-credentials-from-ec2-instance-metadata-service,Unable to get IAM security credentials from EC2 Instance Metadata Service.&#39;,71825767.0,,,,
2,"['c#', 'wpf', 'visual-studio', 'user-controls', 'visual-studio-2022']","{'account_id': 12500730, 'reputation': 5, 'user_id': 9099277, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/072c7561c60b431e24bafc15006f6fb4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bert', 'link': 'https://stackoverflow.com/users/9099277/bert'}",False,236,1,-3,1669308442,1651239700,72058913,CC BY-SA 4.0,https://stackoverflow.com/questions/72058913/usercontrol-namespace-error-visual-studio-2022,Usercontrol namespace error visual studio 2022,,,,,
3,"['c#', 'restsharp']","{'account_id': 18276965, 'reputation': 1, 'user_id': 13306560, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52168b45e80328fc21ecc9f69c346fb5?s=256&d=identicon&r=PG&f=1', 'display_name': 'murtruby', 'link': 'https://stackoverflow.com/users/13306560/murtruby'}",True,123,1,0,1669292506,1650559047,71957955,CC BY-SA 4.0,https://stackoverflow.com/questions/71957955/why-am-i-receiving-401-unauthroized-from-cardpoint-api-when-using-test-credentia,Why am I receiving 401 Unauthroized from CardPoint API when using test credentials,72005953.0,1650560740.0,,,
4,"['c#', 'multithreading', 'performance', 'parallel-processing', 'task-parallel-library']","{'account_id': 18769355, 'reputation': 25, 'user_id': 13686545, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2cfa1924350d4ba2ca18f3a921ca4a19?s=256&d=identicon&r=PG&f=1', 'display_name': 'Norbert', 'link': 'https://stackoverflow.com/users/13686545/norbert'}",False,181,0,0,1669140686,1650135200,71896638,CC BY-SA 4.0,https://stackoverflow.com/questions/71896638/how-to-best-use-multiple-tasks-progress-reporting-and-performance,How to best use multiple Tasks? (progress reporting and performance),,1650195219.0,,,
5,"['c#', 'blazor', 'progressive-web-apps', 'mudblazor']","{'account_id': 11629927, 'reputation': 29, 'user_id': 8518503, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ef3509c05418640e9a2f92c4d6420ae?s=256&d=identicon&r=PG&f=1', 'display_name': 'Justin Maller', 'link': 'https://stackoverflow.com/users/8518503/justin-maller'}",True,1790,2,2,1669125467,1650389703,71929054,CC BY-SA 4.0,https://stackoverflow.com/questions/71929054/webassembly-blazor-net-6-0-not-retrieving-mudblazor-styling-could-not-find-m,WebAssembly Blazor .NET 6.0 not retrieving MudBlazor styling - Could not find &#39;mudElementRef.getBoundingClientRect&#39;,,1650390056.0,,,
6,['c#'],"{'account_id': 24991345, 'reputation': 23, 'user_id': 18852495, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwbNLKEp1Lj2_lhoHtfIcKNlkcYgbM8Rn6BTLDw=k-s256', 'display_name': 'Nguyen Minh Duc FGW HN', 'link': 'https://stackoverflow.com/users/18852495/nguyen-minh-duc-fgw-hn'}",True,97,2,0,1669091505,1650311118,71916364,CC BY-SA 4.0,https://stackoverflow.com/questions/71916364/i-cant-remove-the-index-in-list-box,i can&#39;t remove the index in list box,,1650311717.0,,,
7,"['c#', '.net', 'class', 'dependency-injection', 'startup']","{'account_id': 16990785, 'reputation': 267, 'user_id': 12290439, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-lzKutWrK1wY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcYQ-0y6grjGb3yTlloK94RV-nUzA/photo.jpg?sz=256', 'display_name': 'Maarten Vissers', 'link': 'https://stackoverflow.com/users/12290439/maarten-vissers'}",True,14225,5,9,1669062828,1650014122,71882183,CC BY-SA 4.0,https://stackoverflow.com/questions/71882183/net-6-inject-service-into-program-cs,.NET 6 - Inject service into program.cs,72432716.0,,,,
8,"['c#', 'performance', 'asp.net-core', '.net-6.0', 'visual-studio-2022']","{'account_id': 8278644, 'reputation': 21, 'user_id': 6223989, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-CdHqYfS_VVM/AAAAAAAAAAI/AAAAAAAAAB0/BVrQyZ2dAD0/photo.jpg?sz=256', 'display_name': 'Feuillebug', 'link': 'https://stackoverflow.com/users/6223989/feuillebug'}",False,706,0,1,1668843938,1651225521,72055991,CC BY-SA 4.0,https://stackoverflow.com/questions/72055991/asp-net-core-6-mvc-slow-page-loading,ASP NET Core 6 MVC Slow page loading,,,,,
9,"['c#', 'nuget', 'github-actions', '.net-6.0', 'github-package-registry']","{'account_id': 3436840, 'reputation': 1035, 'user_id': 2879771, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'baouss', 'link': 'https://stackoverflow.com/users/2879771/baouss'}",True,1281,1,0,1668633292,1651230643,72057012,CC BY-SA 4.0,https://stackoverflow.com/questions/72057012/dotnet-restore-in-github-actions-gives-401-unauthorized,dotnet restore in Github Actions gives 401 unauthorized,72057132.0,,,,
