,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from
0,"['c#', 'image', 'bitmap']","{'account_id': 1149655, 'reputation': 899, 'user_id': 1131630, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/9836284cb96830739ce3b253e7f36e1f?s=256&d=identicon&r=PG', 'display_name': 'Ozarraga_AB', 'link': 'https://stackoverflow.com/users/1131630/ozarraga-ab'}",True,50575,8905763.0,2,27,1669325784,1326865400,1326866006.0,8905714,CC BY-SA 3.0,https://stackoverflow.com/questions/8905714/overwrite-existing-image,Overwrite Existing Image,,,,
1,"['c#', 'asp.net', 'visual-studio-2008', 'datatable']","{'account_id': 993507, 'reputation': 4113, 'user_id': 1010078, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/3758b56122fe68701e8bcce02ec4cf3d?s=256&d=identicon&r=PG', 'display_name': 'el ninho', 'link': 'https://stackoverflow.com/users/1010078/el-ninho'}",True,334313,9022197.0,7,92,1669309158,1327597510,,9022118,CC BY-SA 3.0,https://stackoverflow.com/questions/9022118/access-cell-value-of-datatable,Access cell value of datatable,,,,
2,"['c#', 'pdf', 'silverlight-5.0']","{'account_id': 942664, 'reputation': 1520, 'user_id': 970463, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/0978592e50fb8cff26a68fab7d0cbaa2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nathan', 'link': 'https://stackoverflow.com/users/970463/nathan'}",True,5018,8906193.0,2,5,1669114080,1326690039,,8875946,CC BY-SA 3.0,https://stackoverflow.com/questions/8875946/export-images-to-pdf,Export Images to PDF,,,,
3,"['c#', 'pdf', 'tomcat', 'solr', 'solrnet']","{'account_id': 1185632, 'reputation': 927, 'user_id': 1159674, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/xwbxc.png?s=256&g=1', 'display_name': 'jonasm', 'link': 'https://stackoverflow.com/users/1159674/jonasm'}",True,4443,8935278.0,1,8,1668589556,1327016858,1327071000.0,8935060,CC BY-SA 3.0,https://stackoverflow.com/questions/8935060/index-pdf-documents-in-solr-from-c-client,Index pdf documents in Solr from C# client,,,,
4,"['c#', 'arrays', 'testing', 'text', 'isnullorempty']","{'account_id': 551975, 'reputation': 2759, 'user_id': 916986, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/9e28bd4c3797812b08cdd9559d05dbe5?s=256&d=identicon&r=PG', 'display_name': 'Fuzz Evans', 'link': 'https://stackoverflow.com/users/916986/fuzz-evans'}",True,44080,8750307.0,3,10,1668160921,1325799942,1325801136.0,8750290,CC BY-SA 3.0,https://stackoverflow.com/questions/8750290/how-can-i-check-multiple-textboxes-if-null-or-empty-without-a-unique-test-for-ea,How can I check multiple textboxes if null or empty without a unique test for each?,,,,
5,"['c#', 'linq', 'aggregate-functions']","{'account_id': 420647, 'reputation': 15836, 'user_id': 798448, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/d93b46cca6656158b955030741abe2bc?s=256&d=identicon&r=PG', 'display_name': 'Jason Sturges', 'link': 'https://stackoverflow.com/users/798448/jason-sturges'}",True,38981,8856405.0,9,47,1668080279,1326483637,,8856266,CC BY-SA 3.0,https://stackoverflow.com/questions/8856266/linq-aggregate-and-group-by-periods-of-time,LINQ aggregate and group by periods of time,,,,
6,"['c#', '.net', 'c#-4.0']","{'account_id': 15773, 'reputation': 44885, 'user_id': 33690, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/bc4a56b34e979d7f2397bcc1ecf25caf?s=256&d=identicon&r=PG', 'display_name': 'Xaisoft', 'link': 'https://stackoverflow.com/users/33690/xaisoft'}",True,56499,9035289.0,15,19,1668017137,1327676106,,9035192,CC BY-SA 3.0,https://stackoverflow.com/questions/9035192/mask-out-part-first-12-characters-of-string-with,Mask out part first 12 characters of string with *?,,,,
7,"['c#', 'xml', 'hyperlink', 'data-linking']","{'account_id': 989727, 'reputation': 1147, 'user_id': 1007376, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/7e2d84a3b122e1092983693dd368896e?s=256&d=identicon&r=PG', 'display_name': 'Marshal', 'link': 'https://stackoverflow.com/users/1007376/marshal'}",False,7962,,1,0,1667916200,1327489961,1327493318.0,9001742,CC BY-SA 3.0,https://stackoverflow.com/questions/9001742/textbox-to-xml-xml-to-textbox,Textbox to XML &amp; XML to Textbox,,,,
8,"['c#', 'algorithm']","{'account_id': 1144981, 'reputation': 21, 'user_id': 1127964, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5a815d1cc313804dfdf48f9b55949ff?s=256&d=identicon&r=PG', 'display_name': 'user1127964', 'link': 'https://stackoverflow.com/users/1127964/user1127964'}",False,2471,,3,2,1667746570,1325600230,1667746570.0,8713597,CC BY-SA 4.0,https://stackoverflow.com/questions/8713597/find-all-the-variations-of-k-elements-from-a-set-of-n,Find all the variations of K elements from a set of n,,,,
9,"['c#', 'if-statement', 'contains']","{'account_id': 104058, 'reputation': 153, 'user_id': 278390, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/67fb74463b8546b9e49e8de48f538cb2?s=256&d=identicon&r=PG', 'display_name': 'Saintjah', 'link': 'https://stackoverflow.com/users/278390/saintjah'}",True,274,8936557.0,4,5,1667746255,1327031432,1667746255.0,8936529,CC BY-SA 4.0,https://stackoverflow.com/questions/8936529/how-to-avoid-writing-every-variation-of-a-simple-if-contains-statement-for-dif,How to avoid writing every variation of a simple &quot;if contains&quot; statement for different strings,,,,
10,"['c#', 'multithreading']","{'account_id': 1080155, 'reputation': 105, 'user_id': 1077354, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1bbd9cb7156715c257ba58e166bd912f?s=256&d=identicon&r=PG', 'display_name': 'sdev', 'link': 'https://stackoverflow.com/users/1077354/sdev'}",True,15257,,5,6,1667544179,1326899052,1326899526.0,8912348,CC BY-SA 3.0,https://stackoverflow.com/questions/8912348/how-to-pass-parameters-to-thread-by-reference-in-c,How to pass parameters to thread by reference in c#?,,,,
11,"['c#', '.net', 'interface', 'casting']","{'account_id': 62912, 'reputation': 3015, 'user_id': 186584, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/c77166e4c495f60f3e5e337a68639953?s=256&d=identicon&r=PG', 'display_name': 'Andrew Kalashnikov', 'link': 'https://stackoverflow.com/users/186584/andrew-kalashnikov'}",True,69975,8925442.0,10,142,1667040342,1326973090,,8925400,CC BY-SA 3.0,https://stackoverflow.com/questions/8925400/cast-listt-to-listinterface,Cast List&lt;T&gt; to List&lt;Interface&gt;,,,,
12,"['c#', 'asp.net', 'culture', 'region']","{'account_id': 248519, 'reputation': 501, 'user_id': 523921, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/0145fa3527f5e9a869c759abe16eaf41?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/523921/ben'}",True,30199,8926497.0,3,17,1666791176,1326977882,1326978740.0,8926400,CC BY-SA 3.0,https://stackoverflow.com/questions/8926400/get-cultureinfo-object-from-country-name-or-regioninfo-object,Get CultureInfo object from country name or RegionInfo object,,,,
13,"['c#', 'linq']","{'account_id': 35375, 'reputation': 25748, 'user_id': 100175, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/MzhgW.jpg?s=256&g=1', 'display_name': 'jim', 'link': 'https://stackoverflow.com/users/100175/jim'}",True,22487,9069303.0,4,8,1666782702,1327950176,1328039554.0,9069254,CC BY-SA 3.0,https://stackoverflow.com/questions/9069254/linq-select-subset-of-master-list,Linq Select Subset of master list,,,,
