,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['c#', 'asp.net-mvc', 'fileshare']","{'account_id': 9885403, 'reputation': 147, 'user_id': 7320061, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/Q8AXO.png?s=256&g=1', 'display_name': 'arianit ax', 'link': 'https://stackoverflow.com/users/7320061/arianit-ax'}",False,424,1,0,1669369907,1581431488,1581503644.0,60171203,CC BY-SA 4.0,https://stackoverflow.com/questions/60171203/connecting-to-shared-network-resources-doesnt-always-work,Connecting to shared network resources doesn&#39;t always work,,,,,
1,"['c#', 'unit-testing', 'cookies', 'asp.net-core-3.1']","{'account_id': 4095960, 'reputation': 490, 'user_id': 7096114, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dee6568b2369a4ef4b3da2559409497e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dinerdo', 'link': 'https://stackoverflow.com/users/7096114/dinerdo'}",True,5442,6,14,1669151844,1582862469,,60445072,CC BY-SA 4.0,https://stackoverflow.com/questions/60445072/in-net-core-3-1-the-requestcookiecollection-can-no-longer-be-used-to-create-co,"In .NET Core 3.1, the RequestCookieCollection can no longer be used to create cookies in unit tests",,,,,
2,"['c#', 'datetimeoffset', 'jsonserializer']","{'account_id': 1477527, 'reputation': 7573, 'user_id': 1387588, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/63791bbcac8b8f1226eebe450306ca15?s=256&d=identicon&r=PG', 'display_name': 'sports', 'link': 'https://stackoverflow.com/users/1387588/sports'}",True,786,1,1,1669149245,1582729672,,60416869,CC BY-SA 4.0,https://stackoverflow.com/questions/60416869/isodatetimeconverter-and-jsonserializersettings-differentiate-datetime-with-dat,IsoDateTimeConverter and JsonSerializerSettings: differentiate DateTime with DateTimeOffset,60417325.0,,,,
3,"['c#', '.net-core']","{'account_id': 1518261, 'reputation': 12300, 'user_id': 1418704, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/f23297149bdbeb4759cd00c5108f489b?s=256&d=identicon&r=PG', 'display_name': 'Casey Crookston', 'link': 'https://stackoverflow.com/users/1418704/casey-crookston'}",True,3579,5,2,1669145505,1582834248,,60441040,CC BY-SA 4.0,https://stackoverflow.com/questions/60441040/deserialize-appsettings-json-in-unit-test,Deserialize appsettings.json in unit test,60441586.0,,,,
4,"['c#', 'asp.net-mvc', 'msbuild', 'aspnet-compiler']","{'account_id': 13474878, 'reputation': 35, 'user_id': 9722200, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Степан Ермаков', 'link': 'https://stackoverflow.com/users/9722200/%d0%a1%d1%82%d0%b5%d0%bf%d0%b0%d0%bd-%d0%95%d1%80%d0%bc%d0%b0%d0%ba%d0%be%d0%b2'}",False,464,1,1,1669130266,1581597204,,60207968,CC BY-SA 4.0,https://stackoverflow.com/questions/60207968/msb4062-the-microsoft-build-tasks-aspnetcompiler-task-could-not-be-loaded-from,MSB4062: The Microsoft.Build.Tasks.AspNetCompiler task could not be loaded from the assembly Microsoft.Build.Tasks.Core,,,,,
5,"['c#', 'asp.net-mvc', 'asp.net-core']","{'account_id': 1267251, 'reputation': 77, 'user_id': 1224302, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f59829d3f774dda12ea18e6bb7f582ad?s=256&d=identicon&r=PG', 'display_name': 'Onceler', 'link': 'https://stackoverflow.com/users/1224302/onceler'}",True,2341,3,0,1668955618,1582729184,,60416737,CC BY-SA 4.0,https://stackoverflow.com/questions/60416737/httpcontext-request-form-keys-is-empty-when-httpcontext-request-hasformcontentty,HttpContext.Request.Form.Keys is empty when HttpContext.Request.HasFormContentType = true,,,,,
6,"['c#', 'visual-studio']","{'account_id': 5777164, 'reputation': 1979, 'user_id': 4587985, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/VG6mg.jpg?s=256&g=1', 'display_name': 'Daniela Morais', 'link': 'https://stackoverflow.com/users/4587985/daniela-morais'}",True,775,3,3,1668705154,1582228272,1582229635.0,60327539,CC BY-SA 4.0,https://stackoverflow.com/questions/60327539/how-to-decrease-the-margin-size-of-the-number-of-line,How to decrease the margin size of the number of line,,,,,
7,"['c#', 'winforms', 'scheduler']","{'account_id': 17643250, 'reputation': 137, 'user_id': 12805119, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/82624cf98aee8b9e002b4e41a99b13dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ronak', 'link': 'https://stackoverflow.com/users/12805119/ronak'}",True,2705,3,0,1668634722,1581666932,1581669132.0,60222142,CC BY-SA 4.0,https://stackoverflow.com/questions/60222142/windows-task-scheduler-created-programmatically-in-c-not-running-automatically,Windows task scheduler created programmatically in C# not running automatically,69447200.0,,,,
8,"['c#', '.net']","{'account_id': 5448686, 'reputation': 6174, 'user_id': 4573839, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://lh4.googleusercontent.com/-wLBU0P4GoTk/AAAAAAAAAAI/AAAAAAAAAPM/8Xy7C9d-XoU/photo.jpg?sz=256', 'display_name': 'yu yang Jian', 'link': 'https://stackoverflow.com/users/4573839/yu-yang-jian'}",True,46499,6,4,1668578696,1582887224,,60450266,CC BY-SA 4.0,https://stackoverflow.com/questions/60450266/could-not-load-file-or-assembly-system-runtime-version-4-2-1-0-culture-neutra,"Could not load file or assembly &#39;System.Runtime, Version=4.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a&#39;",,,,,
9,"['c#', 'asp.net-mvc', 'entity-framework-core', 'ssms']","{'account_id': 17206919, 'reputation': 26, 'user_id': 12457274, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a419a7c681770fbd9a966cd8b0bd02ec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Laberge', 'link': 'https://stackoverflow.com/users/12457274/laberge'}",True,703,2,1,1668396842,1582306634,1582325512.0,60343745,CC BY-SA 4.0,https://stackoverflow.com/questions/60343745/cannot-insert-explicit-value-when-identity-insert-is-set-to-off-in-entity-framew,Cannot insert explicit value when IDENTITY_INSERT is set to OFF in Entity Framework,60347328.0,,,,
10,"['c#', 'blazor', 'blazor-server-side']","{'account_id': 6825118, 'reputation': 389, 'user_id': 5251058, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e71671a6112ac0968b036765db11e147?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tomy', 'link': 'https://stackoverflow.com/users/5251058/tomy'}",True,10060,4,5,1668254886,1580483683,,60006592,CC BY-SA 4.0,https://stackoverflow.com/questions/60006592/play-sound-on-the-client-in-blazor,Play sound on the client in Blazor?,60018645.0,,,,
11,"['c#', 'asp.net-mvc']","{'account_id': 2480789, 'reputation': 193, 'user_id': 2160310, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/d06d4d65fdd71985f1d6e22991d1aff5?s=256&d=identicon&r=PG', 'display_name': 'user2160310', 'link': 'https://stackoverflow.com/users/2160310/user2160310'}",True,739,2,1,1668101215,1581371762,1668101215.0,60159041,CC BY-SA 4.0,https://stackoverflow.com/questions/60159041/c-asp-net-mvc-actionresult,C# ASP.NET MVC ActionResult,60161601.0,,,,
12,"['c#', 'asp.net-mvc']","{'account_id': 14237002, 'reputation': 89, 'user_id': 10284540, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a8341b8a8643a9b1ae2eac6d19eafe10?s=256&d=identicon&r=PG&f=1', 'display_name': 'volfk', 'link': 'https://stackoverflow.com/users/10284540/volfk'}",False,152,1,1,1668101156,1582127255,1668101156.0,60304163,CC BY-SA 4.0,https://stackoverflow.com/questions/60304163/asp-net-mvc-model-to-js-object-and-back-to-c,ASP.NET MVC model to JS object and back to C#,,,,,
