,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
0,"['c#', 'visual-studio', 'visual-studio-2019', 'owin', 'iis-express']","{'account_id': 36213, 'reputation': 3073, 'user_id': 103165, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/c61db8c6db6ee8a63ab532e255556542?s=256&d=identicon&r=PG', 'display_name': 'ist_lion', 'link': 'https://stackoverflow.com/users/103165/ist-lion'}",True,378,1,2,1669284481,1641661660,1641662080.0,70634597,CC BY-SA 4.0,https://stackoverflow.com/questions/70634597/forcing-visual-studio-iis-express-to-prompt-user-for-user-certificate,Forcing Visual Studio IIS Express To Prompt User For User Certificate,,,
1,"['c#', '.net', 'unit-testing', '.net-4.8']","{'account_id': 11881515, 'reputation': 1367, 'user_id': 8695110, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NHmdd.png?s=256&g=1', 'display_name': 'julian bechtold', 'link': 'https://stackoverflow.com/users/8695110/julian-bechtold'}",True,5683,5,8,1669201727,1643577681,,70919047,CC BY-SA 4.0,https://stackoverflow.com/questions/70919047/create-unit-tests-for-net-6-0,create unit tests for .net 6.0,71110407.0,,
2,"['c#', '.net', 'asp.net-mvc', 'asp.net-web-api', 'zoom-sdk']","{'account_id': 13407144, 'reputation': 26, 'user_id': 9674839, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d121bf7014612052ff7bb484c017c097?s=256&d=identicon&r=PG', 'display_name': 'Souravs8616106', 'link': 'https://stackoverflow.com/users/9674839/souravs8616106'}",False,118,1,0,1669163281,1641971508,1641976225.0,70677580,CC BY-SA 4.0,https://stackoverflow.com/questions/70677580/error-occurred-during-zoom-integration-in-net,Error occurred during zoom integration in .NET,,,
3,"['c#', 'blazor-webassembly']","{'account_id': 3817514, 'reputation': 481, 'user_id': 3166497, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/lLgcN.png?s=256&g=1', 'display_name': 'John D', 'link': 'https://stackoverflow.com/users/3166497/john-d'}",True,3230,2,2,1669138387,1643374554,1643375114.0,70894115,CC BY-SA 4.0,https://stackoverflow.com/questions/70894115/dereference-of-a-possibly-null-reference-can-my-code-be-simplified,Dereference of a possibly null reference ... Can my code be simplified?,70894981.0,,
4,"['c#', 'asp.net-core', 'kestrel']","{'account_id': 8242830, 'reputation': 1, 'user_id': 6199966, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b709ec6cf8388d08e6d4841479d23b3d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/6199966/sam'}",False,812,3,0,1669132283,1641329439,1641331938.0,70584893,CC BY-SA 4.0,https://stackoverflow.com/questions/70584893/asp-net-core-6-launchurl-equivalent-for-production,ASP.NET Core 6 launchUrl equivalent for Production,,,
5,"['c#', 'visual-studio-code', 'intellisense']","{'account_id': 11496118, 'reputation': 21, 'user_id': 8425415, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KNFoj.png?s=256&g=1', 'display_name': 'Pranita Joglekar', 'link': 'https://stackoverflow.com/users/8425415/pranita-joglekar'}",True,4674,2,0,1669131837,1643275777,1643277127.0,70876161,CC BY-SA 4.0,https://stackoverflow.com/questions/70876161/why-is-intellisense-not-working-in-my-vs-code,why is Intellisense not working in my VS Code?,70876301.0,,
6,"['c#', 'fody-costura']","{'account_id': 301835, 'reputation': 9511, 'user_id': 609828, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/2a5dbb1d5f4e39eb169af2dab2bc6134?s=256&d=identicon&r=PG', 'display_name': 'Jaime Oro', 'link': 'https://stackoverflow.com/users/609828/jaime-oro'}",True,437,2,1,1669110499,1641143758,1641145321.0,70558074,CC BY-SA 4.0,https://stackoverflow.com/questions/70558074/avoid-xml-files-when-using-costura-fody,Avoid .xml files when using costura.fody,70665949.0,,
7,"['c#', 'entity-framework', 'asp.net-core', 'graphql', 'hotchocolate']","{'account_id': 8578090, 'reputation': 131, 'user_id': 6426768, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/21f285b4f8caa52f7e738c5c4a3c2324?s=256&d=identicon&r=PG', 'display_name': 'Temp034', 'link': 'https://stackoverflow.com/users/6426768/temp034'}",True,712,1,0,1669103076,1641811808,1669103076.0,70651225,CC BY-SA 4.0,https://stackoverflow.com/questions/70651225/using-projections-without-returning-iqueryable-graphql-hotchocolate,"Using projections without returning IQueryable, GraphQL HotChocolate",,,
8,"['c#', 'html', 'server', 'httplistener', 'httplistenerrequest']","{'account_id': 23981160, 'reputation': 27, 'user_id': 17968567, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJx1a-BV9sR4rystQV-U3vPtXHrsAPaksZ0UP7cn=k-s256', 'display_name': 'Bogdan Floareș', 'link': 'https://stackoverflow.com/users/17968567/bogdan-floare%c8%99'}",False,185,0,1,1669050800,1642815528,1669050800.0,70809321,CC BY-SA 4.0,https://stackoverflow.com/questions/70809321/why-is-context-request-inputstream-null,Why is context.Request.InputStream null?,,,
9,"['c#', 'http', 'post', 'get', 'httplistener']","{'account_id': 23981160, 'reputation': 27, 'user_id': 17968567, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJx1a-BV9sR4rystQV-U3vPtXHrsAPaksZ0UP7cn=k-s256', 'display_name': 'Bogdan Floareș', 'link': 'https://stackoverflow.com/users/17968567/bogdan-floare%c8%99'}",True,331,1,-2,1669050710,1643388617,1669050710.0,70897265,CC BY-SA 4.0,https://stackoverflow.com/questions/70897265/what-is-the-purpose-of-th-http-get-method-in-forms,What is the purpose of th HTTP GET method in forms?,70897678.0,,
