,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,locked_date
0,"['c#', 'oauth-2.0', 'google-authentication']","{'account_id': 16873235, 'reputation': 39, 'user_id': 12201282, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-4nFqESscMSs/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcZS4WfTJH34jmhu1Yaektd_6WjVw/photo.jpg?sz=256', 'display_name': 'Yuri Hladchenko', 'link': 'https://stackoverflow.com/users/12201282/yuri-hladchenko'}",True,5485,58390542.0,5,2,1669408422,1570800318,58342269,CC BY-SA 4.0,https://stackoverflow.com/questions/58342269/unable-to-cast-object-of-type-rsacng-to-type-system-security-cryptography-rsa,Unable to cast object of type &#39;RSACng&#39; to type &#39;System.Security.Cryptography.RSACryptoServiceProvider&#39;,,,,,
1,"['c#', '.net']","{'account_id': 16944144, 'reputation': 71, 'user_id': 12255282, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa39308c476038b3c950d1d1002de1a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'GSharp', 'link': 'https://stackoverflow.com/users/12255282/gsharp'}",True,1340,,2,2,1669210550,1571722772,58497706,CC BY-SA 4.0,https://stackoverflow.com/questions/58497706/failed-conversion-from-net-core-2-2-to-3-0,Failed conversion from .net core 2.2 to 3.0,1571725699.0,,,,
2,"['c#', 'asp.net', 'excel', 'epplus']","{'account_id': 9768322, 'reputation': 556, 'user_id': 7241073, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/031ac8e23d11d1533b35a3fdfdda24cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'FllnAngl', 'link': 'https://stackoverflow.com/users/7241073/fllnangl'}",True,3000,58505356.0,2,2,1669030980,1571748557,58504727,CC BY-SA 4.0,https://stackoverflow.com/questions/58504727/change-excel-cell-to-date-format-c,Change excel cell to date format c#,1571748867.0,,,,
3,"['c#', 'json', 'system.text.json', 'jsonconverter']","{'account_id': 4122626, 'reputation': 4413, 'user_id': 3382549, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/531045015/picture?type=large', 'display_name': 'Tim Rutter', 'link': 'https://stackoverflow.com/users/3382549/tim-rutter'}",True,866,,2,1,1668748822,1571144642,58395416,CC BY-SA 4.0,https://stackoverflow.com/questions/58395416/write-listdouble-to-json-array-without-indentation-using-system-text-json,Write List&lt;double&gt; to Json array without indentation using System.Text.Json,1574829174.0,,,,
4,"['c#', 'mongodb', '.net-core', 'mongodb.driver']","{'account_id': 16821, 'reputation': 32081, 'user_id': 37055, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/f0e7c2d0d5d83c928cfcfce66928160e?s=256&d=identicon&r=PG', 'display_name': 'Chris Marisic', 'link': 'https://stackoverflow.com/users/37055/chris-marisic'}",True,948,58611640.0,2,2,1668706015,1571691590,58494057,CC BY-SA 4.0,https://stackoverflow.com/questions/58494057/how-to-connect-to-a-server-via-tls-using-mongodb-driver-with-a-certificate-file,How to connect to a server via TLS using MongoDB.Driver with a certificate file?,,,,,
5,"['c#', 'visual-studio', 'unit-testing', 'visual-studio-2019']","{'account_id': 1668855, 'reputation': 12631, 'user_id': 2700303, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/vE8uj.jpg?s=256&g=1', 'display_name': 'MiguelSlv', 'link': 'https://stackoverflow.com/users/2700303/miguelslv'}",True,17443,60166616.0,6,15,1668695607,1571248886,58419189,CC BY-SA 4.0,https://stackoverflow.com/questions/58419189/error-streamjsonrpc-connectionlostexception-the-json-rpc-connection-with-the-r,Error :StreamJsonRpc.ConnectionLostException: The JSON-RPC connection with the remote party was lost before the request could complete,1579009442.0,,,,
6,"['c#', '.net', 'asp.net-core', 'blazor', 'blazor-validation']","{'account_id': 5890257, 'reputation': 119, 'user_id': 4637112, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/941943279163159/picture?type=large', 'display_name': 'Engr Rslan', 'link': 'https://stackoverflow.com/users/4637112/engr-rslan'}",True,4461,,6,7,1668695300,1570012143,58199723,CC BY-SA 4.0,https://stackoverflow.com/questions/58199723/blazor-change-validation-default-css-class-names,Blazor Change Validation default CSS class names,1626451792.0,,,,
7,"['c#', 'json', 'asp.net-core', 'system.text.json']","{'account_id': 6542786, 'reputation': 35517, 'user_id': 5059657, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://lh4.googleusercontent.com/-0V0P2SXS07Y/AAAAAAAAAAI/AAAAAAAAC5k/cTht2gcsEbk/photo.jpg?sz=256', 'display_name': 'Alexander Staroselsky', 'link': 'https://stackoverflow.com/users/5059657/alexander-staroselsky'}",True,104694,58476761.0,7,116,1668649778,1571600719,58476681,CC BY-SA 4.0,https://stackoverflow.com/questions/58476681/asp-net-core-3-0-system-text-json-camel-case-serialization,ASP.NET Core 3.0 System.Text.Json Camel Case Serialization,1608305244.0,,,,
8,"['c#', '.net-core', 'visual-studio-2019', 'visual-studio-2022']","{'account_id': 15495526, 'reputation': 28946, 'user_id': 11178549, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ePjRo.png?s=256&g=1', 'display_name': 'Theodor Zoulias', 'link': 'https://stackoverflow.com/users/11178549/theodor-zoulias'}",True,11039,58227821.0,1,12,1668542600,1569911485,58179185,CC BY-SA 4.0,https://stackoverflow.com/questions/58179185/prevent-a-console-app-net-core-from-printing-exited-with-code-0-in-vs2019,Prevent a Console App (.NET Core) from printing &quot;exited with code 0.&quot; in VS2019 and VS2022,1668542600.0,,,,
9,"['c#', 'asynchronous', 'async-await']","{'account_id': 15624014, 'reputation': 2055, 'user_id': 11272124, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c710af17c950504375b53e22c894fedc?s=256&d=identicon&r=PG&f=1', 'display_name': 'SpiritBob', 'link': 'https://stackoverflow.com/users/11272124/spiritbob'}",True,2733,58273196.0,2,1,1668526970,1570462694,58272848,,https://stackoverflow.com/questions/58272848/parallel-foreach-or-task-whenall-when-involving-async-operations,Parallel.ForEach or Task.WhenAll when involving async operations?,1570463092.0,1570523678.0,Opinion-based,,
